qid,last_first,description,name,creator_string
,Chang Tse-tuan,,Chang Tse-tuan,"[""Chang Tse-tuan""]"
,Chao Fen,,Chao Fen,"[""Chao Fen""]"
,Chen Yuzhang,,Chen Yuzhang,"[""Chen Yuzhang""]"
,Chikuyodo,1860-1890,Chikuyodo,"[""Chikuyodo (1860-1890)""]"
,"Chiplis, Martha","1964-, born Indianapolis, IN",Martha Chiplis,"[""Chiplis, Martha (1964-, born Indianapolis, IN)""]"
,"Chokosai, Eisho","Japanese printmaker, active 1793-1799",Eisho Chokosai,"[""Chokosai, Eisho (Japanese printmaker, active 1793-1799)""]"
,"Chwedczuk, M",,M Chwedczuk,"[""Chwedczuk, M""]"
,"Clairey, Irene",,Irene Clairey,"[""Clairey, Irene""]"
,"Clark, J.",,J. Clark,"[""Clark, J.""]"
,"Clayton, Charles",,Charles Clayton,"[""Clayton, Charles""]"
,"Cohen, George Etta Brinkley",,George Etta Brinkley Cohen,"[""Cohen, George Etta Brinkley""]"
,"Cohen, Jean","1927-2013, born Brooklyn, NY, died Long Island, NY",Jean Cohen,"[""Cohen, Jean (1927-2013, born Brooklyn, NY, died Long Island, NY)"",""Cohen, Jean (1927-2013, born New York, NY, died Long Island, NY)""]"
,"Cohick, Aaron",,Aaron Cohick,"[""Cohick, Aaron""]"
,"Cole, Willie","American artist, born 1955",Willie Cole,"[""Cole, Willie (American artist, born 1955)""]"
,"Collado, Lisa",,Lisa Collado,"[""Collado, Lisa""]"
,"Connor, Colin",,Colin Connor,"[""Connor, Colin""]"
,"Conse, C.",,C. Conse,"[""Conse, C.""]"
,"Conti, A.",,A. Conti,"[""Conti, A.""]"
,Cordnin,,Cordnin,"[""Cordnin""]"
,"Couche, Jacques","b. 1759, born Abbeville",Jacques Couche,"[""Couche, Jacques (b. 1759, born Abbeville)""]"
,"Craig, R.H.",,R.H. Craig,"[""Craig, R.H.""]"
,"Creightney, Karsten","1976-, born Albuquerque, New Mexico",Karsten Creightney,"[""Creightney, Karsten  (1976-, born Albuquerque, New Mexico)""]"
,"Cucaro, Pat",,Pat Cucaro,"[""Cucaro, Pat""]"
,"D'Amato, Paul","American photographer, 1956 CE-",Paul D'Amato,"[""D'Amato, Paul (American photographer, 1956 CE-)""]"
,"d'Harcourt, Childe de Rohan",,Childe de Rohan d'Harcourt,"[""d'Harcourt, Childe de Rohan""]"
,"Daly, Mat",1974-,Mat Daly,"[""Daly, Mat (1974-)""]"
,"Darnaud, Maxime","1931-, born Lyon, France",Maxime Darnaud,"[""Darnaud, Maxime (1931-, born Lyon, France)""]"
,"DeArcangelis, Gloria","1957-, born Munich, Germany",Gloria DeArcangelis,"[""DeArcangelis, Gloria (1957-, born Munich, Germany)""]"
,"Dennis, W.",,W. Dennis,"[""Dennis, W.""]"
,Docenud,,Docenud,"[""Docenud""]"
,Donovan,,Donovan,"[""Donovan""]"
,"Dooley, Tim","1967-, born Miami, FL",Tim Dooley,"[""Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)"",""Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)""]"
,"Drosd, F.",,F. Drosd,"[""Drosd, F.""]"
,"Dunson, Samuel L. Jr.","1970-, born Dayton, OH","Samuel L. Dunson, Jr.","[""Dunson, Samuel L. Jr. (1970-, born Dayton, OH)""]"
,"Duret, A.",,A. Duret,"[""Duret, A.""]"
