qid,last_first,description,name,creator_string
,"McIntyre, Mike","1978-, born St. Louis, MO",Mike McIntyre,"[""McIntyre, Mike (1978-, born St. Louis, MO)""]"
,"McKay, Donald",,Donald McKay,"[""McKay, Donald""]"
,"McPharlin, Vincent","1910-1985, born Hastings, MI",Vincent McPharlin,"[""McPharlin, Vincent (1910-1985, born Hastings, MI)""]"
,Meitō,,Meitō,"[""Meitō""]"
,"Melbourne, Montgomery",1893-1970,Montgomery Melbourne,"[""Melbourne, Montgomery (1893-1970)""]"
,"Merrick, James Kirk",1905-1985,James Kirk Merrick,"[""Merrick, James Kirk  (1905-1985)""]"
,"Michael, Creighton","American sculptor, born 1949",Creighton Michael,"[""Michael, Creighton (American sculptor, born 1949)""]"
,"Michaels, Edward",,Edward Michaels,"[""Michaels, Edward""]"
,"Miguel, Adro",,Adro Miguel,"[""Miguel, Adro""]"
,"Millard, Travis","1975-, born St. Joseph, MO",Travis Millard,"[""Millard, Travis (1975-, born St. Joseph, MO)"",""Millard, Travis""]"
,"Miller, Mark",,Mark Miller,"[""Miller, Mark""]"
,"Mims, Thomas Puryear","American sculptor, 1906-1975",Thomas Puryear Mims,"[""Mims, Thomas Puryear (American sculptor, 1906-1975)""]"
,"Mira, Eduardo",1945-,Eduardo Mira,"[""Mira, Eduardo (1945-)""]"
,"Mitsunobu, Hasegawa",Eishun,Hasegawa Mitsunobu,"[""Mitsunobu, Hasegawa (Eishun) (1790-1848)""]"
,"Mittelman, Ann",1898-1996,Ann Mittelman,"[""Mittelman, Ann (1898-1996)""]"
,"Moore, Beveridge","1915-2004, born Richmond, VA",Beveridge Moore,"[""Moore, Beveridge (1915-2004, born Richmond, VA)""]"
,"Morishima, Chura Nakayoshi",,Chura Nakayoshi Morishima,"[""Morishima, Chura Nakayoshi""]"
,"Mozzolini, S.",,S. Mozzolini,"[""Mozzolini, S.""]"
,"Mueller, Richard",1874-1954,Richard Mueller,"[""Mueller, Richard (1874-1954)""]"
,"Mulder, John",,John Mulder,"[""Mulder, John""]"
,"Nabb, Paul",,Paul Nabb,"[""Nabb, Paul""]"
,"Namgay, Phurba","1964-, born Chendipji, Tongsa, Bhutan",Phurba Namgay,"[""Namgay, Phurba (1964-, born Chendipji, Tongsa, Bhutan)""]"
,"Nesbitt, Dawson",1948-,Dawson Nesbitt,"[""Nesbitt, Dawson (1948-)""]"
,Nishikawa,,Nishikawa,"[""Nishikawa""]"
,"Nishikawa, Harunobu",,Harunobu Nishikawa,"[""Nishikawa, Harunobu""]"
,"Nolla, Joaquim",,Joaquim Nolla,"[""Nolla, Joaquim and Mir, Josep M.""]"
,"Nussbaum, Jacob",1873-1934,Jacob Nussbaum,"[""Nussbaum, Jacob (1873-1934)""]"
,"O'Connell, Kathleen","1980-, born Plattsburgh, NY",Kathleen O'Connell,"[""O'Connell, Kathleen (1980-, born Plattsburgh, NY)""]"
,"Orr, Arthur Anselm","English glass painter and draftsman, 1868-1949",Arthur Anselm Orr,"[""Orr, Arthur Anselm (English glass painter and draftsman, 1868-1949)"",""Orr, Arthur""]"
,"Oson, Toshi",,Toshi Oson,"[""Oson, Toshi""]"
,Otte,,Otte,"[""Otte""]"
,Ou Shiang,,Ou Shiang,"[""Ou Shiang""]"
,"Page, Judith","1946-, born Lexington, KY",Judith Page,"[""Page, Judith (1946-, born Lexington, KY)""]"
,"Pagliari, Giorgio","1933-2015, born Rome, Italy, died Ibiza, Spain",Giorgio Pagliari,"[""Pagliari, Giorgio (1933-2015, born Rome, Italy, died Ibiza, Spain)"",""Pagliari, Giorgio (1933-, born Rome, Italy)""]"
,"Pallot, S.",,S. Pallot,"[""Pallot, S.""]"
,"Paris, Dorothy",,Dorothy Paris,"[""Paris, Dorothy""]"
,"Parkhurst, Anita",,Anita Parkhurst,"[""Parkhurst, Anita""]"
,"Parrish, Janice",,Janice Parrish,"[""Parrish, Janice""]"
,"Parrish, Rachel",,Rachel Parrish,"[""Parrish, Rachel""]"
,"Pasek, Margaret",,Margaret Pasek,"[""Pasek, Margaret""]"
,"Pecsenke, Joseph A.",1942-1989,Joseph A. Pecsenke,"[""Pecsenke, Joseph A. (1942-1989)""]"
,"Peel, Michael","British painter, born 1951",Michael Peel,"[""Peel, Michael (British painter, born 1951)""]"
,"Pei-Zhi, Lei",1909-1985,Lei Pei-Zhi,"[""Pei-Zhi, Lei (1909-1985)""]"
,"Peiser, Jane",,Jane Peiser,"[""Peiser, Jane""]"
,"Penland, Jean Wall",American painter and etcher,Jean Wall Penland,"[""Penland, Jean Wall (American painter and etcher)""]"
,"Perdikitis, Dimitri","1922-, born Athens, Greece",Dimitri Perdikitis,"[""Perdikitis, Dimitri (1922-, born Athens, Greece)""]"
,"Pfnür, Rainer","German artist, born 1939",Rainer Pfnür,"[""Pfnür, Rainer (German artist, born 1939)""]"
,"Phillips, Gray","1923-2005, born Chattanooga, TN, died Pacific Palisades, CA",Gray Phillips,"[""Phillips, Gray (1923-2005, born Chattanooga, TN, died Pacific Palisades, CA)""]"
,"Phillips, John","1953-, born Chicago, IL",John Phillips,"[""Phillips, John (1953-, born Chicago, IL)""]"
,"Phillips, W.T.",,W.T. Phillips,"[""Phillips, W.T.""]"
,"Picaut, Bernard",,Bernard Picaut,"[""Picaut, Bernard""]"
,"Pildas, M.",,M. Pildas,"[""Pildas, M. ""]"
,"Pittman, A. Ross",1883-1969,A. Ross Pittman,"[""Pittman, A. Ross (1883-1969)""]"
,"Polidori, Gian Carlo","Italian artist, active 19th-20th century",Gian Carlo Polidori,"[""Polidori, Gian Carlo (Italian artist, active 19th-20th century)""]"
,"Pollack, S.",,S. Pollack,"[""Pollack, S.""]"
,"Popovic, Dimitrije",,Dimitrije Popovic,"[""Popovic, Dimitrije""]"
,"Pounders, Alfred J.",1931-,Alfred J. Pounders,"[""Pounders, Alfred J. (1931-)""]"
,"Powney, J. Suzanne","1969-, born Biloxi, MS",J. Suzanne Powney,"[""Powney, J. Suzanne  (1969-, born Biloxi, MS)""]"
,"Prahaska, Ray",,Ray Prahaska,"[""Prahaska, Ray""]"
,"Prats, Llorenç",,Llorenç Prats,"[""Prats, Llorenç""]"
,"Prou, Jacques",,Jacques Prou,"[""Prou, Jacques""]"
,"Puiggros, Pere",1942-,Pere Puiggros,"[""Puiggros, Pere (1942-)""]"
,"Putnam, H.",,H. Putnam,"[""Putnam, H.""]"
,"Putten, Henk van","Dutch sculptor, born 1936",Henk van Putten,"[""Putten, Henk van (Dutch sculptor, born 1936)""]"
,Qin Yi,,Qin Yi,"[""Qin Yi""]"
,"Querida, Zita",,Zita Querida,"[""Querida, Zita""]"
,"Quest, Dan",,Dan Quest,"[""Quest, Dan""]"
,"Quijada, Robert","American artist, 1937-1994",Robert Quijada,"[""Quijada, Robert (American artist, 1937-1994)""]"
,"Raffetto, Giuseppe","ca. 1750, born Genoa, Italy",Giuseppe Raffetto,"[""Raffetto, Giuseppe (ca. 1750, born Genoa, Italy)"",""Raffetto, Giuseppe""]"
,Ravagnant,,Ravagnant,"[""Ravagnant""]"
,"Raymond, José Luis",1954-,José Luis Raymond,"[""Raymond, José Luis (1954-)""]"
,"Reika, Iwami",1927-1989,Iwami Reika,"[""Reika, Iwami (1927-1989)""]"
,Ren Pei,,Ren Pei,"[""Ren Pei""]"
,"Reuther, Kit",1957-,Kit Reuther,"[""Reuther, Kit (1957-)""]"
,"Richards, Rosalyn",1947-,Rosalyn Richards,"[""Richards, Rosalyn (1947-)""]"
,"Richardson, Deborah",,Deborah Richardson,"[""Richardson, Deborah""]"
,"Richardson, Russell",,Russell Richardson,"[""Richardson, Russell""]"
,"Richman, Pablo",,Pablo Richman,"[""Richman, Pablo""]"
,Ripolles,,Ripolles,"[""Ripolles""]"
,"Risseeuw, Katie",,Katie Risseeuw,"[""Risseeuw, Katie""]"
,"Ritteng, George",,George Ritteng,"[""Ritteng, George""]"
,"Roberti, H.",,H. Roberti,"[""Roberti, H.""]"
,"Roberts, William Vernon",,William Vernon Roberts,"[""Roberts, William Vernon""]"
,"Robertson, Jack",,Jack Robertson,"[""Robertson, Jack""]"
,"Robison, Sheryl",,Sheryl Robison,"[""Robison, Sheryl""]"
,"Rogers, Louise De Gignilliet","born Macon, GA",Louise De Gignilliet Rogers,"[""Rogers, Louise De Gignilliet (born Macon, GA)"",""Rogers, Louise De Gignilliet""]"
,Roko,,Roko,"[""Roko""]"
,"Rosenblum, Sadie Skoletsky","American painter and sculptor, 1899-1982",Sadie Skoletsky Rosenblum,"[""Rosenblum, Sadie Skoletsky (American painter and sculptor, 1899-1982)""]"
,Rosendahl,,Rosendahl,"[""Rosendahl""]"
,"Rosenthal, Louise",,Louise Rosenthal,"[""Rosenthal, Louise""]"
,"Ross, Elliot","1947-, born Chicago, IL",Elliot Ross,"[""Ross, Elliot  (1947-, born Chicago, IL)""]"
,"Rothermil, P.F.",1817-1895,P.F. Rothermil,"[""Rothermil, P.F. (1817-1895)""]"
,"Rothy, Carl",,Carl Rothy,"[""Rothy, Carl""]"
,"Rue, De La","1922-, born Paris, France",De La Rue,"[""Rue, De La (1922-, born Paris, France)""]"
,"Ruffin, Katherine McCanless","1972-, born Huntsville, AL",Katherine McCanless Ruffin,"[""Ruffin, Katherine McCanless  (1972-, born Huntsville, AL)""]"
,"Ruggie-Saunders, Cathie","1951-, born Chicago, IL",Cathie Ruggie-Saunders,"[""Ruggie-Saunders, Cathie (1951-, born Chicago, IL)""]"
,"Russell, Scott, for Hatch Show Print","born Bloomington, IN",Scott Russell,"[""Russell, Scott, for Hatch Show Print (born Bloomington, IN)""]"
,"Rutherford, Eric","British artist, active from 1963",Eric Rutherford,"[""Rutherford, Eric (British artist, active from 1963)""]"
,Ryosen,,Ryosen,"[""Ryosen""]"
,Ryuho,Rippo,Ryuho,"[""Ryuho (Rippo), Hinaya (1597-1669)""]"
,"Ryuryukyo, Shinsai",1764-1820,Shinsai Ryuryukyo,"[""Ryuryukyo, Shinsai  (1764-1820)""]"
,"Salter, Erin","1978-, born Nashville, TN",Erin Salter,"[""Salter, Erin (1978-, born Nashville, TN)""]"
,"Sanh, Georges","1909-, born Hanoi, Vietnam",Georges Sanh,"[""Sanh, Georges (1909-, born Hanoi, Vietnam)""]"
,"Sanh, Phillipe","1908-, born Indo-China",Phillipe Sanh,"[""Sanh, Phillipe (1908-, born Indo-China)"",""Sanh, Phillipe (1908-)""]"
,Sanji,,Sanji,"[""Sanji""]"
,"Sato, T.",,T. Sato,"[""Sato, T.""]"
,"Saunders, Dutch",,Dutch Saunders,"[""Saunders, Dutch""]"
,"Schaever, C. W.",,C. W. Schaever,"[""Schaever, C. W.""]"
,"Scharf, Ralph H.","1923-1993, born Chicago, IL",Ralph H. Scharf,"[""Scharf, Ralph H. (1923-1993, born Chicago, IL)""]"
,"Schlegel, Friedrich August","German artist, born 1828",Friedrich August Schlegel,"[""Schlegel, Friedrich August (German artist, born 1828)""]"
,"Schlosser, Adolf",1939-,Adolf Schlosser,"[""Schlosser, Adolf (1939-)""]"
,"Schmidt-Felling, Hans",1854-1910,Hans Schmidt-Felling,"[""Schmidt-Felling, Hans (1854-1910)""]"
,"Schwarz, Joseph","American painter, born 1929",Joseph Schwarz,"[""Schwarz, Joseph (American painter, born 1929)""]"
,"Schwerin von Krosigk, Wifred Graf",,Wifred Graf Schwerin von Krosigk,"[""Schwerin von Krosigk, Wifred Graf""]"
,Seizan,,Seizan,"[""Seizan""]"
,Sepesky,Shephard,Sepesky,"[""Sepesky (Shephard)""]"
,Sesshu,,Sesshu,"[""Sesshu""]"
,"Seweil, Amos",,Amos Seweil,"[""Seweil, Amos""]"
,"Shalala, Edward","1949-, born Cleveland, OH",Edward Shalala,"[""Shalala, Edward (1949-, born Cleveland, OH)""]"
,"Shane, Joel","1976-, born Winnipeg, Manitoba, Canada",Joel Shane,"[""Shane, Joel (1976-, born Winnipeg, Manitoba, Canada)""]"
,"Shapiro, David","American painter and printmaker, born 1943",David Shapiro,"[""Shapiro, David (American painter and printmaker, born 1943)""]"
,"Shaw, J.",,J. Shaw,"[""Shaw, J. and Hughes, S.G.""]"
,"Sherman, Levi","1990-, born Seattle, WA",Levi Sherman,"[""Sherman, Levi and Gomez, Carly (1990-, born Seattle, WA)""]"
,"Sherraden, Jim","1957-, born Salina, KS",Jim Sherraden,"[""Sherraden, Jim (1957-, born Salina, KS)"",""Sherraden, Jim (1957, born Salina, KS)"",""Sherraden, Jim (1956-, born Salina, KS)"",""Sherraden, Jim, (1957-, born Salina, KS)"",""Sherraden, Jim, for Hatch Show Print (1957-, born Salina, KS)""]"
,"Sherrard, Toby","1977-, born Seattle, WA",Toby Sherrard,"[""Sherrard, Toby (1977-, born Seattle, WA)""]"
,"Shigemasa, Kitabatake",1739-1820,Kitabatake Shigemasa,"[""Shigemasa, Kitabatake  (1739-1820)""]"
,"Shotz, Allison","American artist, born 1964",Allison Shotz,"[""Shotz, Allison (American artist, born 1964)""]"
,"Shuki, Ichiin",,Ichiin Shuki,"[""Shuki, Ichiin""]"
,"Shwab, Paul",,Paul Shwab,"[""Shwab, Paul""]"
,"Sietens, Guntars","1962-, born Kuldiga, Latvia",Guntars Sietens,"[""Sietens, Guntars (1962-, born Kuldiga, Latvia)""]"
,"Singer, Charles",,Charles Singer,"[""Singer, Charles""]"
,"Slowicki, M.",,M. Slowicki,"[""Slowicki, M.""]"
,"Smith, Peggy","painter, active 20th century",Peggy Smith,"[""Smith, Peggy (painter, active 20th century)""]"
,"Smyth, David","American painter, born 1943",David Smyth,"[""Smyth, David (American painter, born 1943)""]"
,Soken,"Japanese painter, 1759-1818",Soken,"[""Soken (Japanese painter, 1759-1818)""]"
,"Sook, Koo Kyung","1960-, born Seoul, Korea",Koo Kyung Sook,"[""Sook, Koo Kyung (1960-, born Seoul, Korea)""]"
,"Soreff, Helen","American painter, 20th century",Helen Soreff,"[""Soreff, Helen (American painter, 20th century)""]"
,"Soyen, Kabocha",,Kabocha Soyen,"[""Soyen, Kabocha""]"
,"Speakman, Harold",,Harold Speakman,"[""Speakman, Harold""]"
,"Spinola, Lily",,Lily Spinola,"[""Spinola, Lily""]"
,"St. John, James Allen",1872-1957,James Allen St. John,"[""St. John, James Allen  (1872-1957)""]"
,"Stackelhaus, Heiner",,Heiner Stackelhaus,"[""Stackelhaus, Heiner""]"
,"Stang, George",,George Stang,"[""Stang, George""]"
,"Stark, George King","1923-1992, born Schenectady, NY, died Granby, NY",George King Stark,"[""Stark, George King (1923-1992, born Schenectady, NY, died Granby, NY)""]"
,"Starowieysky, Franciszek","1930-, born Bratkówka, Poland",Franciszek Starowieysky,"[""Starowieysky, Franciszek (1930-, born Bratkówka, Poland)""]"
,"Stewart, John P.",1945-,John P. Stewart,"[""Stewart, John P. (1945-)""]"
,"Storm, La Rue","1908-, born Miami, FL",La Rue Storm,"[""Storm, La Rue (1908-, born Miami, FL)""]"
,Su-chin Wen Chen,"1914-, born Wu-hsing, Chekiang Province, China",Su-chin Wen Chen,"[""Su-chin Wen Chen (1914-, born Wu-hsing, Chekiang Province, China)""]"
,"Sudyka, Diana",1972-,Diana Sudyka,"[""Sudyka, Diana (1972-)""]"
,"Sugawara, Hakuryu","1833-1898, born Uzen Province, Japan",Hakuryu Sugawara,"[""Sugawara, Hakuryu (1833-1898, born Uzen Province, Japan)""]"
,Suishu,,Suishu,"[""Suishu""]"
,Suison,,Suison,"[""Suison""]"
,"Suzuki, Rinsho",,Rinsho Suzuki,"[""Suzuki, Rinsho ""]"
,"Tabata, Kiyoe",,Kiyoe Tabata,"[""Tabata, Kiyoe""]"
,"Taguchi, Hidekichi",,Hidekichi Taguchi,"[""Taguchi, Hidekichi""]"
,"Teeuwen, Tjue","1955-, 1955-, born Eindhoven, Netherlands",Tjue Teeuwen,"[""Teeuwen, Tjue & Peter Foolen (1955-, 1955-, born Eindhoven, Netherlands)""]"
,"Teixidor, Ferran","Spanish painter, born 1936",Ferran Teixidor,"[""Teixidor, Ferran (Spanish painter, born 1936)""]"
,"Teru, Okada",1947-,Okada Teru,"[""Teru, Okada (1947-)""]"
,"Thacker, Terry",1955-,Terry Thacker,"[""Thacker, Terry (1955-)""]"
,"Thompson, Kenneth K.",,Kenneth K. Thompson,"[""Thompson, Kenneth K.""]"
,"Thompson, Ron",,Ron Thompson,"[""Thompson, Ron""]"
,Torii Kiyomasu I,"Japanese woodblock print designer, active 1697-1722 (there is another one with different dates!)",Torii Kiyomasu I,"[""Torii Kiyomasu I (Japanese woodblock print designer, active 1697-1722)""]"
,"Tosh, Paul,","1954-, born Kingsport, TN",Paul Tosh,"[""Tosh, Paul, (1954-, born Kingsport, TN)""]"
,"Toshiaki, Yu-u sai",,Yu-u sai Toshiaki,"[""Toshiaki, Yu-u sai""]"
,"Toykuni, Utagawa",1769-1825,Utagawa Toykuni,"[""Toykuni, Utagawa  (1769-1825)""]"
,"Treballs Gràfics, Barcelona",,Barcelona Treballs Gràfics,"[""Treballs Gràfics, Barcelona""]"
,"Tsuchiya, Kōitsu",1870-1949,Kōitsu Tsuchiya,"[""Tsuchiya, Kōitsu (1870-1949)"",""Tsuchiya , Kōitsu (1870-1949)""]"
,Tung Tsou-ping,,Tung Tsou-ping,"[""Tung Tsou-ping""]"
,"Tur Costa, Rafael","1927-, born Santa Eulalia, Ibiza, Spain",Rafael Tur Costa,"[""Tur Costa, Rafael (1927-, born Santa Eulalia, Ibiza, Spain)""]"
,"Turmohlen, Karl",,Karl Turmohlen,"[""Turmohlen, Karl""]"
,Turnbull,,Turnbull,"[""Turnbull""]"
,"Turner, Arthur",,Arthur Turner,"[""Turner, Arthur""]"
,"Turner, F.C.",1810-1846,F.C. Turner,"[""Turner, F.C. and Beckwith, Henry (1810-1846)""]"
,"Ubeda, Augustin","Spanish artist, born 1925",Augustin Ubeda,"[""Ubeda, Augustin (Spanish artist, born 1925)""]"
,"Ulman, Elenor",,Elenor Ulman,"[""Ulman, Elenor""]"
,"Unkoku,Tōteki",1606-1664,Tōteki Unkoku,"[""Unkoku,Tōteki (1606-1664)""]"
,"Vail, Clover","American painter, born 1939",Clover Vail,"[""Vail, Clover (American painter, born 1939)""]"
,"Vanderbilt, Jacob",,Jacob Vanderbilt,"[""Vanderbilt, Jacob""]"
,"Vanderkooi, Lenore","1943-, born Boston, MA",Lenore Vanderkooi,"[""Vanderkooi, Lenore (1943-, born Boston, MA)""]"
,"Varin, R.",,R. Varin,"[""Varin, R.""]"
,"Vasek, Vera","1959-, born Buffalo, NY",Vera Vasek,"[""Vasek, Vera (1959-, born Buffalo, NY)""]"
,"Verbeek, Kees","1961-, born Son, Netherlands",Kees Verbeek,"[""Verbeek, Kees (1961-, born Son, Netherlands)""]"
,"Vilà, Miquel","1940-, born Barcelona, Spain",Miquel Vilà,"[""Vilà, Miquel (1940-, born Barcelona, Spain)""]"
,"Volkman, C.",,C. Volkman,"[""Volkman, C.""]"
,"Waanders, Hans","1951-2001, born Enschede, Netherlands",Hans Waanders,"[""Waanders, Hans (1951-2001, born Enschede, Netherlands)""]"
,"Wachsmity, F.S.",,F.S. Wachsmity,"[""Wachsmity, F.S.""]"
,"Wakeland, Ray","-1964, born Monteagle, TN",Ray Wakeland,"[""Wakeland, Ray (-1964, born Monteagle, TN)""]"
,"Walker, W. H.","British watercolorist and illustrator, 1906-1926",W. H. Walker,"[""Walker, W. H. (British watercolorist and illustrator, 1906-1926)""]"
,"Walkup, Kathleen","1946-, born Portland, OR",Kathleen Walkup,"[""Walkup, Kathleen  (1946-, born Portland, OR)""]"
,"Walter, L.",,L. Walter,"[""Walter, L.""]"
,Wang Han,,Wang Han,"[""Wang Han""]"
,"Wang, Han",,Han Wang,"[""Wang, Han""]"
,"Warner, Earl A.",1883-1918,Earl A. Warner,"[""Warner, Earl A. (1883-1918)""]"
,"Warren, Gabriel","1955-, born New Haven, CT",Gabriel Warren,"[""Warren, Gabriel (1955-, born New Haven, CT)""]"
,"Watanabe, Shugaku",1644-1734,Shugaku Watanabe,"[""Watanabe, Shugaku (1644-1734)""]"
,Wattana Wattanapun,"Thai painter, born 1941",Wattana Wattanapun,"[""Wattana Wattanapun (Thai painter, born 1941)""]"
,"Westphal, Fred","German artist, active 20th century",Fred Westphal,"[""Westphal, Fred (German artist, active 20th century)"",""Westphal, Fred""]"
,"Weyen, Herman",1643-1672,Herman Weyen,"[""Weyen, Herman (1643-1672)""]"
,"White, Joy Rice",,Joy Rice White,"[""White, Joy Rice""]"
,"Whitney, William",,William Whitney,"[""Whitney, William""]"
,"Wierix, Anton, III","Flemish printmaker, 1596-1624",Anton Wierix III,"[""Wierix, Anton, III (Flemish printmaker, 1596-1624)""]"
,"Wilkinson, Jeanne","1949-, born Duluth, MN",Jeanne Wilkinson,"[""Wilkinson, Jeanne (1949-, born Duluth, MN)""]"
,"Williams, Mark","1950-, born Pittsburgh, PA",Mark Williams,"[""Williams, Mark (1950-, born Pittsburgh, PA)""]"
,"Wilson, Thomas Zvi",1931-,Thomas Zvi Wilson,"[""Wilson, Thomas Zvi (1931-)""]"
,"Winkles, K.",,K. Winkles,"[""Winkles, K.""]"
,"Wire, Melville Thomas","American painter and printmaker, 1887-1966",Melville Thomas Wire,"[""Wire, Melville Thomas (American painter and printmaker, 1887-1966)""]"
,Wu Yang-t'ien,,Wu Yang-t'ien,"[""Wu Yang-t'ien""]"
,"Würbel, Franz",1896-,Franz Würbel,"[""Würbel, Franz (1896-)""]"
,Yao Zhongbao,"-1924, born Beijing, China",Yao Zhongbao,"[""Yao Zhongbao (-1924, born Beijing, China)""]"
,"Yasu, Koitsu",,Koitsu Yasu,"[""Yasu, Koitsu""]"
,Yoji,,Yoji,"[""Yoji""]"
,Yosho,,Yosho,"[""Yosho""]"
,"Young, August M.",1837-1913,August M. Young,"[""Young, August M. (1837-1913)""]"
,"Young, William Crawford","American illustrator, born 1886, active 1940",William Crawford Young,"[""Young, William Crawford (American illustrator, born 1886, active 1940)""]"
,"Zartarian, Miriam",,Miriam Zartarian,"[""Zartarian, Miriam""]"
,Zhou Tao,born China,Zhou Tao,"[""Zhou Tao (born China)""]"
,"Zhou, Runan",,Runan Zhou,"[""Zhou, Runan""]"
,"Zimmermann, Karen",,Karen Zimmermann,"[""Zimmermann, Karen""]"
,"Zirin, Nola","1920-, born New York, NY",Nola Zirin,"[""Zirin, Nola (1920-, born New York, NY)""]"
,"Zivkovic, Zdenka",born Czechoslovakia,Zdenka Zivkovic,"[""Zivkovic, Zdenka (born Czechoslovakia)"",""Zivkovic, Zdenka (, born Czechoslovakia)""]"
,"Zupanc, Terri","1955-, born Wisconsin",Terri Zupanc,"[""Zupanc, Terri (1955-, born Wisconsin)""]"
