name,cs_name,alias,cs_alias,wikidata_description,country,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc,occupation,sex
Hans Schmidt-Felling,Julius Schmidt-Felling,,,German sculptor,Q183,1854,1854,1835,1910,1910,1920,,,m,,,German,sculptor,,,1854-1910,"Schmidt-Felling, Hans","['Schmidt-Felling, Hans (1854-1910)']",81 Julius Schmidt-Felling /  / Hans Schmidt-Felling / 1835-1920 / 1854-1910,Q1281618,Q6581097
Zhou Tao,,,,painter,,,,,,,,Q29520,,,,,,painter,,China,born China,Zhou Tao,['Zhou Tao (born China)'],,Q1028181,
Gwen Haberman,Gwen Haberman,,,American and British printmaker,,,,,,,,,,f,,,American and British,printmaker,,,,"Haberman, Gwen","['Haberman, Gwen']",100 Gwen Haberman /  / Gwen Haberman,Q11569986,Q6581072
Mitchell Chamberlain,Mitchell Chamberlain,,,"American artist from Nashville, Tennessee",Q30,,,,,,,,,m,,,American,printmaker,,,,"Chamberlain, Mitchell","['Chamberlain, Mitchell']",100 Mitchell Chamberlain /  / Mitchell Chamberlain,Q11569986,Q6581097
Jane Peiser,Jane Peiser,,,American ceramic artist,Q30,,,,,,,,,m,,,American,ceramic artist,,,,"Peiser, Jane","['Peiser, Jane']",100 Jane Peiser /  / Jane Peiser,Q7541856,Q6581097
Paul Nabb,Paul Nabb,,,American painter,Q30,,,,,,,,,m,,,American,painter,,,,"Nabb, Paul","['Nabb, Paul']",100 Paul Nabb /  / Paul Nabb,Q1028181,Q6581097
Laura Josephson,Laura Josephson,,,American photographer,Q30,,,,,,,,,f,,,American,photographer,,,,"Josephson, Laura","['Josephson, Laura']",100 Laura Josephson /  / Laura Josephson,Q33231,Q6581072
Emily Berger,Emily Berger,,,American printmaker,Q30,,,,,,,,,f,,,American,printmaker,,,,"Berger, Emily","['Berger, Emily']",100 Emily Berger /  / Emily Berger,Q11569986,Q6581072
Mare Blocker,Mare Blocker,,,American printmaker,Q30,,,,,,,,,f,,,American,printmaker,,,,"Blocker, Mare","['Blocker, Mare']",100 Mare Blocker /  / Mare Blocker,Q11569986,Q6581072
Susan Bonfils,Susan Bonfils,,,American printmaker,Q30,,,,,,,,,f,,,American,printmaker,,,,"Bonfils, Susan","['Bonfils, Susan']",100 Susan Bonfils /  / Susan Bonfils,Q11569986,Q6581072
