ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
Eduardo,Chillida,Eduardo Chillida,,, ,1924-2002,1924,2002,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500013253
Eduardo,Paolozzi,Eduardo Paolozzi,,, ,1924-2005,1924,2005,British (modern),Male,http://vocab.getty.edu/page/ulan/500027981
Eduardo,Úrculo,Eduardo Úrculo,,, ,1938-2003,1938,2003,Spanish,Male,
Edward,Dwurnik,Edward Dwurnik,,, ,1943,1943,,Polish (culture),Male,http://vocab.getty.edu/page/ulan/500091329
Edward,Kienholz,Edward Kienholz,,, ,1927-1994,1927,1994,American (North American),Male,http://vocab.getty.edu/page/ulan/500028686
Edward,Knippers,Edward Knippers,,, ,1946,1946,,American (North American),Male,http://vocab.getty.edu/page/ulan/500347757
Edward Lamson,Henry,Edward Lamson Henry,,Henry, Henry,1841-1919,1841,1919,American (North American),Male,http://vocab.getty.edu/page/ulan/500006188
Edward,Michaels,Edward Michaels,,, ,,,,,Male,
Edward,Moran,Edward Moran,,Moran, Moran,1829-1901,1829,1901,American (North American),Male,http://vocab.getty.edu/page/ulan/500018805
Edward,Penfield,Edward Penfield,,Penfield, Penfield,1866-1925,1866,1925,American (North American),Male,http://vocab.getty.edu/page/ulan/500017237
Edward,Shalala,Edward Shalala,,, ,1949-,1949,,American,Male,
Edward,Steichen,Edward Steichen,Edward Jean,Steichen,Edward Jean Steichen,1879-1973,1879,1973,American (North American),Male,http://vocab.getty.edu/page/ulan/500000431
Edward Theodore,Compton,Edward Theodore Compton,Edward,Compton,Edward Compton,1849-1921,1849,1921,British (modern),Male,http://vocab.getty.edu/page/ulan/500000992
Edwin,Scharff,Edwin Scharff,Edwin,Scharff,Edwin Scharff,1887-1955,1887,1955,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500069708
Edwin,Scheier,Edwin Scheier,Edwin,Scheier,Edwin Scheier,1900,1900,,American (North American),Male,http://vocab.getty.edu/page/ulan/500126185
Edwin,Schlossberg,Edwin Schlossberg,Edwin,Schlossberg,Edwin Schlossberg,1945,1945,,American (North American),Male,http://vocab.getty.edu/page/ulan/500242227
Elaine Lustig,Cohen,Elaine Lustig Cohen,,, ,1927-2016,1927,2016,American (North American),female,http://vocab.getty.edu/page/ulan/500055949
Eleanor,Antin,Eleanor Antin,,, ,1935,1935,,American (North American),female,http://vocab.getty.edu/page/ulan/500061710
Elena del,Rivero,Elena del Rivero,,, ,1949-,1949,,Spanish,female,
Elinor,Ulman,Elinor Ulman,,, ,1909-1997,1909,1997,American,female,
Elisha,Kirkall,Elisha Kirkall,,, ,1672-1742,1672,1742,British (modern),Male,http://vocab.getty.edu/page/ulan/500003465
Elizabeth N.,Erlanger,Elizabeth N. Erlanger,,, ,1901-1975,1901,1975,American (North American),female,http://vocab.getty.edu/page/ulan/500119435
Elliot,Ross,Elliot Ross,Elliot,Ross,Elliot Ross,1947,1947,,American (North American),Male,http://vocab.getty.edu/page/ulan/500129424
Ellsworth,Young,Ellsworth Young,,, ,1866-1952,1866,1952,American,Male,
Elmer Boyd,Smith,Elmer Boyd Smith,,, ,1860-1943,1860,1943,American,Male,
Emil,Armin,Emil Armin,,, ,1883-1971,1883,1971,American (North American),Male,http://vocab.getty.edu/page/ulan/500023260
Emil,Carlsen,Emil Carlsen,,, ,1853-1932,1853,1932,American (North American),Male,http://vocab.getty.edu/page/ulan/500005813
Emil,Ganso,Emil Ganso,,, ,1895-1941,1895,1941,American (North American),Male,http://vocab.getty.edu/page/ulan/500017088
Emil,Nolde,Emil Nolde,,Nolde, Nolde,1867-1956,1867,1956,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500003109
Emil,Schumacher,Emil Schumacher,Emil,Schumacher,Emil Schumacher,1912-1999,1912,1999,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500005420
Émile,Peynot,Émile Peynot,,, ,1850-1932,1850,1932,French,Male,
Emile-Antoine,Bourdelle,Emile-Antoine Bourdelle,,, ,1861-1929,1861,1929,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500028923
Emilio,Rodríguez Larraín,Emilio Rodríguez Larraín,,, ,1928-2015,1928,2015,Peruvian,Male,
Emilio,Vedova,Emilio Vedova,Emilio,Vedova,Emilio Vedova,1919-2006,1919,2006,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500016293
Emily,Berger,Emily Berger,,, ,,,,American,female,
Enrique,Chagoya,Enrique Chagoya,,, ,1953,1953,,American (North American),Male,http://vocab.getty.edu/page/ulan/500299814
