ArtistFirst,ArtistLast,ArtistFull,ArtistAliasFirst,ArtistAliasLast,AliasFull,ArtistYears,born,died,ArtistNationality,ArtistGender,ulan
Giovacchino,Fortini,Giovacchino Fortini,,, ,1670-1736,1670,1736,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500029528
Giovanni Agostino da,Lodi,Giovanni Agostino da Lodi,,Boccaccino, Boccaccino,1430-1540,1430,1540,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500024062
Giovanni Antonio,Galli,Giovanni Antonio Galli,,, ,1585-1653,1585,1653,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500009816
Giovanni Battista de',Cavalieri,Giovanni Battista de' Cavalieri,,, ,1515-1601,1515,1601,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500022492
Giovanni Battista,Mazza,Giovanni Battista Mazza,Giovanni Battista,Mazza,Giovanni Battista Mazza,1631-1741,1631,1741,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500057216
Giovanni Battista,Piranesi,Giovanni Battista Piranesi,,, ,1720-1778,1720,1778,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500114965
Giovanni Francesco,Venturini,Giovanni Francesco Venturini,Giovanni Francesco,Venturini,Giovanni Francesco Venturini,1650-1720,1650,1720,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500005080
Giovanni,Guerra,Giovanni Guerra,,, ,1540-1618,1540,1618,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500019460
Giulio,Romano,Giulio Romano,,, ,,,,,Male,
Gloria,Ortiz-Hernandez,Gloria Ortiz-Hernandez,,, ,1943-,1943,,Colombian,female,
Gordon,Grant,Gordon Grant,,, ,1875-1962,1875,1962,American (North American),Male,http://vocab.getty.edu/page/ulan/500029752
Goswijn van der,Weyden,Goswijn van der Weyden,,Weyden, Weyden,1460-1540,1460,1540,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500115539
Graham,Ovenden,Graham Ovenden,,, ,1943,1943,,British (modern),Male,http://vocab.getty.edu/page/ulan/500020791
Graham,Sutherland,Graham Sutherland,Graham Vivian,Sutherland,Graham Vivian Sutherland,1903-1980,1903,1980,British (modern),Male,http://vocab.getty.edu/page/ulan/500001106
Grant E.,Hamilton,Grant E. Hamilton,,, ,1862-1926,1862,1926,American,Male,
Grant,Wood,Grant Wood,,Wood, Wood,1891-1942,1891,1942,American (North American),Male,http://vocab.getty.edu/page/ulan/500031056
Gray,Phillips,Gray Phillips,,, ,1923-2005,1923,2005,American,Male,
Gregory,Masurovsky,Gregory Masurovsky,Georgy,Masurowsky,Georgy Masurowsky,1929,1929,,American (North American),Male,http://vocab.getty.edu/page/ulan/500017577
Guglielmo della,Porta,Guglielmo della Porta,,, ,1500-1577,1500,1577,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500001864
Guido,Reni,Guido Reni,,Reni, Reni,1575-1642,1575,1642,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500030334
Guntars,Sietiņš,Guntars Sietiņš,,, ,1962-,1962,,Latvian,Male,
Gustave,Doré,Gustave Doré,,Dore, Dore,1832-1883,1832,1883,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500013657
Gwen,Haberman,Gwen Haberman,,, ,,,,American and British,female,
Gyokujo,Masuda,Gyokujo Masuda,,, ,1881-1955,1881,1955,Japanese,Male,
Haku,Maki,Haku Maki,Tadaaki,Maejima,Tadaaki Maejima,1924-2000,1924,2000,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500475794
Hale,Woodruff,Hale Woodruff,Hale Aspacio,Woodruff,Hale Aspacio Woodruff,1900-1980,1900,1980,American (North American),Male,http://vocab.getty.edu/page/ulan/500097842
Hamish,Fulton,Hamish Fulton,,, ,1946,1946,,British (modern),Male,http://vocab.getty.edu/page/ulan/500008342
Hanabusa,Itchō,Hanabusa Itchō,Taga,Shinkō,Taga Shinkō,1652-1724,1652,1724,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500121207
Hanko,Okada,Hanko Okada,,Musei, Musei,1782-1846,1782,1846,Japanese (culture or style),,http://vocab.getty.edu/page/ulan/500332405
Hannah,Wilke,Hannah Wilke,Hannah,Wilke,Hannah Wilke,1940-1993,1940,1993,American (North American),female,http://vocab.getty.edu/page/ulan/500021825
Hans,Baldung,Hans Baldung,,, ,1484-1545,1484,1545,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500024290
Hans,Buchner,Hans Buchner,,, ,1856-1941,1856,1941,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500432077
Hans,Hartung,Hans Hartung,Heinrich,Hartung,Heinrich Hartung,1904-1989,1904,1989,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500003694
Hans,Hinterreiter,Hans Hinterreiter,,, ,1902-1989,1902,1989,Swiss,Male,http://vocab.getty.edu/page/ulan/500094391
Hans I,Rottenhammer,Hans I Rottenhammer,Hans Rottenhammer,I,Hans Rottenhammer I,1564-1625,1564,1625,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500010371
Hans,Laabs,Hans Laabs,,, ,1915-2004,1915,2004,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500346097
Hans Sebald,Beham,Hans Sebald Beham,,Beham, Beham,1500-1550,1500,1550,Bavarian (culture or style),Male,http://vocab.getty.edu/page/ulan/500115491
Hans,Springinklee,Hans Springinklee,Hans,Springinklee,Hans Springinklee,1485-1565,1485,1565,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500009118
Hans,Waanders,Hans Waanders,,, ,1951-2001,1951,2001,Dutch,Male,
Harmen,Brethouwer,Harmen Brethouwer,,, ,1960-,1960,,Dutch,Male,
Harmony,Korine,Harmony Korine,,, ,1974,1974,,American (North American),Male,http://vocab.getty.edu/page/ulan/500114646
Harold,Krisel,Harold Krisel,,, ,1920-1995,1920,1995,American (North American),Male,http://vocab.getty.edu/page/ulan/500128990
Harold,Speakman,Harold Speakman,,, ,1888-1928,1888,1928,American,Male,
Harold,Weston,Harold Weston,,Weston, Weston,1894-1972,1894,1972,American (North American),Male,http://vocab.getty.edu/page/ulan/500006170
Harry Everett,Townsend,Harry Everett Townsend,Harry Everett,Townsend,Harry Everett Townsend,1879-1941,1879,1941,American (North American),Male,http://vocab.getty.edu/page/ulan/500008013
Harry,Shokler,Harry Shokler,Harry,Shokler,Harry Shokler,1896-1978,1896,1978,American (North American),Male,http://vocab.getty.edu/page/ulan/500336291
Harvey K.,Littleton,Harvey K. Littleton,,, ,1922-2013,1922,2013,American (North American),Male,http://vocab.getty.edu/page/ulan/500078793
Harvey,Quaytman,Harvey Quaytman,,, ,1937-2002,1937,2002,American (North American),Male,http://vocab.getty.edu/page/ulan/500018665
Harvey T.,Dunn,Harvey T. Dunn,,Dunn, Dunn,1884-1952,1884,1952,American (North American),Male,http://vocab.getty.edu/page/ulan/500007422
Hedwig,Friedländer,Hedwig Friedländer,,, ,1863-1945,1863,1945,Austrian,Male,http://vocab.getty.edu/page/ulan/500093630
Heidi,Gluck,Heidi Gluck,Heidi,Glück,Heidi Glück,1944,1944,,American (North American),female,http://vocab.getty.edu/page/ulan/500086897
Heiner,Stachelhaus,Heiner Stachelhaus,,, ,1930-2002,1930,2002,German,Male,
Heinrich,Aldegrever,Heinrich Aldegrever,,, ,1502-1565,1502,1565,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500002169
Heinrich,Guttenberg,Heinrich Guttenberg,,, ,1749-1818,1749,1818,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500041155
Helen,Gerardia,Helen Gerardia,,, ,1913,1913,,Russian-American (culture),female,http://vocab.getty.edu/page/ulan/500053529
Helen,Gilbert,Helen Gilbert,,, ,1922-2002,1922,2002,American,female,
Helen,Soreff,Helen Soreff,Helen,Soreff,Helen Soreff,1871,1871,,American (North American),female,http://vocab.getty.edu/page/ulan/500093844
Hendrick,Goltzius,Hendrick Goltzius,,Colchis, Colchis,1558-1617,1558,1617,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500023327
Hendrik,Hulk,Hendrik Hulk,,, ,1842-1937,1842,1937,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500004832
Hendrik I,Hondius,Hendrik I Hondius,Hendrik,Hondius,Hendrik Hondius,1573-1650,1573,1650,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500006788
Hendrik-Dirk Kruseman van,Elten,Hendrik-Dirk Kruseman van Elten,Hendrik Dirk,Kruseman van Elten,Hendrik Dirk Kruseman van Elten,1829-1904,1829,1904,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500015566
Henk van,Putten,Henk van Putten,,, ,1936,1936,,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500058012
Henri de,Toulouse-Lautrec,Henri de Toulouse-Lautrec,,Lautrec, Lautrec,1864-1901,1864,1901,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500029114
Henri,Fantin-Latour,Henri Fantin-Latour,,, ,1836-1904,1836,1904,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500025754
Henri,Gaudier-Brzeska,Henri Gaudier-Brzeska,Henry,Gaudier-Brzeska,Henry Gaudier-Brzeska,1891-1915,1891,1915,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115741
Henri,Goetz,Henri Goetz,Henri Bernard,Goetz,Henri Bernard Goetz,1909-1989,1909,1989,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500010355
Henri,Matisse,Henri Matisse,,, ,1869-1954,1869,1954,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500017300
Henry,Brown,Henry Brown,,, ,,,,,Male,
Henry,Carey,Henry Carey,,, ,,,,,Male,
Henry,Farrer,Henry Farrer,,, ,1786-1886,1786,1886,British (modern),Male,http://vocab.getty.edu/page/ulan/500017917
Henry,Fuseli,Henry Fuseli,,, ,1741-1825,1741,1825,Swiss,Male,http://vocab.getty.edu/page/ulan/500115235
Henry,Moore,Henry Moore,,, ,1898-1986,1898,1986,British (modern),Male,http://vocab.getty.edu/page/ulan/500032596
Henry Patrick,Raleigh,Henry Patrick Raleigh,Henry Patrick,Raleigh,Henry Patrick Raleigh,1880-1944,1880,1944,American (North American),,http://vocab.getty.edu/page/ulan/500044639
Henry,Pearson,Henry Pearson,,, ,1914-2006,1914,2006,American (North American),Male,http://vocab.getty.edu/page/ulan/500074491
Henry,Salt,Henry Salt,Henry,Salt,Henry Salt,1780-1827,1780,1827,British (modern),Male,http://vocab.getty.edu/page/ulan/500025553
Henry,Wolf,Henry Wolf,Henry,Wolf,Henry Wolf,1852-1916,1852,1916,American (North American),Male,http://vocab.getty.edu/page/ulan/500031861
Henryk,Tomaszewski,Henryk Tomaszewski,,, ,1914-2005,1914,2005,Polish (culture),Male,http://vocab.getty.edu/page/ulan/500175007
Herbert,Bayer,Herbert Bayer,,, ,1900-1985,1900,1985,Austrian,Male,http://vocab.getty.edu/page/ulan/500009369
Herman,Weyen,Herman Weyen,,, ,1638-1669,1638,1669,French,Male,
Hervé,Télémaque,Hervé Télémaque,Hervé,Télémaque,Hervé Télémaque,1937,1937,,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500025851
Hiroshi,Murata,Hiroshi Murata,,, ,1941,1941,,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500109023
Hiroshige,Utagawa ,Hiroshige Utagawa ,,, ,1797-1858,1797,1858,Japanese,Male,
Hishikawa,Moronobu,Hishikawa Moronobu,Moronobu,Hishikawa,Moronobu Hishikawa,1620-1694,1620,1694,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500118854
Hokushu,Shunkosai,Hokushu Shunkosai,,, ,active 1802-1832,,,Japanese,Male,
Honoré,Daumier,Honoré Daumier,,, ,1810-1879,1810,1879,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500117998
Horatio Joseph,Lucas,Horatio Joseph Lucas,,, ,1839-1873,1839,1873,British (modern),Male,http://vocab.getty.edu/page/ulan/500073087
Hovsep,Pushman,Hovsep Pushman,,, ,1877-1966,1877,1966,American (North American),Male,http://vocab.getty.edu/page/ulan/500031387
Howard Chandler,Christy,Howard Chandler Christy,,Christy, Christy,1873-1952,1873,1952,American (North American),Male,http://vocab.getty.edu/page/ulan/500010917
Howard,Thomas,Howard Thomas,Howard,Thomas,Howard Thomas,1899-1971,1899,1971,American (North American),Male,http://vocab.getty.edu/page/ulan/500093503
Hubert,Robert,Hubert Robert,Hubert,Robert,Hubert Robert,1733-1808,1733,1808,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500009558
Hubertus,Goltzius,Hubertus Goltzius,,, ,1526-1583,1526,1583,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500009741
Hugo,Ballin,Hugo Ballin,,Ballin, Ballin,1879-1956,1879,1956,American (North American),Male,http://vocab.getty.edu/page/ulan/500011066
Ibram,Lassaw,Ibram Lassaw,,, ,1913-2003,1913,2003,American (North American),Male,http://vocab.getty.edu/page/ulan/500001384
Ida,Applebroog,Ida Applebroog,,, ,1929,1929,,American (North American),female,http://vocab.getty.edu/page/ulan/500091955
Ignacio,Zuloaga y Zaboleta,Ignacio Zuloaga y Zaboleta,,, ,1870-1945,1870,1945,Spanish,Male,
Ikeda,Eisen,Ikeda Eisen,,Eisen, Eisen,1790-1829,1790,1829,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500121366
Ilonka,Karasz,Ilonka Karasz,,, ,1896-1981,1896,1981,Hungarian,female,http://vocab.getty.edu/page/ulan/500267915
Imao,Keinen,Imao Keinen,,, ,1845-1924,1845,1924,Japanese,Male,
Immo,Jalass,Immo Jalass,,, ,1938,1938,,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500381726
Inez Nathaniel,Walker,Inez Nathaniel Walker,,, ,1911-1990,1911,1990,American (North American),female,http://vocab.getty.edu/page/ulan/500125733
Irene,Lawrence,Irene Lawrence,,, ,,,,,female,
Irene,Rousseau,Irene Rousseau,,, ,1941-,1941,,American,female,
Irving Ramsay,Wiles,Irving Ramsay Wiles,Irving Ramsay,Wiles,Irving Ramsay Wiles,1861-1948,1861,1948,American (North American),Male,http://vocab.getty.edu/page/ulan/500030155
Isabel,Bishop,Isabel Bishop,,, ,1902-1988,1902,1988,American (North American),female,http://vocab.getty.edu/page/ulan/500032484
Isoda,Koryusai,Isoda Koryusai,Isoda,Koryūsai,Isoda Koryūsai,1730-1810,1730,1810,Japanese (culture or style),Male,http://vocab.getty.edu/page/ulan/500057320
Israël,Silvestre,Israël Silvestre,Israël,Silvestre,Israël Silvestre,1621-1691,1621,1691,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500021067
J. Allen St.,John,J. Allen St. John,James Allen,St. John,James Allen St. John,1872-1957,1872,1957,American (North American),Male,http://vocab.getty.edu/page/ulan/500467948
J. C.,Oldmeadow,J. C. Oldmeadow,,, ,1811-1879,1811,1879,British (modern),Male,http://vocab.getty.edu/page/ulan/500062993
J. Suzanne,Powney,J. Suzanne Powney,,, ,,,,,female,
J.E. ,Wells,J.E.  Wells,,, ,,,,,female,
Jack,Robertson,Jack Robertson,,, ,,,,,Male,
Jack,Sonenberg,Jack Sonenberg,Jack,Sonenberg,Jack Sonenberg,1925,1925,,American (North American),Male,http://vocab.getty.edu/page/ulan/500055693
Jacob,Jordaens,Jacob Jordaens,,Jordan, Jordan,1593-1678,1593,1678,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500012431
Jacob,Vanderbilt,Jacob Vanderbilt,,, ,,,,American,Male,
Jacopo di,Paolo,Jacopo di Paolo,Jacopo di Paolo da,Bologna,Jacopo di Paolo da Bologna,1341-1456,1341,1456,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500011044
Jacques,Barraban,Jacques Barraban,Jacques,Barraban,Jacques Barraban,1767-1809,1767,1809,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500011412
Jacques,Callot,Jacques Callot,,, ,1592-1635,1592,1635,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500021688
Jacques,Courtois,Jacques Courtois,,Bourgogne, Bourgogne,1621-1676,1621,1676,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500019546
Jacques de II,Gheyn,Jacques de II Gheyn,Jacques de Gheyn,II,Jacques de Gheyn II,1565-1629,1565,1629,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500115191
Jacques de,Tonnancour,Jacques de Tonnancour,Jacques de,Tonnancour,Jacques de Tonnancour,1917-2005,1917,2005,Canadian,Male,http://vocab.getty.edu/page/ulan/500010395
Jacques Philippe,Le Bas,Jacques Philippe Le Bas,,Lebas, Lebas,1707-1783,1707,1783,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500016455
Jacques,Stella,Jacques Stella,,Stella, Stella,1596-1657,1596,1657,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500116814
Jacques the elder,Prou,Jacques the elder Prou,Jacques,Prou,Jacques Prou,1620-1683,1620,1683,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500124831
Jacques-Philippe,Caresme,Jacques-Philippe Caresme,,, ,1734-1796,1734,1796,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115928
Jakob,Nußbaum,Jakob Nußbaum,,, ,1873-1936,1873,1936,"German (culture, style, period)",,http://vocab.getty.edu/page/ulan/500407418
James,Boynton,James Boynton,,, ,1928-2010,1928,2010,American (North American),Male,http://vocab.getty.edu/page/ulan/500372872
James,Caldwall,James Caldwall,,, ,1739-1819,1739,1819,British (modern),Male,http://vocab.getty.edu/page/ulan/500040649
James,Fittler,James Fittler,,, ,1758-1835,1758,1835,British (modern),Male,http://vocab.getty.edu/page/ulan/500001202
James,Gibson,James Gibson,,, ,,,,American,Male,
James,Gross,James Gross,,, ,1950-,1950,,American,Male,
James,Juszczyk,James Juszczyk,,, ,1943,1943,,American (North American),Male,http://vocab.getty.edu/page/ulan/500105371
James Kirk,Merrick,James Kirk Merrick,,, ,1905-1985,1905,1985,,Male,
James,Lavadour,James Lavadour,,, ,1951,1951,,Native American,Male,http://vocab.getty.edu/page/ulan/500127002
James McNeill,Whistler,James McNeill Whistler,,Whistler, Whistler,1834-1903,1834,1903,American (North American),Male,http://vocab.getty.edu/page/ulan/500012432
James Merritt,Ives,James Merritt Ives,,, ,1824-1895,1824,1895,American (North American),Male,http://vocab.getty.edu/page/ulan/500029333
James Montgomery,Flagg,James Montgomery Flagg,,, ,1877-1960,1877,1960,American (North American),Male,http://vocab.getty.edu/page/ulan/500003051
James O.,Clark,James O. Clark,,, ,1948,1948,,American (North American),Male,http://vocab.getty.edu/page/ulan/500104442
James Pattison,Cockburn,James Pattison Cockburn,,, ,1779-1847,1779,1847,British (modern),Male,http://vocab.getty.edu/page/ulan/500025261
James,Seawright,James Seawright,James,Seawright,James Seawright,1936,1936,,American (North American),Male,http://vocab.getty.edu/page/ulan/500106325
Jan,Both,Jan Both,,Botto, Botto,1615-1652,1615,1652,Italian (culture or style),Male,http://vocab.getty.edu/page/ulan/500032845
Jan Christoffel,Jegher,Jan Christoffel Jegher,,, ,1618-1667,1618,1667,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500001535
Jan de,Bisschop,Jan de Bisschop,,Bisschop, Bisschop,1628-1671,1628,1671,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500012701
Jan de,Visscher,Jan de Visscher,Jan de,Visscher,Jan de Visscher,1628-1700,1628,1700,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500025525
Jan Pauwel II,Gillemans,Jan Pauwel II Gillemans,Jan Pauwel,Gillemans,Jan Pauwel Gillemans,1650-1704,1650,1704,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500001275
Jan,Saenredam,Jan Saenredam,,Saenredam, Saenredam,1565-1607,1565,1607,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500019614
Jan,Sawka,Jan Sawka,Jan,Sawka,Jan Sawka,1946-2012,1946,2012,Polish (culture),,http://vocab.getty.edu/page/ulan/500056281
Jan van der,Straet,Jan van der Straet,Jan van der,Straet,Jan van der Straet,1435-1535,1435,1535,Flemish (culture or style),Male,http://vocab.getty.edu/page/ulan/500354780
Jan van,Huysum,Jan van Huysum,,Huysum, Huysum,1682-1749,1682,1749,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500001494
Jane,Logemann,Jane Logemann,,, ,1942,1942,,American (North American),female,http://vocab.getty.edu/page/ulan/500462054
Jane,Peiser,Jane Peiser,,, ,,,,American,Male,
Jane,Stuart,Jane Stuart,Jane,Stuart,Jane Stuart,1802-1888,1802,1888,American (North American),female,http://vocab.getty.edu/page/ulan/500006645
Janet,Mitchell,Janet Mitchell,,, ,1915,1915,,Canadian,female,http://vocab.getty.edu/page/ulan/500078722
Janice,Parrish,Janice Parrish,,, ,,,,,female,
Jasper Francis,Cropsey,Jasper Francis Cropsey,,Cropsey, Cropsey,1823-1900,1823,1900,American (North American),Male,http://vocab.getty.edu/page/ulan/500012491
Jay,Bolotin,Jay Bolotin,,, ,1949,1949,,American (North American),Male,http://vocab.getty.edu/page/ulan/500466991
Jean,Arp,Jean Arp,,Arp, Arp,1886-1966,1886,1966,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500031000
Jean Baptiste,Delafosse,Jean Baptiste Delafosse,,, ,1721-1775,1721,1775,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500025572
Jean Baptiste,Hilair,Jean Baptiste Hilair,Jean-Baptiste,Hilair,Jean-Baptiste Hilair,1753-1822,1753,1822,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500028666
Jean Baptiste,Mallet,Jean Baptiste Mallet,,Mallet, Mallet,1759-1835,1759,1835,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500016922
Jean,Cocteau,Jean Cocteau,,, ,1889-1963,1889,1963,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500003025
Jean,Dubuffet,Jean Dubuffet,,, ,1901-1985,1901,1985,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500019113
Jean,Dufy,Jean Dufy,,, ,1888-1964,1888,1964,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500004309
Jean,Hélion,Jean Hélion,Jean,Helion,Jean Helion,1904-1987,1904,1987,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500071676
Jean Isidore Gerard,Grandville,Jean Isidore Gerard Grandville,J. J.,Grandville,J. J. Grandville,1803-1847,1803,1847,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500029535
Jean,Leymarie,Jean Leymarie,,, ,1919-2006,1919,2006,French,Male,
Jean Louis Ernest,Meissonier,Jean Louis Ernest Meissonier,,, ,1815-1891,1815,1891,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500001155
Jean Louis,Forain,Jean Louis Forain,,, ,1852-1931,1852,1931,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500115211
Jean,Messagier,Jean Messagier,,, ,1920-1999,1920,1999,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500014631
Jean,Morin,Jean Morin,,, ,1580-1650,1580,1650,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500012334
Jean,Moyreau,Jean Moyreau,,, ,1690-1762,1690,1762,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500168108
Jean,Penland,Jean Penland,,, ,1938-2019,1938,2019,American,female,
Jean the elder,Bérain,Jean the elder Bérain,Jean Bérain the,Elder,Jean Bérain the Elder,1640-1711,1640,1711,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500015026
Jean-Baptiste,Greuze,Jean-Baptiste Greuze,,Grouse, Grouse,1725-1805,1725,1805,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500000119
Jean-Baptiste,Le Prince,Jean-Baptiste Le Prince,,Leprince, Leprince,1734-1781,1734,1781,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500026693
Jean-Baptiste,Pillement,Jean-Baptiste Pillement,Jean Baptiste,Pillement,Jean Baptiste Pillement,1728-1808,1728,1808,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500022719
Jean-Joseph,Bernard,Jean-Joseph Bernard,,, ,1740-1809,1740,1809,French (culture or style),Male,http://vocab.getty.edu/page/ulan/500183628
Jeanette Alexander,Judson,Jeanette Alexander Judson,,, ,1912-,1912,,,female,
Jeanne,Miles,Jeanne Miles,,, ,1908-1999,1908,1999,American (North American),female,http://vocab.getty.edu/page/ulan/500044488
Jeanne,Wilkinson,Jeanne Wilkinson,,, ,,,,American,female,
Jeffrey,Matz,Jeffrey Matz,,, ,1920,1920,,American (North American),Male,http://vocab.getty.edu/page/ulan/500072728
Jenny,Gill,Jenny Gill,,, ,,,,,female,
Jerry,Ballaine,Jerry Ballaine,,, ,1934-,1934,,American,Male,
Jerzy,Czerniawski,Jerzy Czerniawski,,, ,1947,1947,,Polish (culture),,http://vocab.getty.edu/page/ulan/500469482
Jill,Mathis,Jill Mathis,,, ,1964-,1964,,American,female,
Jim,Bird,Jim Bird,,, ,1937,1937,,British (modern),Male,http://vocab.getty.edu/page/ulan/500198418
Jim,Dine,Jim Dine,,, ,1935,1935,,American (North American),Male,http://vocab.getty.edu/page/ulan/500028463
Jim,Melchert,Jim Melchert,,, ,1930,1930,,American (North American),Male,http://vocab.getty.edu/page/ulan/500083332
Jim,Sherraden,Jim Sherraden,,, ,,,,American,Male,
Jo,Davidson,Jo Davidson,,, ,1883-1952,1883,1952,American (North American),Male,http://vocab.getty.edu/page/ulan/500011498
Joachim,Berthold,Joachim Berthold,,, ,1917-1990,1917,1990,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500092418
Joan Hernández,Pijuan,Joan Hernández Pijuan,Joan,Hernández Pijuan,Joan Hernández Pijuan,1931,1931,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500014460
Joan,Miró,Joan Miró,,Miro, Miro,1893-1983,1893,1983,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500014094
Joan,Ponç,Joan Ponç,,, ,1927,1927,,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500009446
Joan Webster,Price,Joan Webster Price,,, ,1931-,1931,,American,female,
Joaquim,Gomis,Joaquim Gomis,,, ,1902-1991,1902,1991,Spanish (culture or style),Male,http://vocab.getty.edu/page/ulan/500107878
Joe,Downing,Joe Downing,,, ,1925,1925,,American (North American),Male,http://vocab.getty.edu/page/ulan/500098797
Johann Christian,Reinhart,Johann Christian Reinhart,Johann Christian,Reinhart,Johann Christian Reinhart,1761-1847,1761,1847,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500008782
Johann Georg,Hertel,Johann Georg Hertel,,, ,1710-1810,1710,1810,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500078269
Johann Jakob I,Frey,Johann Jakob I Frey,Johannes Jakob,Frey,Johannes Jakob Frey,1681-1752,1681,1752,Swiss,Male,http://vocab.getty.edu/page/ulan/500056707
Johann Lorenz,Haid,Johann Lorenz Haid,,, ,1702-1750,1702,1750,"German (culture, style, period)",Male,http://vocab.getty.edu/page/ulan/500116578
Johannes Adam Simon,Oertel,Johannes Adam Simon Oertel,,, ,1823-1909,1823,1909,American (North American),Male,http://vocab.getty.edu/page/ulan/500032127
Johannes,Bosboom,Johannes Bosboom,,, ,1817-1891,1817,1891,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500002589
Johannes,Ruischer,Johannes Ruischer,,, ,1615-1695,1615,1695,Dutch (culture or style),Male,http://vocab.getty.edu/page/ulan/500029215
John ,Phillips,John  Phillips,,, ,,,,,Male,
John Baptist,Jackson,John Baptist Jackson,,, ,1691-1790,1691,1790,British (modern),Male,http://vocab.getty.edu/page/ulan/500015393
