value,label,count
P4759,Luminous-Lint ID,46
P396,SBN author ID,45
P1317,floruit,45
P8189,National Library of Israel J9U ID,45
P7929,Roglo person ID,44
P1422,Sandrart.net person ID,43
P1977,Les Archives du Spectacle Person ID,43
P1814,name in kana,42
P5034,National Library of Korea ID,42
P6886,writing language,42
P8179,Canadiana NCF ID,42
P9037,BHCL UUID,41
P485,archives at,40
P8805,LIMIS person ID,40
P2432,J. Paul Getty Museum artist id,39
P6156,MNAV artist ID,39
P1986,Treccani's Dizionario biografico degli italiani ID,38
P2380,French Sculpture Census artist ID,37
P640,Léonore ID,36
P2399,British Council artist ID,36
P8947,Museo Galileo authority ID,36
P1889,different from,35
P2799,BVMC person ID,35
P2915,ECARTICO person ID,35
P4114,ADK member ID,35
P6656,BHCL ID,35
P3280,BAnQ author ID,34
P8547,BHF author ID,34
P25,mother,34
P3421,Belvedere artist ID,33
P4223,Treccani's Enciclopedia Italiana ID,33
P2977,LBT person ID,32
P4619,National Library of Brazil ID,32
P3269,Fotografen.nl ID,31
P1375,NSK ID,30
P4081,BHL creator ID,30
P103,native language,30
P39,position held,29
P496,ORCID iD,28
P8286,Olympedia athlete ID,28
P8496,Archive Site Trinity College Cambridge ID,28
P8974,SAPA ID,28
P973,described at URL,27
P1038,relative,27
P1476,title,27
P1430,OpenPlaques subject ID,26
P2914,MSBI person ID,26
P571,inception,25
P5909,HKCAN ID,25
P6525,Fondation Maeght artist ID,25
P7445,Basis Wien person ID,25
P7818,French Vikidia ID,25
P7865,CoBiS author ID,25
P2639,Filmportal ID,24
P5035,Lambiek Comiclopedia artist ID,24
P6683,Alexander Turnbull Library ID,24
P7699,National Library of Lithuania ID,24
P140,religion,24
P1819,genealogics.org person ID,23
P2031,work period (start),23
P2604,Kinopoisk person ID,23
P2966,National Library of Wales Authority ID,23
P4293,PM20 folder ID,23
P5739,Pontificia Università della Santa Croce ID,23
P7578,DUC ID,23
P195,collection,23
P217,inventory number,23
P781,SIKART ID,22
P2605,ČSFD person ID,22
P2734,Unz Review author ID,22
P1447,Sports-Reference.com Olympic athlete ID,21
P4638,The Peerage person ID,21
P276,location,20
P5731,Angelicum ID,20
P8385,IDU person ID,20
P4563,Art Museum of Estonia artist ID,19
P7029,National Library of Russia ID,19
P170,creator,19
P607,conflict,18
P1670,Canadiana Authorities ID,18
P2188,BiblioNet author ID,18
P4459,Spanish Biographical Dictionary ID,18
P6637,AWARE ID,18
P7369,National Library of Chile ID,18
P8636,McClintock and Strong Biblical Cyclopedia ID,18
P1260,Swedish Open Cultural Heritage URI,17
P1266,AlloCiné person ID,17
P2019,AllMovie person ID,17
P451,unmarried partner,16
P859,sponsor,16
P2383,CTHS person ID,16
P5504,RISM ID,16
P6394,ELNET ID,16
P6722,FemBio ID,16
P641,sport,15
P902,HDS ID,15
P1225,U.S. National Archives Identifier,15
P2435,PORT person ID,15
P3241,Catholic Encyclopedia ID,15
P4359,gravsted.dk ID,15
P4431,Google Doodle,15
P6058,Larousse ID,15
P8572,Spanish Artists from the Fourth to the Twentieth Century ID,15
P866,Perlentaucher ID,14
P1607,Dialnet author ID,14
P1802,EMLO person ID,14
P1830,owner of,14
P2168,Swedish Film Database person ID,14
P3154,Runeberg author ID,14
P4687,Dictionnaire des peintres belges ID,14
P186,material used,14
P1801,commemorative plaque image,13
P3846,DBC author ID,13
P5239,Artists in Canada record number,13
P7425,Rotterdam City Archives actor ID,13
P7769,Australian National Maritime Museum person ID,13
P1220,Internet Broadway Database person ID,12
P1890,CCAB ID,12
P2048,height,12
P7466,Edvard Munch's correspondance person ID,12
P54,member of sports team,12
P793,significant event,11
P921,main subject,11
P2049,width,11
P4772,compArt person ID,11
P8577,ICP artist ID,11
P102,member of political party,11
P241,military branch,11
P361,part of,10
P577,publication date,10
P1950,second family name in Spanish name,10
P2348,time period,10
P3221,New York Times topic ID,10
P4104,Carnegie Hall agent ID,10
P5375,BIU Santé person ID,10
P6216,copyright status,10
P7128,Archives Directory for the History of Collecting in America ID,10
P8589,Carl-Maria-von-Weber-Gesamtausgabe ID,10
P8980,KANTO ID,10
P180,depicts,10
P742,pseudonym,9
P1050,medical condition,9
P1303,instrument,9
P1309,EGAXA ID,9
P1971,number of children,9
P2387,Elonet person ID,9
P5491,BD Gest' author ID,9
P5719,National Medal of Arts winner ID,9
P5905,Comic Vine ID,9
P6764,V&A person ID,9
P8748,Rheinland-Pfälzische Personendatenbank ID,9
P8795,General Diamond Catalogue ID,9
P8826,edition humboldt digital ID,9
P1153,Scopus author ID,8
P1707,DAAO ID,8
P6108,IIIF manifest,8
P6792,Find NZ Artists ID,8
P7084,related category,8
P7842,Vienna History Wiki ID,8
P8440,Personendatenbank Germania Sacra ID,8
P8899,Swedish National Library Arken ID,8
P53,family,8
P512,academic degree,7
P2094,competition class,7
P2632,place of detention,7
P3051,Kindred Britain ID,7
P3388,LittleSis people ID,7
P3429,Electronic Enlightenment ID,7
P3696,Sports-Reference.com college basketball player ID,7
P4012,Semantic Scholar author ID,7
P4683,National Gallery of Art artwork ID,7
P6868,Hoopla artist ID,7
P8081,WBIS ID,7
P8234,LiederNet author ID,7
P8290,Archivio Storico Ricordi person ID,7
P8971,Cinémathèque québécoise person ID,7
P17,country,7
P118,league,7
P528,catalog code,6
P1710,Sächsische Biografie ID,6
P2002,Twitter username,6
P2013,Facebook ID,6
P2032,work period (end),6
P2079,fabrication method,6
P2332,Dictionary of Art Historians ID,6
P2456,DBLP author ID,6
P2626,Danish National Filmography person ID,6
P2963,Goodreads author ID,6
P3788,BNMM authority ID,6
P4666,CineMagia person ID,6
P5357,The Encyclopedia of Science Fiction ID,6
P5534,Open Media Database person ID,6
P5567,National Research Institute for Cultural Properties artist ID,6
P5882,Muziekweb performer ID,6
P6488,Enciclopedia delle donne ID,6
P7349,Gazetteer for Scotland person ID,6
P7430,Dictionary of Sculptors in Britain ID,6
P7796,BeWeb person ID,6
P8861,FINA Wiki ID,6
P8950,Dizionario degli artisti ID,6
P8992,1914-1918-Online ID,6
P91,sexual orientation,6
P97,noble title,6
P839,IMSLP ID,5
P1213,NLC authorities,5
P1299,depicted by,5
P1636,date of baptism in early childhood,5
P1969,MovieMeter director ID,5
P2401,Six Degrees of Francis Bacon ID,5
P2469,Theatricalia person ID,5
P2519,Scope.dk person ID,5
P2889,FamilySearch person ID,5
P3218,Auñamendi ID,5
P3887,KVAB member ID,5
P4124,Who's Who in France biography ID,5
P4611,LACMA ID,5
P4692,American Art Collaborative object ID,5
P5068,Flanders Arts Institute person ID,5
P5419,NYRB contributor ID,5
P6152,National Portrait Gallery (United States) object ID,5
P6723,BlackPast.org ID,5
P7298,Auckland Museum ID,5
P7822,Italian Vikidia ID,5
P7827,Spanish Vikidia ID,5
P8833,Union Catalog of Armenian Libraries authority ID,5
P270,CALIS ID,4
P407,language of work or name,4
P1053,ResearcherID,4
P1142,political ideology,4
P1449,nickname,4
P1728,AllMusic artist ID,4
P1899,LibriVox author ID,4
P2340,CESAR person ID,4
P2354,has list,4
P2418,Structurae person ID,4
P2732,Persée author ID,4
P2888,exact match,4
P2945,British Book Trade Index ID,4
P3478,Songkick artist ID,4
P4206,FOIH person ID,4
P4889,MuIS person or group ID,4
P4992,DBA ID,4
P5297,Companies House officer ID,4
P5309,Drouot artist ID,4
P5341,Poetry Foundation ID,4
P5370,Entomologists of the World ID,4
P5745,Pacific Coast Architecture Database person ID,4
P5821,ArhivX LOD,4
P6178,Dimensions author ID,4
P6284,NCpedia ID,4
P6573,Klexikon article ID,4
P7311,Aozora Bunko author ID,4
P8172,Sejm-Wielki.pl profile ID,4
P8687,social media followers,4
P8870,Hyperion Records person ID,4
P8914,ZOBODAT person ID,4
P8982,PIAC ID,4
P138,named after,4
P156,followed by,4
P264,record label,3
P304,page(s),3
P356,DOI,3
P443,pronunciation audio,3
P478,volume,3
P497,CBDB ID,3
P625,coordinate location,3
P860,e-archiv.li ID,3
P947,RSL ID (person),3
P989,spoken text audio,3
P990,audio recording of the subject's spoken voice,3
P1003,National Library of Romania ID,3
P1187,Dharma Drum Buddhist College person ID,3
P1411,nominated for,3
P1416,affiliation,3
P1433,published in,3
P1438,Jewish Encyclopedia ID (Russian),3
P1679,Art UK artwork ID,3
P1736,Information Center for Israeli Art artist ID,3
P1828,IPI name number,3
P1842,Global Anabaptist Mennonite Encyclopedia Online ID,3
P1960,Google Scholar author ID,3
P2093,author name string,3
P2558,autores.uy ID,3
P2611,TED speaker ID,3
P2886,Shakeosphere person ID,3
P3058,Architectuurgids architect ID,3
P3144,elFilm person ID,3
P3342,significant person,3
P3919,contributed to creative work,3
P3973,PIM authority ID,3
P4440,Biblioteca Nacional de México ID,3
P4534,EUTA person ID,3
P4539,Collective Biographies of Women ID,3
P4613,Encyclopedia of Modern Ukraine ID,3
P4657,The Numbers person ID,3
P5284,Douban movie celebrity ID,3
P5343,Poets.org poet ID,3
P5393,cipM poet ID,3
P5466,French Academy in Rome resident ID,3
P5488,artist-info curator ID,3
P5921,Index of Historic Collectors and Dealers of Cubism ID,3
P6016,Tennessee Encyclopedia ID,3
P6234,Biographie nationale de Belgique ID,3
P6323,Centre Pompidou ID,3
P6412,Gran Enciclopèdia de la Música ID,3
P6667,MARGS ID,3
P6734,Archaeology Data Service person ID,3
P6900,NicoNicoPedia ID,3
P6925,Musicalics composer ID,3
P7026,Lebanese National Library ID,3
P7039,National Library of Iceland ID,3
P7400,LibraryThing author ID,3
P7545,askArt person ID,3
P7837,Nederlands Fotomuseum photographer ID,3
P8080,Ökumenisches Heiligenlexikon ID,3
P8568,Jewish Virtual Library person ID,3
P8728,Nachlässe in Austria ID,3
P50,author,3
P131,located in the administrative territorial entity,3
P159,headquarters location,3
P175,performer,3
P282,writing system,2
P413,position played on team / speciality,2
P428,botanist author abbreviation,2
P433,issue,2
P452,industry,2
P495,country of origin,2
P576,"dissolved, abolished or demolished date",2
P586,IPNI author ID,2
P608,exhibition history,2
P835,author citation (zoology),2
P865,BMLO ID,2
P1048,NCL ID,2
P1276,Dictionnaire du Jura ID,2
P1283,filmography,2
P1327,partner in business or sport,2
P1424,topic's main template,2
P1455,list of works,2
P1563,MacTutor biography ID,2
P1596,penalty,2
P1599,Cambridge Alumni Database ID,2
P1617,BBC Things ID,2
P1648,Dictionary of Welsh Biography ID,2
P1651,YouTube video ID,2
P1705,native label,2
P2003,Instagram username,2
P2015,Hansard (1803–2005) ID,2
P2191,Vegetti Catalog of Fantastic Literature NILF ID,2
P2194,PSS-archi architect ID,2
P2454,KNAW past member ID,2
P2561,name,2
P2581,BabelNet ID,2
P2638,TV.com ID,2
P3056,TCM Movie Database person ID,2
P3133,NSZL name authority ID,2
P3520,databaseOlympics.com athlete ID,2
P3599,archival creator authority record at the Archives nationales,2
P3602,candidacy in election,2
P3847,Open Library subject ID,2
P4159,WeRelate person ID,2
P4602,date of burial or cremation,2
P4717,Académie française member ID,2
P4789,Who's Who UK ID,2
P4813,PARES ID,2
P4839,Wolfram Language entity code,2
P4903,New Georgia Encyclopedia ID,2
P5033,Filmweb.pl person ID,2
P5058,e-teatr.pl person ID,2
P5308,Dictionary of Scottish Architects ID,2
P5337,Google News topics ID,2
P5340,American Film Institute person ID,2
P5492,EDIT16 catalogue author ID,2
P5503,Poetry Society of America poet ID,2
P5570,NooSFere author ID,2
P5613,Bibliothèque de la Pléiade ID,2
P5631,Canal Académie ID,2
