qid,label_en,description_en,instance_of_uuid,instance_of,sex_uuid,sex,occupation_uuid,occupation,occupation_ref1_hash,occupation_ref1_referenceUrl,occupation_ref1_retrieved_nodeId,occupation_ref1_retrieved_val,occupation_ref1_retrieved_prec,birthdate_uuid,birthdate_nodeId,birthdate_val,birthdate_prec,birthdate_ref1_hash,birthdate_ref1_referenceUrl,birthdate_ref1_retrieved_nodeId,birthdate_ref1_retrieved_val,birthdate_ref1_retrieved_prec,birthplace_uuid,birthplace,birthplace_ref1_hash,birthplace_ref1_referenceUrl,birthplace_ref1_retrieved_nodeId,birthplace_ref1_retrieved_val,birthplace_ref1_retrieved_prec,deathdate_uuid,deathdate_nodeId,deathdate_val,deathdate_prec,deathdate_ref1_hash,deathdate_ref1_referenceUrl,deathdate_ref1_retrieved_nodeId,deathdate_ref1_retrieved_val,deathdate_ref1_retrieved_prec,deathplace_uuid,deathplace,deathplace_ref1_hash,deathplace_ref1_referenceUrl,deathplace_ref1_retrieved_nodeId,deathplace_ref1_retrieved_val,deathplace_ref1_retrieved_prec,works_in_collection_uuid,works_in_collection,works_in_collection_ref1_hash,works_in_collection_ref1_referenceUrl,works_in_collection_ref1_retrieved_nodeId,works_in_collection_ref1_retrieved_val,works_in_collection_ref1_retrieved_prec,citizenship_country_uuid,citizenship_country,citizenship_country_ref1_hash,citizenship_country_ref1_referenceUrl,citizenship_country_ref1_retrieved_nodeId,citizenship_country_ref1_retrieved_val,citizenship_country_ref1_retrieved_prec,ulan_uuid,ulan,ulan_ref1_hash,ulan_ref1_retrieved_nodeId,ulan_ref1_retrieved_val,ulan_ref1_retrieved_prec
,Fred Westphal,"German artist, active 20th century",,Q5,,Q6581097,,Q11569986,,,,,,,,1871,,,,,,,,Q183,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q183,,,,,,,500082407,,,2021-01-27,
,Richard Mueller,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1874,,,,,,,,,,,,,,,,1954,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Bernice M. Branson,American printmaker,,Q5,,Q6581072,,Q11569986,,,,,,,,1882,,,,,,,,,,,,,,,,1936,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Earl A. Warner,American drawer,,Q5,,Q6581097,,Q15296811,,,,,,,,1883,,,,,,,,,,,,,,,,1918,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Allen Ross Pittman,American printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1883,,,,,,,,,,,,,,,,1969,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Lawrence Harris,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1885,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,William Crawford Young,"American illustrator, active 1940",,Q5,,Q6581097,,Q11569986,,,,,,,,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Alfred Orr,"American painter, graphic designer, and illustrator",,Q5,,Q6581097,,Q11569986,,,,,,,,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Childe de Rohan d'Harcourt,drawer,,Q5,,Q6581097,,Q15296811,,,,,,,,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Melville Thomas Wire,American painter and printmaker,,Q5,,Q6581097,,Q1028181,,,,,,,,1887,,,,,,,,,,,,,,,,1966,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,500335773,,,2021-01-27,
,Harold Speakman,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1888,,,,,,,,Q60,,,,,,,,1928,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Montgomery Melbourne,printmaker,,Q5,,,,Q11569986,,,,,,,,1893,,,,,,,,,,,,,,,,1970,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Gian Carlo Polidori,"Italian artist, active 19th-20th century",,Q5,,Q6581097,,Q1028181,,,,,,,,1895,,,,,,,,Q38,,,,,,,,1962,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q38,,,,,,,,,,,
,Franz Würbel,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,William MacLean,American printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1897,,,,,,,,,,,,,,,,1977,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Ann Mittelman,painter,,Q5,,Q6581072,,Q1028181,,,,,,,,1898,,,,,,,,,,,,,,,,1996,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Frances Marian Hebert,American printmaker,,Q5,,Q6581072,,Q11569986,,,,,,,,1899,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Sadie Skoletsky Rosenblum,American painter and sculptor,,Q5,,Q6581072,,Q1028181,,,,,,,,1899,,,,,,,,,,,,,,,,1982,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,500337489,,,2021-01-27,
,Dorothy Paris,American painter,,Q5,,Q6581072,,Q1028181,,,,,,,,1899,,,,,,,,,,,,,,,,1986,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,500487272,,,2021-01-27,
,Rolf Key-Oberg,American ceramicist,,Q5,,Q6581097,,Q483501,,,,,,,,1900,,,,,,,,,,,,,,,,1959,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Amos Seweil,American printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1901,,,,,,,,Q586762,,,,,,,,1983,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,James Kirk Merrick,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1905,,,,,,,,,,,,,,,,1985,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,W. H. Walker,British watercolorist and illustrator (active 1906 - 1926),,Q5,,Q6581097,,Q11569986,,,,,,,,1906,,,,,,,,,,,,,,,,1926,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q145,,,,,,,500002863,,,2021-01-27,
,Thomas Puryear Mims,American sculptor,,Q5,,Q6581097,,Q1281618,,,,,,,,1906,,,,,,,,,,,,,,,,1975,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,500068379,,,2021-01-27,
,La Rue Storm,American painter,,Q5,,Q6581072,,Q1028181,,,,,,,,1908,,,,,,,,Q8652,,,,,,,,2005,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Phillipe Sanh,painter,,Q5,,,,Q1028181,,,,,,,,1908,,,,,,,,Q43467,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Tibbie Levy,American painter,,Q5,,Q6581072,,Q1028181,,,,,,,,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Lei Pei-Zhi,painter,,Q5,,,,Q1028181,,,,,,,,1909,,,,,,,,,,,,,,,,1985,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Elenor Ulman,American painter,,Q5,,Q6581072,,Q1028181,,,,,,,,1909,,,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Georges Sanh,French painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1909,,,,,,,,Q1858,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q142,,,,,,,,,,,
,George Stang,French ceramic artist,,Q5,,Q6581097,,Q7541856,,,,,,,,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q142,,,,,,,,,,,
,Vincent McPharlin,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1910,,,,,,,,Q2544149,,,,,,,,1985,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Jeanette Alexander Judson,painter,,Q5,,Q6581072,,Q1028181,,,,,,,,1912,,,,,,,,,,,,,,,,2002,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Avery Handly,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1913,,,,,,,,,,,,,,,,1958,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,"Francis Joseph Gyra, Jr.",American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1914,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Marcel Floris,French artist and designer,,Q5,,Q6581097,,Q11569986,,,,,,,,1914,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q142,,,,,,,,,,,
,Su-chin Wen Chen,painter,,Q5,,,,Q1028181,,,,,,,,1914,,,,,,,,Q16967,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Francisco Gutiérrez,printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1915,,,,,,,,Q34110,,,,,,,,1945,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Beveridge Moore,American painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1915,,,,,,,,Q43421,,,,,,,,2004,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Gerald Holly,American photographer,,Q5,,Q6581097,,Q33231,,,,,,,,1917,,,,,,,,Q2355638,,,,,,,,2004,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Toru Mabuchi,Japanese printmaker,,Q5,,Q6581097,,Q11569986,,,,,,,,1920,,,,,,,,Q1490,,,,,,,,1994,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q17,,,,,,,,,,,
,Nola Zirin,American printmaker,,Q5,,Q6581072,,Q11569986,,,,,,,,1920,,,,,,,,Q60,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q30,,,,,,,,,,,
,Yves Johnston,printmaker,,Q5,,,,Q11569986,,,,,,,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Zdenka Zivkovic,painter,,Q5,,Q6581072,,Q1028181,,,,,,,,1921,,,,,,,,Q33946,,,,,,,,2011,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,,,,,,,,,,,,
,Dimitri Perdikitis,Greek painter,,Q5,,Q6581097,,Q1028181,,,,,,,,1922,,,,,,,,Q1524,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q41,,,,,,,,,,,
,De La Rue,painter,,Q5,,,,Q1028181,,,,,,,,1922,,,,,,,,Q90,,,,,,,,,,,,,,,,,,,,,,,Q18563658,,https://library.artstor.org/#/collection/100140247,,2021-01-27,,,Q142,,,,,,,,,,,
