qid,label_en,creator_string
Q105090533,Fransje Killaars,"['Killaars, Fransje (Dutch artist, born 1959)']"
Q105090536,Sabine Friesicke,"['Friesicke, Sabine (1960-, born Hamburg, Germany)']"
Q105090539,Koo Kyung Sook,"['Sook, Koo Kyung (1960-, born Seoul, Korea)']"
Q105090541,Steve Karlik,"['Karlik, Steve (1960-, born Portland, OR)']"
Q105090545,Kees Verbeek,"['Verbeek, Kees (1961-, born Son, Netherlands)']"
Q105090548,Guntars Sietens,"['Sietens, Guntars (1962-, born Kuldiga, Latvia)']"
Q105090551,Jeff Matz,"['Matz, Jeff (1963-, born Orlando, FL)']"
Q105090552,Teo Gonzáles,"['Gonzáles, Teo (1964-, born Quinto, Spain)']"
Q105090555,Phurba Namgay,"['Namgay, Phurba (1964-, born Chendipji, Tongsa, Bhutan)']"
Q105090559,Martha Chiplis,"['Chiplis, Martha (1964-, born Indianapolis, IN)']"
Q105090562,Michael Frederick,"['Frederick, Michael (1966-, born Chabanse, IL)', 'Frederick, Michael, (1966-, born Chabanse, IL)', 'Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)', 'Frederick, Mike']"
Q105090565,Ramon Marcus Kadi,"['Kadi, Ramon Marcus (1967, born Surabaya, Indonesia)']"
Q105090569,Joel Elrod,"['Elrod, Joel (1967-, born Omaha, NE)']"
Q105090572,Tim Dooley,"['Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)', 'Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)']"
Q105090577,Dan Grzeca,"['Grzeca, Dan (1968-, born Chicago, IL)']"
Q105090580,J. Suzanne Powney,"['Powney, J. Suzanne  (1969-, born Biloxi, MS)']"
Q105090582,"Samuel L. Dunson, Jr.","['Dunson, Samuel L. Jr. (1970-, born Dayton, OH)']"
Q105090585,Kerry McAleer-Keeler,"['McAleer-Keeler, Kerry (1971-, born Providence, RI)']"
Q105090588,Katherine McCanless Ruffin,"['Ruffin, Katherine McCanless  (1972-, born Huntsville, AL)']"
Q105090591,Diana Sudyka,"['Sudyka, Diana (1972-)']"
Q105090594,Matt Egan,"['Egan, Matt, Muise, Heather (1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada)']"
Q105090597,Mat Daly,"['Daly, Mat (1974-)']"
Q105090600,Dan Jimerfield,"['Jimerfield, Dan (1974-, born Cumberland, MO)', 'Jimerfield, Dan, for Hatch Show Print (1974-, born Cumberland, MO)']"
Q105090602,Bryce McCloud,"[""McCloud, Bryce (1975, born Nashville, TN)"",""McCloud, Bryce (1975-, born Nashville, TN)"",""McCloud, Bryce (Nashville, TN, born 1975-)"",""McCloud, Bryce, (1975-, born Nashville, TN)"",""McCloud, Bryce, for Hatch Show Print (1975-, born Nashville, TN)"",""Bryce McCloud (1975, born Nashville, TN)""]"
Q105090605,Travis Millard,"['Millard, Travis (1975-, born St. Joseph, MO)', 'Millard, Travis']"
Q105090607,Joel Shane,"['Shane, Joel (1976-, born Winnipeg, Manitoba, Canada)']"
Q105090611,Karsten Creightney,"['Creightney, Karsten  (1976-, born Albuquerque, New Mexico)']"
Q105090613,Sarah McCoy,"['McCoy, Sarah  (1976-, born Madison, WI)']"
Q105090617,Jeremy D. Maynard,"['Maynard, Jeremy D. (1977-, born Nashville, TN)', 'Maynard, Jeremy D., (1977-, born Nashville, TN)', 'Maynard, Jeremy D., for Hatch Show Print (1977-, born Nashville, TN)', 'Jeremy D. Maynard (1977-, born Nashville, TN)']"
Q105090619,Toby Sherrard,"['Sherrard, Toby (1977-, born Seattle, WA)']"
Q105090622,Edan M. Bryant,"['Bryant, Edan M. (1978-, born Nashville, TN)', 'Bryant, Edan M. 1978, born Nashville, TN)', 'Bryant, Edan M., (1978-, born Nashville, TN)', 'Bryant, Edan M., for Hatch Show Print (1978-, born Nashville, TN)']"
Q105090626,Erin Salter,"['Salter, Erin (1978-, born Nashville, TN)']"
Q105090629,Caleb Cain Marcus,"['Marcus, Caleb Cain (1978-, born U.S.A.)']"
Q105090632,Mike McIntyre,"['McIntyre, Mike (1978-, born St. Louis, MO)']"
Q105090636,Jenny Gill,"['Gill, Jenny (1979-, born Monterey, CA)', 'Gill, Jenny (1979, born Monterey, CA)']"
Q105090639,Nick Butcher,"['Butcher, Nick (1980-, born Dyersburg, TN)']"
Q105090643,Kathleen O'Connell,"[""O'Connell, Kathleen (1980-, born Plattsburgh, NY)""]"
Q105090646,Casey D. Gill,"['Gill, Casey (1981-, born Monterey, CA)', 'Gill, Casey (1981, born Monterey, CA)', 'Casey D.Gill (1981, born Monterey, CA)']"
Q105090649,Annie Herlocker,"['Herlocker, Annie  (1982-, born Indianapolis, IN)']"
Q105090652,Alexandra Janezic,"['Janezic, Alexandra and Runkle, Matt (1988-, 1977-, born Orange, TX; Spokane, WA)']"
Q105090655,Patrick Gosnell,"['Gosnell, Patrick (1989-, born Atlanta, GA)']"
Q105090658,Levi Sherman,"['Sherman, Levi and Gomez, Carly (1990-, born Seattle, WA)']"
Q105090662,Zhongbao Yao,"['Yao Zhongbao (-1924, born Beijing, China)']"
Q105090665,Ray Wakeland,"['Wakeland, Ray (-1964, born Monteagle, TN)']"
Q105090668,Giuseppe Raffetto,"['Raffetto, Giuseppe (ca. 1750, born Genoa, Italy)', 'Raffetto, Giuseppe']"
Q105090671,Sara Langworthy,"['Langworthy, Sara']"
Q105090674,Gigi Aramescu,"['Aramesco, Gigi (born Galatz, Romania)']"
Q105090676,Anita Gibson,"['Gibson, Anita (, born Lima, Peru)', 'Gibson, Anita', 'Gibson, Anita  (born Lima, Peru)']"
Q105090679,Louise De Gignilliet Rogers,"['Rogers, Louise De Gignilliet (born Macon, GA)', 'Rogers, Louise De Gignilliet']"
Q105090682,Tim Hooper,"['Hooper, Tim (ca. 1970, born Nashville, TN)']"
Q105090685,Katherine J. Fries,"['Fries, Katherine J. (, born Lincoln, NE)']"
Q105090688,Genzaburo Hayashi,"['Hayashi, Genzaburo (born Kyoto, Japan)']"
Q105090691,Sarah Hulsey,"['Hulsey, Sarah (, born Oklahoma City, OK)']"
Q105090694,Scott Russell,"['Russell, Scott, for Hatch Show Print (born Bloomington, IN)']"
Q105090697,Ch'en Ku,"[""Ch'en Ku (, born P'eng-Ch'eng, China)""]"
Q105090701,Jacob Vanderbilt,"['Vanderbilt, Jacob']"
Q105090704,Herman Weyen,"['Weyen, Herman (1643-1672)']"
