name,cs_name,alias,cs_alias,wikidata_description,country,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc,occupation,sex
Andrea Andriani,,,,Italian printmaker,Q38,1584,1584,,1610,1610,,,,,,,,printmaker,,,"Italian, 1584-1610","Andriani, Andrea","['Andriani, Andrea (Italian, 1584-1610)']",,Q11569986,
Anton Wierix III,,,,Flemish printmaker,,1596,1596,,1624,1624,,,,m,,,,printmaker,,,"Flemish printmaker, 1596-1624","Wierix, Anton, III","['Wierix, Anton, III (Flemish printmaker, 1596-1624)']",,Q11569986,Q6581097
Hinaya Ryuho,,,,book artist,,1599,1599,,1669,1669,,Q17,,m,,,,book artist,,,Rippo,Ryuho,"['Ryuho (Rippo), Hinaya (1597-1669)']",,Q56884373,Q6581097
Tōteki Unkoku,,,,painter,,1606,1606,,1664,1664,,,,,,,,painter,,,1606-1664,"Unkoku,Tōteki","['Unkoku,Tōteki (1606-1664)']",,Q1028181,
Jacques Prou,Jacques the elder Prou,,Jacques Prou,French printmaker,Q142,1620,,1620,1683,,1683,,,m,http://vocab.getty.edu/page/ulan/500124831,500124831,French (culture or style),printmaker,,,,"Prou, Jacques","['Prou, Jacques']",100 Jacques the elder Prou / Jacques Prou / Jacques Prou / 1620-1683 / -,Q11569986,Q6581097
Shugaku Watanabe,,,,painter,,1644,1644,,1734,1734,,,,,,,,painter,,,1644-1734,"Watanabe, Shugaku","['Watanabe, Shugaku (1644-1734)']",,Q1028181,
Baisetsudo,,,,book artist,,1751,1751,,1764,1764,,,,,,,,book artist,,,1751-1764,Baisetsudo,['Baisetsudo (1751-1764)'],,Q56884373,
Jacques Couche,,,,printmaker,,1759,1759,,,,,Q28520,,m,,,,printmaker,Abbeville,,"b. 1759, born Abbeville","Couche, Jacques","['Couche, Jacques (b. 1759, born Abbeville)']",,Q11569986,Q6581097
Lemercier,Lemercier,,,French printmaker,Q142,1770,,1770,1930,,1930,,,m,http://vocab.getty.edu/page/ulan/500050139,500050139,French (culture or style),printmaker,,,,Lemercier,['Lemercier'],100 Lemercier /  / Lemercier / 1770-1930 / -,Q11569986,Q6581097
Charles Clayton,Charles Clayton,,,British printmaker,Q145,1771,,1771,1930,,1930,,,m,http://vocab.getty.edu/page/ulan/500080867,500080867,British (modern),printmaker,,,,"Clayton, Charles","['Clayton, Charles']",100 Charles Clayton /  / Charles Clayton / 1771-1930 / -,Q11569986,Q6581097
Friedrich August Schlegel,Friedrich August Schlegel,,Friedrich August Schlegel,German artist,Q183,1828,1828,1828,1928,,1928,,,m,http://vocab.getty.edu/page/ulan/500091512,500091512,"German (culture, style, period)",painter,,,"German artist, born 1828","Schlegel, Friedrich August","['Schlegel, Friedrich August (German artist, born 1828)']",100 Friedrich August Schlegel / Friedrich August Schlegel / Friedrich August Schlegel,Q1028181,Q6581097
Sugawara Hakuryu,,,,painter,Q17,1833,1833,,1898,1898,,Q1192050,,m,,,,painter,Uzen Province, Japan,"1833-1898, born Uzen Province, Japan","Sugawara, Hakuryu","['Sugawara, Hakuryu (1833-1898, born Uzen Province, Japan)']",,Q1028181,Q6581097
August M. Young,,,,painter,,1837,1837,,1913,1913,,,,m,,,,painter,,,1837-1913,"Young, August M.","['Young, August M. (1837-1913)']",,Q1028181,Q6581097
Jean-Baptiste-Clement Bourne,,,,printmaker,,1844,1844,,1866,1866,,,,m,,,,printmaker,,,1844-1866,"Bourne, Jean-Baptiste-Clement","['Bourne, Jean-Baptiste-Clement (1844-1866)']",,Q11569986,Q6581097
George Etta Brinkley Cohen,George Etta Brinkley Cohen,,,American artist and philanthropist,Q30,1854,1930,1854,1930,,1930,Q23197,,f,,,American,ceramic artist,Nashville,TN,,"Cohen, George Etta Brinkley","['Cohen, George Etta Brinkley']",100 George Etta Brinkley Cohen /  / George Etta Brinkley Cohen / 1854-1930 / -,Q7541856,Q6581072
Chikuyôdô,,"[""Chikuyodo""]",,printmaker,,1860,1860,,1890,1890,,,,,,,,printmaker,,,1860-1890,Chikuyodo,['Chikuyodo (1860-1890)'],,Q11569986,
Peggy Smith,Peggy Smith,,Peggy Smith,"American painter, active 20th century",Q30,1861,,1861,,,,,,f,http://vocab.getty.edu/page/ulan/500055676,500055676,American (North American),painter,,,"painter, active 20th century","Smith, Peggy","['Smith, Peggy (painter, active 20th century)']",100 Peggy Smith / Peggy Smith / Peggy Smith / 1861- / -,Q1028181,Q6581072
Arthur Anselm Orr,Arthur Anselm Orr,,,English glass painter and draftsman,Q145,1868,1868,1868,1949,1949,1949,,,m,http://vocab.getty.edu/page/ulan/500108104,500108104,British (modern),painter,,,"English glass painter and draftsman, 1868-1949","Orr, Arthur Anselm","['Orr, Arthur Anselm (English glass painter and draftsman, 1868-1949)', 'Orr, Arthur']",100 Arthur Anselm Orr /  / Arthur Anselm Orr,Q1028181,Q6581097
Fred Westphal,Fred Westphal,,Fred Westphal,"German artist, active 20th century",Q183,1871,,1871,,,,Q183,,m,http://vocab.getty.edu/page/ulan/500082407,500082407,"German (culture, style, period)",printmaker,,,"German artist, active 20th century","Westphal, Fred","['Westphal, Fred (German artist, active 20th century)', 'Westphal, Fred']",100 Fred Westphal / Fred Westphal / Fred Westphal / 1871- / -,Q11569986,Q6581097
Richard Mueller,,,,printmaker,,1874,1874,,1954,1954,,,,m,,,,printmaker,,,1874-1954,"Mueller, Richard","['Mueller, Richard (1874-1954)']",84 Richard Zoellner / Richard Zoellner / Richard Mueller / 1909-2003 / 1874-1954,Q11569986,Q6581097
Bernice M. Branson,Bernice M. Branson,,,American printmaker,Q30,1882,1882,1882,1936,1936,1936,,,f,,,American,printmaker,,,1882-1936,"Branson, Bernice M.","['Branson, Bernice M. (1882-1936)']",100 Bernice M. Branson /  / Bernice M. Branson,Q11569986,Q6581072
