name,ulan_url,ulan,creator_string
Willie Cole,http://vocab.getty.edu/page/ulan/500334448,500334448,"['Cole, Willie (American artist, born 1955)']"
Melville Thomas Wire,http://vocab.getty.edu/page/ulan/500335773,500335773,"['Wire, Melville Thomas (American painter and printmaker, 1887-1966)']"
Sadie Skoletsky Rosenblum,http://vocab.getty.edu/page/ulan/500337489,500337489,"['Rosenblum, Sadie Skoletsky (American painter and sculptor, 1899-1982)']"
Fransje Killaars,http://vocab.getty.edu/page/ulan/500348728,500348728,"['Killaars, Fransje (Dutch artist, born 1959)']"
Allison Shotz,http://vocab.getty.edu/page/ulan/500351075,500351075,"['Shotz, Allison (American artist, born 1964)']"
Matthew Oesterreich,http://vocab.getty.edu/page/ulan/500354384,500354384,['Matthew Oesterreich (designer) and Lorenzo Zucchi (engraver)']
Antoni Abad,http://vocab.getty.edu/page/ulan/500385143,500385143,"['Abad, Antonio (1956-, born Barcelona, Spain)']"
Lisa Collado,http://vocab.getty.edu/page/ulan/500387117,500387117,"['Collado, Lisa']"
Jacob Nussbaum,http://vocab.getty.edu/page/ulan/500407418,500407418,"['Nussbaum, Jacob (1873-1934)']"
Paul D'Amato,http://vocab.getty.edu/page/ulan/500463231,500463231,"[""D'Amato, Paul (American photographer, 1956 CE-)""]"
Jay Bolotin,http://vocab.getty.edu/page/ulan/500466991,500466991,"['Bolotin, Jay (1949-, born Fayette County, KY)']"
James Allen St. John,http://vocab.getty.edu/page/ulan/500467948,500467948,"['St. John, James Allen  (1872-1957)']"
Teo Gonzáles,http://vocab.getty.edu/page/ulan/500471949,500471949,"['Gonzáles, Teo (1964-, born Quinto, Spain)']"
Wilhelm Dzubas,http://vocab.getty.edu/page/ulan/500485782,500485782,"['Dzubas, Wilhelm (1877-1947)']"
Dorothy Paris,http://vocab.getty.edu/page/ulan/500487272,500487272,"['Paris, Dorothy']"
Kerry McAleer-Keeler,http://vocab.getty.edu/page/ulan/500488507,500488507,"['McAleer-Keeler, Kerry (1971-, born Providence, RI)']"
