last_first,description,born,died,birthplace,birth_city,birth_state,artist_type,wikidata_description,name,creator_string
Kanō Yashunobu,"Japanese painter, 1613-1685",1613,1685,,,,painter,Japanese painter,Kanō Yashunobu,"['Kanō Yashunobu (Japanese painter, 1613-1685)']"
"Karail, Ilonka",,,,,,,printmaker,printmaker,Ilonka Karail,"['Karail, Ilonka']"
"Karlik, Steve","1960-, born Portland, OR",1960,,Q6106,Portland, OR,printmaker,printmaker,Steve Karlik,"['Karlik, Steve (1960-, born Portland, OR)']"
"Katsuda, Yukio",1941-,1941,,,,,printmaker,printmaker,Yukio Katsuda,"['Katsuda, Yukio (1941-)']"
"Katsugawa, Hirosuke",,,,,,,book artist,book artist,Hirosuke Katsugawa,"['Katsugawa, Hirosuke and Haruaki Fiji']"
"Katsushika, Isai",,,,,,,printmaker,printmaker,Isai Katsushika,"['Katsushika, Isai']"
Keisui,,,,,,,printmaker,printmaker,Keisui,['Keisui ']
"Key-Oberg, Rolf","American ceramicist, 1900-1959",1900,1959,,,,artist,American ceramicist,Rolf Key-Oberg,"['Key-Oberg, Rolf (American ceramicist, 1900-1959)']"
"Kikuchi, Tsunejiro",Kilauchi Hobun,1862,1918,,,,book artist,book artist,Tsunejiro Kikuchi,"['Kikuchi, Tsunejiro (Kilauchi Hobun) (1862-1918)']"
"Killaars, Fransje","Dutch artist, born 1959",1959,,,,,printmaker,Dutch artist,Fransje Killaars,"['Killaars, Fransje (Dutch artist, born 1959)']"
Kim Sal Rui,,,,,,,painter,painter,Kim Sal Rui,['Kim Sal Rui']
"Kings, John",,,,,,,painter,painter,John Kings,"['Kings, John']"
"Kinsai, Dojin",,,,,,,book artist,book artist,Dojin Kinsai,"['Kinsai, Dojin']"
Kitabat,,,,,,,printmaker,printmaker,Kitabat,['Kitabat']
"Kniseley, Judy","-1964, ca.",,,,,,drawer,drawer,Judy Kniseley,"['Kniseley, Judy (-1964, ca.)']"
Koshin,,,,,,,painter,painter,Koshin,['Koshin']
"Krauze, A",,,,,,,printmaker,printmaker,A Krauze,"['Krauze, A']"
Kunisada,"Japanese woodcutter and graphic artist, 1848-1920",1848,1920,,,,printmaker,Japanese woodcutter and graphic artist,Kunisada,"['Kunisada (Japanese woodcutter and graphic artist, 1848-1920)']"
"Kutner, Christophe",,,,,,,printmaker,printmaker,Christophe Kutner,"['Kutner, Christophe']"
Kwannon,,,,,,,printmaker,printmaker,Kwannon,['Kwannon']
Kwasniewska,,,,,,,printmaker,printmaker,Kwasniewska,['Kwasniewska']
"La Rouke, Hector",,,,,,,painter,painter,Hector La Rouke,"['La Rouke, Hector']"
"Lacey, Ninon","1923-, born New Hampshire",1923,,Q759,New Hampshire,,printmaker,printmaker,Ninon Lacey,"['Lacey, Ninon (1923-, born New Hampshire)']"
"Lafitte, Andrew",,,,,,,printmaker,printmaker,Andrew Lafitte,"['Lafitte, Andrew']"
"Lancaster, Paul",,,,,,,painter,painter,Paul Lancaster,"['Lancaster, Paul']"
"Landry, G.",,,,,,,printmaker,printmaker,G. Landry,"['Landry, G.']"
"Langworthy, Sara",,,,,,,printmaker,printmaker,Sara Langworthy,"['Langworthy, Sara']"
"Larmessin, Nicolas, III","French engraver, ca.1640-1725",,,,,,printmaker,French engraver,Nicolas Larmessin III,"['Larmessin, Nicolas, III (French engraver, ca.1640-1725)']"
"Laurencian, Marie",1885-1956,1885,1956,,,,printmaker,printmaker,Marie Laurencian,"['Laurencian, Marie (1885-1956)']"
"Lavender, Randall",b. 1956,1956,,,,,ceramic artist,ceramic artist,Randall Lavender,"['Lavender, Randall (b. 1956)']"
"Leach, John",,,,,,,ceramic artist,ceramic artist,John Leach,"['Leach, John']"
"Legge, Willow",1934-,1934,,,,,book artist,book artist,Willow Legge,"['Legge, Willow (1934-)']"
Lemercier,,,,,,,printmaker,printmaker,Lemercier,['Lemercier']
Lemoir,,,,,,,printmaker,printmaker,Lemoir,['Lemoir']
"Lenerts, Cis",1940,1940,,,,,printmaker,printmaker,Cis Lenerts,"['Lenerts, Cis (1940)']"
"Lent, Lillian",,,,,,,printmaker,printmaker,Lillian Lent,"['Lent, Lillian']"
"Lentrein, Charlotte",,,,,,,painter,painter,Charlotte Lentrein,"['Lentrein, Charlotte']"
"LeQuire, Louise",,,,,,,painter,painter,Louise LeQuire,"['LeQuire, Louise', 'Lequire, Louise']"
"Levy, Tibbie",1908-,1908,,,,,painter,painter,Tibbie Levy,"['Levy, Tibbie (1908-)']"
Lihacault,,,,,,,printmaker,printmaker,Lihacault,['Lihacault']
"Loberg, Robert W.","1927-1999, born Chicago, IL",1927,1999,Q1297,Chicago, IL,painter,painter,Robert W. Loberg,"['Loberg, Robert W. (1927-1999, born Chicago, IL)']"
"Loy, William",1930-,1930,,,,,printmaker,printmaker,William Loy,"['Loy, William (1930-)']"
"Lukas, Dennis","1947-, born Hamilton, Ontario",1947,,Q133116,Hamilton, Ontario,painter,painter,Dennis Lukas,"['Lukas, Dennis (1947-, born Hamilton, Ontario)']"
"Lurnson, Mon",,,,,,,printmaker,printmaker,Mon Lurnson,"['Lurnson, Mon']"
"Lustyk, Danka",,,,,,,printmaker,printmaker,Danka Lustyk,"['Lustyk, Danka']"
"Lyles, Karen Leonard",1955-,1955,,,,,drawer,drawer,Karen Leonard Lyles,"['Lyles, Karen Leonard (1955-)']"
"Lyons, T. Harrington",,,,,,,ceramic artist,ceramic artist,T. Harrington Lyons,"['Lyons, T. Harrington']"
"Mabuchi, Toru","1920-1994, born Tokyo, Japan",1920,1994,Q1490,Tokyo, Japan,printmaker,printmaker,Toru Mabuchi,"['Mabuchi, Toru (1920-1994, born Tokyo, Japan)']"
"MacKenzie, David","British architect, 20th century",,,,,,printmaker,British architect,David MacKenzie,"['MacKenzie, David (British architect, 20th century)']"
Mackert,,,,,,,printmaker,printmaker,Mackert,['Mackert']
"MacLean, William",1897-1977,1897,1977,,,,printmaker,printmaker,William MacLean,"['MacLean, William (1897-1977)']"
"Magnan, Oscar","1937-, born Cienfuegos, Cuba",1937,,Q190005,Cienfuegos, Cuba,printmaker,printmaker,Oscar Magnan,"['Magnan, Oscar (1937-, born Cienfuegos, Cuba)']"
"Maine, Stephen","1958-, born Hartford, CT",1958,,Q33486,Hartford, CT,printmaker,printmaker,Stephen Maine,"['Maine, Stephen (1958-, born Hartford, CT)']"
"Malik, H.J.",,,,,,,printmaker,printmaker,H.J. Malik,"['Malik, H.J.']"
"Marcus, Caleb Cain","1978-, born U.S.A.",1978,,Q30,U.S.A.,,photographer,photographer,Caleb Cain Marcus,"['Marcus, Caleb Cain (1978-, born U.S.A.)']"
"Marsh, Cynthia",,,,,,,printmaker,printmaker,Cynthia Marsh,"['Marsh, Cynthia']"
"Masuda, Gyokujo",1881-1955,1881,1955,,,,painter,painter,Gyokujo Masuda,"['Masuda, Gyokujo (1881-1955)']"
"Matsutaka, Saishuntei",,,,,,,book artist,book artist,Saishuntei Matsutaka,"['Matsutaka, Saishuntei']"
Matsuyama,or Shozan,,,,,,painter,painter,Matsuyama,['Matsuyama (or Shozan)']
Matthew Oesterreich,designer,,,,,,printmaker,designer,Matthew Oesterreich,['Matthew Oesterreich (designer) and Lorenzo Zucchi (engraver)']
"Matz, Jeff","1963-, born Orlando, FL",1963,,Q49233,Orlando, FL,printmaker,printmaker,Jeff Matz,"['Matz, Jeff (1963-, born Orlando, FL)']"
"Mauke, Rudolf","German artist, born 1924",1924,,,,,painter,German artist,Rudolf Mauke,"['Mauke, Rudolf (German artist, born 1924)']"
"Maynard, Jeremy D.","1977-, born Nashville, TN",1977,,Q23197,Nashville, TN,printmaker,printmaker,Jeremy D. Maynard,"['Maynard, Jeremy D. (1977-, born Nashville, TN)', 'Maynard, Jeremy D., (1977-, born Nashville, TN)', 'Maynard, Jeremy D., for Hatch Show Print (1977-, born Nashville, TN)']"
"McAleer-Keeler, Kerry","1971-, born Providence, RI",1971,,Q18383,Providence, RI,printmaker,printmaker,Kerry McAleer-Keeler,"['McAleer-Keeler, Kerry (1971-, born Providence, RI)']"
"McBurnie, Ronald",,,,,,,printmaker,printmaker,Ronald McBurnie,"['McBurnie, Ronald']"
"McCloud, Bryce","1975, born Nashville, TN",1975,,Q23197,Nashville, TN,printmaker,printmaker,Bryce McCloud,"['McCloud, Bryce (1975, born Nashville, TN)', 'McCloud, Bryce (1975-, born Nashville, TN)', 'McCloud, Bryce (Nashville, TN, born 1975-)', 'McCloud, Bryce, (1975-, born Nashville, TN)', 'McCloud, Bryce, for Hatch Show Print (1975-, born Nashville, TN)']"
"McCoy, Sarah","1976-, born Madison, WI",1976,,Q43788,Madison, WI,printmaker,printmaker,Sarah McCoy,"['McCoy, Sarah  (1976-, born Madison, WI)']"
"McDevitt, Mark",,,,,,,artist,artist,Mark McDevitt,"['McDevitt, Mark']"
"McIntyre, Mike","1978-, born St. Louis, MO",1978,,Q38022,St. Louis, MO,printmaker,printmaker,Mike McIntyre,"['McIntyre, Mike (1978-, born St. Louis, MO)']"
"McKay, Donald",,,,,,,drawer,drawer,Donald McKay,"['McKay, Donald']"
"McPharlin, Vincent","1910-1985, born Hastings, MI",1910,1985,Q2544149,Hastings, MI,painter,painter,Vincent McPharlin,"['McPharlin, Vincent (1910-1985, born Hastings, MI)']"
Meitō,,,,,,,painter,painter,Meitō,['Meitō']
"Melbourne, Montgomery",1893-1970,1893,1970,,,,printmaker,printmaker,Montgomery Melbourne,"['Melbourne, Montgomery (1893-1970)']"
"Merrick, James Kirk",1905-1985,1905,1985,,,,printmaker,printmaker,James Kirk Merrick,"['Merrick, James Kirk  (1905-1985)']"
"Michael, Creighton","American sculptor, born 1949",1949,,,,,printmaker,American sculptor,Creighton Michael,"['Michael, Creighton (American sculptor, born 1949)']"
"Michaels, Edward",,,,,,,sculptor,sculptor,Edward Michaels,"['Michaels, Edward']"
"Miguel, Adro",,,,,,,painter,painter,Adro Miguel,"['Miguel, Adro']"
"Millard, Travis","1975-, born St. Joseph, MO",1975,,Q745120,St. Joseph, MO,printmaker,printmaker,Travis Millard,"['Millard, Travis (1975-, born St. Joseph, MO)', 'Millard, Travis']"
"Miller, Mark",,,,,,,painter,painter,Mark Miller,"['Miller, Mark']"
"Mims, Thomas Puryear","American sculptor, 1906-1975",1906,1975,,,,sculptor,American sculptor,Thomas Puryear Mims,"['Mims, Thomas Puryear (American sculptor, 1906-1975)']"
"Mira, Eduardo",1945-,1945,,,,,artist,artist,Eduardo Mira,"['Mira, Eduardo (1945-)']"
"Mitsunobu, Hasegawa",Eishun,,,,,,book artist,book artist,Hasegawa Mitsunobu,"['Mitsunobu, Hasegawa (Eishun) (1790-1848)']"
"Mittelman, Ann",1898-1996,1898,1996,,,,painter,painter,Ann Mittelman,"['Mittelman, Ann (1898-1996)']"
"Moore, Beveridge","1915-2004, born Richmond, VA",1915,2004,Q43421,Richmond, VA,painter,painter,Beveridge Moore,"['Moore, Beveridge (1915-2004, born Richmond, VA)']"
"Morishima, Chura Nakayoshi",,,,,,,book artist,book artist,Chura Nakayoshi Morishima,"['Morishima, Chura Nakayoshi']"
"Mozzolini, S.",,,,,,,painter,painter,S. Mozzolini,"['Mozzolini, S.']"
"Mueller, Richard",1874-1954,1874,1954,,,,printmaker,printmaker,Richard Mueller,"['Mueller, Richard (1874-1954)']"
"Mulder, John",,,,,,,printmaker,printmaker,John Mulder,"['Mulder, John']"
"Nabb, Paul",,,,,,,painter,painter,Paul Nabb,"['Nabb, Paul']"
"Namgay, Phurba","1964-, born Chendipji, Tongsa, Bhutan",1964,,Q4511781,Chendipji," Tongsa, Bhutan",painter,painter,Phurba Namgay,"['Namgay, Phurba (1964-, born Chendipji, Tongsa, Bhutan)']"
"Nesbitt, Dawson",1948-,1948,,,,,photographer,photographer,Dawson Nesbitt,"['Nesbitt, Dawson (1948-)']"
Nishikawa,,,,,,,book artist,book artist,Nishikawa,['Nishikawa']
"Nishikawa, Harunobu",,,,,,,book artist,book artist,Harunobu Nishikawa,"['Nishikawa, Harunobu']"
"Nolla, Joaquim",,,,,,,printmaker,printmaker,Joaquim Nolla,"['Nolla, Joaquim and Mir, Josep M.']"
"Nussbaum, Jacob",1873-1934,1873,1934,,,,printmaker,printmaker,Jacob Nussbaum,"['Nussbaum, Jacob (1873-1934)']"
"O'Connell, Kathleen","1980-, born Plattsburgh, NY",1980,,Q998669,Plattsburgh, NY,printmaker,printmaker,Kathleen O'Connell,"[""O'Connell, Kathleen (1980-, born Plattsburgh, NY)""]"
"Orr, Arthur Anselm","English glass painter and draftsman, 1868-1949",1868,1949,,,,painter,English glass painter and draftsman,Arthur Anselm Orr,"['Orr, Arthur Anselm (English glass painter and draftsman, 1868-1949)', 'Orr, Arthur']"
"Oson, Toshi",,,,,,,painter,painter,Toshi Oson,"['Oson, Toshi']"
Otte,,,,,,,printmaker,printmaker,Otte,['Otte']
Ou Shiang,,,,,,,painter,painter,Ou Shiang,['Ou Shiang']
"Page, Judith","1946-, born Lexington, KY",1946,,Q49241,Lexington, KY,sculptor,sculptor,Judith Page,"['Page, Judith (1946-, born Lexington, KY)']"
"Pagliari, Giorgio","1933-2015, born Rome, Italy, died Ibiza, Spain",1933,2015,Q220,Rome, Italy,printmaker,printmaker,Giorgio Pagliari,"['Pagliari, Giorgio (1933-2015, born Rome, Italy, died Ibiza, Spain)', 'Pagliari, Giorgio (1933-, born Rome, Italy)']"
"Pallot, S.",,,,,,,printmaker,printmaker,S. Pallot,"['Pallot, S.']"
"Paris, Dorothy",,,,,,,painter,painter,Dorothy Paris,"['Paris, Dorothy']"
"Parkhurst, Anita",,,,,,,printmaker,printmaker,Anita Parkhurst,"['Parkhurst, Anita']"
"Parrish, Janice",,,,,,,painter,painter,Janice Parrish,"['Parrish, Janice']"
"Parrish, Rachel",,,,,,,printmaker,printmaker,Rachel Parrish,"['Parrish, Rachel']"
"Pasek, Margaret",,,,,,,printmaker,printmaker,Margaret Pasek,"['Pasek, Margaret']"
"Pecsenke, Joseph A.",1942-1989,1942,1989,,,,printmaker,printmaker,Joseph A. Pecsenke,"['Pecsenke, Joseph A. (1942-1989)']"
"Peel, Michael","British painter, born 1951",1951,,,,,printmaker,British painter,Michael Peel,"['Peel, Michael (British painter, born 1951)']"
"Pei-Zhi, Lei",1909-1985,1909,1985,,,,painter,painter,Lei Pei-Zhi,"['Pei-Zhi, Lei (1909-1985)']"
"Peiser, Jane",,,,,,,ceramic artist,ceramic artist,Jane Peiser,"['Peiser, Jane']"
"Penland, Jean Wall",American painter and etcher,,,,,,painter,American painter and etcher,Jean Wall Penland,"['Penland, Jean Wall (American painter and etcher)']"
"Perdikitis, Dimitri","1922-, born Athens, Greece",1922,,Q1524,Athens, Greece,painter,painter,Dimitri Perdikitis,"['Perdikitis, Dimitri (1922-, born Athens, Greece)']"
"Pfnür, Rainer","German artist, born 1939",1939,,,,,printmaker,German artist,Rainer Pfnür,"['Pfnür, Rainer (German artist, born 1939)']"
"Phillips, Gray","1923-2005, born Chattanooga, TN, died Pacific Palisades, CA",1923,2005,Q186702,Chattanooga, TN,painter,painter,Gray Phillips,"['Phillips, Gray (1923-2005, born Chattanooga, TN, died Pacific Palisades, CA)']"
"Phillips, John","1953-, born Chicago, IL",1953,,Q1297,Chicago, IL,printmaker,printmaker,John Phillips,"['Phillips, John (1953-, born Chicago, IL)']"
"Phillips, W.T.",,,,,,,printmaker,printmaker,W.T. Phillips,"['Phillips, W.T.']"
"Picaut, Bernard",,,,,,,printmaker,printmaker,Bernard Picaut,"['Picaut, Bernard']"
"Pildas, M.",,,,,,,printmaker,printmaker,M. Pildas,"['Pildas, M. ']"
"Pittman, A. Ross",1883-1969,1883,1969,,,,printmaker,printmaker,A. Ross Pittman,"['Pittman, A. Ross (1883-1969)']"
"Polidori, Gian Carlo","Italian artist, active 19th-20th century",,,,,,painter,painter,Gian Carlo Polidori,"['Polidori, Gian Carlo (Italian artist, active 19th-20th century)']"
"Pollack, S.",,,,,,,printmaker,printmaker,S. Pollack,"['Pollack, S.']"
"Popovic, Dimitrije",,,,,,,printmaker,printmaker,Dimitrije Popovic,"['Popovic, Dimitrije']"
"Pounders, Alfred J.",1931-,1931,,,,,painter,painter,Alfred J. Pounders,"['Pounders, Alfred J. (1931-)']"
"Powney, J. Suzanne","1969-, born Biloxi, MS",1969,,Q490720,Biloxi, MS,printmaker,printmaker,J. Suzanne Powney,"['Powney, J. Suzanne  (1969-, born Biloxi, MS)']"
"Prahaska, Ray",,,,,,,printmaker,printmaker,Ray Prahaska,"['Prahaska, Ray']"
"Prats, Llorenç",,,,,,,book artist,book artist,Llorenç Prats,"['Prats, Llorenç']"
"Prou, Jacques",,,,,,,printmaker,printmaker,Jacques Prou,"['Prou, Jacques']"
"Puiggros, Pere",1942-,1942,,,,,printmaker,printmaker,Pere Puiggros,"['Puiggros, Pere (1942-)']"
"Putnam, H.",,,,,,,printmaker,printmaker,H. Putnam,"['Putnam, H.']"
"Putten, Henk van","Dutch sculptor, born 1936",1936,,,,,printmaker,Dutch sculptor,Henk van Putten,"['Putten, Henk van (Dutch sculptor, born 1936)']"
Qin Yi,,,,,,,painter,painter,Qin Yi,['Qin Yi']
"Querida, Zita",,,,,,,painter,painter,Zita Querida,"['Querida, Zita']"
"Quest, Dan",,,,,,,printmaker,printmaker,Dan Quest,"['Quest, Dan']"
"Quijada, Robert","American artist, 1937-1994",1937,1994,,,,painter,American artist,Robert Quijada,"['Quijada, Robert (American artist, 1937-1994)']"
"Raffetto, Giuseppe","ca. 1750, born Genoa, Italy",,,Q1449,"Genoa, Italy",,drawer,drawer,Giuseppe Raffetto,"['Raffetto, Giuseppe (ca. 1750, born Genoa, Italy)', 'Raffetto, Giuseppe']"
Ravagnant,,,,,,,painter,painter,Ravagnant,['Ravagnant']
"Raymond, José Luis",1954-,1954,,,,,photographer,photographer,José Luis Raymond,"['Raymond, José Luis (1954-)']"
"Reika, Iwami",1927-1989,1927,1989,,,,printmaker,printmaker,Iwami Reika,"['Reika, Iwami (1927-1989)']"
Ren Pei,,,,,,,painter,painter,Ren Pei,['Ren Pei']
"Reuther, Kit",1957-,1957,,,,,painter,painter,Kit Reuther,"['Reuther, Kit (1957-)']"
"Richards, Rosalyn",1947-,1947,,,,,painter,painter,Rosalyn Richards,"['Richards, Rosalyn (1947-)']"
"Richardson, Deborah",,,,,,,photographer,photographer,Deborah Richardson,"['Richardson, Deborah']"
"Richardson, Russell",,,,,,,artist,artist,Russell Richardson,"['Richardson, Russell']"
"Richman, Pablo",,,,,,,painter,painter,Pablo Richman,"['Richman, Pablo']"
Ripolles,,,,,,,painter,painter,Ripolles,['Ripolles']
"Risseeuw, Katie",,,,,,,printmaker,printmaker,Katie Risseeuw,"['Risseeuw, Katie']"
"Ritteng, George",,,,,,,printmaker,printmaker,George Ritteng,"['Ritteng, George']"
"Roberti, H.",,,,,,,printmaker,printmaker,H. Roberti,"['Roberti, H.']"
"Roberts, William Vernon",,,,,,,sculptor,sculptor,William Vernon Roberts,"['Roberts, William Vernon']"
"Robertson, Jack",,,,,,,photographer,photographer,Jack Robertson,"['Robertson, Jack']"
"Robison, Sheryl",,,,,,,photographer,photographer,Sheryl Robison,"['Robison, Sheryl']"
"Rogers, Louise De Gignilliet","born Macon, GA",,,Q219656,Macon,GA,printmaker,printmaker,Louise De Gignilliet Rogers,"['Rogers, Louise De Gignilliet (born Macon, GA)', 'Rogers, Louise De Gignilliet']"
Roko,,,,,,,painter,painter,Roko,['Roko']
"Rosenblum, Sadie Skoletsky","American painter and sculptor, 1899-1982",1899,1982,,,,painter,American painter and sculptor,Sadie Skoletsky Rosenblum,"['Rosenblum, Sadie Skoletsky (American painter and sculptor, 1899-1982)']"
Rosendahl,,,,,,,painter,painter,Rosendahl,['Rosendahl']
"Rosenthal, Louise",,,,,,,painter,painter,Louise Rosenthal,"['Rosenthal, Louise']"
"Ross, Elliot","1947-, born Chicago, IL",1947,,Q1297,Chicago, IL,book artist,book artist,Elliot Ross,"['Ross, Elliot  (1947-, born Chicago, IL)']"
"Rothermil, P.F.",1817-1895,1817,1895,,,,painter,painter,P.F. Rothermil,"['Rothermil, P.F. (1817-1895)']"
"Rothy, Carl",,,,,,,printmaker,printmaker,Carl Rothy,"['Rothy, Carl']"
"Rue, De La","1922-, born Paris, France",1922,,Q90,Paris, France,painter,painter,De La Rue,"['Rue, De La (1922-, born Paris, France)']"
"Ruffin, Katherine McCanless","1972-, born Huntsville, AL",1972,,Q79860,Huntsville, AL,printmaker,printmaker,Katherine McCanless Ruffin,"['Ruffin, Katherine McCanless  (1972-, born Huntsville, AL)']"
"Ruggie-Saunders, Cathie","1951-, born Chicago, IL",1951,,Q1297,Chicago, IL,printmaker,printmaker,Cathie Ruggie-Saunders,"['Ruggie-Saunders, Cathie (1951-, born Chicago, IL)']"
"Russell, Scott, for Hatch Show Print","born Bloomington, IN",,,Q490385,Bloomington,IN,printmaker,printmaker,Scott Russell,"['Russell, Scott, for Hatch Show Print (born Bloomington, IN)']"
"Rutherford, Eric","British artist, active from 1963",,,,,,printmaker,printmaker,Eric Rutherford,"['Rutherford, Eric (British artist, active from 1963)']"
Ryosen,,,,,,,painter,painter,Ryosen,['Ryosen']
Ryuho,Rippo,,,,,,book artist,book artist,Ryuho,"['Ryuho (Rippo), Hinaya (1597-1669)']"
"Ryuryukyo, Shinsai",1764-1820,1764,1820,,,,printmaker,printmaker,Shinsai Ryuryukyo,"['Ryuryukyo, Shinsai  (1764-1820)']"
"Salter, Erin","1978-, born Nashville, TN",1978,,Q23197,Nashville, TN,printmaker,printmaker,Erin Salter,"['Salter, Erin (1978-, born Nashville, TN)']"
"Sanh, Georges","1909-, born Hanoi, Vietnam",1909,,Q1858,Hanoi, Vietnam,painter,painter,Georges Sanh,"['Sanh, Georges (1909-, born Hanoi, Vietnam)']"
"Sanh, Phillipe","1908-, born Indo-China",1908,,Q43467,,Indo-China,painter,painter,Phillipe Sanh,"['Sanh, Phillipe (1908-, born Indo-China)', 'Sanh, Phillipe (1908-)']"
Sanji,,,,,,,drawer,drawer,Sanji,['Sanji']
"Sato, T.",,,,,,,printmaker,printmaker,T. Sato,"['Sato, T.']"
"Saunders, Dutch",,,,,,,printmaker,printmaker,Dutch Saunders,"['Saunders, Dutch']"
"Schaever, C. W.",,,,,,,painter,painter,C. W. Schaever,"['Schaever, C. W.']"
"Scharf, Ralph H.","1923-1993, born Chicago, IL",1923,1993,Q1297,Chicago, IL,printmaker,printmaker,Ralph H. Scharf,"['Scharf, Ralph H. (1923-1993, born Chicago, IL)']"
"Schlegel, Friedrich August","German artist, born 1828",1828,,,,,painter,German artist,Friedrich August Schlegel,"['Schlegel, Friedrich August (German artist, born 1828)']"
"Schlosser, Adolf",1939-,1939,,,,,printmaker,printmaker,Adolf Schlosser,"['Schlosser, Adolf (1939-)']"
"Schmidt-Felling, Hans",1854-1910,1854,1910,,,,sculptor,sculptor,Hans Schmidt-Felling,"['Schmidt-Felling, Hans (1854-1910)']"
"Schwarz, Joseph","American painter, born 1929",1929,,,,,painter,American painter,Joseph Schwarz,"['Schwarz, Joseph (American painter, born 1929)']"
"Schwerin von Krosigk, Wifred Graf",,,,,,,printmaker,printmaker,Wifred Graf Schwerin von Krosigk,"['Schwerin von Krosigk, Wifred Graf']"
Seizan,,,,,,,painter,painter,Seizan,['Seizan']
Sepesky,Shephard,,,,,,printmaker,printmaker,Sepesky,['Sepesky (Shephard)']
Sesshu,,,,,,,printmaker,printmaker,Sesshu,['Sesshu']
"Seweil, Amos",,,,,,,printmaker,printmaker,Amos Seweil,"['Seweil, Amos']"
"Shalala, Edward","1949-, born Cleveland, OH",1949,,Q37320,Cleveland, OH,printmaker,printmaker,Edward Shalala,"['Shalala, Edward (1949-, born Cleveland, OH)']"
"Shane, Joel","1976-, born Winnipeg, Manitoba, Canada",1976,,Q2135,Winnipeg, Manitoba,printmaker,printmaker,Joel Shane,"['Shane, Joel (1976-, born Winnipeg, Manitoba, Canada)']"
"Shapiro, David","American painter and printmaker, born 1943",1943,,,,,drawer,American painter and printmaker,David Shapiro,"['Shapiro, David (American painter and printmaker, born 1943)']"
"Shaw, J.",,,,,,,printmaker,printmaker,J. Shaw,"['Shaw, J. and Hughes, S.G.']"
"Sherman, Levi","1990-, born Seattle, WA",1990,,Q5083,Seattle, WA,printmaker,printmaker,Levi Sherman,"['Sherman, Levi and Gomez, Carly (1990-, born Seattle, WA)']"
"Sherraden, Jim","1957-, born Salina, KS",1957,,Q1650620,Salina, KS,printmaker,printmaker,Jim Sherraden,"['Sherraden, Jim (1957-, born Salina, KS)', 'Sherraden, Jim (1957, born Salina, KS)', 'Sherraden, Jim (1956-, born Salina, KS)', 'Sherraden, Jim, (1957-, born Salina, KS)', 'Sherraden, Jim, for Hatch Show Print (1957-, born Salina, KS)']"
"Sherrard, Toby","1977-, born Seattle, WA",1977,,Q5083,Seattle, WA,printmaker,printmaker,Toby Sherrard,"['Sherrard, Toby (1977-, born Seattle, WA)']"
"Shigemasa, Kitabatake",1739-1820,1739,1820,,,,book artist,book artist,Kitabatake Shigemasa,"['Shigemasa, Kitabatake  (1739-1820)']"
"Shotz, Allison","American artist, born 1964",1964,,,,,printmaker,American artist,Allison Shotz,"['Shotz, Allison (American artist, born 1964)']"
"Shuki, Ichiin",,,,,,,painter,painter,Ichiin Shuki,"['Shuki, Ichiin']"
"Shwab, Paul",,,,,,,painter,painter,Paul Shwab,"['Shwab, Paul']"
"Sietens, Guntars","1962-, born Kuldiga, Latvia",1962,,Q155281,Kuldiga, Latvia,printmaker,printmaker,Guntars Sietens,"['Sietens, Guntars (1962-, born Kuldiga, Latvia)']"
"Singer, Charles",,,,,,,painter,painter,Charles Singer,"['Singer, Charles']"
"Slowicki, M.",,,,,,,printmaker,printmaker,M. Slowicki,"['Slowicki, M.']"
"Smith, Peggy","painter, active 20th century",,,,,,painter,painter,Peggy Smith,"['Smith, Peggy (painter, active 20th century)']"
"Smyth, David","American painter, born 1943",1943,,,,,printmaker,American painter,David Smyth,"['Smyth, David (American painter, born 1943)']"
Soken,"Japanese painter, 1759-1818",1759,1818,,,,book artist,Japanese painter,Soken,"['Soken (Japanese painter, 1759-1818)']"
"Sook, Koo Kyung","1960-, born Seoul, Korea",1960,,Q1192050,Seoul, Korea,photographer,photographer,Koo Kyung Sook,"['Sook, Koo Kyung (1960-, born Seoul, Korea)']"
"Soreff, Helen","American painter, 20th century",,,,,,printmaker,American painter,Helen Soreff,"['Soreff, Helen (American painter, 20th century)']"
"Soyen, Kabocha",,,,,,,book artist,book artist,Kabocha Soyen,"['Soyen, Kabocha']"
"Speakman, Harold",,,,,,,printmaker,printmaker,Harold Speakman,"['Speakman, Harold']"
"Spinola, Lily",,,,,,,painter,painter,Lily Spinola,"['Spinola, Lily']"
"St. John, James Allen",1872-1957,1872,1957,,,,printmaker,printmaker,James Allen St. John,"['St. John, James Allen  (1872-1957)']"
"Stackelhaus, Heiner",,,,,,,book artist,book artist,Heiner Stackelhaus,"['Stackelhaus, Heiner']"
"Stang, George",,,,,,,ceramic artist,ceramic artist,George Stang,"['Stang, George']"
"Stark, George King","1923-1992, born Schenectady, NY, died Granby, NY",1923,1992,Q331380,Schenectady, NY,sculptor,sculptor,George King Stark,"['Stark, George King (1923-1992, born Schenectady, NY, died Granby, NY)']"
"Starowieysky, Franciszek","1930-, born Bratkówka, Poland",1930,,Q2070933,Bratkówka, Poland,printmaker,printmaker,Franciszek Starowieysky,"['Starowieysky, Franciszek (1930-, born Bratkówka, Poland)']"
"Stewart, John P.",1945-,1945,,,,,printmaker,printmaker,John P. Stewart,"['Stewart, John P. (1945-)']"
