last_first,description,born,died,birthplace,birth_city,birth_state,artist_type,wikidata_description,name,creator_string
"Burg, Patricia Jean","Canadian artist, born 1934",1934,,,,,printmaker,Canadian artist,Patricia Jean Burg,"['Burg, Patricia Jean (Canadian artist, born 1934)']"
"Burke, G.",,,,,,,printmaker,printmaker,G. Burke,"['Burke, G.']"
"Bush, Claire","1933-, born Pocono Lake, PA",1933,,Q16898647,Pocono Lake, PA,painter,painter,Claire Bush,"['Bush, Claire (1933-, born Pocono Lake, PA)']"
"Butcher, Nick","1980-, born Dyersburg, TN",1980,,Q1268670,Dyersburg, TN,painter,painter,Nick Butcher,"['Butcher, Nick (1980-, born Dyersburg, TN)']"
"Buxkamper, Barry",1946-,1946,,,,,painter,painter,Barry Buxkamper,"['Buxkamper, Barry (1946-)']"
"Cabanes, Pierre Franz",,,,,,,drawer,drawer,Pierre Franz Cabanes,"['Cabanes, Pierre Franz']"
"Cameron, Don",1936-,1936,,,,,printmaker,printmaker,Don Cameron,"['Cameron, Don (1936-)']"
"Cantrell, Leon",,,,,,,photographer,photographer,Leon Cantrell,"['Cantrell, Leon']"
"Carey, Henry",,,,,,,painter,painter,Henry Carey,"['Carey, Henry']"
Carle,,,,,,,artist,artist,Carle,['Carle']
"Carone, Matthew","1930-, born New Jersey",1930,,Q1408,New Jersey,,painter,painter,Matthew Carone,"['Carone, Matthew (1930-, born New Jersey)', 'Carone, Matthew']"
"Carsen, Emil Soren",1848-1932,1848,1932,,,,painter,painter,Emil Soren Carsen,"['Carsen, Emil Soren (1848-1932)']"
Casey D.Gill,"1981, born Monterey, CA",1981,,Q487315,Monterey, CA,printmaker,printmaker,Casey D.Gill,"['Casey D.Gill (1981, born Monterey, CA)']"
Ch'en Ku,", born P'eng-Ch'eng, China",,,Q57719, P'eng-Ch'eng,China,painter,painter,Ch'en Ku,"[""Ch'en Ku (, born P'eng-Ch'eng, China)""]"
"Chamberlain, Mitchell",,,,,,,printmaker,printmaker,Mitchell Chamberlain,"['Chamberlain, Mitchell']"
Chang Tse-tuan,,,,,,,painter,painter,Chang Tse-tuan,['Chang Tse-tuan']
Chao Fen,,,,,,,painter,painter,Chao Fen,['Chao Fen']
Chen Yuzhang,,,,,,,artist,artist,Chen Yuzhang,['Chen Yuzhang']
Chikuyodo,1860-1890,1860,1890,,,,printmaker,printmaker,Chikuyodo,['Chikuyodo (1860-1890)']
