accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
1979.0086,0.89453125,0.09,0.623,0.15313807531380752,0.6711297071129707,90,623,183,802,-14.3444805,-29.210835,-2.84252,,1,1,1,1,1,1,1,0.4571276
1979.0141,0.94921875,0.41,0.839,0.10202550637659415,0.4763690922730683,410,839,136,635,16.370117,59.287334,4.6291184,,4,1,1,1,1,1,1,0.2230383
1979.0176,0.875,0.083,0.87,0.06422764227642276,0.808130081300813,83,870,79,994,0.6042222,-18.045177,-6.015832,,1,1,1,1,1,1,1,0.37626418
1979.0190P,0.84765625,0.21983715766099185,0.32642487046632124,0.192,0.359,297,441,192,359,13.495517,10.304849,-7.319271,,2,1,1,1,1,1,1,0.71266943
1979.0223P,0.578125,0.42042042042042044,0.5435435435435435,0.2,0.30923076923076925,420,543,260,402,-15.735756,-81.67693,5.20109,,1,1,1,1,1,1,1,0.30582166
1979.0234P,0.5859375,0.29444444444444445,0.3425925925925926,0.31536388140161725,0.39622641509433965,159,185,117,147,3.320816,84.05134,2.5685575,,1,1,1,1,1,2,1,0.009228804
1979.0236P,0.85546875,0.42242242242242245,0.5295295295295295,0.25177025963808025,0.3493312352478363,422,529,320,444,-24.049383,-45.03908,5.552849,,1,1,1,1,1,1,1,0.3897716
1979.0238P,0.51171875,0.591,0.65,0.40982286634460546,0.46618357487922707,591,650,509,579,-16.572302,-57.02429,-0.5579443,,1,1,1,1,1,1,1,0.17010704
1979.0251P,0.5078125,0.4964964964964965,0.6286286286286287,0.20987654320987653,0.30493827160493825,496,628,340,494,12.576965,-1.3628538,-4.6119466,,1,1,1,1,1,1,1,0.8269816
1979.0280P,0.93359375,0.39853300733496333,0.5770171149144254,0.13293650793650794,0.30158730158730157,163,236,67,152,-5.8521414,-58.014732,5.8467402,,1,1,1,1,1,1,1,0.083935015
1979.0284P,0.53125,0.8584758942457231,0.8996889580093312,0.5245245245245245,0.5855855855855856,1104,1157,524,585,26.500683,-32.396553,-22.777073,,1,1,1,1,1,1,1,0.020469986
