accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0176,Person,0.71553195,0.114731885,0.9678958,0.053888287,0.9855473,115,968,66,1212
1979.0176,Hat,0.59640783,0.1855538,0.95803165,0.06899578,0.49848655,186,958,85,613
1979.0177,Person,0.8046058,0.026512362,0.90544206,0.08707848,0.94607425,27,905,136,1476
1979.0177,Clothing,0.5386323,0.023997413,0.9507535,0.249162,0.9848302,24,951,389,1536
1979.0190P,Person,0.8433832,0.031809304,0.92631143,0.14488119,0.8388352,43,1251,145,839
1979.0190P,Necklace,0.6827509,0.22113551,0.29641744,0.3160222,0.4580342,299,400,316,458
1979.0190P,Person,0.6773474,0.04942554,0.9395686,0.13364325,0.83239526,67,1269,134,832
1979.0203P,Fish,0.8071992,0.03971712,0.9973958,0.53767437,0.87898225,49,1223,538,879
1979.0215P,Animal,0.620501,0.091536544,0.24142325,0.46765912,0.73936504,133,350,468,739
1979.0215P,Animal,0.6189622,0.6352334,0.72158545,0.5058444,0.7345307,920,1045,506,735
1979.0215P,Animal,0.590032,0.21687931,0.34820077,0.5328142,0.81536436,314,504,533,815
1979.0215P,Person,0.5866602,0.48113894,0.61527014,0.5251737,0.8355367,697,891,525,836
1979.0215P,Hat,0.56560135,0.00012303058,0.99582916,0.0064289793,0.9973958,0,1442,6,997
1979.0215P,Person,0.54022896,0.342206,0.46348807,0.49298224,0.8019552,496,671,493,802
1979.0215P,Person,0.521628,0.2394396,0.34997824,0.547811,0.75267893,347,507,548,753
1979.0215P,Person,0.5172397,0.40299287,0.5358139,0.5063781,0.8210241,584,776,506,821
1979.0223P,Person,0.8059227,0.22969835,0.95565724,0.20642264,0.98503846,229,955,268,1281
1979.0225P,Book,0.78149337,0.060250476,0.81995755,0.30449012,0.82721066,87,1184,304,827
1979.0226P,Person,0.89138234,0.29184797,0.6191935,0.3822334,0.8887944,292,619,498,1159
1979.0226P,Cat,0.73607326,0.61566126,0.82722926,0.84590596,0.96555656,616,827,1103,1259
1979.0226P,Clothing,0.6482095,0.3186281,0.5727766,0.42074355,0.7953257,319,573,549,1037
1979.0226P,Furniture,0.575237,0.27606627,0.6995628,0.48380002,0.91853094,276,700,631,1198
1979.0226P,Table,0.52568585,0.051623043,0.37714982,0.5498617,0.8726752,52,377,717,1138
1979.0226P,Luggage & bags,0.5132312,0.81254655,0.98660654,0.6205908,0.7269642,813,987,809,948
1979.0234P,Person,0.8467184,0.22968309,0.387861,0.313419,0.8253541,124,209,116,306
1979.0234P,Animal,0.76300466,0.80891615,0.965632,0.3712485,0.6472209,437,521,138,240
1979.0234P,Person,0.55115044,0.34261882,0.46049893,0.37746334,0.8419804,185,249,140,312
1979.0236P,Person,0.8084032,0.34202185,0.70828384,0.21531963,0.7548597,342,708,274,959
1979.0236P,Hat,0.7250545,0.42798385,0.5747803,0.21459705,0.31585768,428,574,273,401
1979.0236P,Chair,0.7046384,0.66486937,0.8619115,0.3400369,0.73023415,664,861,432,928
1979.0236P,Clothing,0.56907845,0.38640496,0.67020845,0.29838112,0.6189417,386,670,379,787
1979.0236P,Table,0.54380524,0.05479932,0.52567035,0.44963896,0.8075752,55,525,571,1026
1979.0238P,Top,0.8745966,0.590624,0.7896004,0.43346134,0.5713243,591,790,538,710
1979.0238P,Person,0.8246808,0.5828679,0.8304667,0.37469432,0.7347839,583,830,465,913
1979.0238P,Luggage & bags,0.6153442,0.6896389,0.86133665,0.6671326,0.9602652,690,861,829,1193
1979.0238P,Skirt,0.5307923,0.6001358,0.8041977,0.5251088,0.7864926,600,804,652,977
1979.0238P,Furniture,0.51910496,0.0,0.44440162,0.81770253,0.99534076,0,444,1016,1236
1979.0247P,Person,0.84439015,0.41755974,0.51314557,0.65904397,0.88979954,541,665,659,890
1979.0247P,Person,0.7834885,0.68862367,0.78951377,0.6672867,0.8697625,892,1022,667,870
1979.0247P,Person,0.7751297,0.7835627,0.8985271,0.49315068,0.8285647,1015,1164,493,829
1979.0247P,Animal,0.75648737,0.033435937,0.19948335,0.6839862,0.8878705,43,258,684,888
1979.0247P,Person,0.7468535,0.5707266,0.74141055,0.75681907,0.9729708,739,960,757,973
1979.0247P,Animal,0.58123064,0.12815173,0.28652424,0.8153896,0.89743274,166,371,815,897
1979.0247P,Tent,0.5583058,0.48366845,0.7067298,0.54475087,0.8509807,626,915,545,851
1979.0249P,Stool,0.82187283,0.6691244,0.92261726,0.72221917,0.95553565,669,923,885,1171
1979.0249P,Person,0.71986544,0.42888403,0.7703052,0.3851312,0.9156029,429,770,472,1122
1979.0249P,Person,0.6734418,0.061448947,0.32541907,0.46123663,0.88337713,61,325,565,1082
1979.0249P,Person,0.67197055,0.26463252,0.5983221,0.11902407,0.41110542,265,598,146,504
1979.0249P,Person,0.6339282,0.6427035,0.968061,0.41106495,0.8805141,643,968,504,1079
1979.0251P,Dress,0.9052339,0.017284652,0.6505926,0.23944144,0.8507839,17,650,388,1378
1979.0251P,Dress,0.8796373,0.5358041,0.9785512,0.24487017,0.8268852,535,978,397,1340
1979.0264P,Person,0.5935487,0.01162376,0.36559895,0.4274039,0.9931483,13,397,427,993
1979.0264P,Person,0.5690716,0.5811631,0.9368097,0.38760337,0.93226624,631,1017,388,932
1979.0264P,Person,0.56543285,0.4874066,0.6170361,0.42418113,0.5877415,529,670,424,588
1979.0268P,Person,0.86490655,0.7601755,0.8743944,0.4384725,0.84758335,948,1090,438,848
1979.0268P,Person,0.82804793,0.03099724,0.14803071,0.43867755,0.8126964,39,185,439,813
1979.0268P,Person,0.8229201,0.54530686,0.81165075,0.45090958,0.9057968,680,1012,451,906
1979.0268P,Person,0.8178589,0.21559924,0.5398946,0.3433564,0.9295443,269,673,343,930
1979.0268P,Stool,0.76017845,0.5051518,0.61767125,0.6823805,0.9163479,630,770,682,916
1979.0268P,Person,0.71808076,0.15781792,0.29112366,0.36107048,0.7763145,197,363,361,776
1979.0268P,Clothing,0.54478866,0.04121174,0.14527158,0.500138,0.73740333,51,181,500,737
1979.0274P,Animal,0.6496215,0.16436826,0.7023964,0.47743037,0.85261804,249,1063,477,852
1979.0274P,Hat,0.5123407,0.0,0.9866657,0.008562114,0.99377996,0,1493,9,993
1979.0275P,Hat,0.5142888,0.0,0.9973958,0.0023254831,0.9973958,0,1523,2,997
1979.0280P,Person,0.8367387,0.06452649,0.7834675,0.085172,0.9832797,26,320,43,496
1979.0280P,Chair,0.7363357,0.39010778,0.9329884,0.43828443,0.99739575,160,382,221,503
1979.0280P,Piano,0.69732296,0.0073383474,0.41882578,0.18673664,0.8525105,3,171,94,430
1979.0280P,Person,0.61511403,0.08407891,0.82657146,0.092043996,0.9823645,34,338,46,495
1979.0282P,Animal,0.8393779,0.23521137,0.29899296,0.28052226,0.49398974,360,458,281,494
1979.0282P,Animal,0.836644,0.51846457,0.7765524,0.42154166,0.7341868,794,1190,422,734
