accession_number,height,width,max_height,max_width
1978.164,999,1545,1512,2016
1978.166,1000,1384,1512,2016
1978.167,1000,1434,1512,2016
1978.168,1000,1550,1512,2016
1978.169,1623,999,1512,2016
1979.0014,1000,1177,1512,2016
1979.0015,1344,1000,1512,2016
1979.0016,999,1509,1512,2016
1979.0026,1000,1329,1512,2016
1979.0027,1102,999,1512,2016
1979.0070,1352,1000,1512,2016
1979.0071,1000,1382,1512,2016
1979.0072,1000,1822,1512,2016
1979.0073,1256,999,1512,2016
1979.0074,1000,1380,1512,2016
1979.0085,1000,1504,1512,2016
1979.0086,1195,1000,1512,2016
1979.0087,1465,1000,1512,2016
1979.0095,1339,999,1512,2016
1979.0098,1000,1493,1512,2016
1979.0101,1512,1000,1512,2016
1979.0121,1000,1588,1512,2016
1979.0126,999,1135,1512,2016
1979.0134,999,1478,1512,2016
1979.0141,1333,1000,1512,2016
1979.0171,999,1397,1512,2016
1979.0174,1377,1000,1512,2016
1979.0175,1265,1000,1512,2016
1979.0176,1230,1000,1512,2016
1979.0177,1560,1000,1512,2016
1979.0190P,1000,1351,1512,2016
1979.0195P,999,1278,1512,2016
1979.0203P,1000,1226,1512,2016
1979.0215P,1000,1448,1512,2016
1979.0223P,1300,999,1512,2016
1979.0225P,1000,1444,1512,2016
1979.0226P,1304,1000,1512,2016
1979.0232P,1000,1309,1512,2016
1979.0234P,371,540,1512,2016
1979.0236P,1271,999,1512,2016
1979.0238P,1242,1000,1512,2016
1979.0243P,1000,1366,1512,2016
1979.0247P,1000,1295,1512,2016
1979.0249P,1225,1000,1512,2016
1979.0251P,1620,999,1512,2016
1979.0264P,1000,1086,1512,2016
1979.0268P,1000,1247,1512,2016
1979.0274P,999,1513,1512,2016
1979.0275P,1000,1527,1512,2016
1979.0280P,504,409,1512,2016
1979.0282P,1000,1532,1512,2016
1979.0284P,999,1286,1512,2016
1979.0288P,1000,1502,1512,2016
1979.0293P,1000,1141,1512,2016
1979.0302P,999,1299,1512,2016
1979.0303P,1000,1490,1512,2016
1979.0304P,1000,1494,1512,2016
1979.0316P,1176,1000,1512,2016
1979.0321P,1254,999,1512,2016
1979.0322P,1477,1000,1512,2016
1979.0324P,999,1217,1512,2016
1979.0346P,1375,1000,1512,2016
1979.0370P,418,305,1512,2016
1979.0372P,1551,999,1512,2016
1979.0373P,1504,1000,1512,2016
1979.0381P,1238,1000,1512,2016
1979.0382P,999,1371,1512,2016
1979.0383P,999,1344,1512,2016
1979.0384P,1000,1363,1512,2016
1979.0395P,1500,1000,1512,2016
1979.0404P,1615,1000,1512,2016
1979.0409P,409,360,1512,2016
1979.0410P,1333,1000,1512,2016
1979.0411p,1333,1000,1512,2016
1979.0412P,1333,1000,1512,2016
1979.0413P,1333,1000,1512,2016
1979.0414p,1333,1000,1512,2016
1979.0415P,1333,1000,1512,2016
1979.0419P,1000,1333,1512,2016
1979.0425P,1818,1000,1512,2016
1979.0426P,1429,1000,1512,2016
1979.0433P,1333,1000,1512,2016
1979.0434P,680,388,1512,2016
1979.0448P,1500,1000,1512,2016
1979.0459P,1333,1000,1512,2016
1979.0462P,1000,1333,1512,2016
1979.0487P,1099,1000,1512,2016
1979.0505P,1333,1000,1512,2016
1979.0506P,1397,1000,1512,2016
1979.0524P,587,360,1512,2016
1979.0525P,1821,1000,1512,2016
1979.0532P,1500,1000,1512,2016
1979.0553,506,288,1512,2016
1979.0567P,640,480,1512,2016
1979.0601P,1333,1000,1512,2016
1979.0602P,1333,1000,1512,2016
1979.0606P,1333,1000,1512,2016
1979.0608P,1000,1246,1512,2016
1979.0634P,379,306,1512,2016
1979.0649P,1106,999,1512,2016
