title,start,end,dates,gallery_raw_string,raw_string
,"May 9, 1922","May 31, 1922",Pre-Vanderbilt,,"(Pre-Vanderbilt): Abbott H. Thayer Memorial Exhibition at The Corcoran Gallery of Art, Washington D.C. (May 9 to May 31, 1922)"
10 West Coast Artists ,"June 9, 2011","August 13, 2011","June 9–August 13, 2011","10 West Coast Artists (June 9–August 13, 2011)","10 West Coast Artists (June 9–August 13, 2011)"
"A Catalan Perspective: Work by Joan Miró, Antoni Tàpies, and Joaquim Gomis ",1995,1995,1995,"A Catalan Perspective: Work by Joan Miró, Antoni Tàpies, and Joaquim Gomis (1995)","A Catalan Perspective: Work by Joan Miró, Antoni Tàpies, and Joaquim Gomis (1995)"
,"April 28, 2001","September 9, 2001","April 28 - September 9, 2001",,"A Disarming Beauty: The Venus de Milo in 20th Century Art, Salvador Dali Museum, St. Petersburg, FL (April 28 - September 9, 2001)"
,1960,1960,now Cheekwood Botanical Garden and Museum of Art,,"A Retrospective of Paintings and Drawings by Biel Tennessee Fine Arts Center (now Cheekwood Botanical Garden and Museum of Art), (1960)"
A Word Made Flesh: Works by Lesley Dill,"March 29, 2003","June 5, 2003",3/29/03-6/5/03,"A Word Made Flesh: Works by Lesley Dill, (3/29/03-6/5/03)","A Word Made Flesh: Works by Lesley Dill, (3/29/03-6/5/03)"
Abstract Reality ,1993,1993,1993,Abstract Reality (1993),Abstract Reality (1993)
"ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain ","May 27, 1999","August 20, 1999","May 27-August 20, 1999","ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)","ADGFAD: Contemporary Graphic Arts from the Graphic Designers, Art Directors and Illustrators Association of Spain (May 27-August 20, 1999)"
,"January 9, 2016","April 3, 2016","January 9 - April 3, 2016",,"Alchemy of the Soul: Maria Magdalena Campos-Pons at the Peabody Essex Museum, Salem, MA (January 9 - April 3, 2016)"
American Abstract Artists 75th Anniversary Print Portfolio ,"January 15, 2015","February 27, 2015","January 15 - February 27, 2015","American Abstract Artists 75th Anniversary Print Portfolio (January 15 - February 27, 2015)","American Abstract Artists 75th Anniversary Print Portfolio (January 15 - February 27, 2015)"
"American Artists and the Legacy of the Grand Tour, 1880-1960 ","June 15, 2017","August 26, 2017","June 15 to August 26, 2017","American Artists and the Legacy of the Grand Tour, 1880-1960 (June 15 to August 26, 2017)","American Artists and the Legacy of the Grand Tour, 1880-1960 (June 15 to August 26, 2017)"
American Modernism at Mid-Century: The Work of Morris Davidson ,"April 28, 2017","September 17, 2017","April 28-September 17, 2017","American Modernism at Mid-Century: The Work of Morris Davidson (April 28-September 17, 2017)","American Modernism at Mid-Century: The Work of Morris Davidson (April 28-September 17, 2017)"
,"April 8, 2001","March 10, 2002","April 8, 2001-March 10, 2002",,"An Enduring Legacy: Art of the Americas from Nashville Collections, Frist Center for the Visual Arts, (April 8, 2001-March 10, 2002)"
Artists' Books ,1993,1993,1993,Artists' Books (1993),Artists' Books (1993)
Arts of Japan ,"January 12, 2012","February 26, 2012","January 12-February 26, 2012","Arts of Japan (January 12-February 26, 2012)","Arts of Japan (January 12-February 26, 2012)"
Aspects of Classicism ,January 1976,February 1976,January-February 1976,Aspects of Classicism (January-February 1976),Aspects of Classicism (January-February 1976)
Beauty and Power ,2007,2007,Summer 2007,Beauty and Power (Summer 2007),Beauty and Power (Summer 2007)
Belle Pitture: Selections from the Samuel K. Kress Collection of Italian Renaissance Painting ,1994,1994,1994,Belle Pitture: Selections from the Samuel K. Kress Collection of Italian Renaissance Painting (1994),Belle Pitture: Selections from the Samuel K. Kress Collection of Italian Renaissance Painting (1994)
Bestia contra Bestia/Beast vs. Beast: Photographs by Jose Luis Raymond ,"January 13, 2011","March 17, 2011","January 13 - March 17, 2011","Bestia contra Bestia/Beast vs. Beast: Photographs by Jose Luis Raymond (January 13 - March 17, 2011)","Bestia contra Bestia/Beast vs. Beast: Photographs by Jose Luis Raymond (January 13 - March 17, 2011)"
,April 1993,April 1993,April 1993,,Board of Trust (April 1993)
Board of Trust Spring Exhibition ,April 1997,April 1997,April 1997,Board of Trust Spring Exhibition (April 1997),Board of Trust Spring Exhibition (April 1997)
"Byzantine Frescoes of the 12th-15th Centuries from Yugoslavia: Copies by Zdenka Zivkovic, Belgrade ",1986,1986,1986,"Byzantine Frescoes of the 12th-15th Centuries from Yugoslavia: Copies by Zdenka Zivkovic, Belgrade (1986)","Byzantine Frescoes of the 12th-15th Centuries from Yugoslavia: Copies by Zdenka Zivkovic, Belgrade (1986)"
Byzantium: Art & Ritual ,"February 11, 1999","March 21, 1999","February 11-March 21, 1999","Byzantium: Art & Ritual (February 11-March 21, 1999)","Byzantium: Art & Ritual (February 11-March 21, 1999)"
Capital Cultures: Hogarth’s London to Hiroshige’s Edo ,"April 11, 1997","June 6, 1997","April 11-June 6, 1997","Capital Cultures: Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)","Capital Cultures: Hogarth’s London to Hiroshige’s Edo (April 11-June 6, 1997)"
