Key,Divinity Faculty,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
UBNSFS5P,"Levine, Amy-Jill",journalArticle,2014,"Levine, Amy-Jill",Who Is My Neighbor: In the Footsteps of the Samaritan,America: The National Catholic Review,,0002-7049,,America: The National Catholic Review,,9/29/14,11/3/16 19:54,11/3/16 19:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXDTPA8Q,"Hudnut-Beumler, Jim",journalArticle,1999,"Hudnut-Beumler, James David",Review of Lived religion in America: Toward a history of practice,The Journal of the American Academy of Religion,,0002-7189,,,,1999-12,7/3/14 16:52,12/18/14 20:16,,900-902,,4,67,,,Lived religion in America,,,,,,,English,,,,,Primo,,,,,,Book review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBZQXINU,"Sasson, Jack",journalArticle,1983,"Sasson, Jack M.",Musical Settings for Cuneiform Literature: A Discography,Journal of the American Oriental Society,,0003-0279,,,,1983,12/12/14 4:51,12/12/14 4:52,,233-235,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8XRQRE5,"Sasson, Jack",journalArticle,1966,"Sasson, Jack M.",Canaanite Maritime Involvement in the Second Millennium B. C.,Journal of the American Oriental Society,,0003-0279,,,,1966,12/11/14 18:56,5/1/15 16:37,,126,,2,86,,,,,,,,,,eng,,,,,Primo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF9E9R7E,"Knight, Douglas A.",journalArticle,2008,"Knight, Douglas A.",James Barr 20 March 1924 · 14 October 2006,Proceedings of the American Philosophical Society,,0003-049X,,http://www.jstor.org.proxy.library.vanderbilt.edu/stable/40541593,,9/1/08,5/20/14 15:55,5/20/14 15:55,5/20/14 15:55,385-390,,3,152,,Proceedings of the American Philosophical Society,,,,,,,,,Copyright © 2008 American Philosophical Society,,,,JSTOR,,,,C:\Users\xus12\Zotero\storage\QZUDUZR4\Knight - 2008 - James Barr 20 March 1924 · 14 October 2006.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2C7VSKC,"Morrill, Bruce T.",journalArticle,2011,"Morrill, Bruce T.",Emerging Critical Resources for Liturgical Studies,Proceedings of the North American Academy of Liturgy,,0003-049X,,,,2011,7/30/14 14:35,7/30/14 14:36,,44-46,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB48E8SC,"Morrill, Bruce T.",journalArticle,2009,"Morrill, Bruce T.","Introduction for the Diekmann Award, presented to Louis-Marie Chauvet",Proceedings of the North American Academy of Liturgy,,0003-049X,,,,2009,7/30/14 14:34,7/30/14 14:35,,44-46,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I5953E6S,"Morrill, Bruce T.",journalArticle,2007,"Morrill, Bruce T.","Introduction for the Berakah Award, presented to John F. Baldovin",Proceedings of the North American Academy of Liturgy,,0003-049X,,,,2007,7/30/14 14:33,7/30/14 14:34,,15-16,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3MC8WA8,"Morrill, Bruce T.",journalArticle,2012,"Morrill, Bruce T.","Performing the Rite of Marriage: Agency, Identity, and Ideology",Proceedings of the North American Academy of Liturgy,,0003-049X,,,,2012,7/23/14 15:03,7/23/14 15:04,,93-105,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3UW42CI,"Sasson, Jack",journalArticle,1993,"Sasson, Jack M.",Albright as an Orientalist,The Biblical Archaeologist,,0006-0895,,,,1993,12/16/14 14:14,5/1/15 16:23,,3-7,,1,56,,,,,,,,,,eng,,,,,Primo,BS620.A1,,,,,,"Antiquities, Biblical; Archaeological digs; Archaeological excavations; Archaeology Periodicals; Archaeology, Biblical; Bible Antiquities Periodicals; Bible Archaeology; Bible Authority; Bible Evidences, authority, etc; Bible Inerrancy; Biblical archaeology; Canonical authority; Digs (Archaeology); Evidences of the Bible; Excavation sites (Archaeology); Excavations (Archaeology); Monumental theology; Ruins; Sites, Excavation (Archaeology)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
