Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
5KP7HUIH,"Seow, C.L.",2009,,,,,,,2009,11/15/22 20:31,11/15/22 20:31,,,,,,,,,,,,,Walter de Gruyter,Berlin,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLA0001765266&site=ehost-live&scope=site&scope=cite,,Biblical Hermeneutics; Christianity; General Reference,"Seow, C.L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Encyclopedia of the Bible and its reception Volume 2 Anim-atheism,
4R8N99BG,"Townes, Emilie",2008,,978-1-57356-762-6,,,,"$$C Contents: $$V Ancestral songs -- Natural/supernatural : African American hoodoo narratives of sickness <span class=""searchword"">and</span> <span class=""searchword"">healing</span> / Yvonne P. Chireau -- Holistic <span class=""searchword"">health</span> <span class=""searchword"">and</span> <span class=""searchword"">healing</span> : environmental racism <span class=""searchword"">and</span> ecological justice / Dwight N. Hopkins -- <span class=""searchword"">Health</span> <span class=""searchword"">and</span> <span class=""searchword"">healing</span> across the diaspora -- Bodies in time <span class=""searchword"">and</span> the <span class=""searchword"">healing</span> of spaces : <span class=""searchword"">religion</span>, temporalities, <span class=""searchword"">and</span> <span class=""searchword"">health</span> / Charles H. Long -- Spiritual illness <span class=""searchword"">and</span> <span class=""searchword"">healing</span> : ""if the Lord wills"" / Arvilla Payne-Jackson -- The arts of ritual <span class=""searchword"">and</span> practice -- The marking of the body, memory, <span class=""searchword"">and</span> the meaning of suffering in Phyllis Alesia Perry's Stigmata / Carolyn M. Jones -- Just awailing <span class=""searchword"">and</span> aweeping : grief, lament, <span class=""searchword"">and</span> hope as we face the end of life / Emilie M. Townes -- Honoring the body : ritual of breath <span class=""searchword"">and</span> breathing / C. S'thembile West -- Analyzing social realities -- The destruction of Aunt Ester's house : faith, <span class=""searchword"">health</span>, <span class=""searchword"">and</span> <span class=""searchword"">healing</span> in the African American community / Terri Baltimore <span class=""searchword"">and</span> Mindy Thompson Fullilove -- The unspoken, the spoken, <span class=""searchword"">and</span> affirmed : meanings of healing, same-gender-loving African Americans, and Black churches / Linda L. Barnes -- Finding and making wellness -- Seeking help for the body in the well-being of the soul / Rosemary D. Gooden -- Too gay for the church, but always at home in the club : health, spirituality, and social support among adult Black gay men in Oakland's Cable Reef / D. Mark Wilson -- Healing hearts and broken bodies : an African American women's spirituality of healing / Stephanie Y. Mitchem.",2008,9/23/14 19:00,7/17/18 19:44,,,1,,,,,,,,,,Praeger,"Westport, Conn",eng,,,,,Primo,BL65.M4,,,,,,African Americans Religion; Healing Religious aspects; Divine healing; Faith healing; nne Faith-cure; Spiritual healing; Spiritual therapies; Spiritual healing United States,"Townes, Emilie M.; Mitchem, Stephanie Y.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Faith, health, and healing in African American life",
D2GPRVVE,"Seow, C.L.",2005,"Dobbs-Allsopp, F. W.; Roberts, J. J. M.; Seow, C. L. (Choon Leong); Whitaker, Richard E.",0-300-10397-2,,,,,2005,10/10/14 20:07,10/10/14 20:10,,,804,,,,,,,,,,Yale University Press,"New Haven, Conn.",English,,,,,OCLC WorldCat FirstSearch,,,,,,,"Inscriptions, Hebrew. Hebrew philology. Oudhebreeuws. Inscripties. Inschrift. Hebrew philology. Inscriptions, Hebrew",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Hebrew inscriptions: texts from the biblical period of the monarchy with concordance,
IK7R3XQP,"Seow, C.L.",1996,,0-664-25664-3,,,,"Contributors to this volume, all members of the Princeton Theological Seminary faculty, address the various exegetical, interpretive, and practical issues pertaining to the issue of homosexuality in the church. These include the ordination of homosexuals and the blessing of homosexual unions, as well as broader issues dealing with liturgical and theological language about God and the role of the church in a pluralistic society. The contributors speak of these various issues as theological educators, ministers, and committed Christians. They ask, What do the scriptures say about homosexuality and related issues? How should the scriptures inform our theological reflection? and How do we live faithfully in regard to this matter? And like the Christian community at large, the contributors are not of one mind on any of these issues; many times they are in considerable disagreement. Homosexuality and Christian Community will help to guide churches and individuals engaged in theological reflection about the place of homosexuals in the church.",1996,10/10/14 19:35,10/10/14 19:45,,,159,,,,,,,,,,Westminster John Knox Press,"Louisville, Ky.",English,,,,,OCLC WorldCat FirstSearch,,,,,,,Religious aspects; Christianity; Biblical teaching. Homoseksualiteit. Homosexuality; Biblical teaching. Homosexuality; Christianity. Homosexuality; Homosexuality,"Seow, C. L. (Choon Leong)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Homosexuality and Christian community,
73IMYUEH,"Thompson, Lisa L.",2018,"Thompson, Lisa L.",978-1-5018-3259-8,,,,,2018,3/30/20 17:13,3/30/20 17:13,,,,,,,,Ingenuity,,,,,Abingdon Press,Nashville,eng,,,,,catalog.library.vanderbilt.edu,,,,,,,"Women, Black; Religion; History; Preaching; Women in Christianity; African American preaching; African American women clergy; Sermons, American; Women authors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Ingenuity: preaching as an outsider,
X5D6Z64C,"Segovia, Fernando F.",2000,"Segovia, Fernando F.",1-84127-104-7,,,,,2000,5/21/14 15:14,10/13/20 18:40,,,,,,,,,Bible and postcolonialism,,,,Sheffield Academic Press,Sheffield,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000023493&site=ehost-live&scope=cite,,Biblical Hermeneutics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Interpreting beyond borders,
QADB6P8X,"McClure, John S.",2004,"McClure, John S.; Allen, Ronald J.; Andrews, Dale P.; Bond, L. Susan; Moseley, Dan P.; Ramsey, Jr., G. Lee",0-8272-0500-7,,,,,2004,5/9/14 15:56,7/10/20 21:16,,,,,,,,Listening to listeners,,,,,Chalice Press,St Louis,,,,,,EBSCOhost,,,,,,,Christian; Preaching/Sermons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Listening to listeners: homiletical case studies,
9J77VKS3,"Segovia, Fernando F.",1982,"Segovia, Fernando F.",,,,,,1982,5/21/14 15:20,10/13/20 19:07,,,,,,,,Love Relationships in the Johannine Traditions,,,,,Scholars Press,,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000088076&site=ehost-live&scope=cite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Love Relationships in the Johannine Traditions: Agapē-Agapan in 1 John and the Fourth Gospel,
8EUH52HV,"Seow, C.L.",1989,"Seow, C. L. (Choon Leong)",1-55540-400-6,,,,,1989,10/10/14 19:35,10/10/14 19:46,,,272,,,,,,Harvard Semitic monographs,44,,,Scholars Press,"Atlanta, Ga.",English,,,,,OCLC WorldCat FirstSearch,,,,,,,History; Histoire; 1200-953 av. J.-C. Ark of the Covenant. Jews. Theology. Worship in the Bible; 1200-953 B.C. Arche d'alliance. Cultes dans la Bible. Juifs; Ark of the Covenant. Worship in the Bible. Jews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Myth, drama, and the politics of David's dance",
8GFW6MX2,"Levine, Amy-Jill",2018,,,,,,,2018,6/11/20 18:53,6/11/20 18:53,,,,,,,,,Oxford Biblical Commentary,,,,Oxford University Press,"New York, NY",,,,,,,,Spent a good bit looking for this New Testament Commentary but could not find it.,,,,,,,"Levine, Amy-Jill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,New Testament,
