qid,label_en,author_string_uuid,author_string,author_string_series_ordinal,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_stated_in,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q115715336,"Day of Pentecost: May 27, 2007",F0821536-D86D-4C31-A5AD-BFC932B9C471,V Steven Parrish,1,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715336,"Day of Pentecost: May 27, 2007",4CB338B8-0CC8-492C-9DC8-1DE71F845A3D,Paula J Carlson,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715336,"Day of Pentecost: May 27, 2007",80C06E04-82AE-4D71-AAB5-DAC452546974,David von Schlichten,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715336,"Day of Pentecost: May 27, 2007",FF5E94D2-4327-4EE9-9606-4F8F2E480843,Patrick J Willson,8,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",8D9EC761-217C-4C89-9280-0B7B5ABBD06D,Martin Kich,6,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",9F00EEFB-CEA0-4930-9CE8-BBBF48B5421F,David W Sharrard,3,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",B3B25946-B490-4D06-9260-D4D34C83D1A2,Linda M Clemow,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",F9219F1B-FEA2-45A1-9B98-F508D8D648A7,Gretchen Lord Anderson,5,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",424C6DA3-0D66-4365-AE9D-391843E5E4AF,Lisa Wilson Davison,7,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715337,"Proper 12, Ordinary 17, Pentecost 8: July 26, 2009",91F3E133-7A3E-4EDF-B3ED-B1A9D40D51CA,Sallie Watson,8,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
Q115715338,"Proper 11, Ordinary 16, Pentecost 7: July 19, 2009",49133D1E-9406-4D17-B397-E59B91EF0D6E,Linda M Clemow,4,263f3ec26329383c50164ad47f706e9c12561922,,Q114403967,645468c33f81003ef48cdebfa6776db9,2022-12-15T00:00:00Z,11
