Key,Divinity Faculty,Publication Year,Author,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title,Publication Title
ZPAJQFJE,"Meeks, M. Douglas",1996,"Meeks, M. Douglas",3-579-02008-0,,,,,1996,12/18/14 16:20,8/19/20 16:18,,205-222,,,,,,,,,,,"Kaiser, Gütersloher Verlagshaus",Gütersloh,German,,,,,OCLC WorldCat FirstSearch,,,,,,,Theologie. Evangelische Theologie. Genre/Form: Aufsatzsammlung,"Krieg, Carmen; Kucharz, Thomas; Volf, Miroslav",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Die Zukunft der Theologie in der Gütergesellschaf,"Die Theologie auf dem Weg in das dritte Jahrtausend: Festschrift für Jürgen Moltmann zum 70. Geburtstag / Lösel, Steffen."
END6SJDP,"Segovia, Fernando F.",1985,"Segovia, Fernando F.",0-8006-1873-4,,,,,1985,12/18/14 16:27,12/18/14 16:30,,76-102,,,,,,,,,,,Fortress Pr,"Philadelphia, Pa",,,,,,EBSCOhost,,,,,,,"New Testament; Conference proceedings; Conference proceedings--Biblical studies; Disciples, Twelve; Bible. New Testament --Criticism, interpretation; Discipleship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,'Peace I Leave With You; My Peace I Give To You': Discipleship in the Fourth Gospel,Discipleship in the New Testament
Z98E3ZM6,"Segovia, Fernando F.",1985,"Segovia, Fernando F.",0-8006-1873-4,,,,,1985,5/28/14 19:28,10/13/20 16:26,,1-23,,,,,,,,,,,Fortress Press,"Philadelphia, Pa",,,,,,EBSCOhost,,,,,,,"New Testament; Conference proceedings; Conference proceedings--Biblical studies; Disciples, Twelve; Bible. New Testament --Criticism, interpretation; Discipleship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Call and Discipleship: Toward a Reexamination of the Shape and Character of  Christian Discipleship in the New Testament,Discipleship in the New Testament
9PWMBK6I,"Knight, Douglas A.",1980,"Knight, Douglas A.",978-0-87068-700-6,,,,,1980,5/16/14 15:38,5/16/14 15:38,,87-105,,,,,,,,,,,Ktav Publishing House,New York,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001123402&site=ehost-live&scope=cite,,Bible. Old Testament --Ethics; Bible. Jeremiah; Conduct of life--Biblical teaching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Jeremiah and the dimensions of the moral life,"Divine helmsman, studies on God's control of human events, presented to Lou H Silberman"
QGP5AFPW,"Miller-McLemore, Bonnie",2004,"Miller-McLemore, Bonnie J.",0-8028-2171-5,,,,,2004,10/14/14 2:26,8/24/20 16:23,,49-62,,,,,,,,,,,William B. Eerdmans Publishing Company,"Grand Rapids, Mich",,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001522809&site=ehost-live&scope=cite,,Feminist theology; Women in Christianity--History--0030-600; Leadership,"Blankenhorn, David; Browning, Don S.; Van Leeuwen, Mary Stewart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,A feminist Christian theologian looks (askance) at headship,Does Christianity teach male headship? : the equal-regard marriage and its critics
D8RCQAGR,"Sasson, Jack",1994,"Sasson, Jack M.",,,,,,1994,12/16/14 13:54,10/7/20 21:21,,399-419,,,,,,,History of the ancient Near East Studies,,,,S.A.R.G.O.N. Editrice e Libreria,Padova,eng;ita;fre,,,,,Primo,GT2853 .M628 D75 1994,,,,,,"Middle East; Asia, South West; Asia, Southwest; Drinking customs; Drinking customs Middle East Congresses; Drinking horns; Drinking vessels; Drinking vessels Middle East Congresses; East (Middle East); Eastern Mediterranean; Fertile Crescent; Healths, Drinking of; Mazers (Drinking bowls); Mediterranean Region, Eastern; Middle East Social life and customs Congresses; Mideast; nne Asia, Western; nne Levant; nne Near East; Northern Tier (Middle East); Quaichs; South West Asia; Southwest Asia","Milano, Lucio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,The Blood of Grapes: Viticulture and Intoxication in the Hebrew Bible,"Drinking in ancient societies : history and culture of drinks in the ancient Near East : papers of a symposium held in Rome, May 17-19, 1990"
HBCECC5Z,"Levine, Amy-Jill",2003,"Levine, Amy-Jill",978-0-8028-3986-2,,,,"$$Ccontents$$VArchaeology of Domus and Insulae -- Domus and Insulae in Rome: Families and Housefuls / Andrew Wallace-Hadrill -- Material and Social Environment of Greco-Roman Households in the East: The Case of Hellenistic Delos / Monika Trumper -- The Problems of Gendered Space in Syro-Palestinian Domestic Architecture: The Case of Roman-Period Galilee / Eric M. Meyers -- Domestic Values: Equality, Suffering -- The Language of Equality in Early Christian House Churches: A Constructivist Approach / Peter Lampe -- Paul's Portrait of Christ Crucified (Gal. 3:1) in Light of Paintings and Sculptures of Suffering and Death in Pompeiian and Roman Houses / David L. Balch -- Women -- Sex and the Married Woman in Ancient Rome / Suzanne Dixon -- Typical and Atypical Family Dynamics: The Cases of Babatha and Berenice / Ross S. Kraemer -- Was Celsus Right? The Role of Women in the Expansion of Early Christianity / Margaret Y. MacDonald -- Women, Slaves, and the Economy of the Roman Household / Richard Saller -- Slaves -- Slave Families and Slaves in Families / Dale B. Martin -- The Domestic Enemy: A Moral Polarity of Household Slaves in Early Christian Apologies and Martyrdoms / J. Albert Harrill -- Female Slaves, Porneia, and the Limits of Obedience / Carolyn Osiek -- Children -- Death, Burial, and Commemoration of Children in Roman Italy / Beryl Rawson -- Desperately Different? Delicia Children in the Roman Household / Christian Laes -- Implications for Theological Education -- Theological Education, the Bible, and History: Detente in the Culture Wars / Amy-Jill Levine -- Theological Education and the Analogical Imagination / Timothy F. Sedgwick -- Why Family Matters for Early Christian Literature / Margaret M. Mitchell., John Louis Kesler Circulating Library., $$Cbibliography_note$$VIncludes bibliographical references (p. 359-388) and indexes.",2003,11/1/16 17:01,8/10/20 20:36,,,,,,,,,"Religion, marriage, and family series. ^A1085691",,,,William B. Eerdmans Publishing Company,"Grand Rapids, Mich. ; Cambridge, U.K.",eng,,,,,discoverlibrary.vanderbilt.edu,BR195 .F35 E275 2003,,,,,,Rome Social life and customs; Families Religious aspects Christianity History Congresses; Families Rome; Families Rome Congresses; Rome Social life and customs Congresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,"Theological Education, the Bible, and History: Détente in the Culture Wars",Early Christian families in context: an interdisciplinary dialogue
XZUC24QW,"Meeks, M. Douglas",1992,"Meeks, M Douglas",0-938162-12-8,,,,,1992,4/30/14 16:05,12/19/14 18:56,,3-16,,,,,,,,,,,Quarterly Review,Nashville,,,,,,EBSCOhost,,,,,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001183619&site=ehost-live&scope=cite,,,"Richey, Russell E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Globalization and the oikoumene in theological education,Ecumenical & interreligious perspectives: globalization in theological education
AIVWRKE2,"Rieger, Joerg",2004,"Rieger, Jeorg",,,,,,2004,6/27/18 20:27,10/1/20 16:44,,243- 255,,,,,,,,,,,Instituto Universitario ISEDET,Buenos Aires,,,,,,,,,,,,,,Hansen， Guillermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Economics and Postmodernism: Beyond Deep-Seated Divisions of Labor in Theology and Religious Studies,El silbo ecuménico del Espíritu. Festschrift for José Míguez Bonino
8J2F36LC,"Azzoni, Annalisa",2022,"Azzoni, Annalisa",978-1-64602-207-6,,,http://ebookcentral.proquest.com/lib/vand/detail.action?docID=6935234,,2022,6/29/22 21:09,6/29/22 21:31,6/29/22 21:09,37-43,,,,,,,,,,,Penn State University Press,"University Park, PANAMA",,,,,,ProQuest Ebook Central,,,,C:\Users\xus12\Zotero\storage\6AM4GQLV\reader.html,,,,"Folmer, Margaretha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bookSection,Family Life and Law at Elephantine,Elephantine Revisited: New Insights into the Judean Community and Its Neighbors
