Key,skipped,Divinity Faculty,Publication Year,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Item Type,Title
365,,"Levine, Amy-Jill",2012,978-0-8006-9801-0,,,,$$Cbibliography_note$$VIncludes bibliographical references and indexes.,2012,11/1/16 20:14,11/1/16 20:22,,,,,,,,,,,,,Fortress Press,Minneapolis,eng,,,,,discoverlibrary.vanderbilt.edu,BT590 .J8 S628 2012,,,,,,"Jesus Christ Biography Sources; Jesus Christ Historicity; Judaism Relations Christianity; Christianity and other religions Judaism; Jesus Christ Interpretations, Jewish; Jesus Christ Jewish interpretations; Antisemitism and Christianity; Christianity and antisemitism; Jesus Christ Jewishness; Jewishness of Jesus Christ","Chilton, Bruce; Le Donne, Anthony; Neusner, Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Soundings in the religion of Jesus: perspectives and methods in Jewish and Christian scholarship
366,,"Morrill, Bruce T.",2017,,,,,,2017,7/10/18 20:18,7/17/18 18:40,,,,,,,,,,,,,Liturgical Press,Collegeville,,,,,,EBSCOhost,,,,,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=lsdar&AN=ATLAn4241951&site=ehost-live&scope=site&scope=cite,,"Systematic Theology, Christian--1200-1499; Thomas, Aquinas, Saint      , 1225?-1274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Speaking with Aquinas: a conversation about grace, virtue, and the eucharist"
367,,"Snarr, C. Melissa",2018,978-1-138-22022-5,,,,"Spirit and Capital in an Age of Inequality brings together a diverse group of scholars, activists and public intellectuals to consider one of the most pressing issues of our time: increasing inequalities of income and wealth that grate against justice and erode the bonds that hold society together. The contributors think through different religious traditions to understand and address inequality. They make practical proposals in relation to concrete situations like mass incarceration and sweatshops. They also explore the inner experience of life in a society marked by inequality, tracing the contours of stress, hopelessness and a restless lack of contentment. This book honors the work of Jon P. Gunnemann, who has been a leading scholar at the intersections of religion and economics.",2018,6/11/20 19:03,11/28/22 20:16,,,,,,,,,,,,,Routledge,Abingdon,eng,,,,,catalog.library.vanderbilt.edu,,,,,,,Christianity; Economics; Religious aspects,"Jones, Robert P.; Smith, Ted A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Spirit and capital in an age of inequality
368,,"Townes, Emilie",1993,0-687-39236-5,,,,,1993,10/13/14 11:41,10/13/14 11:41,,,,,,,,,,,,,Abingdon Press,Nashville,eng,,,,,Primo,BX8493 .S77 1993,,,,,,"Church and social problems; Christianity and social problems; Church and social problems Methodist Church; Methodist women; Methodist women Biography; nne Women, Methodist; Social problems and Christianity; Social problems and the church; Women in church work; Women in church work Methodist Church","Keller, Rosemary Skinner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Spirituality and social responsibility : vocational vision of women in the United Methodist tradition
369,,"Sasson, Jack",1988,,,,,,1988,12/16/14 18:34,12/16/14 18:35,,,,,5,,,,,,,,Essedue Edizioni,Verona,ita;eng;fre;ger;spa,,,,,Primo,,,,,,,Middle Eastern philology; Middle Eastern philology Periodicals; nne Near Eastern philology; Oriental philology Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Studi epigrafici e linguistici sul Vicino Oriente antico.
370,,"Seow, C.L.",2011,978-3-89991-116-9,,,,,2011,10/29/14 17:28,10/15/20 17:56,,,,,,,,,KUSATU : Kleine Untersuchungen zur Sprache des Alten Testaments und seiner Umwelt,13-Dec,,,Hartmut Spenner,Kamen,German,,,,,OCLC WorldCat FirstSearch,,,,,,,,"Diehl, Johannes Friedrich; Witte, Markus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Studien zur Hebräischen Bibel und ihrer Nachgeschichte: Beiträge der 32. Internationalen Ökumenischen Konferenz der Hebräischlehrenden Frankfurt a.M. 2009
371,,"Sasson, Jack",2008,,,,,"Studies in Ancient Near Eastern World View and Society presented to Marten Stol on the occasion of his 65th birthday ISBN: 9781934309186 CDL Press, 2008, , 338 pages, Cloth, English $63.00",2008,12/15/14 15:45,12/15/14 15:49,12/15/14 15:45,,,,,,,,,,,,CDL Press,"Bethesda, Maryland",,,,,,,,,,C:\Users\xus12\Zotero\storage\6TT7QUPI\_48F1FFSG1.html,,,,"Van der Spek, R.J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Studies in Ancient Near Eastern World View and Society presented to Marten Stol on the occasion of his 65th birthday
372,,"Sasson, Jack",1979,3-7887-0560-4 978-3-7887-0560-2 3-7666-9073-6 978-3-7666-9073-9,,,,,1979,12/11/14 21:38,5/1/15 15:52,,,,,,,,,,,,,Butzon & Bercker,Kevelaer,English,,,,,Open WorldCat,,,,,,,,"Jones, Tom B.; Powell, Marvin A.; Sack, Ronald H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Studies in honor of Tom B. Jones
373,,"Sasson, Jack",1981,0-931464-08-0 978-0-931464-08-9 0-931464-67-6 978-0-931464-67-6,,,,,1981,12/12/14 4:31,5/1/15 16:51,,,,,,,,,,,,,Eisenbrauns,"Winona Lake, Ind.",English,,,,,Open WorldCat,,,,,,,,"Morrison, M. A.; Owen, David I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Studies on the civilization and culture of Nuzi and the Hurrians
374,,"Morrill, Bruce T.",2017,978-1-4724-7540-4,,,,"John Louis Kesler Circulating Library., $$Cbibliography_note$$VIncludes bibliographical references (pages 157-164) and index.",2017,7/10/18 20:20,7/17/18 18:40,,,,,,,,,"Liturgy, worship, and society",,,,Routledge,"Abingdon, Oxon",eng,,,,,discoverlibrary.vanderbilt.edu,BX5141 .O46 2017,,,,,,Anglican Communion Liturgy; Suffering Religious aspects Anglican Communion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,Suffering in worship: Anglican liturgy in relation to stories of suffering people
375,,"Levine, Amy-Jill",2003,978-1-57506-545-8,,,,"$$Ccontents$$VHistorical and political landscape -- Religion and distinction -- The history of the family., $$Ccontents$$Vpt. 1. Historical and political landscape : the Levant and beyond -- pt. 2. Religion and distinction -- pt. 3. The history of the family : continuity and change -- pt. 4. Closing remarks., $$Creproduction$$VElectronic reproduction. Palo Alto, Calif. : ebrary, 2013. Available via World Wide Web. Access may be limited to ebrary affiliated libraries., $$Cbibliography_note$$VIncludes bibliographical references and indexes.",2003,11/1/16 17:12,7/9/20 21:20,11/1/16 17:12,,,,,,,,,,,,Eisenbrauns,"Winona Lake, Ind.",eng,,,,,discoverlibrary.vanderbilt.edu,DE59 .C46 2000,,,,,,"Electronic books; Families; Families Palestine History Congresses; Families Social aspects; Families Social conditions; Family life; Family relationships; Family structure; Holy Land; Iron age; Iron age Mediterranean Region Congresses; Iron age Palestine Congresses; Mediterranean Region Antiquities; Mediterranean Region Civilization Congresses; Mediterranean Region Politics and government Congresses; Mediterranean Region Politics and government History Congresses; nne Family; Organization, Social; Palestine; Palestine Civilization Congresses; Palestine Religious life and customs Congresses; Palestine Religious life and customs History Congresses; Relationships, Family; Social organization; Social structure; Social structure Palestine History Congresses; Structure, Family","Dever, William G.; Gitin, Seymour",,,American Schools of Oriental Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book,"Symbiosis, symbolism, and the power of the past: Canaan, ancient Israel, and their neighbors from the Late Bronze Age through Roman Palaestina : proceedings of the Centennial Symposium, W.F. Albright Institute of Archaeological Research and American Schools of Oriental Research, Jerusalem, May 29/31, 2000"
