accession_number,mid,description,score,topicality
1965.030,/m/019jd,Boat,0.88515484,0.88515484
1965.030,/m/07j7r,Tree,0.86378884,0.86378884
1965.030,/m/0jjw,Art,0.81837755,0.81837755
1965.030,/m/03r_vp,Adaptation,0.79247683,0.79247683
1965.030,/m/01rzcn,Watercraft,0.76693296,0.76693296
1965.030,/m/05qdh,Painting,0.7627253,0.7627253
1965.030,/m/02q_bfg,Tints and shades,0.76222247,0.76222247
1965.030,/m/025s3q0,Landscape,0.75157315,0.75157315
1965.030,/m/083vt,Wood,0.7312917,0.7312917
1965.030,/m/02csf,Drawing,0.70607084,0.70607084
1965.033,/m/0bt9lr,Dog,0.8777065,0.8777065
1965.033,/m/07_gml,Working animal,0.83820117,0.83820117
1965.033,/m/0jjw,Art,0.8043288,0.8043288
1965.033,/m/01lrl,Carnivore,0.79372454,0.79372454
1965.033,/m/05qdh,Painting,0.75305873,0.75305873
1965.033,/m/08v4gh,Vintage clothing,0.6887753,0.6887753
1965.033,/m/01kr8f,Illustration,0.68675333,0.68675333
1965.033,/m/0p9xx,Visual arts,0.67655206,0.67655206
1965.033,/m/015h_t,Beard,0.671521,0.671521
1965.033,/m/03g3w,History,0.65192914,0.65192914
1965.034,/m/035r7c,Leg,0.908316,0.908316
1965.034,/m/02p0tk3,Human body,0.8846436,0.8846436
1965.034,/m/01k9lj,Jaw,0.8805894,0.8805894
1965.034,/m/0jjw,Art,0.7974872,0.7974872
1965.034,/m/019swr,Knee,0.76373774,0.76373774
1965.034,/m/03gq5hm,Font,0.74529177,0.74529177
1965.034,/m/03gg9,Human anatomy,0.7352497,0.7352497
1965.034,/m/02csf,Drawing,0.70670325,0.70670325
1965.034,/m/01kr8f,Illustration,0.7038275,0.7038275
1965.034,/m/0p9xx,Visual arts,0.6706414,0.6706414
1965.038,/m/0838f,Water,0.9615671,0.9615671
1965.038,/m/05s2s,Plant,0.9473341,0.9473341
1965.038,/m/06600f2,Plant community,0.94058484,0.94058484
1965.038,/m/0cblv,Ecoregion,0.9271375,0.9271375
1965.038,/m/03d28y3,Natural landscape,0.89065295,0.89065295
1965.038,/m/02py09,Natural environment,0.8894754,0.8894754
1965.038,/m/0b5gs,Branch,0.8748934,0.8748934
1965.038,/m/01fnns,Vegetation,0.8455476,0.8455476
1965.038,/m/083vt,Wood,0.82451993,0.82451993
1965.038,/m/0jjw,Art,0.82239723,0.82239723
1965.039,/m/03d28y3,Natural landscape,0.87669027,0.87669027
1965.039,/m/083vt,Wood,0.8689813,0.8689813
1965.039,/m/07j7r,Tree,0.85319924,0.85319924
