accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1965.033,Dog,0.85935783,0.43612435,0.59558874,0.5831911,0.8338477,436,596,745,1065
1965.033,Person,0.7668889,0.6398442,0.862982,0.26061586,0.8422786,640,863,333,1076
1965.033,Person,0.6888536,0.43421414,0.73537034,0.23647292,0.8041375,434,735,302,1027
1965.033,Person,0.6257034,0.11701093,0.5562241,0.38304472,0.8083756,117,556,489,1032
1965.033,Hat,0.58812046,0.59658456,0.74090296,0.22383058,0.29451105,597,741,286,376
1965.034,Person,0.7110357,0.32610175,0.59009975,0.55259115,0.81728315,326,590,684,1011
1965.034,Person,0.6805082,0.5313548,0.88781285,0.45869115,0.7353959,531,888,567,910
1965.034,Picture frame,0.6704565,0.024445424,0.9538541,0.048094228,0.9688801,24,954,59,1199
1965.034,Animal,0.6086054,0.5771822,0.81524235,0.16157937,0.39176762,577,815,200,485
1965.034,Person,0.5251933,0.15708612,0.4358158,0.60012585,0.81970996,157,436,742,1014
1965.038,Animal,0.79402936,0.7644227,0.85830504,0.59728426,0.76804537,1085,1219,597,768
1965.038,Animal,0.7193685,0.8593374,0.94846517,0.6613614,0.7897434,1220,1347,661,790
1965.039,Animal,0.68675435,0.85041475,0.95971656,0.76189417,0.8430626,1275,1439,761,842
1965.039,Animal,0.6584534,0.77097344,0.8625181,0.68687993,0.782353,1156,1293,686,782
1966.003,Animal,0.6025514,0.030783327,0.66272634,0.63419145,0.92033607,79,1707,634,920
1966.003,Mirror,0.5388423,0.033682767,0.9264245,0.018126963,0.9828035,87,2386,18,983
1966.007,Building,0.61069876,0.04377674,0.9412517,0.04656611,0.91355085,22,471,15,303
1966.008,House,0.6649917,0.14835678,0.7905598,0.15303138,0.7242446,74,395,51,243
1966.008,Picture frame,0.5244869,0.044712093,0.94112366,0.05436894,0.92793894,22,471,18,312
1966.009,House,0.5512575,0.12537539,0.8349859,0.15081348,0.7481622,54,357,75,374
1966.014,House,0.82733446,0.2947837,0.68796855,0.2945477,0.7593742,147,344,104,269
1966.014,House,0.7593806,0.6655697,0.9715623,0.06599846,0.79149723,333,486,23,280
1966.014,House,0.52010405,0.1251327,0.26886895,0.37650666,0.6870521,63,134,133,243
1967.003,Packaged goods,0.5340489,0.02450508,0.4792829,0.028493514,0.9314229,32,622,28,930
1968.003,Building,0.57383835,0.55613065,0.6909742,0.43139675,0.5338015,573,712,301,373
1968.005,Person,0.78789103,0.66451514,0.9398046,0.16334252,0.8068812,1057,1495,163,806
1968.005,Person,0.69222665,0.040436517,0.34727618,0.1684304,0.7541771,64,553,168,753
1968.005,Animal,0.60143787,0.006176338,0.11835936,0.5314582,0.732524,10,188,531,732
1968.005,Person,0.5659664,0.664476,0.93881756,0.15200858,0.8508985,1057,1494,152,850
1968.005,Person,0.5222378,0.3589882,0.45775148,0.55849415,0.68301207,571,728,558,682
1968.006,Book,0.8633889,0.050580878,0.9397623,0.044708967,0.95275944,73,1361,45,952
1968.009,Packaged goods,0.7121038,0.026166605,0.81027776,0.01817684,0.9874482,26,810,32,1723
1968.010,Packaged goods,0.62002015,0.056849938,0.76482993,0.06574069,0.9045484,57,765,117,1608
1969.003,Sculpture,0.7799912,0.056117047,0.9503126,0.032904156,0.9189058,56,950,43,1190
1969.003,Sculpture,0.7799912,0.056117047,0.9503126,0.032904156,0.9189058,56,950,43,1190
1969.004,Animal,0.6959099,0.21619822,0.31084928,0.6681152,0.8399863,513,738,668,840
1969.004,Animal,0.6766786,0.3597443,0.43562627,0.6537115,0.83044,854,1034,654,830
1969.004,Animal,0.67463726,0.1548784,0.22345549,0.6663304,0.8489644,368,530,666,849
1969.004,Animal,0.66981286,0.39715788,0.6354508,0.57936925,0.82227135,942,1508,579,822
1969.004,Animal,0.6653323,0.09162558,0.1470146,0.6109586,0.85930616,217,349,611,859
1969.004,Animal,0.6424465,0.32158014,0.39309707,0.6501942,0.8169641,763,933,650,817
1969.004,Animal,0.6311,0.8153856,0.90692043,0.8094649,0.9160308,1935,2152,809,916
1969.004,Animal,0.6243625,0.014012854,0.10068834,0.7361532,0.88696533,33,239,736,887
1969.012,Painting,0.70189816,0.08815348,0.9117176,0.096614115,0.873415,44,460,40,357
1969.016,Painting,0.8893773,0.002393196,0.9906659,0.038676962,0.96097654,3,1055,15,382
1969.017,Table,0.773176,0.22740884,0.76426643,0.46628502,0.8039801,330,1110,466,803
1969.017,Person,0.7027821,0.19961406,0.3413094,0.3695595,0.7311065,290,496,369,730
1969.017,Person,0.6512313,0.051206484,0.2122814,0.3344557,0.76863337,74,308,334,768
1969.017,Person,0.6053582,0.6701637,0.94227487,0.2094811,0.76230025,973,1368,209,762
1969.017,Person,0.5449294,0.3107719,0.38796103,0.2520536,0.46379697,451,563,252,463
1969.019,Luggage & bags,0.5909888,0.2785508,0.71223766,0.14044148,0.9222596,279,712,162,1062
1969.020,Person,0.7745088,0.6952748,0.8373131,0.2619158,0.68462175,868,1045,262,685
1969.020,Person,0.7353796,0.4811721,0.73884076,0.3277376,0.9060135,601,922,328,906
1969.020,Person,0.7252569,0.27612513,0.50291014,0.33054358,0.915361,345,628,331,915
1969.020,Person,0.67560136,0.1757253,0.27954778,0.27337092,0.46962175,219,349,273,470
1969.020,Animal,0.6670762,0.035869196,0.22236407,0.44875836,0.8147094,45,278,449,815
1969.020,Person,0.6038636,0.80872506,0.94699556,0.3169563,0.6742254,1009,1182,317,674
1969.020,Dress,0.60074735,0.28958765,0.4979749,0.3834838,0.9060497,361,621,383,906
1969.021,Person,0.72436565,0.5853161,0.8765151,0.36858848,0.9049232,295,442,147,360
1969.021,Painting,0.5712817,0.034951683,0.9946244,0.013394044,0.9973958,18,501,5,397
1969.021,Person,0.5182371,0.8681457,0.9873712,0.47381103,0.8555247,438,498,189,340
1969.022,Person,0.53897214,0.24083973,0.53785294,0.40029204,0.91582173,298,665,400,915
1969.022,Person,0.52502865,0.7374387,0.8663004,0.34582496,0.71088475,912,1072,345,710
1969.022,Person,0.5098459,0.42260328,0.76122934,0.4006041,0.9228585,523,942,400,922
1969.023,Person,0.72209513,0.38770676,0.47048184,0.40546253,0.638632,476,577,405,639
1969.023,Person,0.69076186,0.039142296,0.26216134,0.31465703,0.92778224,48,322,315,928
1969.023,Person,0.6580391,0.43637684,0.5048763,0.40847167,0.6200264,535,619,408,620
1969.023,Person,0.6517073,0.7933981,0.96423775,0.49369046,0.934294,973,1183,494,934
1969.023,Person,0.6467548,0.5621701,0.6488895,0.42677346,0.6314251,690,796,427,631
1969.023,Person,0.6434879,0.4820322,0.57606256,0.4370136,0.6392517,591,707,437,639
1969.023,Person,0.5924178,0.20741236,0.39576077,0.32741958,0.8542016,254,486,327,854
1969.024,Person,0.63144404,0.6794551,0.77846766,0.5908495,0.79300207,819,938,591,793
1969.024,Person,0.56959486,0.17281036,0.38498783,0.36440563,0.7390504,208,464,364,739
1969.024,Person,0.5330973,0.10656768,0.3807719,0.5929684,0.90407014,128,459,593,904
1969.024,Person,0.53007865,0.51130974,0.73005337,0.39907053,0.78161263,616,880,399,782
1969.025,Person,0.7370959,0.7483589,0.8923449,0.31216156,0.6759309,920,1098,312,675
1969.025,Person,0.67319876,0.6484279,0.80911905,0.3028909,0.7313978,798,995,303,731
1969.025,Person,0.6259882,0.5698529,0.6819361,0.28861958,0.6903019,701,839,288,690
1969.025,Person,0.58210254,0.13016808,0.34161416,0.38754594,0.8384531,160,420,387,838
1969.025,Pillow,0.56634724,0.015210225,0.94781524,0.04533991,0.9334509,19,1166,45,933
1969.025,Table,0.5173799,0.29889458,0.6312962,0.5332308,0.80558896,368,776,533,805
1969.025,Person,0.5128118,0.7360916,0.9629248,0.51455736,0.91815895,905,1184,514,917
1969.025,Person,0.50461644,0.34772393,0.43924937,0.37643328,0.53881055,428,540,376,538
1969.026,Person,0.704595,0.7031546,0.82818955,0.33035284,0.81795955,812,957,330,818
1969.026,Person,0.62714356,0.81075424,0.95728326,0.35366642,0.80732864,936,1106,354,807
1969.026,Person,0.56876826,0.4943616,0.6972428,0.32360217,0.59020144,571,805,324,590
1969.026,Person,0.5498387,0.5174972,0.7013695,0.4494307,0.8305647,598,810,449,831
1969.026,Person,0.5184074,0.3907129,0.5038374,0.43557623,0.6145247,451,582,436,615
1969.027,Person,0.85232824,0.72876245,0.87006336,0.28323507,0.76184267,816,974,283,761
1969.027,Person,0.8505908,0.58853143,0.7758384,0.27194735,0.7754543,659,869,272,775
1969.027,Person,0.83982146,0.29374155,0.40208137,0.29450852,0.7666867,329,450,294,766
1969.027,Person,0.8356438,0.4097629,0.61580735,0.32867366,0.82154125,459,690,328,821
1969.027,Person,0.820171,0.8375334,0.9570498,0.29561052,0.74781173,938,1072,295,747
1969.027,Person,0.80492103,0.093027465,0.31041625,0.43256482,0.85936475,104,348,432,859
1969.027,Person,0.576459,0.06115909,0.151071,0.36441755,0.50532323,68,169,364,505
1969.028,Person,0.64699864,0.3975241,0.4924095,0.32083783,0.4843205,454,563,321,484
1969.028,Person,0.6411973,0.70890814,0.88629395,0.47403026,0.85334605,810,1013,474,852
1969.028,Person,0.60457283,0.50128925,0.6006485,0.36277154,0.5151598,573,687,362,515
1969.028,Person,0.57545406,0.09238357,0.426133,0.35870647,0.8474121,106,487,358,847
1969.028,Person,0.55958694,0.44192028,0.5257254,0.28807384,0.46146962,505,601,288,461
1969.028,Pillow,0.53004056,0.05484358,0.95496315,0.036264207,0.8870418,63,1092,36,886
1969.029,Person,0.70700175,0.030269159,0.18545686,0.36875275,0.800121,35,212,369,800
1969.029,Person,0.6224375,0.5892264,0.7170257,0.6293902,0.8302486,675,821,629,830
1969.029,Animal,0.5712474,0.6477374,0.7855425,0.36093974,0.6186475,742,899,361,619
1969.029,Person,0.5342954,0.23934072,0.52112323,0.32263163,0.8329294,274,597,323,833
1969.029,Person,0.51303416,0.41599846,0.6299051,0.49612013,0.8229657,476,721,496,823
1969.030,Person,0.6221342,0.23628937,0.30401194,0.4520245,0.6417684,272,350,452,642
1969.030,Person,0.551358,0.74544954,0.85837966,0.30698982,0.45799187,858,988,307,458
1969.030,Person,0.55031675,0.3069704,0.4928235,0.4178518,0.78343076,353,567,418,783
1969.030,Person,0.54136956,0.4090996,0.62297213,0.6257166,0.85812515,471,717,626,858
1969.031,Person,0.6715109,0.49268305,0.7015989,0.46845666,0.8784037,564,803,468,878
1969.031,Person,0.6669511,0.25703597,0.35500097,0.30981782,0.4611185,294,406,310,461
1969.031,Person,0.6455621,0.3316492,0.4279289,0.31201413,0.5054386,379,490,312,505
1969.031,Person,0.63290805,0.70025873,0.87589294,0.44888604,0.8138191,801,1002,449,814
1969.031,Person,0.630796,0.7923956,0.91593534,0.3403659,0.52313155,907,1048,340,523
1969.031,Person,0.6238044,0.8306139,0.94680524,0.43790576,0.800489,950,1083,438,800
1969.031,Person,0.60133445,0.5595893,0.65000147,0.3012623,0.44764805,640,744,301,448
1969.031,Person,0.5944249,0.63690007,0.72226954,0.33186826,0.4794439,729,826,332,479
1969.031,Person,0.59092396,0.4211264,0.5389813,0.32375386,0.5032847,482,617,324,503
1969.031,Pillow,0.5033247,0.0,0.947582,0.08812066,0.88869447,0,1084,88,889
1969.032,Person,0.8183463,0.66008323,0.8658448,0.4916376,0.85527617,747,980,492,855
1969.032,Person,0.8133073,0.52543646,0.72418374,0.41764414,0.8632737,595,820,418,863
1969.032,Luggage & bags,0.70637995,0.8079848,0.93735856,0.73099583,0.89463395,915,1061,731,895
1969.032,Table,0.6154678,0.6310089,0.809614,0.6645844,0.87183404,714,916,665,872
1969.032,Pillow,0.5685899,0.02149718,0.9429869,0.06296793,0.901104,24,1067,63,901
1969.033,Person,0.61215055,0.3866836,0.4715816,0.3516519,0.5161961,442,539,351,516
1969.033,Person,0.6113073,0.20537448,0.3759688,0.46886292,0.62821317,235,430,468,628
1969.033,Person,0.596257,0.81931496,0.9651847,0.4586754,0.8005062,937,1104,458,800
1969.033,Person,0.5829627,0.86746335,0.9704954,0.36525798,0.53470117,992,1110,365,534
1969.033,Person,0.57989633,0.59668523,0.6892169,0.36425206,0.5026353,683,788,364,502
1969.033,Person,0.5726679,0.518745,0.6763955,0.515708,0.7686047,593,774,515,768
1969.033,Person,0.5680872,0.030709332,0.12843408,0.49740675,0.6474069,35,147,497,647
1969.033,Person,0.5477679,0.3622291,0.45886698,0.47764596,0.63756365,414,525,477,637
1969.033,Person,0.5427164,0.4594575,0.56040347,0.36511216,0.5521947,526,641,365,552
1969.033,Person,0.5388594,0.37970433,0.55942875,0.59022146,0.872266,434,640,590,871
1969.034,Painting,0.8520987,0.04142216,0.9469454,0.03516475,0.9374985,17,395,18,469
1969.034,Person,0.69597936,0.30499467,0.47432995,0.5290532,0.8217867,127,198,265,411
1969.035,Painting,0.89649564,0.04486562,0.963279,0.039057378,0.95367306,19,413,20,477
1969.035,Animal,0.672545,0.059418466,0.254863,0.8035889,0.9368725,25,109,402,468
1969.036,Painting,0.9224951,0.07550689,0.933289,0.06159219,0.9156784,31,387,31,458
1969.037,Painting,0.90624696,0.04240248,0.94041353,0.058844734,0.9329674,17,378,29,466
1969.038,Picture frame,0.7430888,0.073352374,0.22771531,0.307323,0.47908393,73,227,375,584
1969.038,Person,0.6193078,0.1813804,0.6914263,0.40587994,0.9320574,181,691,495,1137
1969.038,Clothing,0.5467617,0.1913467,0.67403483,0.38136995,0.92664504,191,673,465,1131
1969.039,Picture frame,0.65858567,0.07772974,0.22358832,0.29989976,0.4670565,78,223,362,563
