accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0650P,Person,0.7148164,0.008048114,0.56369066,0.33792675,0.98965764,8,564,454,1330
1979.0650P,Person,0.6343303,0.008044934,0.56841326,0.31926432,0.9764062,8,568,429,1312
1979.0651P,Person,0.6212369,0.035527628,0.9637324,0.038179312,0.9538298,36,964,112,2788
1979.0652P,Person,0.63016033,0.42112184,0.5801614,0.093817376,0.257552,421,580,143,393
1979.0652P,Person,0.5561195,0.6484904,0.7793699,0.18510132,0.3156118,648,779,282,482
1979.0652P,Person,0.55513644,0.20500334,0.8371124,0.3608189,0.81702614,205,837,551,1247
1979.0653P,Animal,0.58410317,0.6278028,0.983412,0.38654056,0.9834585,627,982,707,1798
1979.0653P,Pillow,0.5721269,0.020169733,0.9973958,0.06615086,0.98589396,20,996,121,1802
1979.0653P,Person,0.530346,0.018146744,0.45705378,0.5393436,0.989059,18,457,986,1808
1979.0653P,Hat,0.51026213,0.20770653,0.3993477,0.5651201,0.65761745,207,399,1033,1202
1979.0654P,Person,0.7985197,0.30017266,0.53276473,0.5023176,0.78853184,300,532,688,1080
1979.0654P,Person,0.7217693,0.3026266,0.5373536,0.49615562,0.78913975,302,537,679,1080
1979.0654P,Clothing,0.548339,0.27229246,0.9433327,0.2659556,0.91821504,272,942,364,1257
1979.0655P,Person,0.70750654,0.19448614,0.9317827,0.044092536,0.9939887,194,932,54,1214
1979.0655P,Swimwear,0.5252623,0.27407902,0.7294708,0.8488832,0.99700564,274,729,1036,1217
1979.0656P,Hat,0.71285975,0.25692913,0.6417347,0.0017785634,0.41814518,257,642,2,568
1979.0656P,Person,0.6631388,0.059309985,0.9627869,0.030999517,0.9843347,59,963,42,1337
1979.0657P,Person,0.83532065,0.5872275,0.9859908,0.3579551,0.9938863,773,1299,358,993
1979.0657P,Person,0.6901754,0.3299257,0.641773,0.20557034,0.92522407,435,845,205,924
1979.0657P,Person,0.5711245,0.18784225,0.35827336,0.42399415,0.8637232,247,472,424,863
1979.0658P,Person,0.79776466,0.3885553,0.8962088,0.29532483,0.88819647,388,895,406,1220
1979.0658P,Person,0.7797678,0.046047892,0.5738125,0.36025178,0.97352284,46,573,495,1338
1979.0674P,Lighting,0.55947566,0.079403654,0.94171906,0.20282488,0.8665746,79,942,304,1300
1979.0688P,Person,0.7810421,0.30450928,0.7498478,0.19664878,0.83636,305,750,256,1087
1979.0707P,Animal,0.7438826,0.5996105,0.91943336,0.6988208,0.8467757,600,919,1078,1307
1979.0707P,Person,0.7119489,0.33040878,0.8490753,0.21984148,0.68725246,330,849,339,1060
1979.0707P,Footwear,0.67900527,0.14230347,0.28124517,0.6837594,0.7586906,142,281,1055,1171
1979.0707P,Dress,0.56151855,0.20095499,0.6914719,0.32056323,0.7220418,201,691,495,1114
1979.0719P,Person,0.83931446,0.23458743,0.41149506,0.6159174,0.9754386,234,411,736,1166
1979.0719P,Person,0.811709,0.37235522,0.58287686,0.64592654,0.98955965,372,582,772,1183
1979.0719P,Clothing,0.6853022,0.23414256,0.41257703,0.62783974,0.96916014,234,412,750,1158
