accession_number,height,width,max_height,max_width
1979.0650P,1344,1000,4675,3478
1979.0651P,2923,1000,5192,1776
1979.0652P,1526,1000,5037,3300
1979.0653P,1828,999,5026,2748
1979.0654P,1369,999,3215,2347
1979.0655P,1221,1000,3034,2483
1979.0656P,1358,1000,5669,4174
1979.0657P,999,1317,3708,4887
1979.0658P,1374,999,6094,4433
1979.0674P,1500,1000,5184,3456
1979.0676P,1333,1000,3264,2448
1979.0688P,1300,1000,3992,3069
1979.0707P,1543,1000,4970,3220
1979.0719P,1195,999,3470,2902
1979.0721P,1613,999,4674,2896
1979.0786P,669,859,669,859
1979.0787P,819,1269,819,1269
1979.0788P,1000,1191,1511,1800
1979.0789P,999,1220,1309,1598
1979.0790P,675,894,675,894
1979.0791P,675,853,675,853
1979.0792P,686,900,686,900
1979.0793P,703,894,703,894
1979.0794P,680,888,680,888
1979.0795P,675,900,675,900
1979.0796P,1000,2623,2022,5304
1979.0801P,1532,1000,4687,3058
1979.0804P,1486,999,4521,3041
1979.0806P,1353,1000,4474,3306
1979.0839P,1304,999,2512,1925
1979.0840P,1251,1000,1508,1205
1979.0841P,1299,999,1509,1161
1979.0842P,1235,1000,2084,1687
1979.0843P,1204,999,1641,1362
1979.0844P,1307,1000,1650,1262
1979.0845P,1278,999,1560,1220
1979.0846P,1268,1000,1569,1237
1979.0847P,1242,1000,1348,1085
1979.0849P,1268,999,1350,1064
1979.0850P,1270,1000,1471,1158
1979.0851P,1266,1000,1456,1150
1979.0852P,1365,1000,1771,1297
1979.0853P,1392,1000,1753,1259
1979.0857P,1261,999,1514,1200
1979.0859P,1213,1000,1485,1224
1979.0860P,1170,1000,2325,1987
1979.0861P,999,1166,2137,2493
1979.0887P,999,1524,2353,3588
1979.0888P,999,1524,2353,3588
1979.0889P,999,1524,2353,3588
1979.0890P,999,1524,2353,3588
1979.0891P,999,1524,2353,3588
1979.0892P,999,1524,2353,3588
1979.0893P,1000,1498,2394,3588
1979.0894P,1000,1517,2365,3588
1979.0905P,1000,1053,3168,3337
1979.0915P,1000,1252,2128,2665
1979.0920P,1122,1000,2456,2756
1979.0923P,431,513,431,513
1979.0925P,1196,999,2765,3309
1979.0926P,1235,1000,3346,2709
1979.0927P,1233,1000,3375,2737
1979.0928P,1248,1000,2643,3300
1979.0929P,1222,1000,2615,3196
1979.0931P,1292,1000,2662,3440
1979.0932P,1231,1000,2634,3243
1979.0933P,1252,1000,2709,3393
1979.0934P,1235,999,3290,2662
1979.0935P,1305,999,2634,3440
1979.0936P,1299,1000,2662,3459
1979.0937P,1212,1000,2737,3318
1979.0938P,1252,999,2746,3440
1979.0939P,1240,1000,2728,3384
1979.0941P,1266,1000,2746,3478
1979.0942P,999,1286,2746,3534
1979.0943P,1283,999,3378,2631
1979.0944P,1320,1000,4334,3282
1979.0945P,1305,1000,2859,3731
1979.0946P,1344,999,2690,3618
1979.0948P,1314,1000,4314,3282
1979.0949P,1308,1000,4294,3282
1979.0951P,1320,1000,4334,3282
1979.0952P,1276,999,2746,3506
1979.0953P,1301,1000,4314,3315
1979.0955P,1267,999,2803,3553
1979.0958P,1222,1000,2653,3243
1979.0959P,1400,1000,4412,3151
1979.1001P,1924,1000,4524,2351
1979.1005P,1500,1000,5184,3456
1979.1011P,1500,1000,5184,3456
1979.1013p,1333,1000,2448,3264
1979.1014P,1500,1000,5184,3456
1979.1015P,1333,1000,2448,3264
1979.1018P,1333,1000,2448,3264
1979.1019P,1000,1333,2448,3264
1979.1022P,1000,1333,2448,3264
1979.1026P,1000,1500,3456,5184
1979.1028P,1000,1333,2448,3264
1979.1030P,1000,1333,2448,3264
1979.1031P,1000,1333,2448,3264
