qid,orcid
Q83422369,0000-0001-6355-5546
Q90280723,0000-0001-5943-344X
Q90330601,0000-0001-7626-2435
Q90330651,0000-0003-0479-4242
Q90408955,0000-0002-2515-786X
Q91134519,0000-0003-4203-4703
Q91486962,0000-0002-4994-2651
Q91511673,0000-0002-4994-2651
Q91548065,0000-0002-8212-7886
Q97448225,0000-0001-5867-8162
