qid,label_en,affiliation_uuid,affiliation,affiliation_start_time_nodeId,affiliation_start_time_val,affiliation_start_time_prec,affiliation_end_time_nodeId,affiliation_end_time_val,affiliation_end_time_prec,affiliation_ref1_hash,affiliation_ref1_referenceUrl,affiliation_ref1_retrieved_nodeId,affiliation_ref1_retrieved_val,affiliation_ref1_retrieved_prec
Q83260986,David Michelson,FDFDFF94-EAB5-46A2-8772-8B23E6AF7249,Q79117777,,,,,,,c1a3c91f54a3d604df58c8f9c1399b608acc7ad3,https://as.vanderbilt.edu/classics/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83260995,Monica Park,A7F4AAD5-F966-4C1F-BDA6-5BB249675997,Q79117951,,,,,,,dd710d76944e08911838e24fa4f353f5d2ac9640,https://as.vanderbilt.edu/wgs/core-faculty-and-staff/affiliated-faculty/,2269a8f4a882c57fddba3158cae6b901,2020-02-29T00:00:00Z,11
Q83260995,Monica Park,AB6457EC-48EB-46D2-9498-36D1741EED8A,Q79117777,,,,,,,c1a3c91f54a3d604df58c8f9c1399b608acc7ad3,https://as.vanderbilt.edu/classics/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83261552,Tobias B. Limperg,0B8FC33B-B435-44E3-936F-28E4A2552EE4,Q89953947,,,,,,,0d11039bde141e6567fa55378b926d644573af8f,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=L,9080bb8c118689077b9d6a59cfdb955c,2020-04-21T00:00:00Z,11
Q83268550,Daniel P. Solomon,F33D3592-48BB-4246-AC2A-8BF9B6666D89,Q79117777,,,,,,,c1a3c91f54a3d604df58c8f9c1399b608acc7ad3,https://as.vanderbilt.edu/classics/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83268552,Chiara Sulprizio,E76F2D69-063B-4708-A5BB-236AA2A2A704,Q79117777,,,,,,,c1a3c91f54a3d604df58c8f9c1399b608acc7ad3,https://as.vanderbilt.edu/classics/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83268558,David L. Eastman,87C19F00-F77C-4E73-AD08-17FA1FB5FA3E,Q79117777,,,,,,,14ef9ecca4a80f3c20a65faeb619a1f40a9572ac,https://as.vanderbilt.edu/classics/people/index.php?group=affiliated-faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83268561,Elsa Filosa,4251F4BF-83C0-4A84-9648-D52447B03FB9,Q79117777,,,,,,,14ef9ecca4a80f3c20a65faeb619a1f40a9572ac,https://as.vanderbilt.edu/classics/people/index.php?group=affiliated-faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83268561,Elsa Filosa,DFD6943F-3248-4197-BAF9-ABA5442504B9,Q79117832,,,,,,,2ca3fce362ac8ba87cd94e909e4228f808c81e17,https://as.vanderbilt.edu/french-italian/faculty-in-italian/,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q83268564,Mireille Lee,71834013-1857-4C88-A40C-0152390AAD33,Q79117951,,,,,,,dd710d76944e08911838e24fa4f353f5d2ac9640,https://as.vanderbilt.edu/wgs/core-faculty-and-staff/affiliated-faculty/,2269a8f4a882c57fddba3158cae6b901,2020-02-29T00:00:00Z,11
Q83268564,Mireille Lee,9E8CBE63-5ED1-44B8-B774-072AFBF04D26,Q79117777,,,,,,,14ef9ecca4a80f3c20a65faeb619a1f40a9572ac,https://as.vanderbilt.edu/classics/people/index.php?group=affiliated-faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83268564,Mireille Lee,A2FA4397-7643-4056-A46E-B44B0DB906C6,Q79117855,,,,,,,24713f10459a1b35c830302662279940c85099a7,https://as.vanderbilt.edu/historyart/people/faculty.php,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q83268567,Thomas A. J. McGinn,71D4685A-818A-41A8-B165-0F245B68110C,Q79117777,,,,,,,14ef9ecca4a80f3c20a65faeb619a1f40a9572ac,https://as.vanderbilt.edu/classics/people/index.php?group=affiliated-faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83268567,Thomas A. J. McGinn,8AF5D62C-7FCD-4EDA-9644-DAC6029EF1B4,Q7914456,,,,,,,133c8ea65aecf7c931a3ccb4721ae2f9394815ec,https://law.vanderbilt.edu/people/?type=joint,be22000638b3509c3a481d04f78778ca,2020-03-01T00:00:00Z,11
Q83268567,Thomas A. J. McGinn,9D568874-E393-46A1-9953-7265F4EB2784,Q79117847,,,,,,,11730262bcfa123ffd68daf5c8c02a4fa990c602,https://as.vanderbilt.edu/history/people/index.php?group=primary-and-joint-appointments,5e77a71e2f906a75b43dc27ebe69ada8,2020-01-22T00:00:00Z,11
Q83268567,Thomas A. J. McGinn,FAA63D28-2AF9-40C5-AEC9-C78FA8F570B9,Q79117951,,,,,,,dd710d76944e08911838e24fa4f353f5d2ac9640,https://as.vanderbilt.edu/wgs/core-faculty-and-staff/affiliated-faculty/,2269a8f4a882c57fddba3158cae6b901,2020-02-29T00:00:00Z,11
Q83268577,David J. Wasserstein,43B9E6E3-E749-4728-B686-48DE6019F8CD,Q79117861,,,,,,,ed749432e270910cdd7c7370f9ba3f43ed16c94b,https://as.vanderbilt.edu/jewishstudies/category/faculty/,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q83268577,David J. Wasserstein,6B25C89E-F85A-4602-A0A4-2D9B733D9E95,Q79117847,,,,,,,11730262bcfa123ffd68daf5c8c02a4fa990c602,https://as.vanderbilt.edu/history/people/index.php?group=primary-and-joint-appointments,5e77a71e2f906a75b43dc27ebe69ada8,2020-01-22T00:00:00Z,11
Q83268577,David J. Wasserstein,EA1FB9CE-A258-43AD-9CE0-25AD05035C8E,Q79117777,,,,,,,14ef9ecca4a80f3c20a65faeb619a1f40a9572ac,https://as.vanderbilt.edu/classics/people/index.php?group=affiliated-faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83268583,Carter Philips,93574D50-89E2-483A-AA8B-C4EB6C2416C6,Q79117777,,,,,,,025dfbb59efbfd2b1be4e8afddade28f338d3bf5,https://as.vanderbilt.edu/classics/people/index.php?group=emeriti,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83268596,Susan Ford Wiltshire,51B2F346-A933-48F3-8C98-31108099FE6D,Q79117777,,,,,,,025dfbb59efbfd2b1be4e8afddade28f338d3bf5,https://as.vanderbilt.edu/classics/people/index.php?group=emeriti,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294059,Kathryn Anderson,8DF17F89-A0F0-4570-9F6D-E9CD21BA5FEB,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294064,Ana Regina Andrade,9278FAA4-FAD5-4AB0-B5E9-77990D3314D8,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294071,Brian Beach,0009957A-7DCB-424F-BC37-9016DF8CF754,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294082,Stephen Buckles,74B33919-4FE0-4844-AA7A-D00FCC797EC0,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294259,Christopher Carpenter,2A08E600-3582-479D-860F-423B3FC2D4AC,Q7914456,,,,,,,133c8ea65aecf7c931a3ccb4721ae2f9394815ec,https://law.vanderbilt.edu/people/?type=joint,be22000638b3509c3a481d04f78778ca,2020-03-01T00:00:00Z,11
Q83294259,Christopher Carpenter,AF84C413-D982-4E66-B947-1CD640A04C2C,Q83550305,,,,,,,0c458f8ca7cd90e0aa66def6a4e41fc284737710,https://peabody.vanderbilt.edu/people/lpo/,9aed736e219550add243997f7f862a4a,2020-01-24T00:00:00Z,11
Q83294259,Christopher Carpenter,B8451FFC-CEA6-4985-A2D3-5EC7F6D6DFC2,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294259,Christopher Carpenter,EE63C883-631F-479C-B617-8958E09404AF,Q79117951,,,,,,,dd710d76944e08911838e24fa4f353f5d2ac9640,https://as.vanderbilt.edu/wgs/core-faculty-and-staff/affiliated-faculty/,2269a8f4a882c57fddba3158cae6b901,2020-02-29T00:00:00Z,11
Q83294263,William Collins,3B54AD99-EC29-4FB4-87EC-5B139CC297C1,Q79117847,,,,,,,0854dd123f42f89a7de957bd4e9498e22737f5db,https://as.vanderbilt.edu/history/people/index.php?group=secondary-and-affiliated-appointments,5e77a71e2f906a75b43dc27ebe69ada8,2020-01-22T00:00:00Z,11
Q83294263,William Collins,AA84AE67-1140-4B00-9379-B0F07B5EEF6A,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294270,Mario Crucini,5246AF44-80D6-4649-801B-60E812684527,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294273,Kent Dolezal,FF85E630-2FA8-47D3-B69C-FBD21D041A6C,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294279,Robert A. Driskill,27C5A43C-C2D4-45E1-9E97-7B5ABE61A7B8,Q79117827,,,,,,,3fe4fdede52ffb24b78c650c8f09af6daf3423db,https://as.vanderbilt.edu/europeanstudies/people/faculty.php,3cd393f32177f6baecd50b8b4ef6807b,2020-02-28T00:00:00Z,11
Q83294279,Robert A. Driskill,7F833C91-0109-4D4D-BB06-EBC3DEC100A5,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294281,Andrew Dustan,A25CE905-6563-4533-9C1F-F6E1EF306FB3,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294289,Hojat Ghandi,D5F0592E-4113-467B-838A-7BB5CD490D3A,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294294,Andrew Goodman-Bacon,1A14E29C-78F5-4D40-8292-0C22124CD380,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294301,Federico Gutierrez,30EB5FAE-C877-4191-881F-F0AD7971EB0D,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294306,Malin Hu,773D1C88-3BE1-41E2-85A0-DE269E0EDC98,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294311,Kevin Huang,D392C6BE-2003-458D-8567-D863B2926628,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294320,Gregory Leo,C6C9EAFD-01FC-42E1-860E-BB44CE968ACC,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
Q83294323,Tong Li,BBAEC1FE-B37D-4F8B-A023-C16B78058248,Q79117810,,,,,,,8d8f452e94d706f646bf4ba7bedb40b5760a609e,https://as.vanderbilt.edu/econ/people/index.php?group=faculty,a1a2e4c5b0ebeafb0c12450e7cf514c8,2020-01-20T00:00:00Z,11
