qid,label_en,description_en,instance_of_uuid,instance_of,gender_uuid,gender,orcid_uuid,orcid,orcid_ref1_hash,orcid_ref1_retrieved_nodeId,orcid_ref1_retrieved_val,orcid_ref1_retrieved_prec,employer_uuid,employer,employer_start_time_nodeId,employer_start_time_val,employer_start_time_prec,employer_end_time_nodeId,employer_end_time_val,employer_end_time_prec,employer_ref1_hash,employer_ref1_referenceUrl,employer_ref1_retrieved_nodeId,employer_ref1_retrieved_val,employer_ref1_retrieved_prec
Q100939252,Nicole Jardine,psychologist,FC194DBA-90EA-42A5-90F3-535AD149AB6D,Q5,53268F1D-D4AD-431E-98BF-0250979B5E2C,Q6581072,E34F47C7-FDB9-42B0-B445-278ED2D2E593,0000-0001-5472-4029,220cc132746fe9acd80a3cb4f6ae76cf4987b557,2a68b3b6d92a22e996103537101c3b1b,2021-03-27T00:00:00Z,11,7268E546-8E6C-4EF0-8186-36299ED49408,Q29052,ce90feaacda74eb7f8326b25fb625c6d,2008-01-01T00:00:00Z,9,19fb1e607fb895edac44d92bd9141272,2011-01-01T00:00:00Z,9,83bb027bc7ba4d2c9a442e3b9bcd52de151c66cc,https://orcid.org/0000-0001-5472-4029,2a68b3b6d92a22e996103537101c3b1b,2021-03-27T00:00:00Z,11
Q101008714,Doug Morin,music educator and conductor,a2a50fa6-4dd9-b645-f9c6-ad4e9393ee3a,Q5,22d66e3b-41f5-e05d-fb57-53985313f36a,Q6581097,,,,,,,c9d431ad-45ac-d068-127f-e77570cf4552,Q29052,,,,,,,ee43ebb0a098fb0e93d1b9fd46ca0e6fe21852e0,https://www.dougmorin.us/,c483589e11a345c14148fab460ecd419,2020-10-30T00:00:00Z,11
Q101051354,Fong Cheng Pan,researcher,E879B4F0-756F-4DC2-A583-F66A50F26958,Q5,,,DD57ED7D-4AD8-4788-84F7-160B6A06097D,0000-0002-9393-6574,,,,,0BEB5EA8-A97B-4BCF-985B-3DB1991F9A0D,Q29052,a6f31f224d79529c75d6d53a082abc63,2007-01-12T00:00:00Z,11,b040a6efbbb51048c020703cda68b49b,2015-08-31T00:00:00Z,11,1523eddaea1159a5944a84f4ab44a6384b5a462a,https://pub.orcid.org/v3.0_rc1/0000-0002-9393-6574/employment/1875257,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q101125713,Laurence M. Solberg,medical researcher,2FBD8442-BA4A-4679-A1FE-2EF96AF25EAF,Q5,A228A255-E8B5-42AA-8586-78168F9C0E3A,Q6581097,DC0A04AA-9F70-4E1D-AB94-6BB4E74D48C6,0000-0001-8764-5335,220cc132746fe9acd80a3cb4f6ae76cf4987b557,2a68b3b6d92a22e996103537101c3b1b,2021-03-27T00:00:00Z,11,10AA4465-1DFB-4EAE-8E2A-CB09C6BD5767,Q29052,9d10746b9ae02a36b267b1640137fe27,2007-07-01T00:00:00Z,10,5db0976c32c12260dc0acf629703560a,2013-03-01T00:00:00Z,10,7199918ed913351bb3adfa9dceedd437f543c4b8,https://orcid.org/0000-0001-8764-5335,2a68b3b6d92a22e996103537101c3b1b,2021-03-27T00:00:00Z,11
Q101225404,Merrida A. Childress,biomedical scientist,C694A7DA-B6DF-4B50-B429-1F9F083D2B31,Q5,,,9CB30B36-1092-4268-9683-6ADFC896A294,0000-0002-0854-784X,,,,,26fadcc0-4df5-1151-1359-28aaf316b8f0,Q29052,,,,,,,0da9ac68030b6e1a0e67881f1780de3612805ab9,https://medschool.vanderbilt.edu/cancer-biology/person/merrida-childress/,5accf20b822c91f49d8bef6ebfdaba41,2021-01-19T00:00:00Z,11
Q101225492,Shawna K. Brookens,researcher,B73A281F-6BEE-4F31-8DC9-79BB43089E72,Q5,,,63E9DB9F-B442-41FC-A4D8-5F3C2137EB05,0000-0003-1620-6276,,,,,487E74F4-7912-4F5E-A7F7-421C01D2E9A9,Q29052,85ecb07bd892f76179229c3b76f1e92f,2015-08-15T00:00:00Z,11,,,,fab957735a48cbda0aa9fecd15e825d6888b29ca,https://pub.orcid.org/v3.0_rc1/0000-0003-1620-6276/employment/12676147,8c2bdc5006a93f73a2b03849218b4e7b,2021-01-10T00:00:00Z,11
Q101232337,Aubrey Land,professor of history,94951f18-43d9-f2ff-4f03-9c39d07375fd,Q5,fea73ed8-403a-c751-8954-42b455cf2dee,Q6581097,,,,,,,3aa2899b-4091-a088-2844-7d7997f8ec2d,Q29052,dca421a2ca4aa585d2c45326049993eb,1950-01-01T00:00:00Z,9,4548faeb71015fa6e12d0a31dd3a9fe9,1955-01-01T00:00:00Z,9,83c1677984255ba8c13d6086be4654776cc70f8a,http://hdl.handle.net/1903.1/1247,df4863b2348f40c0be4f580520931694,2020-11-06T00:00:00Z,11
Q101542374,Chris Benda,librarian,99EDE8BD-68F0-45AC-8846-165A60A843DC,Q5,20331706-AE19-41DF-AC3C-688EDF3B7346,Q6581097,,,,,,,02A4B29F-FAB3-45AE-86DD-505210C1202B,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542375,Yu-Fen Benda,librarian,652721A5-6A5B-459A-90EF-C4C201C4FA7B,Q5,53569250-0C0C-4B24-BE70-67DCF67B4E10,Q6581072,,,,,,,92CA5B6F-4735-486E-BC2F-A16DB86D9612,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
Q101542376,Yvonne Boyer,librarian,EA4E918B-0569-453B-ACD1-D3523285C72C,Q5,08582184-6E5E-45F2-A99D-1FCCB0D98D29,Q6581072,,,,,,,218AB599-FAAF-422A-9731-5625B08E64AD,Q29052,,,,,,,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,f93cf8b14cf423a62d1f698eaea1c8d1,2020-11-13T00:00:00Z,11
