accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
1998.016,0.84375,0.359,0.625,0.017070979335130278,0.1554357592093441,359,625,38,346,4.66201,-0.056271497,19.099049,,1,1,1,1,1,1,1,0.70236695
1998.017,0.67578125,0.7515837104072398,0.8113122171945701,0.316,0.47,1661,1793,316,470,-26.485542,-68.92415,1.2059414,,1,1,1,1,1,1,1,0.19507393
1998.017,0.7421875,0.8027149321266969,0.8710407239819005,0.207,0.383,1774,1925,207,383,-10.8094015,-88.54271,-5.17899,,1,1,1,1,1,1,2,0.014924296
1998.020,0.8125,0.22171532846715328,0.37135036496350365,0.146,0.527,486,814,146,527,1.1692238,19.597311,-17.50141,,4,1,1,1,1,1,1,0.20313679
1998.027,0.6640625,0.619,0.999,0.5733695652173914,0.8603940217391305,619,999,1688,2533,-10.919015,-71.94469,-8.852668,,1,1,1,1,1,1,1,0.015944913
1998.027,0.93359375,0.0,0.386,0.5302309782608695,0.7533967391304348,0,386,1561,2218,-0.20038177,2.3537462,-14.698811,,5,1,1,1,1,1,1,0.34228653
1998.027,0.6796875,0.0,0.512,0.0,0.21739130434782608,0,512,0,640,3.866007,-0.052410524,-13.730719,,1,2,1,1,1,1,1,0.195296
1998.030,0.609375,0.0,0.6736736736736737,0.0,0.4323453608247423,0,673,0,671,9.23686,27.432676,-10.265454,,1,1,1,1,1,1,1,0.25449583
1998.037,0.875,0.5936578171091446,0.8827433628318584,0.0,0.423,805,1197,0,423,2.8914602,-4.792159,9.860734,,1,1,1,1,1,1,1,0.15635154
1998.039,0.54296875,0.15589080459770116,0.35488505747126436,0.4134134134134134,0.7357357357357357,217,494,413,735,-19.853342,2.7206542,-16.471226,,4,1,1,1,1,1,1,0.032303505
