qid,type,noun,label,object_description,form_description,design_description,includes,noun
Q102962324,ceramics,mug,Blue glazed pottery mug,Blue glazed pottery mug,,,,mug
Q102962331,ceramics,jar,Blue gray jar with design of mountainous harbor scene,Blue gray jar,,of mountainous harbor scene,,jar
Q102962398,ceramics,vase,Bottle shaped vase with painted design of willow tree and grass orchids,Bottle shaped vase,,,painted design of willow tree and grass orchids,vase
Q102962404,ceramics,vase,Bottle vase with design of flowers,Bottle vase,,of flowers,,vase
Q102962419,work of art,bowl,Bowl,Bowl,,,,bowl
Q102962426,ceramics,bowl,Bowl with a brown and white motif,Bowl,,,a brown and white motif,bowl
Q102962433,ceramics,bowl,"Bowl with a design in blue under glaze of medallions, Lung-shan seal, and interior scene of a scholar in landscape",Bowl,,"in blue under glaze of medallions, Lung-shan seal, and interior scene of a scholar in landscape",,bowl
Q102962439,ceramics,bowl,Bowl with a design in blue under-glaze of buildings and mountains,Bowl,,in blue under-glaze of buildings and mountains,,bowl
Q102962447,ceramics,bowl,Bowl with a design in blue underglaze of two dragons,Bowl,,in blue underglaze of two dragons,,bowl
Q102962456,ceramics,bowl,Bowl with a design of a landscape in blue underglaze,Bowl,,of a landscape in blue underglaze,,bowl
Q102962463,ceramics,bowl,Bowl with a design of bamboo in blue underglaze,Bowl,,of bamboo in blue underglaze,,bowl
Q102962469,ceramics,bowl,Bowl with a design of flowers and arabesques (Export ware),Bowl,,of flowers and arabesques (Export ware),,bowl
Q102962477,ceramics,bowl,Bowl with a design of Japanese women and girls,Bowl,,of Japanese women and girls,,bowl
Q102962482,ceramics,bowl,Bowl with a Design of Japanese Women and Girls and 500 Rakan (Sanskrit: Arhats),Bowl,,of Japanese Women and Girls and 500 Rakan (Sanskrit: Arhats),,bowl
Q102962489,ceramics,bowl,Bowl with a design of landscape in the center of mountains and ocean (Ao-Kutani ware),Bowl,,of landscape in the center of mountains and ocean (Ao-Kutani ware),,bowl
Q102962504,ceramics,bowl,Bowl with a design of plum blossoms on the interior and blue-green glaze over brown on the exterior,Bowl,,of plum blossoms on the interior and blue-green glaze over brown on the exterior,,bowl
Q102962509,ceramics,bowl,Bowl with a lotus motif,Bowl,,,a lotus motif,bowl
Q102962517,ceramics,bowl,Bowl with a lotus motif (celadon ware),Bowl,,,a lotus motif (celadon ware),bowl
Q102962526,ceramics,bowl,Bowl with an abstract design in blue under glaze,Bowl,,,an abstract design in blue under glaze,bowl
Q102962532,ceramics,bowl,Bowl with an interior design in blue under glaze of a bird and exterior design of a landscape with fishermen in boats and a scholar figure,Bowl,,,an interior design in blue under glaze of a bird and exterior design of a landscape with fishermen in boats and a scholar figure,bowl
Q102962540,ceramics,bowl,Bowl with crackle glaze with an abstract design in blue underglaze  with a silver rim,Bowl,,,crackle glaze with an abstract design in blue underglaze with a silver rim,bowl
Q102962547,ceramics,bowl,Bowl with design in blue under glaze of two phoenixes and three flowers and two concentric rings with four abstract designs on the underside,Bowl,,in blue under glaze of two phoenixes and three flowers and two concentric rings with four abstract designs on the underside,,bowl
Q102962556,ceramics,bowl,Bowl with design of a rabbit in the center,Bowl,,of a rabbit in the center,,bowl
Q102962565,ceramics,bowl,"Bowl with designs of cranes, flowers and pines (Imari ware)",Bowl,,"of cranes, flowers and pines (Imari ware)",,bowl
Q102962573,ceramics,bowl,Bowl with floral motif,Bowl,,,floral motif,bowl
Q102962581,ceramics,bowl,Bowl with foliate rim with a design of blue and green clouds with inscription,Bowl with foliate rim,,of blue and green clouds with inscription,,bowl
Q102962591,ceramics,bowl,Bowl with glossy-black glaze with wax-resist and matte blue glaze and brown interior glaze,Bowl,,,glossy-black glaze with wax-resist and matte blue glaze and brown interior glaze,bowl
Q102962597,ceramics,bowl,Bowl with green crackle glaze,Bowl,,,green crackle glaze,bowl
Q102962602,ceramics,bowl,Bowl with guan-type white crackle glaze,Bowl,,,guan-type white crackle glaze,bowl
Q102962608,ceramics,bowl,Bowl with incised faces and geometric designs on underside,Bowl,,,incised faces and geometric designs on underside,bowl
Q102962620,ceramics,bowl,Bowl With Inlay Design on Interior and Exterior,Bowl,,,Inlay Design on Interior and Exterior,bowl
Q102962626,ceramics,bowl,Bowl with landscape design,Bowl,,,landscape design,bowl
Q102962632,ceramics,bowl,"Bowl with lip and foot (Ko style, Celadon ware)",Bowl,,,"lip and foot (Ko style, Celadon ware)",bowl
Q102962640,ceramics,bowl,Bowl with red decoration; from the Imperial kiln,Bowl,,,red decoration; from the Imperial kiln,bowl
