qid,type,noun,label,object_description,form_description,design_description,includes,noun
Q102969216,ceramics,jar,Oil jar with gold lacquer repair and incised design with celadon glaze,Oil jar,,,gold lacquer repair and incised design with celadon glaze,jar
Q102969225,ceramics,jar,Oil jar with gold lacquer repair and inlaid design of flowers and circles with celadon glaze,Oil jar,,,gold lacquer repair and inlaid design of flowers and circles with celadon glaze,jar
Q102969230,ceramics,jar,Oil jar with gold lacquer repair with celadon glaze,Oil jar,,,gold lacquer repair with celadon glaze,jar
Q102969245,work of art,lamp,Oil lamp in the form of a bird,Oil lamp,a bird,,,lamp
Q102969260,ceramics,plate,Oil-drip horse-eye plate,Oil-drip horse-eye plate,,,,plate
Q102969318,ceramics,bowl,Open bowl with red and orange slip,Open bowl,,,red and orange slip,bowl
Q102969358,ceramics,beaker,Oribe ware beaker with design of leaves,Oribe ware beaker,,of leaves,,beaker
Q102969364,ceramics,bowl,Oribe ware bowl with a impressed design of flying birds,Oribe ware bowl,,,a impressed design of flying birds,bowl
Q102969370,ceramics,bowl,Oribe ware bowl with green and blue glazes with an incised leaf design,Oribe ware bowl,,,green and blue glazes with an incised leaf design,bowl
Q102969376,ceramics,vase,Oribe ware flower vase with a design of green and brown abstract pattern,Oribe ware flower vase,,of green and brown abstract pattern,,vase
Q102969381,ceramics,plate,Oribe ware oil-drip horse-eye plate with a design of a flying bird,Oribe ware oil-drip horse-eye plate,,of a flying bird,,plate
Q102969387,ceramics,plate,Oribe ware oil-drip plate with a design of chrysanthemums,Oribe ware oil-drip plate,,of chrysanthemums,,plate
Q102969393,ceramics,plate,Oribe ware plate with a design in brown slip of a bridge,Oribe ware plate,,in brown slip of a bridge,,plate
Q102969398,ceramics,cup,Oribe ware tea cup with a design of three chrysanthemum flowers,Oribe ware tea cup,,of three chrysanthemum flowers,,cup
Q102969408,work of art,ornament,Ornament in a design of a vase with plants and sacred fungus,Ornament in a design of a vase,,,plants and sacred fungus,ornament
Q102969418,work of art,ornament,"Ornament with a carved design of a dragon, tiger and hero with attached corn and bead",Ornament,,,"a carved design of a dragon, tiger and hero with attached corn and bead",ornament
Q102969457,work of art,mirror,Oval mirror with an urn on top,Oval mirror,,,an urn on top,mirror
Q102969462,sculpture,panel,Overdoor Panel,Overdoor Panel,,,,panel
Q102969473,work of art,bowl,Painted bowl,Painted bowl,,,,bowl
Q102969478,ceramics,decoration,Painted bowl (very light decoration with traces of mud),Painted bowl (very light decoration,,,traces of mud),decoration
Q102969484,ceramics,ware,Painted lidded jar (sawankhalok ware),Painted lidded jar (sawankhalok ware),,,,ware
Q102969488,sculpture,pair,Pair of bi discs with a grain pattern design,Pair of bi discs,,,a grain pattern design,pair
Q102969500,work of art,pair,Pair of dolls,Pair of dolls,,,,pair
Q102969510,ceramics,pair,"Pair of dwarfs, one with green glaze, the other with three-color glaze in green, brown, and white","Pair of dwarfs, one",,,"green glaze, the other with three-color glaze in green, brown, and white",pair
Q102969516,work of art,pair,Pair of lidded lacquer bowls with chopsticks to be presented to a married couple,Pair of lidded lacquer bowls,,,chopsticks to be presented to a married couple,pair
Q102969526,work of art,pair,Pair of painted wooden dolls,Pair of painted wooden dolls,,,,pair
Q102969533,sculpture,pair,"Pair of Signature Seals, Square with Arched Handles","Pair of Signature Seals, Square",,,Arched Handles,pair
Q102969541,work of art,carp,Paired carp,Paired carp,,,,carp
Q102969567,work of art,bottle,Pale brown bottle,Pale brown bottle,,,,bottle
Q102969572,ceramics,cup,Pale grey-green celadon ware cup,Pale grey-green celadon ware cup,,,,cup
Q102969643,ceramics,bowl,Pedestal bowl with celadon glaze and gold leaf repair,Pedestal bowl,,,celadon glaze and gold leaf repair,bowl
Q102969655,ceramics,dish,Pedestal dish with incised design,Pedestal dish,,,incised design,dish
Q102969661,ceramics,dish,Pedestal dish with lid with incised and punched designs,Pedestal dish,,,lid with incised and punched designs,dish
Q102969670,work of art,holder,Pen and ink holder,Pen and ink holder,,,,holder
Q102969689,sculpture,percussion,Percussion,Percussion,,,,percussion
Q102969744,sculpture,pietà,Pietà,Pietà,,,,pietà
Q102969763,work of art,case,Pipe case with a carved design of vines and leaves,Pipe case,,,a carved design of vines and leaves,case
Q102969769,work of art,pitcher,Pitcher,Pitcher,,,,pitcher
Q102969774,work of art,pitcher,Pitcher with stamped abstract signs,Pitcher,,,stamped abstract signs,pitcher
Q102969782,ceramics,pitcher,Pitcher with temmoku glaze,Pitcher,,,temmoku glaze,pitcher
Q102969791,ceramics,pottery,"Pitcher, black glazed pottery","Pitcher, black glazed pottery",,,,pottery
Q102969797,work of art,* Noun not detected!,Place mats (four in total),Place mats (four in total),,,,* Noun not detected!
Q102969801,ceramics,plate,Plate  with a design in blue underglaze of a vase of flowers,Plate,,in blue underglaze of a vase of flowers,,plate
Q102969805,ceramics,plate,Plate with a design in blue underglaze of a Chinese-style landscape,Plate,,in blue underglaze of a Chinese-style landscape,,plate
Q102969811,ceramics,plate,Plate with a design in blue underglaze of a radish,Plate,,in blue underglaze of a radish,,plate
Q102969817,ceramics,plate,Plate with a design in blue underglaze of a wagtail,Plate,,in blue underglaze of a wagtail,,plate
Q102969821,ceramics,plate,Plate with a design of three warriors,Plate,,of three warriors,,plate
Q102969831,work of art,plate,Plate With Carved Clematis Flower,Plate,,,Carved Clematis Flower,plate
Q102969847,ceramics,plate,Plate with design in blue underglaze of mouse eating a turnip,Plate,,in blue underglaze of mouse eating a turnip,,plate
Q102969909,ceramics,dish,"Porcelain dish with a design in  blue under glaze of a written character of happiness, five bats, and a key fret rim, with three bats on underside",Porcelain dish,,"in  blue under glaze of a written character of happiness, five bats, and a key fret rim, with three bats on underside",,dish
Q102969975,ceramics,pot,Pot with decoration in brown around upper rim,Pot,,,decoration in brown around upper rim,pot
Q102969980,ceramics,pot,Pot with Round Base and Cylindrical Neck,Pot,,,Round Base and Cylindrical Neck,pot
Q102969988,ceramics,bowl,Pottery bowl with pale greenish glaze,Pottery bowl,,,pale greenish glaze,bowl
Q102970141,textile,purse,"Purse With Three Monkeys in a Pine Tree on One Side, & a Dragon in Waves on the Other",Purse,,,"Three Monkeys in a Pine Tree on One Side, & a Dragon in Waves on the Other",purse
Q102970149,ceramics,bowl,Qingbai celadon ware bowl,Qingbai celadon ware bowl,,,,bowl
Q102970156,ceramics,bowl,Qingbai ware bowl,Qingbai ware bowl,,,,bowl
Q102970164,ceramics,bowl,Qingbai ware bowl with flower designs,Qingbai ware bowl,,,flower designs,bowl
Q102970171,ceramics,stand,Quail-shaped box on a wooden stand (2 parts),Quail-shaped box on a wooden stand (2 parts),,,,stand
Q102970212,sculpture,reproduction,Rain Drum (reproduction),Rain Drum (reproduction),,,,reproduction
Q102970276,ceramics,ox,Reclining ox with brown glaze,Reclining ox,,,brown glaze,ox
Q102970280,textile,fabric,Red and gold fabric,Red and gold fabric,,,,fabric
Q102970289,ceramics,bowl,Red bowl with a black band,Red bowl,,,a black band,bowl
Q102970324,sculpture,relief,Relief of Five Arhats (disciples of Buddha),Relief of Five Arhats (disciples of Buddha),,,,relief
Q102970335,work of art,bowl,Repoussé bowl with farm scenes,Repoussé bowl,,,farm scenes,bowl
Q102970348,work of art,reproductions,"Reproductions of Samurai Swords, (Set of two) with Lacquered Stand","Reproductions of Samurai Swords, (Set of two)",,,Lacquered Stand,reproductions
Q102970390,work of art,mold,Rice Cake Mold (2 parts) with a Design of a Diamond-Shaped Flower,Rice Cake Mold (2 parts),,of a Diamond-Shaped Flower,,mold
Q102970395,work of art,mold,Rice Cake Mold (2 parts) with a Design of an Open Folding Fan,Rice Cake Mold (2 parts),,of an Open Folding Fan,,mold
Q102970401,work of art,mold,Rice Cake Mold (2 parts) with a Design of Pine Branches Against a Full Moon,Rice Cake Mold (2 parts),,of Pine Branches Against a Full Moon,,mold
Q102970406,work of art,mold,Rice Cake Mold (2 parts) with a Design of Thirteen Bamboo Shoots,Rice Cake Mold (2 parts),,of Thirteen Bamboo Shoots,,mold
Q102970411,work of art,mold,Rice Cake Mold with a Circular Design of Three Wisteria Blossoms,Rice Cake Mold,,,a Circular Design of Three Wisteria Blossoms,mold
Q102970419,work of art,mold,Rice Cake Mold with a Cucumber,Rice Cake Mold,,,a Cucumber,mold
Q102970425,work of art,mold,Rice Cake Mold with a Design of a Bamboo Shoot,Rice Cake Mold,,of a Bamboo Shoot,,mold
Q102970430,work of art,mold,Rice Cake Mold with a Design of a Basket of Peaches and Pomegranates,Rice Cake Mold,,of a Basket of Peaches and Pomegranates,,mold
Q102970438,work of art,mold,Rice Cake Mold with a Design of a Peony,Rice Cake Mold,,of a Peony,,mold
Q102970446,work of art,mold,Rice Cake Mold with a Design of a Pine Tree and Bamboo Grass,Rice Cake Mold,,of a Pine Tree and Bamboo Grass,,mold
Q102970454,work of art,mold,"Rice Cake Mold with a Design of a Tortoise on One Side, a Crane on the Other",Rice Cake Mold,,"of a Tortoise on One Side, a Crane on the Other",,mold
Q102970459,work of art,mold,Rice Cake Mold with a Design of a Twelve-Petalled Chrysanthemum and a Peach,Rice Cake Mold,,of a Twelve-Petalled Chrysanthemum and a Peach,,mold
Q102970464,work of art,mold,Rice Cake Mold with a Design of Five Drinking Gourds,Rice Cake Mold,,of Five Drinking Gourds,,mold
Q102970468,work of art,mold,Rice Cake Mold with a Design of Five Squares with Five Variations of the Character for Good Fortune (Fuku),Rice Cake Mold,,of Five Squares with Five Variations of the Character for Good Fortune (Fuku),,mold
Q102970472,work of art,mold,Rice Cake Mold with a Design of Five Tortoises,Rice Cake Mold,,of Five Tortoises,,mold
Q102970480,work of art,mold,"Rice Cake Mold with a Design of Mt. Fuji, Pine, a Bird, Two Fruits, and Clouds",Rice Cake Mold,,"of Mt. Fuji, Pine, a Bird, Two Fruits, and Clouds",,mold
Q102970490,work of art,mold,"Rice Cake Mold with a Design of Two Deer on One Side, Pine Trees on the Other",Rice Cake Mold,,"of Two Deer on One Side, Pine Trees on the Other",,mold
Q102970496,work of art,mold,"Rice Cake Mold with a Design on one Side of Two Stylized Flowers, Another Flower on the Other Side",Rice Cake Mold,,"on one Side of Two Stylized Flowers, Another Flower on the Other Side",,mold
Q102970556,ceramics,jar,Rockingham Pottery Brown Cookie Jar,Rockingham Pottery Brown Cookie Jar,,,,jar
Q102970594,coin,coin,Roman Republic coin,Roman Republic coin,,,,coin
Q102970696,ceramics,bottle,Sake bottle with inscription,Sake bottle,,,inscription,bottle
Q102970706,ceramics,cup,Sake cup with a design in blue underglaze of a gourd and vines,Sake cup,,in blue underglaze of a gourd and vines,,cup
Q102970719,ceramics,cup,Sake cup with a design of a flying crane in blue glaze,Sake cup,,of a flying crane in blue glaze,,cup
Q102970729,ceramics,cup,Sake cup with a square foot and an inscription on the outside rim,Sake cup,,,a square foot and an inscription on the outside rim,cup
Q102970735,ceramics,flask,"Sake flask with a combination of abstract and floral patterns in green, yellow and red",Sake flask,,,"a combination of abstract and floral patterns in green, yellow and red",flask
Q102970740,ceramics,flask,Sake flask with a design in blue and brown underglaze of fish with a thin overglaze,Sake flask,,in blue and brown underglaze of fish with a thin overglaze,,flask
Q102970749,ceramics,flask,Sake flask with a design in blue underglaze of abstract floral motif,Sake flask,,in blue underglaze of abstract floral motif,,flask
Q102970757,ceramics,flask,Sake flask with green and glaze with abstract line design,Sake flask,,,green and glaze with abstract line design,flask
Q102970763,ceramics,flask,Sake flask with ochre and green glazes with incised abstract floral motif,Sake flask,,,ochre and green glazes with incised abstract floral motif,flask
Q102970768,textile,embroidery,San Blas Embroidery,San Blas Embroidery,,,,embroidery
Q102970864,work of art,sashi,Sashi with leather coin purse,Sashi,,,leather coin purse,sashi
Q102970872,ceramics,pot,Sauce pot with a design in blue and brown underglaze of flowers,Sauce pot,,in blue and brown underglaze of flowers,,pot
Q102970879,ceramics,pot,Sauce pot with design of a white camellia blossom,Sauce pot,,of a white camellia blossom,,pot
Q102970890,ceramics,pot,Sauce pot with lid with a design in blue underglaze of flowers,Sauce pot with lid,,in blue underglaze of flowers,,pot
Q102970904,ceramics,jar,Sawankhalok war lidded jar with abstract designs in brown underglaze,Sawankhalok war lidded jar,,,abstract designs in brown underglaze,jar
Q102971120,work of art,weight,Scroll weight with an inlaid chrysanthemum design in mother of pearl,Scroll weight,,,an inlaid chrysanthemum design in mother of pearl,weight
Q102971125,work of art,weight,Scroll weight with an inlaid floral design in silver and gold,Scroll weight,,,an inlaid floral design in silver and gold,weight
Q102971132,work of art,weight,Scroll weight with an inlaid tree peony design in gold and silver,Scroll weight,,,an inlaid tree peony design in gold and silver,weight
Q102971141,work of art,weight,Scroll weight with inscription,Scroll weight,,,inscription,weight
Q102971169,work of art,case,Seal case with a design of a dragon on both sides,Seal case,,of a dragon on both sides,,case
Q102971179,sculpture,seal,Seal with Herman D. Doochin's personal seal reading Ha-man,Seal,,,Herman D. Doochin's personal seal reading Ha-man,seal
Q102971191,sculpture,buddha,Seated Buddha with reversed swastika on chest in meditation,Seated Buddha,,,reversed swastika on chest in meditation,buddha
Q102971215,ceramics,figure,Seated female figure with fan with green glaze,Seated female figure,,,fan with green glaze,figure
Q102971222,ceramics,man,Seated man with green glaze,Seated man,,,green glaze,man
Q102971244,textile,section,Section of obi with a design of Mt. Fuji and fishermen,Section of obi,,of Mt. Fuji and fishermen,,section
Q102971296,work of art,set,Set of Eight Ink Sticks With Relief Designs of Landscapes & Calligraphy,Set of Eight Ink Sticks,,,Relief Designs of Landscapes & Calligraphy,set
Q102971305,work of art,set,Set of five incense cases with individual designs in cotton pouch,Set of five incense cases,,,individual designs in cotton pouch,set
Q102971310,work of art,set,Set of five incense cases with individual designs in cotton pouch (Bouquet of Irises for the Boy's Festival design),Set of five incense cases,,,individual designs in cotton pouch (Bouquet of Irises for the Boy's Festival design),set
Q102971317,work of art,set,Set of five incense cases with individual designs in cotton pouch (Emperor and Empress for the Girl's Doll Festival design),Set of five incense cases,,,individual designs in cotton pouch (Emperor and Empress for the Girl's Doll Festival design),set
Q102971327,work of art,set,Set of five incense cases with individual designs in cotton pouch (Leaf and inscribed poem papers for the Tanabata Festival design),Set of five incense cases,,,individual designs in cotton pouch (Leaf and inscribed poem papers for the Tanabata Festival design),set
Q102971335,work of art,set,Set of five incense cases with individual designs in cotton pouch Chrysanthemum and butterfly,Set of five incense cases,,,individual designs in cotton pouch Chrysanthemum and butterfly,set
Q102971341,ceramics,dish,Shallow dish with radial cornered gray landscape (Ko-Kutani ware),Shallow dish,,,radial cornered gray landscape (Ko-Kutani ware),dish
Q102971349,ceramics,shard,Shard of an Amphora,Shard of an Amphora,,,,shard
Q102971369,work of art,plaque,Shibayama plaque with design of Mt. Fuji and lake,Shibayama plaque,,of Mt. Fuji and lake,,plaque
Q102971380,shield,shield,Shield,Shield,,,,shield
Q102971388,ceramics,bowl,Shigaraki ware bowl with foliate rim brown glazes,Shigaraki ware bowl,,,foliate rim brown glazes,bowl
Q102971395,ceramics,bowl,Shigaraki ware chawan (tea bowl) with green and brown glaze,Shigaraki ware chawan (tea bowl),,,green and brown glaze,bowl
Q102971404,ceramics,vase,Shigaraki ware vase with incised pattern,Shigaraki ware vase,,,incised pattern,vase
Q102971431,ceramics,bowl,Shino ware chawan (tea bowl) with a plant design,Shino ware chawan (tea bowl),,,a plant design,bowl
Q102971480,sculpture,seal,Signature Seal in the Form of a Lion Dog,Signature Seal,a Lion Dog,,,seal
Q102971484,sculpture,seal,Signature Seal with a Design of a Bird and a Leaf,Signature Seal,,of a Bird and a Leaf,,seal
Q102971492,sculpture,seal,Signature Seal With a Design of Rocks and Bamboo,Signature Seal,,of Rocks and Bamboo,,seal
Q102971498,sculpture,square,"Signature Seal, Square with an Arched Handle","Signature Seal, Square",,,an Arched Handle,square
Q102971512,sculpture,bolívar,Simón Bolívar,Simón Bolívar,,,,bolívar
Q102971618,ceramics,bowl,Small bowl with design of iris,Small bowl,,of iris,,bowl
Q102971627,ceramics,bowl,Small bowl with foot (Celadon ware),Small bowl,,,foot (Celadon ware),bowl
Q102971643,work of art,pendant,Small eagle pendant,Small eagle pendant,,,,pendant
Q102971652,work of art,pendant,Small frog pendant,Small frog pendant,,,,pendant
Q102971659,ceramics,jar,Small green jar with celadon glaze,Small green jar,,,celadon glaze,jar
Q102971666,ceramics,jar,Small jar,Small jar,,,,jar
Q102971674,ceramics,jar,Small jar with a design in  blue underglaze of animals and plants,Small jar,,in  blue underglaze of animals and plants,,jar
Q102971679,ceramics,pot,Small spotted pot,Small spotted pot,,,,pot
Q102971701,work of art,bottle,"Snuff bottle with a carved design in blue glass of bats, deer, and cranes with a pink stone stopper",Snuff bottle,,,"a carved design in blue glass of bats, deer, and cranes with a pink stone stopper",bottle
Q102971706,ceramics,bottle,Snuff bottle with a design in blue underglaze of two lion dogs with a green stopper,Snuff bottle,,in blue underglaze of two lion dogs with a green stopper,,bottle
Q102971719,ceramics,bottle,"Snuff bottle with a design in blue underglaze with green, turquoise, brown and red enamel glazes of two landscapes with a salmon colored stopper",Snuff bottle,,"in blue underglaze with green, turquoise, brown and red enamel glazes of two landscapes with a salmon colored stopper",,bottle
Q102971727,ceramics,bottle,"Snuff bottle with a pink, crackle glaze mottled with blue stopper",Snuff bottle,,,"a pink, crackle glaze mottled with blue stopper",bottle
Q102971735,ceramics,bottle,"Snuff bottle with a pink, mottled design with green stopper",Snuff bottle,,,"a pink, mottled design with green stopper",bottle
Q102971744,work of art,bottle,Snuff bottle with carved design of figures in a landscape,Snuff bottle,,,carved design of figures in a landscape,bottle
Q102971753,work of art,bottle,Snuff bottle with green stopper,Snuff bottle,,,green stopper,bottle
Q102971762,ceramics,cup,Soba-choko (Noodle sauce cup) with a design in black and brown underglaze of vertical leaf pattern,Soba-choko (Noodle sauce cup),,in black and brown underglaze of vertical leaf pattern,,cup
Q102971771,ceramics,cup,Soba-choko (noodle sauce cup) with a design in black underglaze of  broken diagonal lines,Soba-choko (noodle sauce cup),,in black underglaze of  broken diagonal lines,,cup
Q102971779,ceramics,cup,Soba-choko (noodle sauce cup) with a design in black underglaze of abstract vertical pattern,Soba-choko (noodle sauce cup),,in black underglaze of abstract vertical pattern,,cup
Q102971785,ceramics,cup,Soba-choko (noodle sauce cup) with a design in black underglaze of abstract vertical pattern with brush design,Soba-choko (noodle sauce cup),,in black underglaze of abstract vertical pattern with brush design,,cup
Q102971793,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in black underglaze of abstract, alternating vertical lines",Soba-choko (noodle sauce cup),,"in black underglaze of abstract, alternating vertical lines",,cup
Q102971799,ceramics,cup,Soba-choko (Noodle sauce cup) with a design in black underglaze of broken vertical lines,Soba-choko (Noodle sauce cup),,in black underglaze of broken vertical lines,,cup
Q102971811,ceramics,cup,Soba-choko (Noodle sauce cup) with a design in blue and brown underglaze of alternating vertical lines,Soba-choko (Noodle sauce cup),,in blue and brown underglaze of alternating vertical lines,,cup
Q102971818,ceramics,cup,Soba-choko (Noodle sauce cup) with a design in blue and brown underglaze of floral motif,Soba-choko (Noodle sauce cup),,in blue and brown underglaze of floral motif,,cup
Q102971827,ceramics,cup,Soba-choko (Noodle sauce cup) with a design in blue and red underglaze of floral motifs,Soba-choko (Noodle sauce cup),,in blue and red underglaze of floral motifs,,cup
Q102971834,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of  a landscape with three buildings, and flying birds with islands",Soba-choko (noodle sauce cup),,"in blue underglaze of  a landscape with three buildings, and flying birds with islands",,cup
Q102971839,ceramics,cup,Soba-choko (Noodle sauce cup) with a design in blue underglaze of a border of spirals over a geometric line design,Soba-choko (Noodle sauce cup),,in blue underglaze of a border of spirals over a geometric line design,,cup
Q102971846,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of a fan, hat, and pillow",Soba-choko (noodle sauce cup),,"in blue underglaze of a fan, hat, and pillow",,cup
Q102971855,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of a landscape,Soba-choko (noodle sauce cup),,in blue underglaze of a landscape,,cup
Q102971861,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of a landscape with drying fishing nets with vertical strips,Soba-choko (noodle sauce cup),,in blue underglaze of a landscape with drying fishing nets with vertical strips,,cup
Q102971873,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of a stylized rock and grasses,Soba-choko (noodle sauce cup),,in blue underglaze of a stylized rock and grasses,,cup
Q102971880,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract clouds,Soba-choko (noodle sauce cup),,in blue underglaze of abstract clouds,,cup
Q102971887,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract dot-pattern,Soba-choko (noodle sauce cup),,in blue underglaze of abstract dot-pattern,,cup
Q102971896,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract feathers and cherry blossoms,Soba-choko (noodle sauce cup),,in blue underglaze of abstract feathers and cherry blossoms,,cup
Q102971904,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract ferns,Soba-choko (noodle sauce cup),,in blue underglaze of abstract ferns,,cup
Q102971914,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract flowers and tendrils,Soba-choko (noodle sauce cup),,in blue underglaze of abstract flowers and tendrils,,cup
Q102971923,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract landscape,Soba-choko (noodle sauce cup),,in blue underglaze of abstract landscape,,cup
Q102971930,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract lotus motif in a repeated pattern,Soba-choko (noodle sauce cup),,in blue underglaze of abstract lotus motif in a repeated pattern,,cup
Q102971937,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract pattern in a square grid with diagonals,Soba-choko (noodle sauce cup),,in blue underglaze of abstract pattern in a square grid with diagonals,,cup
Q102971944,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract patterns in a square grid,Soba-choko (noodle sauce cup),,in blue underglaze of abstract patterns in a square grid,,cup
Q102971952,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract plant motif,Soba-choko (noodle sauce cup),,in blue underglaze of abstract plant motif,,cup
Q102971965,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract stalks and leaves,Soba-choko (noodle sauce cup),,in blue underglaze of abstract stalks and leaves,,cup
Q102971978,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract vertical bundles,Soba-choko (noodle sauce cup),,in blue underglaze of abstract vertical bundles,,cup
Q102971987,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract vertical lines,Soba-choko (noodle sauce cup),,in blue underglaze of abstract vertical lines,,cup
Q102971999,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of abstract, checkerboard pattern",Soba-choko (noodle sauce cup),,"in blue underglaze of abstract, checkerboard pattern",,cup
Q102972012,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of abstracted scales,Soba-choko (noodle sauce cup),,in blue underglaze of abstracted scales,,cup
Q102972022,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of alternating abstract patterns,Soba-choko (noodle sauce cup),,in blue underglaze of alternating abstract patterns,,cup
Q102972029,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of bamboo,Soba-choko (noodle sauce cup),,in blue underglaze of bamboo,,cup
Q102972034,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of bamboo and fishermen with straw rain cape and two bamboo shoots,Soba-choko (noodle sauce cup),,in blue underglaze of bamboo and fishermen with straw rain cape and two bamboo shoots,,cup
Q102972039,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of bamboo and one flying bird,Soba-choko (noodle sauce cup),,in blue underglaze of bamboo and one flying bird,,cup
Q102972045,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of bamboo and plum blossoms with inscription on bottom,Soba-choko (noodle sauce cup),,in blue underglaze of bamboo and plum blossoms with inscription on bottom,,cup
Q102972055,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of blossoming plants in three panels,Soba-choko (noodle sauce cup),,in blue underglaze of blossoming plants in three panels,,cup
Q102972064,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of buds and plum blossoms,Soba-choko (noodle sauce cup),,in blue underglaze of buds and plum blossoms,,cup
Q102972071,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of double leaf designs in three panels,Soba-choko (noodle sauce cup),,in blue underglaze of double leaf designs in three panels,,cup
Q102972076,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of floral motif in repeated pattern,Soba-choko (noodle sauce cup),,in blue underglaze of floral motif in repeated pattern,,cup
Q102972083,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of floral motif set in a design of vertical stripes,Soba-choko (noodle sauce cup),,in blue underglaze of floral motif set in a design of vertical stripes,,cup
Q102972093,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of flowering plants,Soba-choko (noodle sauce cup),,in blue underglaze of flowering plants,,cup
Q102972102,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of flowers,Soba-choko (noodle sauce cup),,in blue underglaze of flowers,,cup
Q102972109,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of flowers and tendrils,Soba-choko (noodle sauce cup),,in blue underglaze of flowers and tendrils,,cup
Q102972115,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of flowers and vines,Soba-choko (noodle sauce cup),,in blue underglaze of flowers and vines,,cup
Q102972123,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of flowers on a geometric ground,Soba-choko (noodle sauce cup),,in blue underglaze of flowers on a geometric ground,,cup
Q102972134,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of flowers with circular abstract designs,Soba-choko (noodle sauce cup),,in blue underglaze of flowers with circular abstract designs,,cup
Q102972142,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of flying cranes, abstract patterns with foliate rim",Soba-choko (noodle sauce cup),,"in blue underglaze of flying cranes, abstract patterns with foliate rim",,cup
Q102972148,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of galloping horse and willow tree,Soba-choko (noodle sauce cup),,in blue underglaze of galloping horse and willow tree,,cup
Q102972155,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of grapevines and tendrils,Soba-choko (noodle sauce cup),,in blue underglaze of grapevines and tendrils,,cup
Q102972161,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with a building on outside,Soba-choko (noodle sauce cup),,in blue underglaze of landscape with a building on outside,,cup
Q102972169,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with building, birds, and sails",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with building, birds, and sails",,cup
Q102972177,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with building, mountains and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with building, mountains and birds",,cup
Q102972185,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with pine tree, bamboo, and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with pine tree, bamboo, and birds",,cup
Q102972191,ceramics,cup,"Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with rocks, trees, and birds",Soba-choko (noodle sauce cup),,"in blue underglaze of landscape with rocks, trees, and birds",,cup
Q102972198,ceramics,cup,Soba-choko (noodle sauce cup) with a design in blue underglaze of landscape with sailboats,Soba-choko (noodle sauce cup),,in blue underglaze of landscape with sailboats,,cup
