noun,freq,nomenclature,n_pref,wikidata,w_pref,getty,g_pref
cassone,2,1249,Cassone,Q945313,cassone,300039007,cassoni
chair,2,1090,Chair,Q15026,chair,300037772,chairs (furniture forms)
chawan,2,,,Q798625,chawan,300266745,chawan
chest,2,1248,Chest,Q366134,chest,300038992,chests (case furniture)
comb,2,1982,Ornamental Comb,Q50316288,comb,300046265,combs (hair ornaments)
compass,2,10113,Compass,Q34735,compass,300196707,compasses (direction indicators)
coverlet,2,975,Coverlet,Q8037437,woven coverlet,300197954,coverlets
dagger,2,8165,Dagger,Q182780,dagger,300037058,daggers (weapons)
drum,2,10740,Drum,Q11404,drum,300041729,drums (membranophones)
food extracting tool,2,4300,Food Extracting Tool,Q111743673,food extracting tool,300425829,food extracting tools
fuchin,2,,,Q111746816,fuchin,,
game,2,14210,Game,Q11410,game,300424740,game
hairpin,2,1987,Hairpin,Q1566584,hairpin,300046042,hairpins
halberd,2,8197,Halberd,Q185623,halberd,300037010,halberds
hatchet,2,7186,Hatchet,Q672890,hatchet,300023767,hatchets
holder,2,1540,Holder,Q82171231,Holder,300197294,holders (containers)
hook,2,2015,Clothing Clasp,Q111525943,clothing fastener,300423334,clothing clasp
ink stick,2,,,Q11240146,inkstick,,
kashari,2,,,Q3087145,pommel,300037126,pommels (handles)
kettle,2,3982,Kettle,Q107444,kettle,300195349,kettles (vessels)
knife,2,6594,Knife,Q32489,knife,300024668,knives
krater,2,,,Q476968,krater,300198855,kraters
medal,2,13940,Medal,Q131647,medal,300046025,medals
model,2,13734,Model,Q11784425,physical model,300047753,models (representations)
picture frame,2,1535,Picture Frame,Q860792,picture frame,300404391,picture frames
pietà,2,,,Q223689,Pietà,300400908,pietàs
pillow,2,1021,Pillow,Q99895,pillow,300236074,pillows
printing block,2,11064,Printing Block,Q20820214,printing block,300161798,printing blocks (printing surfaces)
ruler,2,10351,Ruler,Q104555,ruler,300266529,rulers (measuring devices)
sword,2,8217,Sword,Q12791,sword,300037048,swords
sword handle,2,,,Q1593696,hilt,300037119,hilts
teacup,2,4796,Teacup,Q81707,teacup,300043226,teacups
ashtray,1,1420,Ashtray,Q214488,ashtray,300198897,ashtrays
belt,1,2002,Belt,Q134560,belt,300210002,belts (costume accessories)
bracelet,1,1940,Bracelet,Q201664,bracelet,300045991,bracelets (jewelry)
brazier,1,5885,Brazier,Q1409660,brazier,300198452,"braziers (cooking, heating equipment)"
buckle,1,6562,Buckle,Q1135567,buckle,300239260,buckles (strap accessories)
candleholder,1,1735,Candleholder,Q151771,candlestick,300037583,candleholders
chopsticks,1,4888,Chopstick,Q81980,chopsticks,300200657,chopsticks
clasp,1,6563,Clasp,Q2239762,clasp,300239507,clasps (fasteners)
clock,1,10265,Clock,Q376,clock,300041575,clocks
clothing,1,1999,Clothing,Q11460,clothing,300266639,clothing
club,1,8338,Club,Q392326,club,300037206,clubs (weapons)
coasters ,1,4975,Coaster,Q14973,beverage coaster,300196479,coasters (containers)
coat,1,2361,Coat,Q152574,coat,300046143,coats (garments)
collar,1,2027,Collar,Q497903,collar,300210058,collars (neckwear)
cong,1,,,Q1125665,cong,300265725,cong (ceremonial vessel)
creamer,1,5249,Cream Pitcher,Q5183377,creamer,300220996,creamers
credenza,1,1304,Credenza,Q16676881,credenza,300121482,credenzas (sideboards)
divination object,1,13204,Divination Object,Q111435487,divination equipment,300263039,divination objects
door knocker,1,255,Knocker,Q12180,door knocker,300080114,door knockers
dress,1,2373,Dress,Q200539,dress,300046159,dresses (garments)
ear cups,1,1952,Ear Ornament,Q29544254,ear ornament,300211279,ear ornaments
earring,1,1953,earring,Q168456,earring,300045998,earrings (jewelry)
finial,1,326,Finial,Q1406758,finial,300002280,finials
flute,1,10838,Flute,Q11405,flute,300042513,flutes (aerophones)
gong,1,11213,Gong,Q208320,gong,300041905,gongs
handwarmer,1,2819,Hand Warmer,Q345179,hand warmer,300426965,hand warmer
headband,1,2311,Headband,Q934849,headband,300046115,headbands (headgear)
headdress,1,14089,Headdress,Q28972621,headdress,300046023,headdresses
headrest,1,1011,Headrest,Q6105860,headrest,300248658,headrests
icon,1,13226,Icon,Q132137,icon,300033945,icons (devotional images)
ink stone,1,11093,Inkstone,Q600794,inkstone,300022517,inkstones
kite,1,11724,Kite,Q42861,kite,300218777,kites (equipment)
kylix,1,,,Q668349,kylix,300198842,kylikes
lace,1,6856,Lace,Q231250,lace,300132861,lace (needlework)
ladle,1,4336,Kitchen Ladle,Q193358,ladle,300200095,ladles
mallet,1,7449,Mallet,Q3202271,mallet,300024825,mallets (striking tools)
mandolin,1,10809,Mandolin,Q302497,mandolin,300042135,mandolins
menorah,1,13108,Menorah,Q170476,menorah,300391227,menorahs (temple lamps)
mosaic,1,432,Mosaic,Q133067,mosaic,300015342,mosaics (visual works)
