accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
2001.087,,Benefit,0.559,0.647,0.863855421686747,0.8759036144578313,559,647,1434,1454
2001.087,,KCTI,0.655,0.716,0.863855421686747,0.8759036144578313,655,716,1434,1454
2001.087,,-,0.717,0.724,0.863855421686747,0.8759036144578313,717,724,1434,1454
2001.087,,FM,0.727,0.764,0.863855421686747,0.8759036144578313,727,764,1434,1454
2001.087,,and,0.775,0.818,0.863855421686747,0.8759036144578313,775,818,1434,1454
2001.087,,The,0.263,0.309,0.880722891566265,0.8945783132530121,263,309,1462,1485
2001.087,,Lone,0.318,0.376,0.880722891566265,0.8945783132530121,318,376,1462,1485
2001.087,,Star,0.385,0.434,0.8813253012048192,0.8951807228915662,385,434,1463,1486
2001.087,,Lounge,0.445,0.535,0.8813253012048192,0.8957831325301204,445,535,1463,1487
2001.087,,Radio,0.543,0.613,0.8819277108433735,0.8963855421686747,543,613,1464,1488
2001.087,,Program,0.623,0.725,0.8825301204819277,0.8969879518072289,623,725,1465,1489
2001.087,,HATOH,0.424,0.476,0.9632530120481928,0.9704819277108434,424,476,1599,1611
2001.087,,SHOW,0.484,0.527,0.9632530120481928,0.9704819277108434,484,527,1599,1611
2001.087,,PRINT,0.536,0.579,0.9626506024096385,0.9698795180722891,536,579,1598,1610
2001.087,,-,0.585,0.594,0.9626506024096385,0.9698795180722891,585,594,1598,1610
2001.087,,JDM,0.601,0.63,0.9620481927710843,0.9698795180722891,601,630,1597,1610
2001.088,en,"ELVIS 65 BIRTHDAY PARTY
BIRTHWEEK 2000
香
GUERRILLAMONSTER & BR2 PRESENT
VEGAS THUNDER
ELVIS
MEETS
MEMPHIS MOVIE PREMIERE BY JMM
PLUS LIVE MUSIC FROM THEE LOCALS:
SUBTEENS
REGINAID
THE
BEATLES
POLI SCI CLoNe
HEARAFTERS
Müller
SAT. JAN. 8, 2000
LAST PLACE ON EARTH",-0.005,0.998,0.0021382751247327157,0.9828937990021382,-5,998,3,1379
2001.088,,ELVIS,0.004,0.2,0.0021382751247327157,0.07840342124019957,4,200,3,110
2001.088,,65,0.232,0.326,0.003563791874554526,0.07982893799002139,232,326,5,112
2001.088,,BIRTHDAY,0.38,0.743,0.0042765502494654314,0.08196721311475409,380,743,6,115
2001.088,,PARTY,0.749,0.994,0.006414825374198147,0.08267997148966501,749,994,9,116
2001.088,,BIRTHWEEK,-0.004,0.652,0.09194583036350677,0.2059871703492516,-4,652,129,289
2001.088,,2000,0.7,0.996,0.0947968638631504,0.2074126870990734,700,996,133,291
2001.088,,香,0.127,0.175,0.29508196721311475,0.33642195295794725,127,175,414,472
2001.088,,GUERRILLAMONSTER,0.218,0.527,0.22523164647184604,0.2459016393442623,218,527,316,345
2001.088,,&,0.538,0.558,0.22879543834640056,0.2459016393442623,538,558,321,345
2001.088,,BR2,0.569,0.626,0.22879543834640056,0.2473271560940841,569,626,321,347
2001.088,,PRESENT,0.642,0.779,0.22950819672131148,0.24875267284390593,642,779,322,349
2001.088,,VEGAS,0.048,0.203,0.6072701354240913,0.6386315039201711,48,203,852,896
2001.088,,THUNDER,0.219,0.424,0.6086956521739131,0.6407697790449037,219,424,854,899
2001.088,,ELVIS,0.487,0.96,0.2729864575908767,0.3292943692088382,487,960,383,462
2001.088,,MEETS,0.512,0.941,0.3292943692088382,0.391304347826087,512,941,462,549
2001.088,,MEMPHIS,0.239,0.38,0.5224518888096935,0.5409836065573771,239,380,733,759
2001.088,,MOVIE,0.395,0.488,0.5238774055595153,0.5416963649322879,395,488,735,760
2001.088,,PREMIERE,0.503,0.653,0.5253029223093372,0.5431218816821097,503,653,737,762
2001.088,,BY,0.662,0.7,0.5267284390591589,0.5438346400570206,662,700,739,763
2001.088,,JMM,0.71,0.774,0.5267284390591589,0.5445473984319316,710,774,739,764
2001.088,,PLUS,0.197,0.276,0.5673556664290805,0.586600142551675,197,276,796,823
2001.088,,LIVE,0.286,0.356,0.5680684248039914,0.5873129009265858,286,356,797,824
2001.088,,MUSIC,0.368,0.464,0.5687811831789024,0.5880256593014968,368,464,798,825
2001.088,,FROM,0.475,0.557,0.5702066999287242,0.5894511760513186,475,557,800,827
2001.088,,THEE,0.575,0.651,0.5709194583036351,0.5901639344262295,575,651,801,828
2001.088,,LOCALS,0.667,0.78,0.571632216678546,0.5915894511760513,667,780,802,830
2001.088,,:,0.784,0.795,0.5730577334283677,0.5908766928011404,784,795,804,829
2001.088,,SUBTEENS,0.119,0.352,0.6550249465431219,0.6878118317890235,119,352,919,965
2001.088,,REGINAID,0.13,0.333,0.7042052744119743,0.7362794012829651,130,333,988,1033
2001.088,,THE,0.656,0.807,0.398431931575196,0.4354953670705631,656,807,559,611
2001.088,,BEATLES,0.477,0.984,0.4419101924447612,0.5003563791874555,477,984,620,702
2001.088,,POLI,0.574,0.682,0.6129722024233785,0.6436208125445474,574,682,860,903
2001.088,,SCI,0.694,0.77,0.6136849607982894,0.6443335709194583,694,770,861,904
2001.088,,CLoNe,0.782,0.932,0.6143977191732003,0.6457590876692801,782,932,862,906
2001.088,,HEARAFTERS,0.602,0.891,0.6607270135424091,0.6928011404133999,602,891,927,972
2001.088,,Müller,0.665,0.831,0.7106200997861725,0.7441197434069851,665,831,997,1044
2001.088,,SAT,0.0,0.202,0.7833214540270849,0.8937990021382751,0,202,1099,1254
2001.088,,.,0.21,0.238,0.7833214540270849,0.8930862437633642,210,238,1099,1253
2001.088,,JAN,0.269,0.484,0.7833214540270849,0.894511760513186,269,484,1099,1255
2001.088,,.,0.492,0.518,0.7840342124019958,0.8937990021382751,492,518,1100,1254
2001.088,,8,0.548,0.627,0.7847469707769066,0.894511760513186,548,627,1101,1255
2001.088,,",",0.632,0.662,0.7847469707769066,0.894511760513186,632,662,1101,1255
2001.088,,2000,0.698,0.994,0.7847469707769066,0.8959372772630079,698,994,1101,1257
2001.088,,LAST,-0.003,0.234,0.9144689950106913,0.9786172487526729,-3,234,1283,1373
2001.088,,PLACE,0.229,0.528,0.9158945117605132,0.9800427655024947,229,528,1285,1375
2001.088,,ON,0.546,0.669,0.917320028510335,0.9807555238774056,546,669,1287,1376
2001.088,,EARTH,0.687,0.994,0.9187455452601568,0.9821810406272273,687,994,1289,1378
2001.089,en,"APME '99 FIRST AMENDMENT CENTER PRESENTS ★
MUSIC
ELVIS. CENSORSHIP
The FIRST
SAM PHILLIPS
SUN RECORDS legend
SIR MACK RICE
'Mustang Sally'
THURSDAY*
OCTOBER 144.15
Peabody Hotel Ballroom
MENDMENT
JOHN KAY
of STEPPENWOLF
JILL SOBULE
I Kissed a Girl'
FIRST
PLUS STEPPENWOLF CERT
in CON-
FREE ""FREEDOM SINGS!"" CD
AMENDMENT
CENTER
UNDED BY THE FREECOM FORUM
WITH
*9
M.FRED
THE
FREEDOM FORUM
FREE PRESS. FREE SPEECH, FREE SPIRIT",0.035035035035035036,0.9469469469469469,0.06282051282051282,0.9403846153846154,35,946,98,1467
2001.089,,APME,0.1031031031031031,0.21921921921921922,0.06602564102564103,0.07756410256410257,103,219,103,121
2001.089,,'99,0.23523523523523523,0.2872872872872873,0.06538461538461539,0.07756410256410257,235,287,102,121
2001.089,,FIRST,0.3183183183183183,0.4014014014014014,0.06538461538461539,0.07948717948717948,318,401,102,124
2001.089,,AMENDMENT,0.4174174174174174,0.5955955955955956,0.06474358974358975,0.0782051282051282,417,595,101,122
2001.089,,CENTER,0.6116116116116116,0.7217217217217218,0.0641025641025641,0.07756410256410257,611,721,100,121
2001.089,,PRESENTS,0.7367367367367368,0.8818818818818819,0.0641025641025641,0.07756410256410257,736,881,100,121
2001.089,,★,0.8958958958958959,0.918918918918919,0.06346153846153846,0.07692307692307693,895,918,99,120
2001.089,,MUSIC,0.3993993993993994,0.8388388388388388,0.11153846153846154,0.16987179487179488,399,838,174,265
2001.089,,ELVIS,0.042042042042042045,0.37537537537537535,0.125,0.24871794871794872,42,375,195,388
2001.089,,.,0.3173173173173173,0.3883883883883884,0.12371794871794872,0.24807692307692308,317,388,193,387
2001.089,,CENSORSHIP,0.3943943943943944,0.8518518518518519,0.1737179487179487,0.2602564102564103,394,851,271,406
2001.089,,The,0.05005005005005005,0.11811811811811812,0.27371794871794874,0.30128205128205127,50,118,427,470
2001.089,,FIRST,0.14214214214214213,0.25825825825825827,0.27371794871794874,0.3,142,258,427,468
2001.089,,SAM,0.5545545545545546,0.6826826826826827,0.3993589743589744,0.44294871794871793,554,682,623,691
2001.089,,PHILLIPS,0.6976976976976977,0.938938938938939,0.39871794871794874,0.4403846153846154,697,938,622,687
2001.089,,SUN,0.6776776776776777,0.7287287287287287,0.44871794871794873,0.46153846153846156,677,728,700,720
2001.089,,RECORDS,0.7397397397397397,0.8588588588588588,0.44871794871794873,0.46153846153846156,739,858,700,720
2001.089,,legend,0.8668668668668669,0.943943943943944,0.44871794871794873,0.46153846153846156,866,943,700,720
2001.089,,SIR,0.5475475475475475,0.6366366366366366,0.4724358974358974,0.5160256410256411,547,636,737,805
2001.089,,MACK,0.6466466466466466,0.8058058058058059,0.4717948717948718,0.514102564102564,646,805,736,802
2001.089,,RICE,0.8188188188188188,0.9429429429429429,0.46987179487179487,0.5128205128205128,818,942,733,800
2001.089,,',0.7597597597597597,0.7667667667667668,0.5217948717948718,0.5352564102564102,759,766,814,835
2001.089,,Mustang,0.7687687687687688,0.8708708708708709,0.5217948717948718,0.5352564102564102,768,870,814,835
2001.089,,Sally,0.8788788788788788,0.938938938938939,0.5217948717948718,0.5352564102564102,878,938,814,835
2001.089,,',0.938938938938939,0.9459459459459459,0.5217948717948718,0.5352564102564102,938,945,814,835
2001.089,,THURSDAY,0.2782782782782783,0.7107107107107107,0.5294871794871795,0.5762820512820512,278,710,826,899
2001.089,,*,0.7127127127127127,0.7767767767767768,0.5282051282051282,0.5756410256410256,712,776,824,898
2001.089,,OCTOBER,0.04704704704704705,0.5345345345345346,0.5891025641025641,0.6551282051282051,47,534,919,1022
2001.089,,144.15,0.5645645645645646,0.908908908908909,0.5865384615384616,0.6532051282051282,564,908,915,1019
2001.089,,Peabody,0.2832832832832833,0.4364364364364364,0.6685897435897435,0.6955128205128205,283,436,1043,1085
2001.089,,Hotel,0.45145145145145144,0.5415415415415415,0.6685897435897435,0.6955128205128205,451,541,1043,1085
2001.089,,Ballroom,0.5555555555555556,0.7117117117117117,0.6685897435897435,0.6955128205128205,555,711,1043,1085
2001.089,,MENDMENT,0.2652652652652653,0.9459459459459459,0.2724358974358974,0.3628205128205128,265,945,425,566
2001.089,,JOHN,0.04704704704704705,0.1971971971971972,0.40192307692307694,0.44358974358974357,47,197,627,692
2001.089,,KAY,0.21521521521521522,0.33933933933933935,0.4012820512820513,0.44294871794871793,215,339,626,691
2001.089,,of,0.04804804804804805,0.07307307307307308,0.45064102564102565,0.4621794871794872,48,73,703,721
2001.089,,STEPPENWOLF,0.08308308308308308,0.27427427427427425,0.45064102564102565,0.4621794871794872,83,274,703,721
2001.089,,JILL,0.04804804804804805,0.16816816816816818,0.475,0.5153846153846153,48,168,741,804
2001.089,,SOBULE,0.17517517517517517,0.38238238238238237,0.475,0.5153846153846153,175,382,741,804
2001.089,,I,0.055055055055055056,0.06506506506506507,0.5230769230769231,0.5346153846153846,55,65,816,834
2001.089,,Kissed,0.07007007007007007,0.14714714714714713,0.5230769230769231,0.5346153846153846,70,147,816,834
2001.089,,a,0.15615615615615616,0.16816816816816818,0.5230769230769231,0.5346153846153846,156,168,816,834
2001.089,,Girl,0.17617617617617617,0.22022022022022023,0.5230769230769231,0.5346153846153846,176,220,816,834
2001.089,,',0.21621621621621623,0.22522522522522523,0.5230769230769231,0.5346153846153846,216,225,816,834
2001.089,,FIRST,0.11611611611611612,0.18118118118118118,0.9064102564102564,0.9141025641025641,116,181,1414,1426
2001.089,,PLUS,0.043043043043043044,0.17417417417417416,0.7198717948717949,0.8115384615384615,43,174,1123,1266
2001.089,,STEPPENWOLF,0.1961961961961962,0.7197197197197197,0.725,0.8282051282051283,196,719,1131,1292
2001.089,,CERT,0.7397397397397397,0.9159159159159159,0.7423076923076923,0.8346153846153846,739,915,1158,1302
2001.089,,in,0.7367367367367368,0.7817817817817818,0.7339743589743589,0.7769230769230769,736,781,1145,1212
2001.089,,CON,0.7907907907907908,0.918918918918919,0.7339743589743589,0.7756410256410257,790,918,1145,1210
2001.089,,FREE,0.11611611611611612,0.24324324324324326,0.8307692307692308,0.8621794871794872,116,243,1296,1345
2001.089,,"""",0.2652652652652653,0.29429429429429427,0.8307692307692308,0.8621794871794872,265,294,1296,1345
2001.089,,FREEDOM,0.3073073073073073,0.5485485485485485,0.8307692307692308,0.8621794871794872,307,548,1296,1345
2001.089,,SINGS,0.5695695695695696,0.7207207207207207,0.8307692307692308,0.8621794871794872,569,720,1296,1345
2001.089,,!,0.7267267267267268,0.7497497497497497,0.8307692307692308,0.8621794871794872,726,749,1296,1345
2001.089,,"""",0.7507507507507507,0.7787787787787788,0.8307692307692308,0.8621794871794872,750,778,1296,1345
2001.089,,CD,0.8088088088088088,0.8728728728728729,0.8307692307692308,0.8621794871794872,808,872,1296,1345
2001.089,,AMENDMENT,0.11511511511511512,0.27127127127127126,0.9153846153846154,0.9224358974358975,115,271,1428,1439
2001.089,,CENTER,0.11611611611611612,0.2062062062062062,0.9243589743589744,0.9320512820512821,116,206,1442,1454
2001.089,,UNDED,0.07807807807807808,0.1041041041041041,0.933974358974359,0.9384615384615385,78,104,1457,1464
2001.089,,BY,0.10710710710710711,0.11811811811811812,0.933974358974359,0.9378205128205128,107,118,1457,1463
2001.089,,THE,0.12212212212212212,0.13713713713713713,0.933974358974359,0.9378205128205128,122,137,1457,1463
2001.089,,FREECOM,0.13913913913913914,0.17717717717717718,0.9333333333333333,0.9371794871794872,139,177,1456,1462
2001.089,,FORUM,0.17917917917917917,0.2082082082082082,0.9326923076923077,0.9365384615384615,179,208,1455,1461
2001.089,,WITH,0.43043043043043044,0.5175175175175175,0.4012820512820513,0.4096153846153846,430,517,626,639
2001.089,,*,0.35535535535535534,0.4164164164164164,0.8987179487179487,0.9371794871794872,355,416,1402,1462
2001.089,,9,0.43543543543543545,0.47147147147147145,0.9032051282051282,0.9403846153846154,435,471,1409,1467
2001.089,,M.FRED,0.45045045045045046,0.4984984984984985,0.9346153846153846,0.9397435897435897,450,498,1458,1466
2001.089,,THE,0.6446446446446447,0.6846846846846847,0.9064102564102564,0.9134615384615384,644,684,1414,1425
2001.089,,FREEDOM,0.7237237237237237,0.8328328328328328,0.9051282051282051,0.9134615384615384,723,832,1412,1425
2001.089,,FORUM,0.8428428428428428,0.923923923923924,0.9051282051282051,0.9134615384615384,842,923,1412,1425
2001.089,,FREE,0.7227227227227228,0.7467467467467468,0.916025641025641,0.9198717948717948,722,746,1429,1435
2001.089,,PRESS,0.7517517517517518,0.7827827827827828,0.916025641025641,0.9198717948717948,751,782,1429,1435
2001.089,,.,0.7847847847847848,0.7867867867867868,0.916025641025641,0.9198717948717948,784,786,1429,1435
2001.089,,FREE,0.7917917917917918,0.8158158158158159,0.916025641025641,0.9198717948717948,791,815,1429,1435
2001.089,,SPEECH,0.8198198198198198,0.8578578578578578,0.916025641025641,0.9198717948717948,819,857,1429,1435
2001.089,,",",0.8588588588588588,0.8608608608608609,0.916025641025641,0.9198717948717948,858,860,1429,1435
2001.089,,FREE,0.8658658658658659,0.8898898898898899,0.916025641025641,0.9198717948717948,865,889,1429,1435
2001.089,,SPIRIT,0.8948948948948949,0.924924924924925,0.916025641025641,0.9198717948717948,894,924,1429,1435
2001.090,en,"GAYLORD ENTERTAINMENT PRESENTS
★ THE TEAM MEMBER ★
TALENT
S+H+O+W
NOV.22★ 6:30PM
GRAND OLE OPRY HOUSE
ON
STAGE
IN
PERSON
HATCH SHOW PRINT - m.fred",0.077,0.93,0.07721518987341772,0.9569620253164557,77,930,122,1512
2001.090,,GAYLORD,0.109,0.3,0.07784810126582278,0.10632911392405063,109,300,123,168
2001.090,,ENTERTAINMENT,0.315,0.664,0.07784810126582278,0.10632911392405063,315,664,123,168
2001.090,,PRESENTS,0.678,0.893,0.07784810126582278,0.10632911392405063,678,893,123,168
2001.090,,★,0.111,0.17,0.13544303797468354,0.1810126582278481,111,170,214,286
2001.090,,THE,0.192,0.31,0.13544303797468354,0.1810126582278481,192,310,214,286
2001.090,,TEAM,0.343,0.511,0.13544303797468354,0.1810126582278481,343,511,214,286
2001.090,,MEMBER,0.551,0.811,0.13544303797468354,0.1810126582278481,551,811,214,286
2001.090,,★,0.835,0.899,0.13544303797468354,0.1810126582278481,835,899,214,286
2001.090,,TALENT,0.115,0.886,0.19177215189873417,0.3012658227848101,115,886,303,476
