act_id,flickr_id,license,new_license,url
54314,2913771279,by-nc/2.0/,,http://www.flickr.com/photos/leader_maximo/2913771279/
54311,288750960,by-nc-nd/2.0/,,http://www.flickr.com/photos/yumievriwan/288750960/
54312,3415402416,by-nc-nd/2.0/,,http://www.flickr.com/photos/johndonaghy/3415402416/
54316,247760275,by-nc/2.0/,,http://www.flickr.com/photos/aeortiz/247760275/
54317,4015483236,by-sa/2.0/,,http://www.flickr.com/photos/prendio2/4015483236/
54320,2338082313,by-nc-nd/2.0/,All Rights Reserved,http://www.flickr.com/photos/smb_flickr/2338082313/
54321,471544128,,,http://www.flickr.com/photos/barkaway/471544128/
54322,471544128,,,http://www.flickr.com/photos/barkaway/471544128/
54323,2877741603,by-nc/2.0/,,http://www.flickr.com/photos/melissamaples/2877741603/
54324,3377697557,by-nc/2.0/,by/2.0/,http://www.flickr.com/photos/friarsbalsam/3377697557/
58418,2409493238,by-nc/2.0/,,https://www.flickr.com/photos/dystopos/2409493238
54326,3491085679,by-nc/2.0/,,http://www.flickr.com/photos/portablematthew/3491085679/
54327,3125356380,All Rights Reserved,by-nc-sa/2.0/,http://www.flickr.com/photos/33547524@N03/3125356380/
54328,1406937611,by-nd/2.0/,All Rights Reserved,http://www.flickr.com/photos/keoki/1406937611/
54330,3572745534,"[{'date_change': 1270682746, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-NonCommercial License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/'}, {'date_change': 1281721293, 'old_license': 'Attribution-NonCommercial License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}, {'date_change': 1371634138, 'old_license': 'Attribution-NonCommercial-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1371634177, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/christiansisson/3572745534/
54331,3571946409,"[{'date_change': 1270682746, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-NonCommercial License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/'}, {'date_change': 1281721293, 'old_license': 'Attribution-NonCommercial License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}, {'date_change': 1371634138, 'old_license': 'Attribution-NonCommercial-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1371634177, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/christiansisson/3571946409/
54332,3571946573,"[{'date_change': 1270682746, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-NonCommercial License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/'}, {'date_change': 1281721294, 'old_license': 'Attribution-NonCommercial License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}, {'date_change': 1371634139, 'old_license': 'Attribution-NonCommercial-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1371634177, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/christiansisson/3571946573/
54333,3571946547,"[{'date_change': 1270682746, 'old_license': 'Attribution License', 'old_license_url': 'https://creativecommons.org/licenses/by/2.0/', 'new_license': 'Attribution-NonCommercial License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/'}, {'date_change': 1281721293, 'old_license': 'Attribution-NonCommercial License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc/2.0/', 'new_license': 'Attribution-NonCommercial-NoDerivs License', 'new_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/'}, {'date_change': 1371634139, 'old_license': 'Attribution-NonCommercial-NoDerivs License', 'old_license_url': 'https://creativecommons.org/licenses/by-nc-nd/2.0/', 'new_license': 'All Rights Reserved', 'new_license_url': ''}, {'date_change': 1371634177, 'old_license': 'All Rights Reserved', 'old_license_url': '', 'new_license': 'All Rights Reserved', 'new_license_url': ''}]",,http://www.flickr.com/photos/christiansisson/3571946547/
