accession_number,mid,description,score,topicality
1979.0773P,/m/016nqt,Twig,0.8344737,0.8344737
1979.0773P,/m/0jjw,Art,0.8225178,0.8225178
1979.0773P,/m/0gkxy13,Handwriting,0.81224173,0.81224173
1979.0773P,/m/03gq5hm,Font,0.81092405,0.81092405
1979.0773P,/m/0dw9f6,Creative arts,0.80354905,0.80354905
1979.0773P,/m/02q_bfg,Tints and shades,0.7734802,0.7734802
1979.0773P,/m/083vt,Wood,0.76773196,0.76773196
1979.0773P,/m/05s2s,Plant,0.747858,0.747858
1979.0773P,/m/0j62f,Rectangle,0.73917,0.73917
1979.0775P,/m/0j62f,Rectangle,0.86589503,0.86589503
1979.0775P,/m/05y4t,Paint,0.8634648,0.8634648
1979.0775P,/m/09ggk,Purple,0.85989565,0.85989565
1979.0775P,/m/0jjw,Art,0.82169783,0.82169783
1979.0775P,/m/09gg3,Violet,0.81520164,0.81520164
1979.0775P,/m/02q_bfg,Tints and shades,0.77098405,0.77098405
1979.0775P,/m/03gq5hm,Font,0.76469046,0.76469046
1979.0775P,/m/02vwbzz,Electric blue,0.7158796,0.7158796
1979.0775P,/m/0ckc5,Magenta,0.69866526,0.69866526
1979.0775P,/m/0hwky,Pattern,0.6784364,0.6784364
1979.0779P,/m/0h90w5d,Art paint,0.9592702,0.9592702
1979.0779P,/m/05y4t,Paint,0.88468796,0.88468796
1979.0779P,/m/09ggk,Purple,0.8663035,0.8663035
1979.0779P,/m/05s2s,Plant,0.83748573,0.83748573
1979.0779P,/m/05qdh,Painting,0.7936893,0.7936893
1979.0779P,/m/02vwbzz,Electric blue,0.7304662,0.7304662
1979.0779P,/m/016nqt,Twig,0.70218354,0.70218354
1979.0779P,/m/0p9xx,Visual arts,0.68668056,0.68668056
1979.0779P,/m/02csf,Drawing,0.67366296,0.67366296
1979.0779P,/m/0jjw,Art,0.6726977,0.6726977
1979.0780P,/m/0j62f,Rectangle,0.8783387,0.8783387
1979.0780P,/m/0b5gs,Branch,0.87184185,0.87184185
1979.0780P,/m/0jjw,Art,0.8297258,0.8297258
1979.0780P,/m/05y4t,Paint,0.8219082,0.8219082
1979.0780P,/m/07pw27b,Atmospheric phenomenon,0.81674707,0.81674707
1979.0780P,/m/016nqt,Twig,0.8138913,0.8138913
1979.0780P,/m/083vt,Wood,0.78326166,0.78326166
1979.0780P,/m/05qdh,Painting,0.7651752,0.7651752
1979.0780P,/m/025s3q0,Landscape,0.74461734,0.74461734
1979.0780P,/m/0p9xx,Visual arts,0.68611026,0.68611026
1979.0807P,/m/0dnr7,Textile,0.8732026,0.8732026
1979.0807P,/m/0jjw,Art,0.8528939,0.8528939
1979.0807P,/m/03gq5hm,Font,0.84689426,0.84689426
1979.0807P,/m/083vt,Wood,0.82653433,0.82653433
1979.0807P,/m/0276krm,Fawn,0.8153045,0.8153045
1979.0807P,/m/0hwky,Pattern,0.77665937,0.77665937
1979.0807P,/m/01vkl,Circle,0.7635565,0.7635565
1979.0807P,/m/01kr8f,Illustration,0.7248589,0.7248589
1979.0807P,/m/01c34b,Flooring,0.71061015,0.71061015
1979.0807P,/m/03bt1gh,Games,0.69682056,0.69682056
1979.0808P,/m/05y4t,Paint,0.8228099,0.8228099
1979.0808P,/m/0jjw,Art,0.79580736,0.79580736
1979.0808P,/m/05qdh,Painting,0.7924124,0.7924124
1979.0808P,/m/0j62f,Rectangle,0.78411466,0.78411466
1979.0808P,/m/0h90w5d,Art paint,0.7262262,0.7262262
1979.0808P,/m/02csf,Drawing,0.6919706,0.6919706
1979.0808P,/m/0p9xx,Visual arts,0.6828573,0.6828573
1979.0808P,/m/0266180,Self-portrait,0.67768335,0.67768335
1979.0808P,/m/083vt,Wood,0.64708894,0.64708894
1979.0808P,/m/01kr8f,Illustration,0.64400375,0.64400375
1979.0835P,/m/05y4t,Paint,0.8893896,0.8893896
1979.0835P,/m/0dnr7,Textile,0.8746679,0.8746679
1979.0835P,/m/0j62f,Rectangle,0.8642701,0.8642701
1979.0835P,/m/05nnm,Organism,0.85881436,0.85881436
1979.0835P,/m/0jjw,Art,0.85524625,0.85524625
1979.0835P,/m/0h90w5d,Art paint,0.83915573,0.83915573
1979.0835P,/m/0dw9f6,Creative arts,0.8357673,0.8357673
1979.0835P,/m/05qdh,Painting,0.804359,0.804359
1979.0835P,/m/05s2s,Plant,0.7983297,0.7983297
1979.0835P,/m/08t9c_,Grass,0.7630751,0.7630751
1979.0837P,/m/0j62f,Rectangle,0.88087505,0.88087505
1979.0837P,/m/016nqt,Twig,0.88045126,0.88045126
1979.0837P,/m/07j7r,Tree,0.85713625,0.85713625
1979.0837P,/m/0jjw,Art,0.8016929,0.8016929
1979.0837P,/m/05s2s,Plant,0.7788692,0.7788692
1979.0837P,/m/02q_bfg,Tints and shades,0.77354276,0.77354276
1979.0837P,/m/08t9c_,Grass,0.7721378,0.7721378
1979.0837P,/m/05qdh,Painting,0.7569961,0.7569961
1979.0837P,/m/03gq5hm,Font,0.752001,0.752001
1979.0837P,/m/025s3q0,Landscape,0.73221475,0.73221475
1979.0838P,/m/0j62f,Rectangle,0.89395463,0.89395463
1979.0838P,/m/03gq5hm,Font,0.80306774,0.80306774
1979.0838P,/m/078hm,Slope,0.7866983,0.7866983
1979.0838P,/m/0jjw,Art,0.78317255,0.78317255
1979.0838P,/m/0dw9f6,Creative arts,0.7657822,0.7657822
1979.0838P,/m/02q_bfg,Tints and shades,0.7478514,0.7478514
1979.0838P,/m/05qdh,Painting,0.6918344,0.6918344
1979.0838P,/m/0hwky,Pattern,0.69159645,0.69159645
1979.0838P,/m/02vwbzz,Electric blue,0.68884856,0.68884856
1979.0838P,/m/0ckc5,Magenta,0.68219346,0.68219346
1979.0884P,/m/0jjw,Art,0.812775,0.812775
1979.0884P,/m/05qdh,Painting,0.7691452,0.7691452
1979.0884P,/m/025s3q0,Landscape,0.75189906,0.75189906
1979.0884P,/m/02csf,Drawing,0.7142247,0.7142247
1979.0884P,/m/078hm,Slope,0.7114084,0.7114084
1979.0884P,/m/01kr8f,Illustration,0.70307666,0.70307666
1979.0884P,/m/07j7r,Tree,0.67035586,0.67035586
1979.0884P,/m/0p9xx,Visual arts,0.6555363,0.6555363
1979.0884P,/m/07_gml,Working animal,0.6537659,0.6537659
1979.0884P,/m/0bp7w,Printmaking,0.6477799,0.6477799
1979.0908P,/m/05nnm,Organism,0.86430717,0.86430717
1979.0908P,/m/05qdh,Painting,0.83437634,0.83437634
1979.0908P,/m/0jjw,Art,0.831572,0.831572
1979.0908P,/m/01kr8f,Illustration,0.7286335,0.7286335
1979.0908P,/m/0p9xx,Visual arts,0.7026991,0.7026991
1979.0908P,/m/02csf,Drawing,0.6842034,0.6842034
1979.0908P,/m/03g3w,History,0.67545503,0.67545503
1979.0908P,/m/04zhd,Mythology,0.66448355,0.66448355
1979.0908P,/m/036jvk,Stock photography,0.6562856,0.6562856
1979.0908P,/m/0bp7w,Printmaking,0.6426588,0.6426588
1979.0909P,/m/062581,Sleeve,0.86870635,0.86870635
1979.0909P,/m/0jjw,Art,0.8410059,0.8410059
1979.0909P,/m/02q_bfg,Tints and shades,0.75388604,0.75388604
1979.0909P,/m/03gq5hm,Font,0.72802484,0.72802484
1979.0909P,/m/08v4gh,Vintage clothing,0.71655047,0.71655047
1979.0909P,/m/05qdh,Painting,0.7051033,0.7051033
1979.0909P,/m/0p9xx,Visual arts,0.67587054,0.67587054
1979.0909P,/m/01kr8f,Illustration,0.6680046,0.6680046
1979.0909P,/m/0j62f,Rectangle,0.66314656,0.66314656
1979.0909P,/m/015c4z,Sitting,0.6627528,0.6627528
1979.0911P,/m/05s2s,Plant,0.91681576,0.91681576
1979.0911P,/m/07_gml,Working animal,0.88361615,0.88361615
1979.0911P,/m/07j7r,Tree,0.85366184,0.85366184
1979.0911P,/m/03r_vp,Adaptation,0.7924346,0.7924346
1979.0911P,/m/0jjw,Art,0.78959763,0.78959763
1979.0911P,/m/01kr8f,Illustration,0.70812154,0.70812154
1979.0911P,/m/05qdh,Painting,0.7076781,0.7076781
1979.0911P,/m/0fbf1m,Terrestrial animal,0.6716638,0.6716638
1979.0911P,/m/0ch8v,Livestock,0.6705369,0.6705369
1979.0911P,/m/0p9xx,Visual arts,0.6659562,0.6659562
1979.0916P,/m/0jjw,Art,0.8326519,0.8326519
1979.0916P,/m/05qdh,Painting,0.75396496,0.75396496
1979.0916P,/m/05s2s,Plant,0.69948786,0.69948786
1979.0916P,/m/01kr8f,Illustration,0.6946933,0.6946933
1979.0916P,/m/02csf,Drawing,0.69448936,0.69448936
1979.0916P,/m/015c4z,Sitting,0.6844914,0.6844914
1979.0916P,/m/0p9xx,Visual arts,0.6706508,0.6706508
1979.0916P,/m/0919rx,Line art,0.6699094,0.6699094
1979.0916P,/m/04zhd,Mythology,0.65989596,0.65989596
1979.0916P,/m/04sk75,Figure drawing,0.65420943,0.65420943
1979.0919P,/m/0jjw,Art,0.81478274,0.81478274
1979.0919P,/m/05qdh,Painting,0.7747929,0.7747929
1979.0919P,/m/01kr8f,Illustration,0.7014256,0.7014256
1979.0919P,/m/02csf,Drawing,0.6964417,0.6964417
1979.0919P,/m/0p9xx,Visual arts,0.6715123,0.6715123
1979.0919P,/m/0bp7w,Printmaking,0.6283433,0.6283433
1979.0919P,/m/0919rx,Line art,0.6226265,0.6226265
1979.0919P,/m/081pkj,Event,0.62153184,0.62153184
1979.0919P,/m/0dgsmq8,Artwork,0.5901114,0.5901114
1979.0919P,/m/03g3w,History,0.58142835,0.58142835
1979.0921P,/m/05nnm,Organism,0.86392254,0.86392254
1979.0921P,/m/03k3r,Horse,0.86189497,0.86189497
1979.0921P,/m/0jjw,Art,0.80735654,0.80735654
1979.0921P,/m/03gq5hm,Font,0.7630991,0.7630991
1979.0921P,/m/07_gml,Working animal,0.73076284,0.73076284
1979.0921P,/m/01kr8f,Illustration,0.698277,0.698277
1979.0921P,/m/02csf,Drawing,0.6847306,0.6847306
1979.0921P,/m/0bp7w,Printmaking,0.64991885,0.64991885
1979.0921P,/m/0919rx,Line art,0.6397668,0.6397668
1979.0921P,/m/0p9xx,Visual arts,0.63292265,0.63292265
1979.1132P,/m/02wbm,Food,0.97035056,0.97035056
1979.1132P,/m/07xgrh,Ingredient,0.90013766,0.90013766
1979.1132P,/m/0p57p,Recipe,0.844597,0.844597
1979.1132P,/m/01ykh,Cuisine,0.8310092,0.8310092
1979.1132P,/m/022tld,Staple food,0.81149393,0.81149393
1979.1132P,/m/02q08p0,Dish,0.80245376,0.80245376
1979.1132P,/m/04brg2,Tableware,0.7703715,0.7703715
1979.1132P,/m/01n5jq,Poster,0.73330116,0.73330116
1979.1132P,/m/03fw2,Gluten,0.72942585,0.72942585
