accession_number,description,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1979.0919P,Clothing,0.5024036,0.06484941,0.4878131,0.2951705,0.89163846,87,654,295,891
1979.0921P,Person,0.68449837,0.1984067,0.71984434,0.27220482,0.67812616,198,719,363,904
1979.0921P,Person,0.62485796,0.26496443,0.6019762,0.58646405,0.82240313,265,601,782,1096
1979.0921P,Animal,0.618639,0.6722509,0.8810614,0.13510974,0.3686829,672,880,180,491
1979.0921P,Animal,0.61463845,0.2562106,0.5153461,0.59290373,0.78056073,256,515,790,1040
1979.0921P,Animal,0.57299054,0.1711501,0.33450952,0.68293256,0.7674391,171,334,910,1023
1979.0921P,Person,0.50721735,0.70808154,0.8366556,0.58776045,0.72174996,707,836,783,962
1979.1132P,Packaged goods,0.61495113,0.078612596,0.24667603,0.108950496,0.6906962,150,472,109,691
1979.1132P,Bottled and jarred packaged goods,0.57378334,0.08254922,0.24869165,0.08726623,0.7131327,158,476,87,713
1979.1186P,Packaged goods,0.67203027,0.0043411753,0.9938207,0.09430337,0.9837398,7,1504,94,984
1979.1187P,Animal,0.73302144,0.07366167,0.94610566,0.04056683,0.9669764,74,946,56,1331
1979.1188P,Packaged goods,0.79835165,0.0,0.99358314,0.0043638255,0.9971188,0,994,13,3036
1979.1189P,Packaged goods,0.8310981,0.0,0.9809537,0.0,0.9959573,0,980,0,1512
1979.1190P,Packaged goods,0.84244514,0.0015621525,0.9881031,0.0026195496,0.9973958,2,988,4,1525
1979.1191P,Packaged goods,0.7991463,0.001060548,0.9923261,0.0,0.9973958,1,991,0,1503
1979.1192P,Packaged goods,0.81644136,0.0027088725,0.9890016,0.0025698203,0.9973958,3,989,4,1525
1979.1193P,Packaged goods,0.8529897,0.0,0.987791,0.0,0.9973958,0,987,0,1513
1979.1194P,Packaged goods,0.8246891,0.00013025368,0.9862232,0.0015526406,0.9973958,0,986,2,1522
1979.1196P,Packaged goods,0.7094899,8.976863e-06,0.9973958,0.015352249,0.9973958,0,996,27,1766
1979.1197P,Packaged goods,0.7433411,0.005299589,0.99354583,0.014428999,0.9879722,8,1507,14,988
1979.1198P,Packaged goods,0.875753,0.012296698,0.98179084,0.0130636245,0.9788013,12,982,20,1494
1979.1199P,Animal,0.5912183,0.093126334,0.24007022,0.5257696,0.6043121,93,240,813,935
1979.1200P,Person,0.6524433,0.38315162,0.9191189,0.21572115,0.8325377,383,919,328,1267
1979.1210P,Packaged goods,0.6641651,0.0072625796,0.9973958,0.0,0.98601574,7,997,0,1581
1980.003,Luggage & bags,0.6043465,0.6867876,0.85277486,0.58039314,0.93952537,1160,1440,580,940
1980.010,Person,0.7434325,0.39179114,0.45818567,0.23865797,0.448452,399,467,238,448
1980.010,Person,0.7136089,0.46958637,0.68755585,0.16273664,0.8130078,479,701,163,812
1980.010,Person,0.71231204,0.3216541,0.43628526,0.21357976,0.5026153,328,445,213,502
1980.010,Dress,0.57732916,0.487501,0.6809826,0.25749364,0.6652496,497,694,257,665
1980.010,Clothing,0.574183,0.32130098,0.41259304,0.23040469,0.48063803,327,420,230,480
1980.010,Clothing,0.52846676,0.47892702,0.6702628,0.24747032,0.66837645,488,683,247,668
1980.010,Person,0.5219341,0.32103512,0.41569018,0.23224838,0.48629868,327,424,232,486
1980.015,Hat,0.7561913,0.39234233,0.69664794,0.16443525,0.39850238,360,640,177,430
1980.015,Pillow,0.5148177,0.05971463,0.92264056,0.03786982,0.96661013,55,847,41,1042
1980.015,Person,0.50596243,0.25213638,0.7278282,0.17587648,0.9399634,231,668,190,1013
1980.018,Animal,0.78795725,0.31108692,0.73037094,0.4347125,0.81404454,445,1044,435,814
1980.018,Animal,0.7113809,0.5616733,0.9256437,0.5126625,0.9642015,803,1323,513,964
1980.018,Animal,0.570837,0.2656597,0.51806456,0.61872554,0.95133907,380,740,619,951
