accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
1979.1186P,0.51953125,0.07997356245869135,0.3165895571711831,0.373,0.79,121,479,373,790,-27.942173,4.601141,18.608438,,1,1,1,1,1,1,1,0.0031997676
1980.010,0.63671875,0.4043179587831207,0.43179587831207067,0.23323323323323322,0.26626626626626626,412,440,233,266,5.3869767,-11.62451,-3.6459312,,1,1,1,1,1,1,1,0.21105549
1980.010,0.5625,0.5515210991167812,0.6231599607458292,0.17617617617617617,0.26126126126126126,562,635,176,261,-5.593622,19.127579,4.2151537,,1,1,1,1,1,1,2,0.33920708
1980.048,0.546875,0.30977814297452755,0.4527526705012325,0.193,0.395,377,551,193,395,-5.954968,25.30926,12.5606985,,1,1,1,1,1,1,1,0.2823607
1982.081,0.78515625,0.636,0.68,0.35864135864135865,0.4095904095904096,636,680,359,410,3.7023597,175.36061,-16.070578,,1,1,1,1,1,1,1,0.004856638
1982.086,0.9140625,0.17,0.76,0.0,0.5059760956175299,170,760,0,508,-0.094945855,-3.9904125,-10.152042,,1,1,1,1,1,1,1,0.49680236
1982.094,0.95703125,0.619,0.875,0.2807192807192807,0.5784215784215784,619,875,281,579,-5.6581907,-9.103499,0.93687046,,3,1,1,1,1,1,5,0.84361917
1982.100,0.7578125,0.7,0.844,0.4364364364364364,0.6036036036036037,700,844,436,603,120.508194,57.290974,18.23,,1,1,1,1,1,1,1,0.080985285
