accession_number,height,width,max_height,max_width
2007.014,504,310,504,310
2007.015,504,399,504,399
2007.016,504,415,504,415
2007.017,360,531,360,531
2007.018,333,504,333,504
2007.019,504,393,504,393
2007.020,504,400,504,400
2007.021,381,504,381,504
2007.022,380,504,380,504
2007.025,1408,1000,2152,1528
2007.026,1000,1479,1268,1876
2007.027,449,360,449,360
2007.028,416,504,416,504
2007.029,360,504,360,504
2007.030,467,360,467,360
2007.031,497,360,497,360
2007.032,381,504,381,504
2007.033,1000,1322,1180,1560
2007.034,507,324,507,324
2007.035,553,360,553,360
2007.036,438,396,438,396
2007.037,498,396,498,396
2007.038,367,504,367,504
2007.040,351,526,351,526
2007.041b,390,504,390,504
2007.042,370,504,370,504
2007.043,380,468,380,468
2007.044,548,360,548,360
2007.045,353,504,353,504
2007.046,372,504,372,504
2007.047,518,324,518,324
2007.048,504,360,504,360
2007.049,216,724,216,724
2007.050,360,814,360,814
2007.051,474,504,474,504
2007.052,286,360,286,360
2007.053,1158,1000,1206,1041
2007.054a,999,1537,1149,1767
2007.054b,999,1568,1118,1754
2007.057,486,360,486,360
2007.058,501,360,501,360
2007.059,460,360,460,360
2007.064,1584,1000,2392,1510
2007.066,1569,1000,2280,1453
2007.067,1591,1000,2255,1417
2008.158,1504,1000,3008,2000
2009.002a,504,453,504,453
2009.002b,504,383,504,383
2009.002c,504,386,504,386
2009.002d,504,412,504,412
2009.002e,504,459,504,459
2009.002f,438,556,438,556
2010.003,1000,1375,3009,4138
2010.004,1000,1494,1223,1828
2010.005,1000,1684,2925,4926
2011.001,999,1591,2999,4774
2011.011a,1246,1000,4308,3456
2011.011b,1254,999,4337,3456
2011.011c,1254,999,4337,3456
2011.011d,1250,1000,4322,3456
2011.012a-b,1556,1000,4627,2973
2011.012c-d,1533,999,4686,3055
2011.012e-f,1520,1000,4634,3047
2011.012g-h,1534,999,4597,2995
2011.012i-j,1540,999,4627,3003
2011.012k,1000,1355,3010,4080
2011.012l,1000,1434,3183,4565
2012.002,1395,999,4090,2930
2012.008f,1296,1000,3886,2998
2012.008p,1304,1000,3928,3011
2016.008,1256,999,3023,2405
2017.001.023,1514,1000,1528,1009
2017.001.024,1500,1000,1575,1050
2017.001.025,1403,1000,1729,1232
2017.001.026,1528,1000,2094,1370
2017.001.049,1179,1000,1782,1511
2017.001.051,1375,1000,5033,3659
2017.001.057,1415,1000,1871,1322
2017.001.058,1423,1000,1859,1306
2018.001,1621,1000,8492,5238
2018.002,325,432,325,432
2019.001,1333,1000,3024,4032
2020.001,731,1024,731,1024
