qid,label_en,author_string_uuid,author_string,author_string_ref1_hash,author_string_ref1_referenceUrl,author_string_ref1_retrieved_nodeId,author_string_ref1_retrieved_val,author_string_ref1_retrieved_prec
Q111635714,"Search for Supersymmetry with a Compressed Mass Spectrum in Events with a Soft Tau Lepton, a Highly Energetic Jet, and Large Missing Transverse Momentum in Proton-Proton Collisions at 13 TeV",D24A5E1C-BF14-457C-8A1A-623D5031B5EC,Savanna Rae Starko,90e2a9bae910e02c784cc8859cc6731a56e1888f,http://hdl.handle.net/1803/10091,5306feaf-bca0-4b51-b624-ae7a80fcff01,2022-02-18T00:00:00Z,11
Q111635715,The Not So Simple View of Reading in Down Syndrome,914954C0-F139-4E6A-807B-F328ED3C07B8,Alison Hessling,920f42e8c9fb735c2aa0d5267dc8f3df283b766f,http://hdl.handle.net/1803/10093,eb3d83b2-5721-4f81-9a5c-cf2101ee7f43,2022-02-18T00:00:00Z,11
Q111635716,“The Splendid Gifts of God to the South”: Struggles for Control on Tennessee Plantations,FA6F58B7-B0DC-4944-92AE-CAC1257F99E2,Tristan Call,c1628c23b620c98df6f8232ab543e0ecceac63f6,http://hdl.handle.net/1803/10094,ab1187ac-a4b3-45ed-8fa0-0b2eb61953f1,2022-02-18T00:00:00Z,11
Q111635718,Best Practices in Service-Learning in Higher Education for  Achieving Positive Effects on Students,946D7F5C-BE6B-4288-AE91-218ABF743E00,Melinda Rogers Morris,f08a4b5857effc70e1680974baf9b7b485354ba7,http://hdl.handle.net/1803/10096,292b731c-1119-462d-af9f-29dd0c96b6bd,2022-02-18T00:00:00Z,11
Q111635719,Phase Controlled Synthesis of Iron Sulfide Nanocrystals,8102E5DF-AF05-4EB3-A36C-FEA91C2EE0ED,Jordan Marcus Rhodes,1213496512fb95a81568af7b59f38368b92e5e10,http://hdl.handle.net/1803/10097,d8160bd3-30dd-488e-960e-f2f157b23af3,2022-02-18T00:00:00Z,11
Q111635721,Narratives of Harm: How Reports of Mass Shootings Privilege White Identities and Perpetuate Black Pathology”,C21812D5-D671-422E-BF23-D740EF9F03B7,Caleb J Peart,b6b1607bbc96a45036911b62b16dabc231c80a43,http://hdl.handle.net/1803/10098,064d9804-7475-45ad-994c-69f1385969c3,2022-02-18T00:00:00Z,11
Q111635722,Method Development towards Probing the Gut Metabolome using Reverse Phase Liquid Chromatography - Ion Mobility - Mass Spectrometry,01C3AEC0-4DB3-42C4-8FA1-EE1CF874D134,James Christopher Poland,cd45e531d55381a1a40d18d712c5ff8c88ec6baf,http://hdl.handle.net/1803/10099,3dce2ea5-3af0-42e2-9ef9-c0b75cf23414,2022-02-18T00:00:00Z,11
Q111635723,"Social-Emotional Expertise (SEE): Interoception, Person Perception, and Granularity",D8BBCFB8-1893-4D0B-B83D-6702AA354E0F,Pietra Taylor Bruni,51dd4ccdf0ae408a56431b913403653e385719b7,http://hdl.handle.net/1803/10100,73e2ffee-41b3-424b-bf43-c6713013603c,2022-02-18T00:00:00Z,11
Q111635724,High School Student Experiences and Learning in Online Courses: Implications for Educational Equity and the Future of Learning,C220FA99-C0D3-4805-84A1-6E111AA7B42C,Jennifer Darling-Aduana,54fc24a9197a58bc5502ec8d99c2f3271b2f4e5e,http://hdl.handle.net/1803/10101,0b81e072-d658-4fae-bdfa-16b47d76e3f7,2022-02-18T00:00:00Z,11
Q111635725,Co-activation Pattern Analysis of Brain fMRI Signal at Avalanches,5A5E8142-15D9-46BB-BAA6-0F4ED172629C,Junlin Guo,ee94c127a6174662079d9b8203df2edf240efe0d,http://hdl.handle.net/1803/10102,7f92b139-b945-43b8-937e-69908f30e01f,2022-02-18T00:00:00Z,11
