qid,label_en,editor_uuid,editor,editor_series_ordinal,editor_stated_as,editor_ref1_hash,editor_ref1_referenceUrl,editor_ref1_retrieved_nodeId,editor_ref1_retrieved_val,editor_ref1_retrieved_prec
Q111581666,There and Back Again: A Protein’s Tale Uncovering the Quality Control Factors Mediating Peripheral Myelin Protein 22 Trafficking,1393B8CF-1403-468F-A97D-41BFF53E5856,Q90280662,1,Charles R Sanders,14483cecb1291be940ac3b3c9b72676bf206b227,http://hdl.handle.net/1803/16370,d72767d1-f9c0-4dd9-ac2c-6a0f8c882ee6,2022-02-18T00:00:00Z,11
Q111581666,There and Back Again: A Protein’s Tale Uncovering the Quality Control Factors Mediating Peripheral Myelin Protein 22 Trafficking,BDE5FD9C-AC04-4235-A35E-497AE13E4928,Q88777964,2,Bruce D Carter,14483cecb1291be940ac3b3c9b72676bf206b227,http://hdl.handle.net/1803/16370,22e1065f-ddb3-465a-a142-0aa22fb38cab,2022-02-18T00:00:00Z,11
