qid,label_en,editor_uuid,editor,editor_series_ordinal,editor_stated_as,editor_ref1_hash,editor_ref1_referenceUrl,editor_ref1_retrieved_nodeId,editor_ref1_retrieved_val,editor_ref1_retrieved_prec
,There and Back Again: A Protein’s Tale Uncovering the Quality Control Factors Mediating Peripheral Myelin Protein 22 Trafficking,,Q90280662,1,Charles R Sanders,,http://hdl.handle.net/1803/16370,,2022-04-10,
,There and Back Again: A Protein’s Tale Uncovering the Quality Control Factors Mediating Peripheral Myelin Protein 22 Trafficking,,Q88777964,2,Bruce D Carter,,http://hdl.handle.net/1803/16370,,2022-04-10,
