Title,Url,yes/no
Measuring grace? Mark 7:24-30,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001473801&site=ehost-live,
Transforming ministry,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001524843&site=ehost-live,
Stand by me: the risks and rewards of mentoring today's youth,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001524853&site=ehost-live,
Backward and forward,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001590109&site=ehost-live,
"Being human: race, culture, and religion",http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001628489&site=ehost-live,
Possibly a Porcupine Problem,,
Lent 2,,
What's faith got to do with it? Black bodies/Christian souls,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001628488&site=ehost-live,
More power in the pulpit: how America's most effective black preachers prepare their sermons,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001822678&site=ehost-live,
Global Conflict and the Preaching Tradition of Martin Luther King Jr.,,
Spirit speech: lament and celebration in preaching,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0001871785&site=ehost-live,
A tower of pulpits,,
"Preaching God's transforming justice: a lectionary commentary, year A",,
A covenant model of ecclesiology for black practical theology: spanning the chasm between black theology and African American folk religion,,
Black practical theology,,
"Introduction: Afrofuturism in Black Theology – Race, Gender, Sexuality, and the State of Black Religion in the Black Metropolis",http://dx.doi.org/10.1080/14769948.2015.1131499,
Queering the Subject,https://journal.equinoxpub.com/BSOR/article/view/15042,
"Crossing the Boundaries Between Deconstruction, Feminism and Religion",,
On Diversity and Conflict,,
Sallie McFague,,
American/French Intersections: The Play of Race/Class/Politics in Irigaray,,
"""Through flame or ashes"": Traces of Difference in Geist's Return",,
Beyond Belief?: Sexual Difference and Religion After Ontotheology,,
Divining Differences: Irigaray and Religion,,
A Post-Structuralist Approach,,
Touching Transcendence: Sexual Difference and Sacrality in Derrida's Le Toucher,,
Toward an Elemental Theology: A Constructive Proposal,,
Planetary Sightings? Negotiating Sexual Differences in Globalization’s Shadow,,
Visual Theology: Diagnosing Postmodernity,,
Thinking Otherwise: Derrida’s Contribution to the Philosophy of Religion,,
Reading From This Place: Resources for Sexual Justice,,
"Queer Bibles, Queer Scriptures?: An introductory response",,
"Beyond the God/Man Duo: Globalization, Feminist Theology, and Religious Subjectivity",,
Sallie McFague,,
Recent French feminist works,http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLA0000840740&site=ehost-live,
Questions of Proximity: “Woman's Place” in Derrick and Irigaray,http://onlinelibrary.wiley.com/doi/10.1111/j.1527-2001.1997.tb00171.x/abstract,
"""Man"" and his ""Others""",http://jffp.pitt.edu/ojs/index.php/jffp/article/view/248,
Response to Paul J. Griffiths,,
Reply to [Peter J.] Ochs.,,
Theology in Modernity's Wake,,
Christianity and Sexuality,,
Feminist Theology and Racism,,
Border Crossing,http://muse.jhu.edu.proxy.library.vanderbilt.edu/journals/philosophia/v003/3.2.armour.html,
"Deconstruction, feminist theology, and the problem of difference : subverting the race/gender divide",,
Deconstruction and feminist theology : toward forging an alliance with Derrida and Irigaray,,
Reponsi/ability After Derrida,,
God,,
"Blinding me with (queer) science: religion, sexuality, and (post?) modernity",http://search.proquest.com.proxy.library.vanderbilt.edu/docview/847097084?accountid=14816,
"Writing/reading Selves, Writing/reading Race",https://www.questia.com/library/journal/1P3-32576490/writing-reading-selves-writing-reading-race,
Essentialism,,
Spiritual geography,http://go.galegroup.com/ps/i.do?id=GALE%7CA20968464&v=2.1&u=tel_a_vanderbilt&it=r&p=AONE&sw=w&asid=8fdf50beea5f73e5e3fe17af82617712,
Feminist Theology in Retrospect and in Anticipation,http://www.journals.uchicago.edu/doi/full/10.1086/683834,
Signs and wonders: theology after modernity,,
Review of Transcending Boundaries: Multi-Disciplinary Approaches to the Study of Gender,http://proxy.library.vanderbilt.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=rfh&AN=ATLAS000151982&site=ehost-live,
