VVK5A6FU	published in another book			fuzzy label match	Sallie McFague
BZP9WE3N	basically published in 2 other books	fuzzy label match	A Theological Reading of Scripture? Critical Problematic and Prophetic Vision in the  Aftermath and Crossroad of Disciplinary Transformation
W7265AJM	different book				fuzzy label match	Toward a hermeneutics of the diaspora : a hermeneutics of otherness and engagement
X4AK8Q56	override, different book, change descr	fuzzy label match	Job
4KJTHW3S	published in a different book later	fuzzy label match	Biblical Criticism and Postcolonial Studies: Toward a Postcolonial Optic
K9CZJPF6	override, published in different book	fuzzy label match	God's Oikonomia and the new world economy
