accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
1975.030,0.82421875,0.341,0.6,0.15403032721468476,0.3934557063048683,341,600,193,493,-0.7522307,-20.31153,-5.574308,,1,1,1,1,1,1,1,0.5879342
1976.017,0.7265625,0.16565533980582525,0.35194174757281554,0.339,0.695,273,580,339,695,-91.41175,-2.2944484,-14.334135,,1,1,1,1,1,1,1,0.23578583
1978.035,0.5703125,0.8097345132743363,0.8488200589970502,0.30930930930930933,0.37037037037037035,1098,1151,309,370,0.5632104,-6.255789,-9.508484,,1,1,1,1,1,1,1,0.0041705086
1978.035,0.71484375,0.3694690265486726,0.42625368731563423,0.2072072072072072,0.2972972972972973,501,578,207,297,10.095519,-39.721237,6.5111685,,1,1,1,1,1,1,1,0.018937256
1978.106,0.62890625,0.6636155606407322,0.7536231884057971,0.167,0.305,870,988,167,305,-7.4410877,-35.77842,-3.8940256,,1,1,1,1,1,1,1,0.2053897
1979.0060,0.8359375,0.225,0.404,0.10663683818046234,0.26174496644295303,225,404,143,351,8.119861,-5.983962,29.80811,,1,1,1,1,1,1,1,0.052268535
1979.0086,0.8984375,0.089,0.621,0.15230125523012553,0.6702928870292887,89,621,182,801,-14.372215,-29.827507,-3.278644,,1,1,1,1,1,1,1,0.4953043
1979.0097,0.6953125,0.2175,0.43,0.04563492063492063,0.24206349206349206,87,172,23,122,7.905523,13.283963,-56.005844,,1,1,1,1,1,1,2,0.0052109077
1979.0097,0.875,0.485,0.695,0.20634920634920634,0.4007936507936508,194,278,104,202,-13.407054,-59.567562,-1.6267428,,1,1,1,1,1,1,1,0.23981194
1979.0141,0.94921875,0.41,0.839,0.10202550637659415,0.4763690922730683,410,839,136,635,16.370117,59.287334,4.6291184,,4,1,1,1,1,1,1,0.2230383
1979.0176,0.875,0.083,0.87,0.06422764227642276,0.808130081300813,83,870,79,994,0.6042222,-18.045177,-6.015832,,1,1,1,1,1,1,1,0.37626418
1979.0190P,0.84765625,0.21983715766099185,0.32642487046632124,0.192,0.359,297,441,192,359,13.495517,10.304849,-7.319271,,2,1,1,1,1,1,1,0.71266943
1979.0218P,0.76953125,0.4595300261096606,0.5744125326370757,0.2708333333333333,0.4513888888888889,176,220,78,130,20.295023,12.024518,-3.258291,,1,1,1,1,1,1,1,0.2595631
1979.0218P,0.8515625,0.16449086161879894,0.26631853785900783,0.2604166666666667,0.4166666666666667,63,102,75,120,6.136148,29.336561,2.9797895,,1,1,1,1,1,1,1,0.24544315
1979.0223P,0.578125,0.42042042042042044,0.5425425425425425,0.19923076923076924,0.30923076923076925,420,542,259,402,-16.09078,-81.114746,4.5820236,,1,1,1,1,1,1,1,0.31380457
1979.0234P,0.5859375,0.29444444444444445,0.3425925925925926,0.31536388140161725,0.39622641509433965,159,185,117,147,3.320816,84.05134,2.5685575,,1,1,1,1,1,2,1,0.009228804
1979.0236P,0.85546875,0.42242242242242245,0.5295295295295295,0.25177025963808025,0.3493312352478363,422,529,320,444,-24.049383,-45.03908,5.552849,,1,1,1,1,1,1,1,0.3897716
1979.0238P,0.51171875,0.591,0.65,0.40982286634460546,0.46618357487922707,591,650,509,579,-16.572302,-57.02429,-0.5579443,,1,1,1,1,1,1,1,0.17010704
1979.0251P,0.5078125,0.4964964964964965,0.6286286286286287,0.20987654320987653,0.30493827160493825,496,628,340,494,12.576965,-1.3628538,-4.6119466,,1,1,1,1,1,1,1,0.8269816
1979.0280P,0.93359375,0.3960880195599022,0.5794621026894865,0.13095238095238096,0.30357142857142855,162,237,66,153,-5.5250955,-57.87875,5.4226136,,1,1,1,1,1,1,1,0.08734711
1979.0281P,0.91015625,0.18181818181818182,0.6666666666666666,0.03563941299790356,0.5031446540880503,72,264,17,240,15.468404,-30.118807,3.911369,,1,1,1,1,1,1,1,0.52899194
1979.0284P,0.53125,0.8584758942457231,0.8996889580093312,0.5245245245245245,0.5855855855855856,1104,1157,524,585,26.500683,-32.396553,-22.777073,,1,1,1,1,1,1,1,0.020469986
1979.0306P,0.68359375,0.39983646770237125,0.473426001635323,0.359,0.464,489,579,359,464,-7.0920978,41.789474,-0.4499704,,1,1,1,1,1,1,1,0.43915763
1979.0306P,0.53125,0.7170891251022077,0.7563368765331153,0.564,0.62,877,925,564,620,9.864076,-87.12234,-3.6281981,,1,1,1,1,1,1,1,0.032782346
1979.0308P,0.73828125,0.5265265265265265,0.5995995995995996,0.36930455635491605,0.4372501998401279,526,599,462,547,-12.51534,-17.761824,-9.250192,,1,1,1,1,1,1,4,0.49798873
1979.0471P,0.640625,0.325,0.616,0.17270624518118735,0.4325366229760987,325,616,224,561,3.235995,15.639743,-1.7404654,,1,3,1,1,1,1,1,0.56940955
1979.0607P,0.60546875,0.035,0.999,0.025506376594148537,0.8664666166541636,35,999,34,1155,7.888329,-4.262774,-5.8660364,,1,1,1,1,1,1,1,0.18868867
1965.007,0.828125,0.273,0.795,0.0875796178343949,0.5700636942675159,273,795,110,716,-6.1280704,42.61386,-1.3791615,,1,1,1,1,1,1,1,0.30709648
1965.013,0.53125,0.221,0.705,0.07220708446866485,0.4550408719346049,221,705,106,668,-4.1176085,31.097757,-0.036951758,,1,1,1,1,1,1,1,0.086767145
1965.020,0.62890625,0.4609120521172638,0.5439739413680782,0.21621621621621623,0.33433433433433435,566,668,216,334,0.06857396,-5.9185057,-14.818954,,1,1,1,1,1,1,1,0.08829864
1965.022,0.62109375,0.2982982982982983,0.6906906906906907,0.14756671899529042,0.5054945054945055,298,690,188,644,-17.241432,-19.370756,-1.8226873,,3,1,1,1,1,1,1,0.11509809
1970.007,0.7109375,0.422,0.618,0.09298085688240657,0.300820419325433,422,618,102,330,3.068858,13.238203,-2.291089,,1,1,1,1,1,1,1,0.48362032
1970.016,0.62109375,0.48403122782114977,0.5479063165365508,0.2802802802802803,0.38538538538538536,682,772,280,385,8.106417,-57.799427,7.7765136,,1,1,1,1,1,1,2,0.21706608
1971.001,0.98046875,0.24424424424424424,0.6886886886886887,0.0642737896494157,0.494991652754591,244,688,77,593,-0.5480437,0.3781712,-2.12472,,1,1,1,1,1,1,1,0.7162126
1971.021,0.54296875,0.544,0.658,0.28405422853453843,0.36927049709489995,544,658,440,572,-5.2085266,-16.27281,-5.887248,,1,1,1,1,1,1,3,0.6052551
