accession_number,height,width,max_height,max_width
1956.005,1500,1000,4485,2990
1956.007,1314,1000,3888,2958
1956.008,461,295,461,295
1956.009,407,272,407,272
1956.010,737,479,737,479
1956.011,435,287,435,287
1956.012,768,1019,768,1019
1956.013,810,1085,810,1085
1956.014,780,1055,780,1055
1956.015,780,1043,780,1043
1956.016,1000,1481,1696,2512
1956.017,327,484,327,484
1956.018,1433,1000,4006,2795
1956.019,1240,1000,3631,2928
1956.020,1413,1000,2981,2109
1956.021,1233,1000,3075,2493
1956.022,372,473,372,473
1956.023,382,477,382,477
1956.024,341,437,341,437
1956.025,1000,1271,2970,3776
1956.026,1432,1000,1702,1188
1956.027,1476,1000,5651,3826
1956.028,1361,1000,5078,3730
1956.029,1124,861,1124,861
1956.030,393,380,393,380
1956.031,225,141,225,141
1956.034,1378,999,9682,7022
1956.035,1433,1000,1800,1256
1956.036,1410,1000,6189,4388
1956.037,1000,1364,1898,2590
1956.038,1000,1288,3438,4429
1956.039,1119,1000,1287,1150
1956.041,345,477,345,477
1956.042,1000,1252,2219,2779
1956.043,1288,1000,4266,3311
1956.044,456,382,456,382
1956.045,334,498,334,498
1956.046,351,489,351,489
1956.047,388,312,388,312
1956.048,611,450,611,450
1956.049,1458,1000,3351,2298
1956.050,1000,1315,2956,3889
1956.051,1256,870,1256,870
1956.052,277,442,277,442
1956.053,484,383,484,383
1956.054,1887,957,1887,957
1956.056,1363,999,7571,5551
1956.057,328,478,328,478
1956.058,1000,1573,6540,10288
1956.059,458,306,458,306
1957.001,2091,1000,3796,1815
1957.002,1000,2075,2925,6071
1957.003,1000,1706,2859,4878
1957.004,397,488,397,488
1957.005,364,438,364,438
1957.007,1323,1000,2013,1521
1957.008,1214,999,2148,1768
1957.009,334,439,334,439
1957.010,452,308,452,308
1957.012,460,304,460,304
1957.014,425,340,425,340
1957.016,245,386,245,386
1957.017,492,354,492,354
1957.018,410,304,410,304
1957.019,456,355,456,355
1957.020,409,297,409,297
1957.021,1357,1000,4224,3112
1957.022,409,283,409,283
1957.023,449,328,449,328
1957.024,457,328,457,328
1957.025,390,288,390,288
1957.026,447,332,447,332
1957.027,600,440,600,440
1957.028,399,296,399,296
1957.029,409,292,409,292
1957.030,678,480,678,480
1957.031,269,432,269,432
1957.032,1285,999,2025,1575
1957.033,413,494,413,494
1957.034,501,366,501,366
1957.035,460,304,460,304
1957.038,1000,1256,3172,3986
1957.039,435,314,435,314
1957.040,1000,1445,2293,3315
1957.041,1000,1394,2547,3551
1957.042,1449,999,2625,3806
1957.043,442,306,442,306
1957.044,409,495,409,495
1957.046,443,226,443,226
1964.001,384,500,384,500
1964.002,381,500,381,500
1964.003,387,500,387,500
1964.004,500,407,500,407
1964.005,394,500,394,500
1964.006,382,500,382,500
1964.007,500,412,500,412
1964.008,500,434,500,434
1964.009,356,500,356,500
1964.010,363,500,363,500
1964.011,379,500,379,500
1964.012,500,414,500,414
1964.013,310,500,310,500
1964.014,500,402,500,402
1964.015,390,500,390,500
1964.016,388,500,388,500
1964.017,386,500,386,500
1964.018,395,500,395,500
1964.019,500,408,500,408
1964.020,398,500,398,500
1965.001,1000,1457,2069,3015
1965.003,999,1345,2521,3393
1965.004,999,1394,2193,3059
1965.005,1118,1000,2934,2624
1965.006,1401,1000,2946,2102
1965.007,1256,1000,3238,2577
1965.008,1517,999,4302,2834
1965.009,1344,1000,2305,1715
1965.011,1453,1000,2831,1948
1965.012,1290,1000,2295,1779
1965.013,1468,1000,3107,2116
1965.014,1403,999,3390,2415
1965.015,1628,999,2831,1738
1965.016,1068,1000,2625,2456
1965.017,1000,1130,2844,3215
1965.018,1177,999,1351,1147
1965.019,999,1500,1799,2700
1965.020,999,1228,1968,2418
1965.021,1000,1445,1790,2587
1965.022,1274,999,3218,2524
1965.023,999,1129,3039,3432
1965.026,1000,1964,1403,2756
1965.027,1000,1287,1634,2104
1965.029,1557,1000,2549,1637
1965.030,1000,1334,1916,2556
1965.031,1000,1340,3562,4775
1965.033,1277,1000,3054,2391
1965.034,1237,1000,2737,2212
1965.038,1000,1420,2180,3097
1965.039,999,1499,3223,4834
1966.001,1026,1000,2486,2423
1966.002,379,500,379,500
1966.003,1000,2576,1885,4857
1966.004,1143,1000,2694,2356
1966.005,1358,1000,4352,3204
1966.006,1000,1292,3080,3981
1966.007,332,500,332,500
1966.008,336,500,336,500
1966.009,500,428,500,428
1966.010,1000,1436,3094,4445
1966.011,1000,1333,2448,3264
1966.014,354,500,354,500
1967.001,1000,1312,1896,2488
1967.002a,1495,999,5146,3440
1968.002,999,1295,2161,2800
1968.003,698,1031,698,1031
1968.005,999,1591,2470,3932
1968.006,999,1448,1784,2585
1968.009,1745,1000,2595,1487
1968.010,1778,1000,2934,1650
1968.012,1391,999,4006,2878
1969.003,1295,1000,3186,2460
1969.004,1000,2373,1256,2981
1969.005,1345,1000,3727,2770
1969.007,1472,1000,3975,2700
1969.008,1000,1445,1611,2328
1969.010,1357,1000,3664,2699
1969.011,1000,1496,4490,6720
1969.012,409,504,409,504
1969.013,999,1316,3054,4022
1969.014,1465,1000,5782,3946
1969.015,162,552,162,552
1969.016,397,1065,397,1065
1969.017,999,1452,3109,4517
1969.018,999,1718,2708,4655
1969.019,1152,1000,2772,2406
1969.020,1000,1248,3878,4843
1969.021,398,504,398,504
1969.022,999,1237,3777,4674
1969.023,1000,1227,3920,4812
1969.024,1000,1205,3944,4754
1969.025,999,1230,3917,4821
1969.026,1000,1155,4293,4959
1969.027,999,1120,4397,4927
1969.028,999,1143,4313,4934
1969.029,1000,1145,4319,4946
1969.030,1000,1151,4279,4926
1969.031,1000,1144,4192,4797
1969.032,1000,1132,4483,5077
1969.033,999,1144,4251,4867
1969.034,500,417,500,417
1969.035,500,429,500,429
1969.036,500,415,500,415
1969.037,500,402,500,402
1969.038,1220,999,4780,3916
1969.039,1206,999,4763,3947
1969.040,1000,1496,4490,6720
1969.041,1500,1000,5184,3456
1969.042,1500,1000,5184,3456
1969.043,1000,1496,4490,6720
1969.044,1000,1496,4490,6720
1969.045,1000,1496,4490,6720
1969.046,1000,1496,4490,6720
1969.047,1000,1496,4490,6720
1969.048,1000,1496,4490,6720
1969.049,1500,1000,5184,3456
1969.050,1500,1000,5184,3456
1969.051,1000,1496,4490,6720
1969.052,1000,1496,4490,6720
1969.053,1000,1496,4490,6720
1969.054,1500,1000,5184,3456
1969.055,1000,1496,4490,6720
1969.056,1000,1496,4490,6720
1969.057,1000,1496,4490,6720
1969.058,1000,1496,4490,6720
1969.059,1000,1496,4490,6720
1969.060,1000,1496,4490,6720
1969.061,1000,1496,4490,6720
1969.062,1550,1000,4936,3184
1969.063,1000,1496,4490,6720
1969.064,1000,1496,4490,6720
1969.065,1000,1496,4490,6720
1969.066,1000,1496,4490,6720
1969.067,1021,999,2232,2184
1969.068,1000,1496,4490,6720
1969.069,999,1427,3391,4840
1969.070,1000,1496,4490,6720
1969.071,1595,1000,4991,3128
1969.072,1239,1000,3906,3151
1969.074,1335,999,4024,3012
1969.075,482,360,482,360
1969.077,1326,1000,1341,1011
1969.079,1000,1362,2974,4051
1970.001,1198,1000,4525,3777
1970.002,1000,1496,4490,6720
1970.003,342,257,342,257
1970.006,1363,1000,4033,2958
1970.007,1097,1000,1839,1676
1970.008,1000,1363,2856,3893
1970.009,1253,999,2915,2325
1970.011,999,1473,2946,4342
1970.012,1000,1429,3140,4489
1970.013,1507,1000,4584,3041
1970.014,1000,1358,3404,4624
1970.015,1000,1447,3242,4692
1970.016,999,1409,3659,5159
1970.017,806,1217,806,1217
1970.019,1365,1000,3882,2843
1970.020,1000,1385,3294,4565
1970.021,1373,1000,4161,3030
1970.022,1415,1000,4471,3159
1970.023,1053,999,3654,3467
1970.024,1026,1000,3654,3559
1970.027,1318,999,4765,3613
1970.029,1000,1329,1408,1872
1970.030,1000,1374,1753,2409
1970.031,1000,1146,2709,2362
1970.032,504,610,504,610
1970.034,1333,1000,2448,3264
1970.035,1465,1000,4837,3300
1970.036,999,1006,1792,1804
1970.037,1000,1594,1687,2690
1970.038,1323,1000,3723,2814
1970.039,1492,1000,3334,2234
1970.040,1374,1000,4234,3080
1970.042,1000,1370,3509,4809
1970.043,1203,1000,3650,3034
1970.044,1000,1470,3124,4595
1970.046,1232,1000,3384,2746
1970.047,1473,1000,5040,3420
1970.048,999,1227,2981,3660
1970.050,1394,1000,4239,3040
1970.051,1285,1000,2655,2066
1970.052,1642,1000,2537,1545
1970.053,1531,1000,2959,1932
1970.055,1000,2051,2544,5219
1970.056,1147,1000,3542,3088
1970.058,1301,1000,3768,2896
1970.059,999,1414,2259,3196
1970.060,999,1445,3417,4940
1970.062,999,1290,1603,2069
1970.063,999,1527,1523,2327
1970.064,1000,1291,1084,1400
1970.065,1000,1406,1881,2645
1970.066,1000,1452,1726,2507
1970.067,1000,1448,1839,2663
1970.068,1000,1510,4736,7153
1970.069,1174,1000,3412,2906
1970.070,1000,1187,2996,3557
1971.001,1198,999,3956,3300
1971.002,1000,1504,2925,4401
1971.003,1421,1000,3191,2245
