accession_number,status,description,image_url
1956.026,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-026.tif/pct:34.375,17.96875,51.5625,53.125/!512,512/0/default.jpg"
1956.029,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-029.tif/pct:19.921875,24.609375,73.046875,66.796875/!512,512/0/default.jpg"
1956.029,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-029.tif/pct:12.451172000000001,5.0048828,82.080078,94.9951172/!512,512/0/default.jpg"
1956.030,uploaded,Horse,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:54.6875,53.125,41.015625,39.84375/full/0/default.jpg"
1956.030,uploaded,Horse,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:3.3203125,54.6875,40.0390625,35.15625/full/0/default.jpg"
1956.030,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:13.183594000000001,10.449219,16.503905999999997,32.714843/full/0/default.jpg"
1956.030,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:29.6875,9.423827999999999,17.96875,33.34961/full/0/default.jpg"
1956.030,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:29.6875,9.423827999999999,17.96875,33.34961/full/0/default.jpg"
1956.030,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:13.183594000000001,10.449219,16.503905999999997,32.714843/full/0/default.jpg"
1956.030,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:5.810547,51.5625,24.267578,38.28125/full/0/default.jpg"
1956.030,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:57.03125,52.734375,26.5625,40.625/full/0/default.jpg"
1956.030,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:51.953125,15.039062,14.453125,18.164063/full/0/default.jpg"
1956.030,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.030.jpg/pct:67.1875,8.0566406,20.703125,36.279297400000004/full/0/default.jpg"
1956.034,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-034.tif/pct:2.6855469,2.0751953,95.3613281,96.7529297/!512,512/0/default.jpg"
1956.035,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-035.tif/pct:19.726562,16.113280999999997,74.804688,78.417969/!512,512/0/default.jpg"
1956.036,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-036.tif/pct:3.1127930000000004,3.0883789,94.152832,94.1772461/!512,512/0/default.jpg"
1956.037,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-037.tif/pct:1.928711,2.4536132999999998,96.118164,92.0776367/!512,512/0/default.jpg"
1956.038,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-038.tif/pct:7.1777344,6.7871094,86.5722656,85.7910156/!512,512/0/default.jpg"
1956.039,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.039.tif/pct:3.564453,3.90625,92.919922,92.578125/!512,512/0/default.jpg"
1956.041,uploaded,Dog,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.041.jpg/pct:54.296875,64.0625,44.140625,34.765625/full/0/default.jpg"
1956.041,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.041.jpg/pct:2.4780273,15.722655999999999,42.24853469999999,79.199219/full/0/default.jpg"
1956.041,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.041.jpg/pct:2.4780273,15.722655999999999,42.24853469999999,79.199219/full/0/default.jpg"
1956.041,uploaded,Animal,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.041.jpg/pct:54.296875,64.0625,44.140625,34.765625/full/0/default.jpg"
1956.042,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956-042.tif/pct:1.550293,0.8056641,97.668457,93.7255859/!512,512/0/default.jpg"
1956.044,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.044.jpg/pct:1.5625,2.5268555000000004,96.484375,95.9106445/full/0/default.jpg"
1956.045,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.045.jpg/pct:2.1240234,3.0273438,96.7041016,94.62890619999999/full/0/default.jpg"
1956.046,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.046.jpg/pct:2.1362305000000004,2.1118164,95.9106445,91.2475586/full/0/default.jpg"
1956.047,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.047.jpg/pct:3.3691406,2.4291992000000002,93.8964844,94.4458008/full/0/default.jpg"
1956.048,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.048.jpg/pct:31.054688000000002,37.109375,40.039061999999994,38.671875/!512,512/0/default.jpg"
1956.048,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.048.jpg/pct:25.390625,79.296875,26.5625,18.75/!512,512/0/default.jpg"
1956.048,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.048.jpg/pct:31.054688000000002,37.109375,40.039061999999994,38.671875/!512,512/0/default.jpg"
1956.048,uploaded,Clothing,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.048.jpg/pct:32.03125,44.726561999999994,37.890625,30.273438000000002/!512,512/0/default.jpg"
1956.048,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.048.jpg/pct:16.601562,46.484375,15.624999999999996,32.8125/!512,512/0/default.jpg"
1956.048,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.048.jpg/pct:12.597655999999999,3.2958983999999996,26.464844,17.4072266/!512,512/0/default.jpg"
1956.048,uploaded,Person,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.048.jpg/pct:67.578125,49.023438000000006,19.53125,29.492186999999998/!512,512/0/default.jpg"
1956.050,uploaded,Painting,"https://iiif.library.vanderbilt.edu/iiif/2/gallery%2F1956%2F1956.050.tif/pct:1.6357422,2.5878906,96.4111328,95.0683594/!512,512/0/default.jpg"
