qid,label
Q6888731,Modern Language Quarterly
Q6888892,Modern Theology
Q7186211,Philosophy East & West
Q7256326,Psychoanalysis and History
Q7307444,Reformation
Q7311115,Religion
Q7311312,Religious Studies Review
Q7437800,Scottish Journal of Theology
Q7500070,Shofar: An Interdisciplinary Journal of Jewish Studies
Q7550658,Social Forces
Q7552806,Sociological Inquiry
Q7578151,Spiritus
Q7628082,Studies in World Christianity
Q7718432,Black Scholar
Q7743575,Journal of Ecclesiastical History
Q7743622,The Journal of Religion
Q7899842,Urban Affairs Review
Q7989227,Westminster Theological Journal
Q8075881,Zygon
Q88977207,"Women, Gender, and Families of Color"
Q91678397,Journal of theology
Q93433869,Reflective Practice: Formation and Supervision in Ministry
Q96320826,Hugoye: Journal of Syriac Studies
Q96320924,"Race, Gender & Class"
Q96329202,Journal of Religion & Abuse
Q96658010,Reformed Worship
Q96710822,International Journal of Applied Sociology
Q96720788,Kalfou
Q96721542,Neukirchener Theologische Zeitschrift
Q96722512,Korean Journal of Christian Counseling 
Q96729370,Melilah
Q96747411,Faith and Freedom
Q96748292,Word and Witness
Q96748674,Family Ministry: Empowering Through Faith
Q96748958,Insights
Q96757401,Journal of Family Ministry
Q96758104,The African American Pulpit
Q96758245,Biblical Preaching Journal
Q96758266,Consensus
Q96758670,philoSOPHIA
Q96775368,The North Star
Q96915055,Society of Biblical Literature Seminar Papers
Q97013797,Kentucky Journal of Anthropology and Sociology
Q97038484,Cityscape: A Journal of Policy Development and Research
Q97069556,Journal of Inter-Religious Studies
Q97102835,The Hymn
Q97321411,Doxology: A Journal of Worship
Q97323392,Gathering Magazine
Q97326077,Theological Educator
Q97361256,"Bulletin of the Institute for Reformed Theology, Union Theological Seminary"
Q97362481,The Spire
Q97388791,Lutheran Woman Today
Q97389745,Making Christ known
Q97393882,Sightings
Q97395520,"Journal of Race, Ethnicity, and Religion"
Q97397804,Journal of Unitarian Universalist History
Q97446840,Acme: annali della FacoltÃ  di Lettere e Filosofia dell'UniversitÃ  degli Studi di Milano.
Q97450170,Lectionary Homiletics
Q97579679,Black Renaissance
Q97580025,Religious Studies News
Q97581053,The African American Lectionary
Q97581124,"Spotlight on Teaching, Religious studies news (AAR ed.)"
Q97584442,Clio's Psyche
Q97584635,Faultlines
Q97600243,Papers of the [American Academy  of Religion] Nineteenth Century Theology Working Group
Q97622700,Critical Review of Books in Religion
Q97725240,Annals of Scholarship
Q97725638,"Religion and Culture Web Forum, University of Chicago, Divinity School"
Q97726143,Allgemeine Jüdische Wochenzeitung
Q97729090,The Reformed Review
Q97729464,"Sacred Spaces, eJournal of the American Association of Pastoral Counseling"
Q97772375,National Baptist union-review
Q97773782,The Journal of Intergroup Relations
Q97784372,National Baptist voice. National Baptist Convention of the United States of America
Q97790964,The Gospel and Our Culture Network
Q97843689,Journal for Preachers
Q98073452,Biblical Review
Q98074103,Trinity Seminary Review
Q98074203,Gesher
Q98094387,Religion in the News
Q98097528,Quarterly Review
Q98109467,Echoing the Word: The Catholic Religious Education On-Line Journal
Q98222919,Dialogue Australasia: a journal for teachers of religious and values education.
Q98226287,National Havurah Committee weekly column
Q98227015,Ioudaios review. Lehigh University
Q98232287,"Student Organization of Yeshiva, Rabbi Isaac Elchanan Theological Seminary"
Q98311737,Circuit Rider
Q98313448,"Colloquium / Yale Institute of Sacred Music: music, worship, arts"
Q98380090,Presbyterians Today
Q98380242,Congregations
Q98380311,Reformed Liturgy & Music
Q98461378,Consider Thisâ€¦A Newsletter for Pastors
Q98496683,Prism
Q98526055,Living Pulpit
Q98526338,Una Sancta : Zeitschrift fÃ¼r Ã¶kumenische Begegnung
Q98606254,Disciples Divinity House Bulletin
Q98608133,Journal of Pastoral Care
Q98608602,Chicago Theological Seminary Register
Q98608890,Journal of Supervision and Training in Ministry
Q98637260,Women's VU
Q98637310,Lexington Theological Quarterly
Q98637434,Journal of Childhood and Religion
Q98688147,Lifelong Faith: the theory and practice of lifelong faith formation
Q98821386,Net Results: New Ideas in Church Vitality and Leadership
Q98821824,Your Church
Q98821922,The Disciple
Q98821988,The Five Stones: a Newsletter for Small Churches
Q98822345,Journal of Religious Leadership
Q98833935,C21 Resources: A Catalyst and Resource for the Renewal of the Catholic Church
Q98833987,Liturgical Ministry
Q98834513,American Theological Inquiry
Q98835708,The Alaskan Shepherd
Q98844814,Studia Aloisiana
Q98846459,Spotlight on Theological Education
Q98850260,Proceedings of the Catholic Theological Society of America
Q27711434,Health Progress: Journal of the Catholic Health Association of the United States
Q99034646,The Conversation
