qid,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_statedIn,publisher_ref1_referenceUrl,publisher_ref1_retrieved_nodeid,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec,label_en
Q15716275,19F3100A-12B2-434B-9DA7-F0227E984AB7,Q98818,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,,Neue Zeitschrift fuer Systematische Theologie und Religionsphilosophie
Q38312865,512e40d4-43af-abb3-d395-edd2a20593d9,Q61857112,,,,,,,New Directions for Philanthropic Fundraising
Q15716715,C7885F6A-D395-4EE1-8141-F3F538D5C46E,Q178848,,,,,,,Notre Dame Philosophical Reviews
Q15763977,,,,,,,,,Perspectives in Religious Studies
Q15716423,14205C7D-4B92-42DF-99FF-536DFB7F6BFE,Q1179603,,,,,,,Philosophy Today
Q50816836,111922B5-A819-4598-AF30-884F0DC458ED,Q10387854,c2359ed273c065e7be81bf076d4e2cfee56f1019,Q1227538,https://doaj.org/toc/2316-932X,,,,Podium
Q15755002,,,,,,,,,Political Theology
Q15756294,,,,,,,,,Practical Theology
Q6087079,79c63ea7-4d2a-8079-8b3b-1f23d399c7ee,Q466089,,,,,,,Proceedings of the American Philosophical Society
Q15751172,B00F9E85-7F84-49CA-AAF3-F1506645F85C,Q1508259,,,,,,,"Race, Ethnicity and Education"
Q7311115,0E6BE726-B6AC-4C0F-9C63-58CBD236356F,Q1508259,,,,,,,Religion
Q15749660,,,,,,,,,Religion Compass
Q7311312,125CADA7-541F-466E-B631-A035DCF97B19,Q767319,,,,,,,Religious Studies Review
Q15763974,,,,,,,,,Review of Biblical Literature
Q15759717,8AAB6DC9-0AD9-4EEF-8A38-A03944805388,Q912887,5e45de5ba372dc11d3ff16b99c871d26937f63b3,,https://www.cambridge.org/core/services/aop-file-manager/file/5783738dbd8dfd4e3283c3f2,a2948c10dd71697b7eae960a3194819d,2018-04-24T00:00:00Z,11,Review of Politics
Q15762047,C562EE67-8371-4DAB-BAA6-77445124753C,Q21587985,5684f0c6e66933dafb26b3f932ab13cbeae7bccf,Q1201886,http://mjl.clarivate.com/publist_ah.pdf,,,,Review of Religious Research
Q7437800,42A96BB3-C8FE-4944-B7C2-9225A439A2F0,Q912887,,,,,,,Scottish Journal of Theology
Q7552806,33321FA7-2749-4AAB-BE7D-E664863A73CE,Q767319,,,,,,,Sociological Inquiry
