qid,name,name_lang,wdt,wdt_label,value,value_datatype
Q94696574,Madonna with Three Saints and John,en,P180,depicts,Q40662,
Q94696574,Madonna with Three Saints and John,en,P180,depicts,Q942467,
Q94696574,Madonna with Three Saints and John,en,P186,material used,Q175166,
Q94696574,Madonna with Three Saints and John,en,P186,material used,Q1348059,
Q94696574,Madonna with Three Saints and John,en,P973,described at URL,http://www.kressfoundation.org/collection/ViewCollection.aspx?id=72&artistID=18946,
Q94696638,St. Sebastian,en,P136,genre,Q2864737,
Q94696638,St. Sebastian,en,P180,depicts,Q183332,
Q94696638,St. Sebastian,en,P186,material used,Q175166,
Q94696638,St. Sebastian,en,P186,material used,Q1348059,
Q94696638,St. Sebastian,en,P973,described at URL,http://www.kressfoundation.org/collection/ViewCollection.aspx?id=72&artistID=20110,
Q94696965,Madonna and Child,en,P136,genre,Q2864737,
Q94696965,Madonna and Child,en,P180,depicts,Q345,
Q94696965,Madonna and Child,en,P180,depicts,Q942467,
Q94696965,Madonna and Child,en,P186,material used,Q175166,
Q94696965,Madonna and Child,en,P186,material used,Q1348059,
Q94696965,Madonna and Child,en,P921,main subject,Q9309699,
Q94696965,Madonna and Child,en,P973,described at URL,http://www.kressfoundation.org/collection/ViewCollection.aspx?id=72&artistID=18940,
Q94701366,Seated Warrior,en,P136,genre,Q178885,
Q94701366,Seated Warrior,en,P186,material used,Q42302,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",en,P136,genre,Q2864737,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",en,P180,depicts,Q345,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",en,P180,depicts,Q37090,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",en,P180,depicts,Q154326,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",en,P180,depicts,Q942467,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",en,P186,material used,Q175166,
Q94702218,"Madonna and Child with the Holy Trinity and the Annunciation; Anonymous Martyr Saint; Resurrection; ""Noli me tangere""",en,P186,material used,Q1348059,
Q94702395,St. Louis of Toulouse,en,P136,genre,Q2864737,
Q94702395,St. Louis of Toulouse,en,P180,depicts,Q196157,
Q94702395,St. Louis of Toulouse,en,P186,material used,Q175166,
Q94702395,St. Louis of Toulouse,en,P186,material used,Q1348059,
Q94702413,Madonna and Child,en,P136,genre,Q2864737,
Q94702413,Madonna and Child,en,P180,depicts,Q345,
Q94702413,Madonna and Child,en,P180,depicts,Q942467,
Q94702413,Madonna and Child,en,P186,material used,Q175166,
Q94702413,Madonna and Child,en,P186,material used,Q1348059,
Q94702413,Madonna and Child,en,P921,main subject,Q9309699,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",en,P136,genre,Q2864737,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",en,P180,depicts,Q345,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",en,P180,depicts,Q51636,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",en,P180,depicts,Q63070,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",en,P180,depicts,Q328804,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",en,P186,material used,Q175166,
Q94702420,"The Crucifixion with the Virgin, Mary Magdalene and St. John the Evangelist",en,P186,material used,Q1348059,
Q94702774,A Baptismal Ceremony,en,P136,genre,Q891532,
Q94702774,A Baptismal Ceremony,en,P180,depicts,Q35856,
Q94702774,A Baptismal Ceremony,en,P186,material used,Q175166,
Q94702774,A Baptismal Ceremony,en,P186,material used,Q1348059,
Q94702974,St. Sebastian,en,P136,genre,Q2864737,
Q94702974,St. Sebastian,en,P180,depicts,Q10884,
Q94702974,St. Sebastian,en,P180,depicts,Q45922,
Q94702974,St. Sebastian,en,P180,depicts,Q183332,
Q94702974,St. Sebastian,en,P186,material used,Q175166,
Q94702974,St. Sebastian,en,P186,material used,Q296955,
