accession,has_image
1972.009,yes
1972.010,yes
1972.013,yes
1972.011,yes
1972.014,yes
1972.015,yes
1972.017,yes
1972.018,yes
1972.020,yes
1972.019,yes
1972.021,yes
1972.022,yes
1972.023,yes
1972.024,yes
1972.025,yes
1972.026,yes
1972.027,yes
1972.028,yes
1972.029,yes
1972.030,yes
1972.031,yes
1972.032,yes
1972.033,yes
1972.034,yes
1972.035,yes
1972.036,yes
1972.037,yes
1972.038,yes
1972.039,yes
1972.040,yes
1972.041,yes
1972.042,yes
1972.043,yes
1972.044,yes
1972.045,yes
1972.046,yes
1972.047,yes
1972.048,yes
1972.052,yes
1972.053,yes
1972.062,yes
1972.063,yes
1972.068,yes
1972.069,yes
1972.074,yes
1972.075,yes
1972.079,yes
1972.081,yes
1972.083,yes
1972.084,yes
1972.092,yes
1972.091,yes
1972.912,yes
1973.001,yes
1973.013,yes
1973.016,yes
1973.017,yes
1973.023,yes
1973.027,yes
1973.028,yes
1973.029,yes
1973.003,yes
1973.004,yes
1973.005,yes
1973.006,yes
1973.007,yes
1973.008,yes
1973.009,yes
1973.010,yes
1973.012,yes
1973.014,yes
1973.015,yes
1973.020,yes
1973.019,yes
1973.021,yes
1973.022,yes
1973.026,yes
1973.024,yes
1973.031,yes
1974.002,yes
1974.001,yes
1974.021,yes
1974.003,yes
1974.005,yes
1974.004,yes
1974.006,yes
1974.007,yes
1974.008,yes
1974.009,yes
1974.010,yes
1974.011,yes
1974.016,yes
1974.011a,yes
1974.013,yes
1974.017,yes
1974.018,yes
1974.020,yes
1974.019,yes
1974.022,yes
1974.024,yes
1974.026,yes
1974.027,yes
1974.029,yes
1974.030,yes
1974.032,yes
2013.035k,yes
1975.006,yes
1975.004,yes
1975.011,yes
1975.012,yes
1975.013,yes
1975.014,yes
1975.018,yes
1975.038,yes
1975.040,yes
1975.041,yes
1975.042,yes
1975.043,yes
1975.045,yes
1975.048,yes
1975.054,yes
1975.063,yes
1975.059,yes
1975.062,yes
1975.064,yes
1975.065,yes
1975.066,yes
1976.003,yes
1976.006,yes
1976.009,yes
1976.013,yes
1976.025,yes
1976.026,yes
1976.001,yes
1976.036,yes
1976.002,yes
1976.004,yes
1976.005,yes
1976.007,yes
1976.008,yes
1976.010,yes
1976.011,yes
1976.014,yes
1976.017,yes
1976.016,yes
1976.015,yes
1976.018t,yes
1976.019,yes
1976.021,yes
1976.027,yes
