qid,label_en,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec
Q102969861,,E25BE0DC-E232-4386-B083-F16C9EB98F24,Q105206935,6b919cbed4ad51a22fefabcf787f7ad85cfbc13d,,https://library.artstor.org/#/asset/26753899,f9f89641-03fb-4854-b2a6-da3b7fa13233,2021-02-01T00:00:00Z,11
Q102969870,,227FBBD7-EB37-4C9A-B919-36A35F313CE5,Q105206935,76034097d8267271d22d3da3c826aa6609f313a4,,https://library.artstor.org/#/asset/26753900,f406b1b8-c79c-4ca8-98e7-41052b9f272a,2021-02-01T00:00:00Z,11
Q102969877,,DF284F04-8F78-40DE-AE75-AF2280AD88CD,Q105206935,b1fc6ccf0ed5ae09bf29d130d159238fd82b3857,,https://library.artstor.org/#/asset/26753901,9f96a2d8-594e-4a30-8b27-ab263d7fe3b4,2021-02-01T00:00:00Z,11
Q102969882,,3F9DEAE8-2BEA-4EEC-85F1-7429F40F7619,Q105206935,04313f4177c390b2df90a16912faff7351c5c7c0,,https://library.artstor.org/#/asset/26753902,f4a63698-264e-4e0a-85f6-c867795d96a2,2021-02-01T00:00:00Z,11
Q102969889,,6F3C9FAA-8E6B-49EB-A3F8-E7C332331D5A,Q482193,2fd304e34777b2aaf532d9792f25f600acb03ee6,,https://library.artstor.org/#/asset/26758377,26fd59b0-900f-4445-bff2-1846347c02d7,2021-02-01T00:00:00Z,11
Q102970002,,2BB60ABE-F006-41E4-9D1A-4AC5ADE3C4B1,Q482193,01f0801ba3eb2d06562244722502a7a57d4f8a32,,https://library.artstor.org/#/asset/26758370,d40ae297-e69c-45ed-9072-04503f6863d0,2021-02-01T00:00:00Z,11
Q102970011,,C74D0C49-2F8A-4034-AC5A-0F9A7E7E194B,Q482193,0d9132ec8117b7efca23ad10607282f79867a7da,,https://library.artstor.org/#/asset/26758357,c330adf8-039f-4529-8ae4-0a58ffef9575,2021-02-01T00:00:00Z,11
Q102970176,,B9078454-D79B-4A72-B582-1FAB4EB8C7AC,Q482193,9ddc457350a02237ae0e989f884ea399b08cd02f,,https://library.artstor.org/#/asset/26758379,85c996ab-9925-409c-9474-efd01c3c23fb,2021-02-01T00:00:00Z,11
Q102970226,,D88BB6AC-65F4-4BBC-A253-44B09CA06F40,Q482193,615911c84633838f2314755b49e8b11b4c7d04eb,,https://library.artstor.org/#/asset/26758361,472a4c1e-22fd-4208-bc68-92571e9b7c03,2021-02-01T00:00:00Z,11
Q102970654,,20550B96-D0FD-432A-BB6A-CB55FEC9EAF2,Q372225,10e8fce409d126089fed820eed24ec32d664e320,,https://library.artstor.org/#/asset/26755711,caa87afb-1366-464c-9630-6d218bba43da,2021-02-01T00:00:00Z,11
Q102971552,,C7156501-904D-4805-BCB4-D8712AB84939,Q482193,a062e7d8f27713f15e04bfbc3e2ccaeb3feb4127,,https://library.artstor.org/#/asset/26758369,4a05cf8e-091a-4eaa-bcba-c70d5c0263a2,2021-02-01T00:00:00Z,11
Q102973010,,CEE021F2-B7A6-4C2D-8F86-547BA0B83A70,Q482193,61dd2312517ff0576412bd2dd0d1d4b45d5e6c1e,,https://library.artstor.org/#/asset/26758383,b66412f8-81fe-433a-b815-9b1af9a6312f,2021-02-01T00:00:00Z,11
Q102973152,,777B73FE-0D53-461E-A8CB-73F04C95134B,Q482193,1900d1b38b1caf3f33e5877e2da7e2373deec6dd,,https://library.artstor.org/#/asset/26758366,068965bd-d328-4aa8-b04b-1f1a6b687787,2021-02-01T00:00:00Z,11
