qid,label_en,description_en,image_uuid,image,image_ref1_hash,image_ref1_statedIn,image_ref1_referenceUrl,image_ref1_retrieved_nodeid,image_ref1_retrieved_val,image_ref1_retrieved_prec,country_uuid,country,country_ref1_hash,country_ref1_statedIn,country_ref1_referenceUrl,country_ref1_retrieved_nodeid,country_ref1_retrieved_val,country_ref1_retrieved_prec,movement_uuid,movement,movement_ref1_hash,movement_ref1_statedIn,movement_ref1_referenceUrl,movement_ref1_retrieved_nodeid,movement_ref1_retrieved_val,movement_ref1_retrieved_prec,creator_uuid,creator,creator_ref1_hash,creator_ref1_statedIn,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeid,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,genre_uuid,genre,genre_ref1_hash,genre_ref1_statedIn,genre_ref1_referenceUrl,genre_ref1_retrieved_nodeid,genre_ref1_retrieved_val,genre_ref1_retrieved_prec,depicts_uuid,depicts,depicts_ref1_hash,depicts_ref1_statedIn,depicts_ref1_referenceUrl,depicts_ref1_retrieved_nodeid,depicts_ref1_retrieved_val,depicts_ref1_retrieved_prec,main_subject_uuid,main_subject,main_subject_ref1_hash,main_subject_ref1_statedIn,main_subject_ref1_referenceUrl,main_subject_ref1_retrieved_nodeid,main_subject_ref1_retrieved_val,main_subject_ref1_retrieved_prec,material_used_uuid,material_used_nodeid,material_used_val,material_used_prec,material_used_ref1_hash,material_used_ref1_statedIn,material_used_ref1_referenceUrl,material_used_ref1_retrieved_nodeid,material_used_ref1_retrieved_val,material_used_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_statedIn,title_ref1_referenceUrl,title_ref1_retrieved_nodeid,title_ref1_retrieved_val,title_ref1_retrieved_prec,owned_by_uuid,owned_by,owned_by_ref1_hash,owned_by_ref1_statedIn,owned_by_ref1_referenceUrl,owned_by_ref1_retrieved_nodeid,owned_by_ref1_retrieved_val,owned_by_ref1_retrieved_prec,inception_uuid,inception_nodeid,inception_val,inception_prec,inception_ref1_hash,inception_ref1_statedIn,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeid,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,height_uuid,height,height_ref1_hash,height_ref1_statedIn,height_ref1_referenceUrl,height_ref1_retrieved_nodeid,height_ref1_retrieved_val,height_ref1_retrieved_prec,width_uuid,width,width_ref1_hash,width_ref1_statedIn,width_ref1_referenceUrl,width_ref1_retrieved_nodeid,width_ref1_retrieved_val,width_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_statedIn,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeid,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,catalog_code_uuid,catalog_code,catalog_code_ref1_hash,catalog_code_ref1_statedIn,catalog_code_ref1_referenceUrl,catalog_code_ref1_retrieved_nodeid,catalog_code_ref1_retrieved_val,catalog_code_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_ref1_hash,copyright_status_ref1_statedIn,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeid,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,thickness_uuid,thickness,thickness_ref1_hash,thickness_ref1_statedIn,thickness_ref1_referenceUrl,thickness_ref1_retrieved_nodeid,thickness_ref1_retrieved_val,thickness_ref1_retrieved_prec,culture_uuid,culture,culture_ref1_hash,culture_ref1_statedIn,culture_ref1_referenceUrl,culture_ref1_retrieved_nodeid,culture_ref1_retrieved_val,culture_ref1_retrieved_prec
Q94702774,A Baptismal Ceremony,Painting by Amico Aspertini,,,,,,,,,c3adf6ba-4970-4894-e6f5-379f130b272f,Q12548,,,,,,,,,,,,,,,dbc9ea7a-494d-15d3-1372-21cd3e4c80b7,Q470846,,,,,,,f87db88f-4af8-6e01-f67f-90e50ecda7dc,Q891532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371ea671-412e-0259-336b-a77259d2cc4c,A Baptismal Ceremony,,,,,,,,,,,,,,,ff1c659a-4b86-1842-50fb-46b19cfc58f1,59844fe2fce06440b07fb61e6f75527f,1600-01-01T00:00:00Z,7,,,,,,,a3e28db1-47b5-f438-5797-b27b082108a8,24.5,,,,,,,35f9c645-4fac-9bdc-dcbb-0a0f5ec4ee64,29.5,,,,,,,,,,,,,,,,,,,,,,,3bcb87e6-4c7c-20ee-5bfc-d84eecdb8632,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94837681,Angry Cat,Painting by Léonard Tsuguharu Foujita,,,,,,,,,4b1f7615-4893-2e37-d277-fa8ffb849e5f,Q142,,,,,,,,,,,,,,,e4e076e3-4611-fe99-1fc6-8526c96449ea,Q261846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedf2ef6-4e07-1419-a722-40a8c2e0db47,Angry Cat,,,,,,,,,,,,,,,bda694f9-41e5-4b34-85e7-c35a49463dd5,31019057564434cce8fbfed1654ce3ca,1941-01-01T00:00:00Z,9,,,,,,,3087c778-4844-92c4-1cfa-d8fcfc0c8414,12.75,,,,,,,5dffc1a1-4bb9-03f8-3e5d-d6410ec98f9a,16.25,,,,,,,,,,,,,,,,,,,,,,,1700373f-4d20-6c62-62c2-e8cc4f203c33,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94970906,Ball player in warrior bird costume,sculpture by Anonymous,,,,,,,,,43b59a70-4e5c-2efb-02dc-f0fddeb261dd,Q96,,,,,,,,,,,,,,,7372079e-4467-b814-be9d-e4bdfac22516,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06d17f2a-4539-93fd-73b9-8b839c392e35,Ball player in warrior bird costume,,,,,,,,,,,,,,,fc088876-407d-a167-8683-a013f72b6e11,91473c51aa32eb81210c9e58921eca2d,0700-01-01T00:00:00Z,7,,,,,,,0b369704-4973-8f87-17b5-6fde68c6f6a2,8.25,,,,,,,0a921ea1-4791-1d03-7b2f-6cb14b026cf7,4,,,,,,,,,,,,,,,,,,,,,,,0aca2bf2-4590-2b9c-045f-e4ed4a4a5bd6,Q19652,,,,,,,fceec2f4-4489-8ce0-78c6-73e5c7e07003,5,,,,,,,,,,,,,,
Q94553168,Bishop or Saint,Sculpture by Anonymous,,,,,,,,,0b4c9dbd-47ae-e001-f919-0ec20727f43f,Q70972,,,,,,,,,,,,,,,db2b6ba0-498c-9c2b-5dcc-7d4bd719a9ab,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11bdc6d1-4158-8365-b61a-3fe0632109b4,Bishop or Saint,,,,,,,,,,,,,,,4362c382-4a7f-ffed-b5f0-ac811263e2c0,f7b48282e40c87f22cd332f22649c4ab,1400-01-01T00:00:00Z,7,,,,,,,37c04697-4008-53df-3232-1bef06b01679,56.5,,,,,,,e2afdca1-41c0-554c-781f-4c59b94d26cb,16,,,,,,,,,,,,,,,,,,,,,,,10e38bd5-4f24-6de0-3146-1af1110933f9,Q19652,,,,,,,66625271-4653-7605-10f5-f5d789319175,11,,,,,,,,,,,,,,
Q94827808,Byzantine coin,Coin by Anonymous,,,,,,,,,4e269c84-400a-6596-03f9-7ef4f346edc9,Q12544,,,,,,,,,,,,,,,1f6d782e-4e2e-7eda-7ec0-6dc03694f6ee,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b66f3eb9-49e7-066b-ce31-2302d7cc25c5,Byzantine coin,,,,,,,,,,,,,,,7a20c542-4c01-7d15-ca82-bc8586b4aa84,06b7a516a055a85c6c7bf6ac6e5b9e0d,0600-01-01T00:00:00Z,7,,,,,,,ce8a59bd-40dc-5b90-dfa0-5918dc575e49,1.25,,,,,,,9d0df160-44d4-cba7-3866-29153576f7ba,1.25,,,,,,,,,,,,,,,,,,,,,,,79d87071-41bd-13ad-540b-0c5d5796b47c,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94824558,Cat,Sculpture by Anonymous,,,,,,,,,a6becf39-456b-130b-1d84-0bfb112e622f,Q11768,,,,,,,,,,,,,,,5af2a8a3-48d1-be3f-4342-f615523f7333,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bb784a9-47d6-0467-b38b-6d6f116a07d3,Cat,,,,,,,,,,,,,,,438f8673-43d6-57e6-2e6e-7fa5a0145ea9,7f3587c6d8d0af7245ad42cf260aa3ff,-0700-01-01T00:00:00Z,7,,,,,,,6ef907d1-4954-8241-aa02-c563074a1751,3.75,,,,,,,cb309e3b-42e0-285a-8252-8199854e5c05,1.5,,,,,,,,,,,,,,,,,,,,,,,b921286c-416e-5dc8-b749-31a17ee14a5f,Q19652,,,,,,,b7e52475-477d-f9b3-2911-ed8334e212c7,2,,,,,,,,,,,,,,
Q94549679,Crucifixion of St. Andrew,painting by the school of Rubens,,,,,,,,,,,,,,,,,dc980a91-4b7b-0084-71a2-2f34e983fd6e,Q37853,,,,,,,11ba3f84-4874-e4d0-8ce1-78735c6233c6,Q2251074,,,,,,,3b9c3af9-48c4-580c-b73f-1e5a490b19c1,Q2864737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348fcb5b-414e-664d-9dba-2f1bba3f6108,Crucifixion of St. Andrew,,,,,,,,,,,,,,,8786c44f-49ef-d809-ee2e-d1f511cb0aa9,5d985820b54bd879f063440ff194142c,1700-01-01T00:00:00Z,7,,,,,,,ed6aa207-4dba-498f-f022-91781d70f0a9,29.75,,,,,,,d5ef9ea1-4b9f-27b6-3d7d-e82f2991bdca,38.25,,,,,,,8a4dada9-49d5-59e8-99a8-d0c4e100a465,Q157070,,,,,,,,,,,,,,,be3c01b6-4c4d-a8e2-5924-7045f1fc96a8,Q19652,,,,,,,,,,,,,,,,,,,,,,
Q94826345,Ding ware vessel with incised designs of lilies,Vase by Anonymous,,,,,,,,,70a05126-42e3-e02c-d91d-e76f2402e503,Q319460,,,,,,,,,,,,,,,c5403af3-46a2-7518-51d6-8a684e602f5d,Q4233718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,077c7960-4d74-1dbd-699c-0c534f286ade,Ding ware vessel with incised designs of lilies,,,,,,,,,,,,,,,9438b38e-4273-649b-fffa-d6e4f3971505,93d64374927a7152c80c662286fba92b,1100-01-01T00:00:00Z,7,,,,,,,50813a91-4679-080d-d297-eb7984566702,9.25,,,,,,,47ba7ae5-4000-b6f6-0dda-3b815d5287ec,4.5,,,,,,,,,,,,,,,,,,,,,,,23ed7f1d-4f98-9d43-6316-b4a81c2ff9b2,Q19652,,,,,,,9679eb37-4a8b-7857-7fa0-cac37ef312a6,4.5,,,,,,,,,,,,,,
Q90716090,Emily Thorn Vanderbilt Sloane,painting by Benjamin Curtis Porter,13DB0152-CFC3-4C82-B66E-C0FCB6832204,http://commons.wikimedia.org/wiki/Special:FilePath/Emily%20Thorn%20Vanderbilt%20Sloane%20White.jpg,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,,,,,,,,,,,,,,,,,85D74003-F401-4CBD-8393-6A790FCC9879,Q4888453,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,e260e70f-4c80-7e03-9ddc-b8dfd10be77c,Q134307,,,,,,,,,,,,,,,31a31002-4483-6582-9c25-c8a66f2beebb,Q5372398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0CCEDFA2-8126-4FA7-8542-8166EF0D8528,a88a154971f37cf79ed7457481134197,1888-01-01T00:00:00Z,9,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,16D60483-8286-42FB-9528-A092ED9BBDEE,74,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,801DA3F1-7067-481B-B5DF-1719A6CF80CB,47,75da126b09f294405739d2c1ab7814bd4943c2f6,,,28c026f855e3967e337424f56f9607cc,2020-04-15T00:00:00Z,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94702413,Madonna and Child,Painting by Pietro di Francesco degli Orioli,,,,,,,,,45ecaf3d-4102-300c-db0d-b2a2055bcff8,Q736727,,,,,,,,,,,,,,,3aa211d9-4320-7487-d3f5-478bc34402e5,Q544839,,,,,,,16CD7A5D-F0A3-4D42-8014-D985304DB5D0,Q2864737,,,,,,,,,,,,,,,16FC1302-D632-4B28-8229-13A04C8CEDBA,Q9309699,,,,,,,,,,,,,,,,,be6aa3ec-4ed3-306a-41a7-f6b01374c234,Madonna and Child,,,,,,,,,,,,,,,e25065ea-4f5b-a380-16fd-bf8cf5b65e8b,759017485cd190e7d88754a219613547,1500-01-01T00:00:00Z,7,,,,,,,f733e86e-4044-486c-c22f-f6358c5a9d6c,15,,,,,,,6bca5a8a-4b4b-5e8d-430d-0bb39629cf8b,11.5,,,,,,,,,,,,,,,,,,,,,,,d4fff7ee-4282-c5d1-668f-e1b09e6adff7,Q19652,,,,,,,,,,,,,,,,,,,,,,
