inventory_number,string
#1978.058,Rinsho Suzuki
#1978.086,Kabocha Soyen
#1978.088,Kenroku Sensei Inoue
#1978.095,Masanobu Hasegawa
#1978.105a,Ichimosai Hōko
#1978.106,Ichimosai Hōko
#1978.119,Hirosuke Katsugawa
#1978.120,Harunobu Nishikawa
#1978.121,Dojin Kinsai
#1978.122,Saishuntei Matsutaka
#1978.130,Jirobei Ichida
#1978.134,Nishikawa
#1978.142,Hasegawa Mitsunobu
#1978.156,Chura Nakayoshi Morishima
#1978.159,Shukuei Itakura
#1979.0106,Lemoir
#1979.0107,Lemoir
#1979.0108,Lemoir
#1979.0109,Lemoir
#1979.0110,Lemoir
#1979.0111,Lemoir
#1979.0112,Lemoir
#1979.0119,J. Shaw
#1979.0129,C. Hallmandel
#1979.0145,S.D.
#1979.0159,Russell Richardson
#1979.0163,Ravagnant
#1979.0164,Ravagnant
#1979.0165,Ravagnant
#1979.0166,Ravagnant
#1979.0167,Ravagnant
#1979.0168,Ravagnant
#1979.0170,L. M. Birchall
#1979.0186P,F. Andrus
#1979.0196P,Bouslough
#1979.0198P,Bouslough
#1979.0200P,Henry Carey
#1979.0208P,R.H. Craig
#1979.0209P,Pat Cucaro
#1979.0218P,Tom Foster
#1979.0225P,E.N. Griffith
#1979.0227P,W.C. Hart
#1979.0231P,A. Itiani
#1979.0235P,Hector La Rouke
#1979.0238P,Charlotte Lentrein
#1979.0243P,Adro Miguel
#1979.0248P,S. Mozzolini
#1979.0250P,Paul Nabb
#1979.0256P,Zita Querida
#1979.0257P,Ann Bauer
#1979.0260P,Ripolles
#1979.0262P,Rosendahl
#1979.0270P,Kenneth K. Thompson
#1979.0271P,Kenneth K. Thompson
#1979.0273P,Karl Turmohlen
#1979.0274P,Arthur Turner
#1979.0275P,Arthur Turner
#1979.0279P,L. Walter
#1979.0281P,C. Volkman
#1979.0341P,Colin Connor
#1979.0343P,Docenud
#1979.0345P,K. Garicola
#1979.0408P,F. Drosd
#1979.0510P,Turnbull
#1979.0518P,Edward Michaels
#1979.0596P,T. Harrington Lyons
#1979.0625P,Virginia F. Bill
#1979.0627P,Dorothea Blum
#1979.0629P,R. Fatiquant
#1979.0630P,R. Fatiquant
#1979.0645P,H. Axelrod
#1979.0647P,Bob Hollingsworth
#1979.0660P,Louise Rosenthal
#1979.0680P,Adary
#1979.0687P,Fannie B. Blakeley
#1979.0689P,S. Boichard
#1979.0703P,Donovan
#1979.0716P,Haendil
#1979.0732P,Jan Janus
#1979.0737P,Lillian Lent
#1979.0739P,Lihacault
#1979.0742P,Mon Lurnson
#1979.0758P,W.T. Phillips
#1979.0759P,W.T. Phillips
#1979.0764P,H. Putnam
#1979.0765P,H. Putnam
#1979.0766P,George Ritteng
#1979.0770P,Carl Rothy
#1979.0786P,Frankenstein
#1979.0787P,Frankenstein
#1979.0788P,Frankenstein
#1979.0789P,Frankenstein
#1979.0790P,Frankenstein
#1979.0791P,Frankenstein
#1979.0792P,Frankenstein
#1979.0793P,Frankenstein
#1979.0794P,Frankenstein
#1979.0795P,Frankenstein
#1979.0808P,Carol Lawton Freeman
#1979.0811P,Ron Thompson
#1979.0836P,Christie Hawkins
#1979.0883P,Judy Kniseley
#1979.0895P,John Kings
#1979.0897P,Janice Parrish
#1979.0911P,Rembrandt Binet?
