name,accession,height,width,subdir
1956-001 copy.jpg,1956.001,1113,2048,1956
1956-001.jpg,1956.001,1113,2048,1956
1956.002.jpg,1956.002,2048,1504,1956
1956-003.jpg,1956.003,2048,1289,1956
1956.003.jpg,1956.003,746,472,1956
1956.004.jpg,1956.004,696,452,1956
1956.005.jpg,1956.005,448,267,1956
1956.006.jpg,1956.006,365,436,1956
1956.007.jpg,1956.007,2048,1558,1956
1956-007.jpg,1956.007,2048,1576,Straggler photos
1956.008.jpg,1956.008,461,295,1956
1956.009.jpg,1956.009,407,272,1956
1956.010.jpg,1956.010,737,479,1956
1956.011.jpg,1956.011,435,287,1956
1956.012-1956.015.med.jpg,1956.012,975,1200,1956
1956.012.jpg,1956.012,768,1019,1956
1956.012-1956.015.med.jpg,1956.013,975,1200,1956
1956.013.jpg,1956.013,810,1085,1956
1956.012-1956.015.med.jpg,1956.014,975,1200,1956
1956.014.jpg,1956.014,780,1055,1956
1956.012-1956.015.med.jpg,1956.015,975,1200,1956
1956.015.jpg,1956.015,780,1043,1956
1956.016.jpg,1956.016,1383,2048,1956
1956-016.jpg,1956.016,1419,2048,Straggler photos
1956.017.jpg,1956.017,327,484,1956
1956.018.jpg,1956.018,2048,1429,1956
1956-018.jpg,1956.018,2048,1478,Straggler photos
1956.019.jpg,1956.019,2048,1651,1956
1956-019.jpg,1956.019,2048,1658,Straggler photos
1956.020.jpg,1956.020,2048,1449,1956
1956-020.jpg,1956.020,2048,1439,Straggler photos
1956.021.jpg,1956.021,2048,1660,1956
1956-021.jpg,1956.021,2048,1611,Straggler photos
1956.022.jpg,1956.022,372,473,1956
1956.023.jpg,1956.023,382,477,1956
1956.024.jpg,1956.024,341,437,1956
1956.025.jpg,1956.025,1611,2048,1956
1956-026 copy.jpg,1956.026,1702,1188,1956
1956-026.jpg,1956.026,1702,1188,1956
1956.026.jpg,1956.026,928,646,1956
1956-027.jpg,1956.027,2048,1387,1956
1956.027.jpg,1956.027,412,280,1956
1956-028.jpg,1956.028,2048,1504,1956
1956.028.jpg,1956.028,428,312,1956
1956-029.jpg,1956.029,1124,861,1956
1956.029.jpg,1956.029,618,478,1956
1956.030.jpg,1956.030,393,380,1956
1956.031.jpg,1956.031,225,141,1956
1956-032.jpg,1956.032,2048,1406,1956
1956.032.jpg,1956.032,530,360,1956
1956-034.jpg,1956.034,2048,1485,1956
1956.034.jpg,1956.034,488,360,1956
1956-035.jpg,1956.035,1800,1256,1956
1956.035.jpg,1956.035,952,652,1956
1956-036.jpg,1956.036,2048,1452,1956
1956.036.jpg,1956.036,316,225,1956
1956-037.jpg,1956.037,1501,2048,1956
1956.037.jpg,1956.037,979,1404,1956
1956-038.jpg,1956.038,1590,2048,1956
1956.038.jpg,1956.038,1566,2048,1956
1956.039.jpg,1956.039,1287,1150,1956
1956.041.jpg,1956.041,345,477,1956
1956-042.jpg,1956.042,1635,2048,1956
1956.042.jpg,1956.042,1631,2048,1956
1956-043.jpg,1956.043,2048,1590,1956
1956.043.jpg,1956.043,358,278,1956
1956.044.jpg,1956.044,456,382,1956
1956.045.jpg,1956.045,334,498,1956
1956.046.jpg,1956.046,351,489,1956
1956.047.jpg,1956.047,388,312,1956
1956.048.jpg,1956.048,611,450,1956
1956-049.jpg,1956.049,2048,1404,1956
1956.049.jpg,1956.049,2048,1430,1956
1956.050.jpg,1956.050,1557,2048,1956
1956-051.jpg,1956.051,1256,870,1956
1956.051.jpg,1956.051,264,184,1956
1956.052.jpg,1956.052,277,442,1956
1956.053.jpg,1956.053,484,383,1956
1956-054.jpg,1956.054,1887,957,1956
1956.054.jpg,1956.054,375,208,1956
1956-056.jpg,1956.056,2048,1502,1956
1956.056.jpg,1956.056,471,354,1956
