artstor_url,accession,height,width,classification
https://library.artstor.org/#/asset/26758107,/ 1998.007,21.5,12.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26758193,/ 1999.027,40,16,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26758194,/ 1999.028,40,16,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26758219,/ 1999.052,23,22.75,Graphic Arts - Printmaking
https://library.artstor.org/#/asset/26758232,/ 1999.063c,19.5,13.75,Graphic Arts-Photography
https://library.artstor.org/#/asset/26758240,/ 1999.071,26.75,23.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26758268,/ 1999.097,19.5,13.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26758270,/ 1999.099,25.5,20.5,Graphic Arts
https://library.artstor.org/#/asset/26758272,/ 1999.101,25.5,20.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26758276,/ 1999.105,21.25,15.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26758298,/ 1999.127,31.5,27.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26758323,/ 1999.143,26.5,17.25,Graphic Arts-Photography
https://library.artstor.org/#/asset/26755164,/ 1979.0952P,14.25,10.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755361,/ 1979.1180P,29,21,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755378,/ 1979.1197P,42.5,28,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755448,/ 1980.021,10,8,Painting
https://library.artstor.org/#/asset/26755483,/ 1980.056,23,15.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755486,/ 1980.059,15.25,11.25,Artists' Books
https://library.artstor.org/#/asset/26755487,/ 1980.060a,15,11,Artists' Books
https://library.artstor.org/#/asset/26755488,/ 1980.060b,15,11,Artists' Books
https://library.artstor.org/#/asset/26755493,/ 1980.060g,15,11,Artists' Books
https://library.artstor.org/#/asset/26755494,/ 1980.060h,15,11,Artists' Books
https://library.artstor.org/#/asset/26755500,/ 1980.060n,15,11,Artists' Books
https://library.artstor.org/#/asset/26755503,/ 1980.060q,15,11,Artists' Books
https://library.artstor.org/#/asset/26755504,/ 1980.060r,15,11,Artists' Books
https://library.artstor.org/#/asset/26755505,/ 1980.061,15.25,12,Artists' Books
https://library.artstor.org/#/asset/26755506,/ 1980.062,15.75,11,Artists' Books
https://library.artstor.org/#/asset/26755600,/ 1981.024c,11,10,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755601,/ 1981.024d,11,10,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755602,/ 1981.024e,11,10,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755604,/ 1981.024g,11,10,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755606,/ 1981.024i,11,10,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755738,/ 1983.014,5.75,3.5,Graphic Arts-Drawing
https://library.artstor.org/#/asset/26755758,/ 1984.013,93,48,Painting
https://library.artstor.org/#/asset/26755802,/ 1985.007,24.5,18,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26755935,/ 1986.019,9,7.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756082,/ 1988.027,20.25,7.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756083,/ 1988.028,17.75,13,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756086,/ 1988.031,11.5,7.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756096,/ 1988.034,20.5,15.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756241,/ 1989.033,8.25,5.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756245,/ 1989.037a,11.75,9.25,Photography
https://library.artstor.org/#/asset/26756247,/ 1989.037c,11.75,9.25,Photography
https://library.artstor.org/#/asset/26756291,/ 1991.003,7,4.75,Artists' Books
https://library.artstor.org/#/asset/26756317,/ 1992.002,48.5,11.5,Scroll Paintings
https://library.artstor.org/#/asset/26756401,/ 1992.086,9.25,6.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756461,/ 1992.146,14.75,9.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756567,/ 1992.251,16.5,13.25,Graphic Arts-Drawing
https://library.artstor.org/#/asset/26756574,/ 1992.258,7.75,5.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756612,/ 1992.296,16.75,11.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756617,/ 1992.301,23.5,21,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756622,/ 1992.306,20.25,17.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756625,/ 1992.309,21.25,20.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756725,/ 1992.408,16.5,11.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756740,/ 1992.423,8.5,6.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26756751,/ 1992.434,12.75,9.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753422,/ 1957.003,18.75,10.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753423,/ 1957.004,9,7,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753424,/ 1957.005,12,10.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753427,/ 1957.009,12,9.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753432,/ 1957.016,17.75,11.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753447,/ 1957.031,12.5,7.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753449,/ 1957.033,10.5,8.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753455,/ 1957.041,11.75,8.75,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753458,/ 1957.044,12,10,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753461,/ 1964.001,12.75,9,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753462,/ 1964.002,10,7,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753463,/ 1964.003,11,8.5,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753475,/ 1964.015,8.5,3.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753477,/ 1964.017,8.5,3.25,Graphic Arts-Printmaking
https://library.artstor.org/#/asset/26753497,/ 1965.017,9.5,3.25,Graphic Arts-Printmaking
