qid,searched,matches,last_first,description,name1,name,creator_string
Q67394955,yes,yes,"Janezic, Alexandra and Runkle, Matt","1988-, 1977-, born Orange, TX; Spokane, WA",Alexandra Janezic,Matt Runkle,"[""Janezic, Alexandra and Runkle, Matt (1988-, 1977-, born Orange, TX; Spokane, WA)""]"
Q372225,yes,yes,Komar and Melamid,"Russian painters and performance artists, active from 1965",Komar,Alexander Melamid,"[""Komar and Melamid (Russian painters and performance artists, active from 1965)""]"
,yes,yes,"Kawamura, Bunpo",1779-1821,Bunpo Kawamura,Nangaku Watanabe,"[""Kawamura, Bunpo (1779-1821) and Watanabe, Nangaku (1767-1813)""]"
Q11172645,yes,yes,"Harrison, Helen Mayer and Harrison, Newton",,Helen Mayer Harrison,Newton Harrison,"[""Harrison, Helen Mayer and Harrison, Newton ""]"
Q153905,yes,yes,"Lewitt, Sol and Celan, Paul","1928-2007, 1920-1970",Sol Lewitt,Paul Celan,"[""Lewitt, Sol and Celan, Paul (1928-2007, 1920-1970)""]"
,yes,no,"Teeuwen, Tjue & Peter Foolen","1955-, 1955-, born Eindhoven, Netherlands",Tjue Teeuwen,Peter Foolen,"[""Teeuwen, Tjue & Peter Foolen (1955-, 1955-, born Eindhoven, Netherlands)""]"
,yes,no,"Brees, S. C. and Harden, S. Melville","1832-1837, 1837-1879",S. C. Brees,S. Melville Harden,"[""Brees, S. C. and Harden, S. Melville (1832-1837, 1837-1879 )""]"
,yes,yes,"Shaw, J. and Hughes, S.G.",,J. Shaw,S.G. Hughes,"[""Shaw, J. and Hughes, S.G.""]"
Q29219293,yes,yes,"Kalmbach, Ann and Kellner, Tatana","1950-, 1950-, born Rochester, NY; Prague, Czech Republic",Ann Kalmbach,Tatana Kellner,"[""Kalmbach, Ann and Kellner, Tatana (1950-, 1950-, born Rochester, NY; Prague, Czech Republic)""]"
Q272194,yes,yes,"Baskin, Leonard and Hughes, Ted","1922-2000, 1930-1998",Leonard Baskin,Ted Hughes,"[""Baskin, Leonard and Hughes, Ted (1922-2000, 1930-1998)""]"
Q188176,yes,yes,"Kowalski, Piotr and Burroughs, William",,Piotr Kowalski,William Burroughs,"[""Kowalski, Piotr and Burroughs, William""]"
