qid,searched,last_first,description,name,creator_string
,,"Anthony, Lawrence",1934-,Lawrence Anthony,"[""Anthony, Lawrence (1934-)""]"
,,"Antin, Eleanor","American performance artist, conceptual artist, and photographer, born 1935",Eleanor Antin,"[""Antin, Eleanor (American performance artist, conceptual artist, and photographer, born 1935)""]"
,,Antonio da Trento,"Italian painter and printmaker, ca. 1510-ca. 1550",Antonio da Trento,"[""Antonio da Trento (Italian painter and printmaker, ca. 1510-ca. 1550)""]"
,,"Anuszkiewicz, Richard Joseph","American painter, born 1930",Richard Joseph Anuszkiewicz,"[""Anuszkiewicz, Richard Joseph (American painter, born 1930)""]"
,,"Appel, Karel","Dutch painter and sculptor, 1921-2006, active in Amsterdam, Paris, and New York",Karel Appel,"[""Appel, Karel (Dutch painter and sculptor, 1921-2006, active in Amsterdam, Paris, and New York)"",""Appel, Karel (1921-2006)"", ""Appel, Karel (1921-2006, born Amsterdam, Netherlands)""]"
,,"Applebroog, Ida","American painter and sculptor, born 1929",Ida Applebroog,"[""Applebroog, Ida (American painter and sculptor, born 1929)""]"
,,"Aquila, Francesco Faraone","Italian printmaker and engraver, ca. 1676 - ca. 1740",Francesco Faraone Aquila,"[""Aquila, Francesco Faraone (Italian printmaker and engraver, ca. 1676 - ca. 1740)""]"
,,"Aramesco, Gigi","born Galatz, Romania",Gigi Aramesco,"[""Aramesco, Gigi (born Galatz, Romania)""]"
,,"Archipenko, Alexander","Ukrainian sculptor, 1887-1964, active in France and the United States",Alexander Archipenko,"[""Archipenko, Alexander (Ukrainian sculptor, 1887-1964, active in France and the United States)""]"
,,"Argimón Granell, Daniel","Spanish painter, born 1929",Daniel Argimón Granell,"[""Argimón Granell, Daniel (Spanish painter, born 1929)""]"
,,"Arikha, Avigdor","Israeli painter, printmaker, and art historian, 1929-2010, active in France",Avigdor Arikha,"[""Arikha, Avigdor (Israeli painter, printmaker, and art historian, 1929-2010, active in France)""]"
