qid,searched,last_first,description,name,creator_string
,,"Delitz, Leo","Austrian artist, 1882-1966",Leo Delitz,"[""Delitz, Leo (Austrian artist, 1882-1966)""]"
,,"Della Bella, Stefano","Italian engraver and draftsman, 1610-1664",Stefano Della Bella,"[""Della Bella, Stefano (Italian engraver and draftsman, 1610-1664)""]"
,,"DeMay, Susan",1952-,Susan DeMay,"[""DeMay, Susan"",""DeMay, Susan (1952-)""]"
,,"Denis, Maurice","French painter and author, 1870-1943",Maurice Denis,"[""Denis, Maurice (French painter and author, 1870-1943)""]"
,,"Dennis, W.",,W. Dennis,"[""Dennis, W.""]"
,,"Derain, André","French painter, printmaker, and sculptor, 1880-1954",André Derain,"[""Derain, André (French painter, printmaker, and sculptor, 1880-1954)""]"
,,"Despiau, Charles and Montherlant, Henri de","1874-1946, 1895-1972",Charles Despiau,"[""Despiau, Charles and Montherlant, Henri de (1874-1946, 1895-1972)""]"
,,"Deuchar, David","Scottish engraver, 1743-1808",David Deuchar,"[""Deuchar, David (Scottish engraver, 1743-1808)""]"
,,"Devereux, Richard","1956-, born Lincolnshire, England",Richard Devereux,"[""Devereux, Richard (1956-, born Lincolnshire, England)""]"
,,"Di Suvero, Mark","American sculptor, born 1933",Mark Di Suvero,"[""Di Suvero, Mark (American sculptor, born 1933)""]"
,,"Diebenkorn, Richard","American painter, 1922-1993",Richard Diebenkorn,"[""Diebenkorn, Richard (American painter, 1922-1993)""]"
,,"Dill, Lesley","American sculptor, born 1950",Lesley Dill,"[""Dill, Lesley (American sculptor, born 1950)""]"
,,"Dine, Jim","American painter, sculptor, and printmaker, born 1935",Jim Dine,"[""Dine, Jim (American painter, sculptor, and printmaker, born 1935)"",""Dine, Jim and O'Hara, Frank""]"
,,Docenud,,Docenud,"[""Docenud""]"
,,Donovan,,Donovan,"[""Donovan""]"
,,"Dooley, Tim and Wilson, Aaron","1967-, 1972-, born Miami, FL; Xenia, OH",Tim Dooley,"[""Dooley, Tim and Wilson, Aaron  (1967-, 1972-, born Miami, FL; Xenia, OH)"",""Dooley, Tim and Wilson, Aaron (1967-, 1972-, born Miami, FL; Xenia, OH)""]"
,,"Dore, Gustave and Turner, C.Y.",,Gustave Dore,"[""Dore, Gustave and Turner, C.Y.""]"
,,"Downing, Joe","American painter, born 1925",Joe Downing,"[""Downing, Joe (American painter, born 1925)""]"
,,"Drevet, Pierre","French engraver, 1663-1738",Pierre Drevet,"[""Drevet, Pierre (French engraver, 1663-1738)"",""Drevet, Pierre (1663-1738) and de Iode, Arnoldus (1638-1667)""]"
,,"Driskell, David Clyde","American painter, born 1931",David Clyde Driskell,"[""Driskell, David Clyde (American painter, born 1931)""]"
,,"Drosd, F.",,F. Drosd,"[""Drosd, F.""]"
,,"Drury, Chris","British installation and assemblage artist, born 1948 in Sri Lanka",Chris Drury,"[""Drury, Chris (British installation and assemblage artist, born 1948 in Sri Lanka)""]"
,,"Dubuffet, Jean","French painter, sculptor, printmaker, 1901-1985",Jean Dubuffet,"[""Dubuffet, Jean (French painter, sculptor, printmaker, 1901-1985)""]"
,,"Duclos, Antoine-Jean","French engraver and etcher, 1742-1795",Antoine-Jean Duclos,"[""Duclos, Antoine-Jean (French engraver and etcher, 1742-1795)""]"
,,"Dufour, Bernard","French painter, born 1922",Bernard Dufour,"[""Dufour, Bernard (French painter, born 1922)""]"
,,"Dujardin, Karel","Dutch painter and printmaker, 1626-1678",Karel Dujardin,"[""Dujardin, Karel (Dutch painter and printmaker, 1626-1678)""]"
,,"Dulac, Charles Marie","French painter and lithographer, 1865-1898",Charles Marie Dulac,"[""Dulac, Charles Marie (French painter and lithographer, 1865-1898)""]"
,,"Dunn, Harvey T.","American illustrator, 1884-1952",Harvey T. Dunn,"[""Dunn, Harvey T. (American illustrator, 1884-1952)""]"
,,"Dunson, Samuel L. Jr.","1970-, born Dayton, OH","Samuel L. Dunson, Jr.","[""Dunson, Samuel L. Jr. (1970-, born Dayton, OH)""]"
,,"Dupré, Jules","French painter and printmaker, 1811-1889",Jules Dupré,"[""Dupré, Jules (French painter and printmaker, 1811-1889)""]"
,,"Durant, Sam","American sculptor, installation artist, and draftsman, born 1961",Sam Durant,"[""Durant, Sam (American sculptor, installation artist, and draftsman, born 1961)""]"
,,"Dürer, Albrecht",1471-1528,Albrecht Dürer,"[""Dürer, Albrecht (1471-1528)"",""Dürer, Albrecht (German printmaker and painter, 1471-1528)""]"
,,"Duret, A.",,A. Duret,"[""Duret, A.""]"
,,"Dusart, Cornelis","Dutch painter and printmaker, 1660-1704",Cornelis Dusart,"[""Dusart, Cornelis (Dutch painter and printmaker, 1660-1704)""]"
,,"Dwight, Mabel","American printmaker, 1876-1955",Mabel Dwight,"[""Dwight, Mabel (American printmaker, 1876-1955)""]"
,,"Dwurnik, Edward","Polish painter, draftsman, and sculptor, born 1943",Edward Dwurnik,"[""Dwurnik, Edward (Polish painter, draftsman, and sculptor, born 1943)""]"
,,"Dzubas, Wilhelm",1877-1947,Wilhelm Dzubas,"[""Dzubas, Wilhelm (1877-1947)""]"
,,"Earl, Ralph Eleaser Whiteside","American painter, born 1785-1788, died 1838",Ralph Eleaser Whiteside Earl,"[""Earl, Ralph Eleaser Whiteside (American painter, born 1785-1788, died 1838)""]"
,,"Earlom, Richard","English printmaker, 1743-1822",Richard Earlom,"[""Earlom, Richard (English printmaker, 1743-1822)""]"
,,"Eckstein, Ruth","1916-2011, born Nuremberg, Germany, died Newton, MA",Ruth Eckstein,"[""Eckstein, Ruth (1916-2011, born Nuremberg, Germany, died Newton, MA)""]"
,,"Egan, Matt, Muise, Heather","1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada",Matt Egan,"[""Egan, Matt, Muise, Heather (1973-, 1971-, born Newmarket, Ontario, Canada; Windsor, Ontario, Canada)""]"
,,"Ehrlich, Georg","British sculptor, painter, and illustrator, 1897-1966",Georg Ehrlich,"[""Ehrlich, Georg (British sculptor, painter, and illustrator, 1897-1966)""]"
,,"Eichenberg, Fritz","American illustrator, printmaker, and engraver, 1901-1990",Fritz Eichenberg,"[""Eichenberg, Fritz (American illustrator, printmaker, and engraver, 1901-1990)"",""Eichenberg, Fritz (1901-1990, born Cologne, Germany, died Peace Dale, RI)""]"
,,"Eilshemius, Louis Michel","American painter and illustrator, 1864-1941",Louis Michel Eilshemius,"[""Eilshemius, Louis Michel (American painter and illustrator, 1864-1941)""]"
,,"Ellis, Frank E.",,Frank E. Ellis,"[""Ellis, Frank E.""]"
,,"Ellsworth, Young","American painter, 1866-1952",Young Ellsworth,"[""Ellsworth, Young (American painter, 1866-1952)""]"
,,"Elrod, Joel","1967-, born Omaha, NE",Joel Elrod,"[""Elrod, Joel (1967-, born Omaha, NE)""]"
,,"Erlanger, Elizabeth N.","American painter, 1901-1975",Elizabeth N. Erlanger,"[""Erlanger, Elizabeth N. (American painter, 1901-1975)""]"
,,Ernst,,Ernst,"[""Ernst""]"
,,"Esman, Betty",,Betty Esman,"[""Esman, Betty""]"
,,"Estellido, Comp",,Comp Estellido,"[""Estellido, Comp""]"
,,"Everdingen, Allart van","Dutch landscapist and marine painter, 1621-1675",Allart van Everdingen,"[""Everdingen, Allart van (Dutch landscapist and marine painter, 1621-1675)""]"
,,"Evertz, Gabriele",,Gabriele Evertz,"[""Evertz, Gabriele"",""Evertz, Gabriele (1945-, born Berlin, Germany)""]"
,,"Evrard, Andre","1936-, born La Chaux-de-fonds, Switzerland",Andre Evrard,"[""Evrard, Andre (1936-, born La Chaux-de-fonds, Switzerland)""]"
,,"Faber, Will","German painter, stained glass artist, 1901-1987",Will Faber,"[""Faber, Will (German painter, stained glass artist, 1901-1987)""]"
,,"Faithorne, William, the elder","English engraver and author, ca. 1616-1691",William Faithorne the elder,"[""Faithorne, William, the elder (English engraver and author, ca. 1616-1691)""]"
,,"Faldoni, Gianantonio","Italian engraver, 1690-1770",Gianantonio Faldoni,"[""Faldoni, Gianantonio (Italian engraver, 1690-1770)""]"
,,"Falls, Charles Buckles","American illustrator and graphic artist, 1874-1959",Charles Buckles Falls,"[""Falls, Charles Buckles (American illustrator and graphic artist, 1874-1959)"",""Falls, Charles Buckles (American illustrator, graphic artist, and commercial artist, 1874-1959)""]"
,,"Fandos, Manuel",,Manuel Fandos,"[""Fandos, Manuel""]"
,,"Fantin-Latour, Henri","French painter and printmaker, 1836-1904",Henri Fantin-Latour,"[""Fantin-Latour, Henri (French painter and printmaker, 1836-1904)""]"
,,"Farrer, Henry","American painter, 1843-1903",Henry Farrer,"[""Farrer, Henry (American painter, 1843-1903)""]"
,,"Fatiquant, R.",,R. Fatiquant,"[""Fatiquant, R.""]"
,,"Faucci, Carlo","Italian printmaker, 1729-ca.1784",Carlo Faucci,"[""Faucci, Carlo (Italian printmaker, 1729-ca.1784)""]"
,,"Fauteux, André Lucien","Canadian sculptor, born 1946",André Lucien Fauteux,"[""Fauteux, André Lucien (Canadian sculptor, born 1946)""]"
,,"Fazzini, Pericle","Italian painter and sculptor, 1913-1987",Pericle Fazzini,"[""Fazzini, Pericle (Italian painter and sculptor, 1913-1987)""]"
,,"Feininger, Lyonel","German painter, illustrator, and teacher, 1871-1956, active in Germany and America",Lyonel Feininger,"[""Feininger, Lyonel (German painter, illustrator, and teacher, 1871-1956, active in Germany and America)""]"
,,"Felixmüller, Conrad","German painter and printmaker, 1897-1977",Conrad Felixmüller,"[""Felixmüller, Conrad (German painter and printmaker, 1897-1977)""]"
,,"Feoli, Vincenzo","Italian copper engraver and draftsman, ca. 1760-1827",Vincenzo Feoli,"[""Feoli, Vincenzo (Italian copper engraver and draftsman, ca. 1760-1827)""]"
,,"Ferrato, Donna","American photographer, born 1949",Donna Ferrato,"[""Ferrato, Donna (American photographer, born 1949)""]"
,,"Ferris, Stephen James","American painter and engraver, 1835-after 1881",Stephen James Ferris,"[""Ferris, Stephen James (American painter and engraver, 1835-after 1881)""]"
,,"Feyen-Perrin, Auguste","French painter, 1826-1888",Auguste Feyen-Perrin,"[""Feyen-Perrin, Auguste (French painter, 1826-1888)""]"
,,"Fine, Jud","American sculptor, born 1944",Jud Fine,"[""Fine, Jud (American sculptor, born 1944)""]"
,,"Fini, Leonor","French painter and scenographer, 1908-1996",Leonor Fini,"[""Fini, Leonor (French painter and scenographer, 1908-1996)""]"
,,"Fink, Herbert L.",1921-2006,Herbert L. Fink,"[""Fink, Herbert L. (1921-2006)""]"
,,"Finlay, Ian Hamilton","Scottish sculptor, graphic artist, and poet, 1925-2006",Ian Hamilton Finlay,"[""Finlay, Ian Hamilton (Scottish sculptor, graphic artist, and poet, 1925-2006)"",""Finlay, Ian Hamilton and Boulton, Janet (1925-2006, 1936-)"",""Finlay, Ian Hamilton and Wieg, Cornelia (1925-2006, 1935-, born Nassau, Bahamas)""]"
,,"Finley, Karen","American painter, installation artist, and performance artist, born 1956",Karen Finley,"[""Finley, Karen (American painter, installation artist, and performance artist, born 1956)""]"
,,"Fischl, Eric","American painter and sculptor, born 1948",Eric Fischl,"[""Fischl, Eric (American painter and sculptor, born 1948)""]"
,,"Fisher, E.",,E. Fisher,"[""Fisher, E.""]"
,,"Fittler, James","English etcher and engraver, 1758-1835",James Fittler,"[""Fittler, James (English etcher and engraver, 1758-1835)""]"
,,"Flagg, James Montgomery","American illustrator, painter, and author, 1877-1960",James Montgomery Flagg,"[""Flagg, James Montgomery (American illustrator, painter, and author, 1877-1960)"",""Flagg, James Montgomery (1877-1960)""]"
,,"Flameng, Léopold","French painter and engraver, 1831-1911",Léopold Flameng,"[""Flameng, Léopold (French painter and engraver, 1831-1911)""]"
,,Flasho,,Flasho,"[""Flasho""]"
,,"Flaxman, John","English sculptor, draftsman, and designer, 1755-1826",John Flaxman,"[""Flaxman, John (English sculptor, draftsman, and designer, 1755-1826)""]"
,,"Florez, Garzon",,Garzon Florez,"[""Florez, Garzon""]"
,,"Floris, Marcel",1914-2007,Marcel Floris,"[""Floris, Marcel (1914-2007)""]"
,,"Fontebasso, Francesco","Italian painter and printmaker, 1707-1769",Francesco Fontebasso,"[""Fontebasso, Francesco (Italian painter and printmaker, 1707-1769)""]"
,,"Forain, Jean Louis","French painter, lithographer, and caricaturist, 1852-1931",Jean Louis Forain,"[""Forain, Jean Louis (French painter, lithographer, and caricaturist, 1852-1931)""]"
,,"Forbes, Charles Stuart","American painter, 1860-1926",Charles Stuart Forbes,"[""Forbes, Charles Stuart (American painter, 1860-1926)""]"
,,"Fortini, Giovacchino","Italian sculptor, architect, and medalist, 1670-1736",Giovacchino Fortini,"[""Fortini, Giovacchino (Italian sculptor, architect, and medalist, 1670-1736)""]"
,,"Foster, Tom",,Tom Foster,"[""Foster, Tom""]"
,,"Foujita, Tsugouharu","French painter, printmaker born in Japan, 1886-1968",Tsugouharu Foujita,"[""Foujita, Tsugouharu (French painter, printmaker born in Japan, 1886-1968)""]"
,,"Fox, Terry","American video artist and sculptor, born 1943",Terry Fox,"[""Fox, Terry (American video artist and sculptor, born 1943)""]"
,,"Foxcroft, Lesley","British sculptor, born 1949",Lesley Foxcroft,"[""Foxcroft, Lesley (British sculptor, born 1949)""]"
,,Frankenstein,,Frankenstein,"[""Frankenstein""]"
,,Franz Hansftangl,1804-1877,Franz Hansftangl,"[""Franz Hansftangl (1804-1877)""]"
,,"Frasconi, Antonio","Uruguayan printmaker, 1919-2013, active in the United States",Antonio Frasconi,"[""Frasconi, Antonio (Uruguayan printmaker, 1919-2013, active in the United States)""]"
,,"Fraser, John","1952-, born Chicago, IL",John Fraser,"[""Fraser, John (1952-, born Chicago, IL)""]"
,,"Frederick, Michael","1966-, born Chabanse, IL",Michael Frederick,"[""Frederick, Michael (1966-, born Chabanse, IL)"",""Frederick, Michael, (1966-, born Chabanse, IL)"",""Frederick, Michael, for Hatch Show Print (1966-, born Chabanse, IL)"",""Frederick, Mike""]"
,,"Freeman, Carol Lawton",,Carol Lawton Freeman,"[""Freeman, Carol Lawton""]"
,,"Frelinghuysen, Suzy","1911-1988, born Newark, NJ, died Lenox, MA",Suzy Frelinghuysen,"[""Frelinghuysen, Suzy (1911-1988, born Newark, NJ, died Lenox, MA)""]"
,,"Frey, Johann Jakob, I","Swiss draftsmann and printmaker, 1681-1752",Johann Jakob Frey I,"[""Frey, Johann Jakob, I (Swiss draftsmann and printmaker, 1681-1752)""]"
,,"Friedlaender, Hedwig",1810-1861,Hedwig Friedlaender,"[""Friedlaender, Hedwig (1810-1861)"",""Friedlaender, Hedwig""]"
,,"Fries, Katherine J.",", born Lincoln, NE",Katherine J. Fries,"[""Fries, Katherine J. (, born Lincoln, NE)""]"
,,"Friesicke, Sabine","1960-, born Hamburg, Germany",Sabine Friesicke,"[""Friesicke, Sabine (1960-, born Hamburg, Germany)""]"
,,"Frink, Dame Elisabeth","English sculptor and printmaker, 1930-1993",Dame Elisabeth Frink,"[""Frink, Dame Elisabeth (English sculptor and printmaker, 1930-1993)""]"
,,"Fuller, R. Buckminster","American architect and inventor, 1895-1983",R. Buckminster Fuller,"[""Fuller, R. Buckminster (American architect and inventor, 1895-1983)""]"
,,"Fuller, Sue","American painter, printmaker, and sculptor, born 1914",Sue Fuller,"[""Fuller, Sue (American painter, printmaker, and sculptor, born 1914)""]"
,,"Fulton, Hamish","English photographer and conceptual artist, born 1946",Hamish Fulton,"[""Fulton, Hamish (English photographer and conceptual artist, born 1946)""]"
,,"Fuseli, Henry","Swiss painter, 1741-1825, active in England",Henry Fuseli,"[""Fuseli, Henry (Swiss painter, 1741-1825, active in England)""]"
,,"Gabino, Amadeo","Spanish sculptor, born 1922",Amadeo Gabino,"[""Gabino, Amadeo (Spanish sculptor, born 1922)""]"
,,"Gall, Sally","American photographer, born 1956",Sally Gall,"[""Gall, Sally (American photographer, born 1956)""]"
,,"Gallagher, Sears","American painter, illustrator, and graphic artist, 1869-1955",Sears Gallagher,"[""Gallagher, Sears (American painter, illustrator, and graphic artist, 1869-1955)""]"
,,"Galle, Philip","Flemish draftsman, engraver, and publisher, 1537-1612",Philip Galle,"[""Galle, Philip (Flemish draftsman, engraver, and publisher, 1537-1612)""]"
,,"Galli, Giuseppe","Italian artist, 19th century",Giuseppe Galli,"[""Galli, Giuseppe (Italian artist, 19th century)""]"
,,"Gandolfi, Mauro","Italian painter and printmaker, 1764-1834",Mauro Gandolfi,"[""Gandolfi, Mauro (Italian painter and printmaker, 1764-1834)""]"
,,"Ganso, Emil","American painter and printmaker, 1895-1941",Emil Ganso,"[""Ganso, Emil (American painter and printmaker, 1895-1941)""]"
,,"García Uriburu, Nicolás","Argentine painter, architect, and installation artist, born 1937",Nicolás García Uriburu,"[""García Uriburu, Nicolás (Argentine painter, architect, and installation artist, born 1937)""]"
,,"Garicola, K.",,K. Garicola,"[""Garicola, K.""]"
,,"Garman, Michael",1938-,Michael Garman,"[""Garman, Michael (1938-)""]"
,,"Garret, Alvin",1946-,Alvin Garret,"[""Garret, Alvin (1946-)""]"
,,"Gastlund, Knud & Sert, Jose Luis",,Knud Gastlund,"[""Gastlund, Knud & Sert, Jose Luis""]"
,,"Gaudez-Chennevierre, Cecile Delphine","French artist, born 1851",Cecile Delphine Gaudez-Chennevierre,"[""Gaudez-Chennevierre, Cecile Delphine (French artist, born 1851)""]"
,,"Gaudez, Adrien Etienne","French sculptor, 1845-1902",Adrien Etienne Gaudez,"[""Gaudez, Adrien Etienne (French sculptor, 1845-1902)""]"
,,"Gaudier-Brzeska, Henri","French sculptor and draftsman, 1891-1915",Henri Gaudier-Brzeska,"[""Gaudier-Brzeska, Henri (French sculptor and draftsman, 1891-1915)""]"
,,"Gaujean, Eugène","French printmaker and illustrator, 1850-1900",Eugène Gaujean,"[""Gaujean, Eugène (French printmaker and illustrator, 1850-1900)""]"
,,"Gaul, Gilbert","American painter, 1855-1919",Gilbert Gaul,"[""Gaul, Gilbert (American painter, 1855-1919)""]"
,,"Gavarni, Paul","French printmaker, illustrator, and painter, 1804-1866",Paul Gavarni,"[""Gavarni, Paul (French printmaker, illustrator, and painter, 1804-1866)""]"
,,"Genovés, Juan","Spanish painter, born 1930",Juan Genovés,"[""Genovés, Juan (Spanish painter, born 1930)""]"
,,"Genter, Karen",,Karen Genter,"[""Genter, Karen""]"
,,Georgii-Hemming,,Georgii-Hemming,"[""Georgii-Hemming""]"
,,"Gerardia, Helen","Russian-American painter, born 1913",Helen Gerardia,"[""Gerardia, Helen (Russian-American painter, born 1913)""]"
,,Gerasch,,Gerasch,"[""Gerasch""]"
,,Gericault,after,Gericault,"[""Gericault (after)""]"
,,"Get-Stankiewicz, Eugeniusz","1942-2011, born Oszmianie, died Wroclawiu",Eugeniusz Get-Stankiewicz,"[""Get-Stankiewicz, Eugeniusz (1942-2011, born Oszmianie, died Wroclawiu)""]"
,,"Gheyn, Jacques de, II","Dutch draftsman, painter, and engraver, 1565-1629",Jacques de Gheyn II,"[""Gheyn, Jacques de, II (Dutch draftsman, painter, and engraver, 1565-1629)""]"
,,"Giacalone, Vito","1923-2012, born Detroit, MI, died Clinton, MI",Vito Giacalone,"[""Giacalone, Vito (1923-2012, born Detroit, MI, died Clinton, MI)""]"
,,"Giacometti, Alberto","Swiss painter, sculptor, and printmaker, 1901-1966",Alberto Giacometti,"[""Giacometti, Alberto (Swiss painter, sculptor, and printmaker, 1901-1966)""]"
,,"Giampiccoli, Marco Sebastiano","Italian printmaker, 1737-1809",Marco Sebastiano Giampiccoli,"[""Giampiccoli, Marco Sebastiano (Italian printmaker, 1737-1809)""]"
,,"Gibian, Mark",1954-,Mark Gibian,"[""Gibian, Mark (1954-)""]"
,,"Gibson, Anita",", born Lima, Peru",Anita Gibson,"[""Gibson, Anita (, born Lima, Peru)"",""Gibson, Anita"",""Gibson, Anita  (born Lima, Peru)""]"
,,"Gibson, Charles Dana","American illustrator and painter, 1867-1944",Charles Dana Gibson,"[""Gibson, Charles Dana (American illustrator and painter, 1867-1944)""]"
,,"Gibson, James",,James Gibson,"[""Gibson, James""]"
,,"Gibson, Ralph","American photographer, publisher and actor, born 1939",Ralph Gibson,"[""Gibson, Ralph (American photographer, born 1939)"",""Gibson, Ralph (American photographer, publisher and actor, born 1939)"",""Gibson, Ralph (1939-, born Los Angeles, CA)""]"
,,"Gibson, Sybil","American painter and naive artist, 1908-1995",Sybil Gibson,"[""Gibson, Sybil (American painter and naive artist, 1908-1995)""]"
,,"Gilbert, Cass","American architect, 1859-1934",Cass Gilbert,"[""Gilbert, Cass (American architect, 1859-1934)""]"
,,"Gilbert, Helen",1938-2001,Helen Gilbert,"[""Gilbert, Helen (1938-2001)""]"
,,"Gilbert, Helen","1922-2002, born Mare Island, CA, died Honolulu, HI",Helen Gilbert,"[""Gilbert, Helen (1922-2002, born Mare Island, CA, died Honolulu, HI)""]"
,,"Gill, Casey","1981-, born Monterey, CA",Casey Gill,"[""Gill, Casey (1981-, born Monterey, CA)"",""Gill, Casey (1981, born Monterey, CA)""]"
,,"Gill, Eric","British sculptor, typographer, and author, 1882-1940",Eric Gill,"[""Gill, Eric (British sculptor, typographer, and author, 1882-1940)""]"
,,"Gill, Jenny","1979-, born Monterey, CA",Jenny Gill,"[""Gill, Jenny (1979-, born Monterey, CA)"",""Gill, Jenny (1979, born Monterey, CA)""]"
,,"Gillemans, Jan Pauwel, II","Flemish painter, baptised 1651, died before 1704",Jan Pauwel Gillemans II,"[""Gillemans, Jan Pauwel, II (Flemish painter, baptised 1651, died before 1704)""]"
,,"Gilliam, Sam","American painter, born 1933",Sam Gilliam,"[""Gilliam, Sam (American painter, born 1933)""]"
,,"Gillot, Claude","French draftsman, painter, and engraver, 1673-1722",Claude Gillot,"[""Gillot, Claude (French draftsman, painter, and engraver, 1673-1722)""]"
,,"Giovannini, Giacomo Maria","Italian painter and engraver, 1667-1717",Giacomo Maria Giovannini,"[""Giovannini, Giacomo Maria (Italian painter and engraver, 1667-1717)""]"
,,"Giovenone, Gerolamo","Italian painter, born 1486 or 1487, died 1555",Gerolamo Giovenone,"[""Giovenone, Gerolamo (Italian painter, born 1486 or 1487, died 1555)""]"
,,"Giralt-Miracle, Daniel & Stachelhaus, Heiner",,Daniel Giralt-Miracle,"[""Giralt-Miracle, Daniel & Stachelhaus, Heiner""]"
,,Giulio Romano,"Italian painter and architect, probably 1499-1546",Giulio Romano,"[""Giulio Romano (Italian painter and architect, probably 1499-1546)""]"
,,"Glück, Heidi","American painter, born 1944",Heidi Glück,"[""Glück, Heidi (American painter, born 1944)""]"
,,"Gmelin, Wilhelm Friedrich","German engraver, 1760-1820",Wilhelm Friedrich Gmelin,"[""Gmelin, Wilhelm Friedrich (German engraver, 1760-1820)""]"
,,"Goetz, Henri Bernard","French painter, born 1909",Henri Bernard Goetz,"[""Goetz, Henri Bernard (French painter, born 1909)""]"
,,"Gold, Hel",,Hel Gold,"[""Gold, Hel""]"
,,"Goldsleger, Cheryl","American painter, born 1951",Cheryl Goldsleger,"[""Goldsleger, Cheryl (American painter, born 1951)""]"
,,"Goltzius, Hendrick","Dutch painter and printmaker, 1558-1617",Hendrick Goltzius,"[""Goltzius, Hendrick (Dutch painter and printmaker, 1558-1617)""]"
,,"Goltzius, Hubertus","Flemish humanist, painter and numismatist, 1526-1583",Hubertus Goltzius,"[""Goltzius, Hubertus (Flemish humanist, painter and numismatist, 1526-1583)""]"
,,"Gomis, Joaquim","Spanish photographer, 1902-1991",Joaquim Gomis,"[""Gomis, Joaquim (Spanish photographer, 1902-1991)"",""Gomis, Joaquim (1902-1991, born Barcelona, Spain)""]"
,,"Gonzáles, Teo","1964-, born Quinto, Spain",Teo Gonzáles,"[""Gonzáles, Teo (1964-, born Quinto, Spain)""]"
,,"González, Julio","Spanish sculptor, draftsman, and metalworker, 1876-1942",Julio González,"[""González, Julio (Spanish sculptor, draftsman, and metalworker, 1876-1942)""]"
,,"Goodyear, J.",,J. Goodyear,"[""Goodyear, J.""]"
,,"Goodyear, John L.","American painter and sculptor, born 1930",John L. Goodyear,"[""Goodyear, John L. (American painter and sculptor, born 1930 )""]"
,,"Gordin, Sidney","American sculptor, painter, and printmaker, 1918-1996",Sidney Gordin,"[""Gordin, Sidney (American sculptor, painter, and printmaker, 1918-1996)""]"
,,"Gordon, Douglas","1966-, born Glasgow, Scotland",Douglas Gordon,"[""Gordon, Douglas (1966-, born Glasgow, Scotland)""]"
,,"Gordy, Robert","American painter, 1933-1986",Robert Gordy,"[""Gordy, Robert (American painter, 1933-1986)""]"
,,"Gorella, Arwed D.","German painter, born 1937",Arwed D. Gorella,"[""Gorella, Arwed D. (German painter, born 1937)""]"
,,"Gornik, April","American painter, born 1953",April Gornik,"[""Gornik, April (American painter, born 1953)""]"
,,"Gosnell, Patrick","1989-, born Atlanta, GA",Patrick Gosnell,"[""Gosnell, Patrick (1989-, born Atlanta, GA)""]"
,,"Gottlieb, Adolph","1903-1974, American painter, born New York, NY, died New York, NY",Adolph Gottlieb,"[""Gottlieb, Adolph (1903-1974, born New York, NY, died New York, NY)"",""Gottlieb, Adolph (American painter, 1903-1974)""]"
,,"Gould, John","British painter, ornithologist, 1804-1881",John Gould,"[""Gould, John (British painter, ornithologist, 1804-1881)""]"
,,"Goupil, Jules Adolphe","French painter, 1839-1883",Jules Adolphe Goupil,"[""Goupil, Jules Adolphe (French painter, 1839-1883)""]"
,,"Goupy, Joseph","English painter, printmaker, and collector, 1686-before 1770",Joseph Goupy,"[""Goupy, Joseph (English painter, printmaker, and collector, 1686-before 1770)""]"
,,"Goya, Francisco de","Spanish painter, printmaker, and draftsman, 1746-1828",Francisco de Goya,"[""Goya, Francisco de (Spanish painter, printmaker, and draftsman, 1746-1828)""]"
,,"Grant, Clement Rollins","American etcher and painter, 1849-1893",Clement Rollins Grant,"[""Grant, Clement Rollins (American etcher and painter, 1849-1893)""]"
,,"Grant, Gordon","American illustrator, 1875-1962",Gordon Grant,"[""Grant, Gordon (American illustrator, 1875-1962)""]"
,,"Granville, J. J.","French illustrator and caricaturist, 1803-1847",J. J. Granville,"[""Granville, J. J. (French illustrator and caricaturist, 1803-1847)""]"
,,"Grassi, Vittorio","Italian artist, 1878-1958",Vittorio Grassi,"[""Grassi, Vittorio (Italian artist, 1878-1958)""]"
,,"Green, Valentine","English engraver and draftsman, 1739-1813",Valentine Green,"[""Green, Valentine (English engraver and draftsman, 1739-1813)""]"
,,"Gregg, Gail","1951-, born Topeka, KS",Gail Gregg,"[""Gregg, Gail (1951-, born Topeka, KS)""]"
,,Gremillier,,Gremillier,"[""Gremillier""]"
,,"Greuze, Jean-Baptiste","French painter and draftsman, 1725-1805",Jean-Baptiste Greuze,"[""Greuze, Jean-Baptiste (French painter and draftsman, 1725-1805)""]"
,,"Griffith, E.N.",,E.N. Griffith,"[""Griffith, E.N.""]"
,,"Grips, Carel Jozeph",Dutch painter 1825-1920,Carel Jozeph Grips,"[""Grips, Carel Jozeph (Dutch painter 1825-1920)""]"
,,"Gromaire, Marcel","1892-1971, born Noyelles-sur-Sambre, France, died Paris, France",Marcel Gromaire,"[""Gromaire, Marcel (1892-1971, born Noyelles-sur-Sambre, France, died Paris, France)""]"
,,"Grooms, Red","American painter and sculptor, born 1937",Red Grooms,"[""Grooms, Red (American painter and sculptor, born 1937)""]"
,,"Gross, Chaim","American sculptor, painter, and printmaker, 1904-1991",Chaim Gross,"[""Gross, Chaim (American sculptor, painter, and printmaker, 1904-1991)""]"
,,"Gross, James","American painter, active 20th century",James Gross,"[""Gross, James (American painter, active 20th century)""]"
,,"Grosz, Georg","German draftsman, active ca. 1727",Georg Grosz,"[""Grosz, Georg (German draftsman, active ca. 1727)""]"
,,"Grosz, George","German painter and printmaker, 1893-1959",George Grosz,"[""Grosz, George (German painter and printmaker, 1893-1959)""]"
