work_qid,ssid,work_accession_number,artist_qid,artist_name
Q103304587,https://library.artstor.org/#/asset/26758946,2003.047,Q379956,Henri de Montherlant
Q105091734,https://library.artstor.org/#/asset/26753962,1975.038,,Henry Beckwith
Q102974279,https://library.artstor.org/#/asset/26758601,2000.120,Q170509,Henry James
Q102974286,https://library.artstor.org/#/asset/26758602,2000.120a,Q170509,Henry James
Q102974293,https://library.artstor.org/#/asset/26758603,2000.120b,Q170509,Henry James
Q102974302,https://library.artstor.org/#/asset/26758604,2000.120c,Q170509,Henry James
Q102974311,https://library.artstor.org/#/asset/26758605,2000.120d,Q170509,Henry James
Q102974323,https://library.artstor.org/#/asset/26758606,2000.120e,Q170509,Henry James
Q102974331,https://library.artstor.org/#/asset/26758607,2000.120f,Q170509,Henry James
Q102974343,https://library.artstor.org/#/asset/26758608,2000.120g,Q170509,Henry James
Q102974352,https://library.artstor.org/#/asset/26758609,2000.120h,Q170509,Henry James
Q102974359,https://library.artstor.org/#/asset/26758610,2000.120i,Q170509,Henry James
Q102974367,https://library.artstor.org/#/asset/26758611,2000.120j,Q170509,Henry James
Q102974374,https://library.artstor.org/#/asset/26758612,2000.120k,Q170509,Henry James
Q102974379,https://library.artstor.org/#/asset/26758613,2000.120l,Q170509,Henry James
Q102974385,https://library.artstor.org/#/asset/26758614,2000.120m,Q170509,Henry James
Q102974391,https://library.artstor.org/#/asset/26758615,2000.120n,Q170509,Henry James
Q102974398,https://library.artstor.org/#/asset/26758616,2000.120o,Q170509,Henry James
Q102974404,https://library.artstor.org/#/asset/26758617,2000.120q,Q170509,Henry James
Q102974412,https://library.artstor.org/#/asset/26758618,2000.120r,Q170509,Henry James
Q102974417,https://library.artstor.org/#/asset/26758619,2000.120s,Q170509,Henry James
Q102974426,https://library.artstor.org/#/asset/26758620,2000.120t,Q170509,Henry James
Q102974433,https://library.artstor.org/#/asset/26758621,2000.120u,Q170509,Henry James
Q102974444,https://library.artstor.org/#/asset/26758622,2000.120v,Q170509,Henry James
Q102964785,https://library.artstor.org/#/asset/26754335,1979.0124,Q18508293,Henry Pyall
Q103299666,https://library.artstor.org/#/asset/26754336,1979.0125,Q18508293,Henry Pyall
Q105096094,https://library.artstor.org/#/asset/26756240,1989.032,Q433804,Jan Saenredam
Q102975038,https://library.artstor.org/#/asset/26759055,2004.076,Q55937531,Janet Boulton
Q104032047,https://library.artstor.org/#/asset/26758856,2003.002a,Q3174119,Jean Proal
Q104032048,https://library.artstor.org/#/asset/26758857,2003.002b,Q3174119,Jean Proal
Q104032050,https://library.artstor.org/#/asset/26758858,2003.002c,Q3174119,Jean Proal
Q104032051,https://library.artstor.org/#/asset/26758859,2003.002d,Q3174119,Jean Proal
Q104032052,https://library.artstor.org/#/asset/26758860,2003.002e,Q3174119,Jean Proal
Q104032053,https://library.artstor.org/#/asset/26758861,2003.002f,Q3174119,Jean Proal
Q104032054,https://library.artstor.org/#/asset/26758862,2003.002g,Q3174119,Jean Proal
Q104032055,https://library.artstor.org/#/asset/26758863,2003.002h,Q3174119,Jean Proal
Q104032056,https://library.artstor.org/#/asset/26758864,2003.002i,Q3174119,Jean Proal
Q104032058,https://library.artstor.org/#/asset/26758865,2003.002j,Q3174119,Jean Proal
Q104032059,https://library.artstor.org/#/asset/26758866,2003.002k,Q3174119,Jean Proal
Q104032060,https://library.artstor.org/#/asset/26758867,2003.002l,Q3174119,Jean Proal
Q104032061,https://library.artstor.org/#/asset/26758868,2003.002m,Q3174119,Jean Proal
