accession_number,locale,description,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y
1984.040,,haben,0.756046993780235,0.7781617138908086,0.936,0.948,1094,1126,936,948
1984.040,,.,0.7816171389080857,0.783690393918452,0.936,0.948,1131,1134,936,948
1984.040,,Cum,0.46510020732550106,0.4768486523842433,0.976,0.984,673,690,976,984
1984.040,,Pi,0.48030407740152037,0.48997926744989634,0.976,0.984,695,709,976,984
1984.040,,S.C.,0.4948168624740843,0.51209398756047,0.976,0.984,716,741,976,984
1984.040,,Maj,0.5127850725639254,0.5259156876295784,0.976,0.984,742,761,976,984
1984.040,,thane,0.7076710435383552,0.7228749136143746,0.601,0.608,1024,1046,601,608
1984.040,,pana,0.7249481686247409,0.7373876986869385,0.601,0.607,1049,1067,601,607
1984.040,,pune,0.7408431237042156,0.756046993780235,0.601,0.607,1072,1094,601,607
1984.040,,prom,0.7622667588113338,0.774015203870076,0.601,0.607,1103,1120,601,607
1984.040,,four,0.7899101589495507,0.8051140290255702,0.601,0.607,1143,1165,601,607
1984.040,,I.A.,0.9011748445058743,0.9191430545957153,0.973,0.983,1304,1330,973,983
1984.040,,Corvinus,0.9225984796129924,0.949550794747754,0.973,0.984,1335,1374,973,984
1984.040,,souls,0.9536973047684866,0.9709744298548721,0.974,0.984,1380,1405,974,984
1984.040,,.,0.9702833448514168,0.9730476848652384,0.975,0.984,1404,1408,975,984
1985.017,fr,"MARQUIS DE
M. JEAN DELPECH CHEVALIER
Nic de Largilliere pinsat
5746
MEREVILLE CON
CON.
EN
LA
GRAND
CHAMBRE
P Drevet sculprit",-0.0970970970970971,0.9469469469469469,-0.033432392273402674,0.7823179791976226,-97,946,-45,1053
1985.017,,MARQUIS,0.13313313313313313,0.38738738738738737,0.1575037147102526,0.10326894502228826,133,387,212,139
1985.017,,DE,0.3713713713713714,0.4794794794794795,0.05274888558692422,0.0638930163447251,371,479,71,86
1985.017,,M.,0.3613613613613614,0.33133133133133136,0.7436849925705795,0.6864784546805349,361,331,1001,924
1985.017,,JEAN,0.2882882882882883,0.2172172172172172,0.7191679049034175,0.6218424962852898,288,217,968,837
1985.017,,DELPECH,0.15515515515515516,0.12012012012012012,0.6352154531946508,0.43536404160475484,155,120,855,586
1985.017,,CHEVALIER,0.06706706706706707,0.17517517517517517,0.4212481426448737,0.21025260029717682,67,175,567,283
1985.017,,Nic,0.04104104104104104,0.05805805805805806,0.7600297176820208,0.7674591381872214,41,58,1023,1033
1985.017,,de,0.06706706706706707,0.07907907907907907,0.7600297176820208,0.7674591381872214,67,79,1023,1033
1985.017,,Largilliere,0.08108108108108109,0.13613613613613615,0.7600297176820208,0.7689450222882616,81,136,1023,1035
1985.017,,pinsat,0.14414414414414414,0.17617617617617617,0.7615156017830609,0.7696879643387816,144,176,1025,1036
1985.017,,5746,0.5265265265265265,0.5445445445445446,0.2139673105497771,0.2451708766716196,526,544,288,330
1985.017,,MEREVILLE,0.5255255255255256,0.7647647647647647,0.007429420505200594,0.1827637444279346,525,764,10,246
1985.017,,CON,0.8088088088088088,0.8528528528528528,0.16196136701337296,0.26151560178306094,808,852,218,352
1985.017,,CON,0.8348348348348348,0.8348348348348348,0.1723625557206538,0.2607726597325409,834,834,232,351
1985.017,,.,0.8718718718718719,0.8528528528528528,0.25705794947994054,0.2763744427934621,871,852,346,372
1985.017,,EN,0.8938938938938938,0.8728728728728729,0.2800891530460624,0.3439821693907875,893,872,377,463
1985.017,,LA,0.9079079079079079,0.8718718718718719,0.362555720653789,0.42421991084695393,907,871,488,571
1985.017,,GRAND,0.9179179179179179,0.8168168168168168,0.4398216939078752,0.5713224368499257,917,816,592,769
1985.017,,CHAMBRE,0.8568568568568569,0.6146146146146146,0.6047548291233283,0.7147102526002972,856,614,814,962
1985.017,,P,0.8528528528528528,0.8618618618618619,0.7615156017830609,0.7674591381872214,852,861,1025,1033
1985.017,,Drevet,0.8668668668668669,0.9039039039039038,0.7607726597325408,0.7667161961367014,866,903,1024,1032
1985.017,,sculprit,0.9079079079079079,0.9469469469469469,0.7607726597325408,0.7667161961367014,907,946,1024,1032
1985.018,la,"SEDIS APOST.
SAJ
Offerebat bumillimus Jeruus
હત
KAU SAJOJ
TELLIER
AÆgidius de la Tournelles",0.023,0.95,0.09671993271656855,0.9823380992430614,23,950,115,1168
1985.018,,SEDIS,0.023,0.076,0.5239697224558453,0.4247266610597141,23,76,623,505
1985.018,,APOST,0.047,0.102,0.3902439024390244,0.27586206896551724,47,102,464,328
1985.018,,.,0.067,0.102,0.2767031118587048,0.2708158116063919,67,102,329,322
1985.018,,SAJ,0.251,0.174,0.1152228763666947,0.1455004205214466,251,174,137,173
1985.018,,Offerebat,0.04,0.117,0.9655172413793104,0.9823380992430614,40,117,1148,1168
1985.018,,bumillimus,0.121,0.218,0.9655172413793104,0.9823380992430614,121,218,1148,1168
1985.018,,Jeruus,0.226,0.28,0.9655172413793104,0.9823380992430614,226,280,1148,1168
1985.018,,હત,0.364,0.357,0.9335576114381834,0.9596299411269975,364,357,1110,1141
1985.018,,KAU,0.673,0.75,0.9226240538267452,0.9058031959629941,673,750,1097,1077
1985.018,,SAJOJ,0.757,0.861,0.8738435660218671,0.8141295206055509,757,861,1039,968
1985.018,,TELLIER,0.951,0.92,0.4306139613120269,0.5937762825904122,951,920,512,706
1985.018,,AÆgidius,0.706,0.782,0.9663582842724979,0.9814970563498738,706,782,1149,1167
1985.018,,de,0.791,0.81,0.9663582842724979,0.9814970563498738,791,810,1149,1167
1985.018,,la,0.817,0.832,0.9663582842724979,0.9814970563498738,817,832,1149,1167
1985.018,,Tournelles,0.843,0.949,0.9663582842724979,0.9814970563498738,843,949,1149,1167
1985.032,und,"ಮ
5
D",0.346,0.73,0.16947791164658635,0.7164658634538152,346,730,211,892
1985.032,,ಮ,0.35,0.489,0.6377510040160642,0.7164658634538152,350,489,794,892
1985.032,,5,0.611,0.722,0.16947791164658635,0.28112449799196787,611,722,211,350
1985.032,,D,0.67,0.661,0.6899598393574298,0.6835341365461848,670,661,859,851
1985.047,und,"56
a)",0.3122497998398719,0.7173738991192954,0.7537537537537538,0.8218218218218218,390,896,753,821
1985.047,,56,0.3122497998398719,0.3963170536429143,0.7547547547547547,0.8218218218218218,390,495,754,821
1985.047,,a,0.6789431545236189,0.7085668534827863,0.7687687687687688,0.7857857857857858,848,885,768,785
1985.047,,),0.688550840672538,0.7165732586068855,0.7637637637637638,0.7817817817817818,860,895,763,781
1986.031,und,G,0.19395465994962216,0.22858942065491183,0.735,0.781,308,363,735,781
1986.031,,G,0.20214105793450882,0.22103274559193956,0.735,0.78,321,351,735,780
1986.042,te,ఒరాలె,0.532,0.564,0.7833333333333333,0.7906666666666666,532,564,1175,1186
1986.042,,ఒరాలె,0.532,0.564,0.7846666666666666,0.7893333333333333,532,564,1177,1184
1986.052,und,42,0.692,0.7173333333333334,0.662,0.712,1038,1076,662,712
1986.052,,42,0.692,0.7173333333333334,0.706,0.67,1038,1076,706,670
1986.054,und,"இத்
K",0.38958333333333334,0.50625,0.303125,0.59375,187,243,194,380
1986.054,,இத்,0.46875,0.5020833333333333,0.303125,0.3328125,225,241,194,213
1986.054,,K,0.43333333333333335,0.45,0.51875,0.59375,208,216,332,380
1986.058,sr,акана,0.5826666666666667,0.622,0.302,0.354,874,933,302,354
1986.058,,акана,0.5926666666666667,0.612,0.302,0.353,889,918,302,353
1986.066,und,BUY,0.41291585127201563,0.4706457925636008,0.707,0.731,422,481,707,731
1986.066,,BUY,0.4158512720156556,0.46868884540117417,0.707,0.731,425,479,707,731
1986.067,und,"主檔無
喜",0.4937214611872146,0.5844748858447488,0.647,0.71,865,1024,647,710
1986.067,,主,0.4937214611872146,0.5159817351598174,0.678,0.667,865,904,678,667
1986.067,,檔,0.5108447488584474,0.5353881278538812,0.687,0.677,895,938,687,677
1986.067,,無,0.5268264840182648,0.5547945205479452,0.697,0.689,923,972,697,689
1986.067,,喜,0.5570776255707762,0.5844748858447488,0.667,0.663,976,1024,667,663
1986.076,und,Y(S,0.259,0.43,0.7998506348020911,0.8752800597460791,259,430,1071,1172
1986.076,,Y,0.259,0.334,0.8177744585511576,0.8678117998506348,259,334,1095,1162
1986.076,,(,0.313,0.374,0.8117998506348021,0.8640776699029126,313,374,1087,1157
1986.076,,S,0.353,0.43,0.8073188946975355,0.8573562359970127,353,430,1081,1148
1987.003,und,"Certive
*****
K
之出没",0.40112540192926044,0.7403536977491961,0.529,0.885,499,921,529,885
1987.003,,Certive,0.40112540192926044,0.5305466237942122,0.56,0.708,499,660,560,708
1987.003,,*****,0.6294212218649518,0.5884244372990354,0.786,0.629,783,732,786,629
1987.003,,K,0.5562700964630225,0.547427652733119,0.796,0.885,692,681,796,885
1987.003,,之,0.7162379421221865,0.7194533762057878,0.529,0.585,891,895,529,585
1987.003,,出没,0.6977491961414791,0.6736334405144695,0.556,0.653,868,838,556,653
1987.020,und,Do,0.4328457446808511,0.5232712765957447,0.73,0.785,651,787,730,785
1987.020,,Do,0.523936170212766,0.43351063829787234,0.786,0.731,788,652,786,731
1987.021,en,"ene
ECE
XPANY
தி",0.25132978723404253,0.668218085106383,0.348,0.849,378,1005,348,849
1987.021,,ene,0.3783244680851064,0.6668882978723404,0.735,0.849,569,1003,735,849
1987.021,,ECE,0.5651595744680851,0.5425531914893617,0.521,0.529,850,816,521,529
1987.021,,XPANY,0.331781914893617,0.29720744680851063,0.657,0.643,499,447,657,643
1987.021,,தி,0.2925531914893617,0.25199468085106386,0.392,0.362,440,379,392,362
1987.023,und,山戸る,0.898,0.933,-0.0041841004184100415,0.13110181311018132,898,933,-6,188
1987.023,,山戸る,0.898,0.933,-0.0041841004184100415,0.13110181311018132,898,933,-6,188
1987.024,und,"He
B",0.24867021276595744,0.6023936170212766,0.64,0.779,374,906,640,779
1987.024,,He,0.269281914893617,0.29720744680851063,0.64,0.753,405,447,640,753
1987.024,,B,0.5545212765957447,0.6023936170212766,0.73,0.774,834,906,730,774
1987.034,und,16,0.381,0.543,0.29133333333333333,0.404,381,543,437,606
