accession_number,height,width,max_height,max_width
1984.028,1000,1551,1437,2229
1984.029,999,1511,1260,1905
1984.030,999,1390,2949,4101
1984.031,1000,1839,2881,5299
1984.032,1173,1000,3471,2958
1984.040,1000,1447,2859,4139
1985.004,1312,1000,3816,2907
1985.012,431,439,431,439
1985.017,1346,999,3774,2802
1985.018,1189,1000,3691,3102
1985.022,1000,1494,3071,4589
1985.024,601,360,601,360
1985.025,1000,1504,2000,3008
1985.026,1000,1378,2755,3797
1985.028,1000,1504,2000,3008
1985.029,1000,1135,1836,2084
1985.032,1245,1000,1908,1532
1985.036,999,1966,1757,3456
1985.037,433,324,433,324
1985.040,640,480,480,640
1985.041,717,360,717,360
1985.044,924,2576,924,2576
1985.045,1212,1000,4191,3456
1985.046,1000,1500,3456,5184
1985.047,999,1249,2765,3456
1985.063,999,1061,3255,3456
1985.064,2226,1000,2883,1295
1985.066,1766,1000,2794,1582
1985.068,573,360,573,360
1985.073,611,360,611,360
1985.076,1431,360,1431,360
1985.092,1000,1500,3456,5184
1985.094,640,480,480,640
1986.003,1375,1000,3430,2494
1986.008,1067,999,2371,2221
1986.013,1197,1000,2747,2294
1986.025,344,504,344,504
1986.026,1000,1504,2000,3008
1986.027,1000,1504,2000,3008
1986.029,1753,980,1753,980
1986.031,1000,1588,1788,2840
1986.034,1000,1504,2000,3008
1986.041,640,480,480,640
1986.042,1500,1000,5184,3456
1986.043,1000,1500,3456,5184
1986.047,1500,1000,5184,3456
1986.048,1000,1500,3456,5184
1986.052,1000,1500,3456,5184
1986.054,640,480,480,640
1986.056,640,480,480,640
1986.058,1000,1500,3456,5184
1986.066,1000,1022,1988,2032
1986.067,1000,1752,1664,2916
1986.076,1339,1000,4001,2986
1987.003,1000,1244,1836,2284
1987.007,1504,1000,3008,2000
1987.014,422,600,422,600
1987.015,1504,1000,3008,2000
1987.020,1000,1504,2000,3008
1987.021,1000,1504,2000,3008
1987.022,1000,1504,2000,3008
1987.023,1434,1000,3070,2140
1987.024,1000,1504,2000,3008
1987.025,1504,1000,3008,2000
1987.030,640,480,480,640
1987.034,1500,1000,5184,3456
1987.035,1000,1615,2671,4314
1987.037,640,480,480,640
1987.038,640,480,480,640
1987.039,640,480,480,640
1987.041,1000,1504,2000,3008
1987.048,640,480,480,640
1987.049,1000,1504,2000,3008
1987.052,640,480,480,640
1987.056,480,640,480,640
1987.057,1504,1000,3008,2000
1987.058,640,480,480,640
1987.060,1000,1504,2000,3008
1988.001,1126,1000,3545,3146
1988.004,1000,1277,1856,2371
1988.005,1000,1287,1828,2353
1988.006,1203,1000,2697,2241
1988.010,1000,1381,2943,4065
1988.014,1299,1000,2346,1806
1988.026,1552,1000,1950,1256
1988.029,1479,1000,4494,3037
1988.030,1000,1118,3054,3415
1988.034,1362,999,3659,4987
1988.045,1510,1000,2256,1494
1988.046,1000,1403,1503,2109
1988.077,449,345,449,345
1988.078,1438,1000,6978,4852
1988.079,1000,1541,2137,3294
1988.081,1000,1529,2166,3313
1988.091,1000,1422,2867,4078
1988.092,1000,1457,2803,4084
1988.093,999,1425,2844,4055
1988.094,1000,1401,3046,4269
1988.096,1000,1515,2728,4134
1988.097,1000,1279,2756,3525
