department,qid,name,labelEn,alias,description,orcidStatementUuid,orcid,orcidReferenceHash,orcidReferenceValue_nodeId,orcidReferenceValue_val,orcidReferenceValue_prec,employerStatementUuid,employer,employerReferenceHash,employerReferenceSourceUrl,employerReferenceRetrieved_nodeId,employerReferenceRetrieved_val,employerReferenceRetrieved_prec,affiliationStatementUuid,affiliation,affiliationReferenceHash,affiliationReferenceSourceUrl,affiliationReferenceRetrieved_nodeId,affiliationReferenceRetrieved_val,affiliationReferenceRetrieved_prec,instanceOfUuid,instanceOf,sexOrGenderUuid,sexOrGenderQId,gender,degree,category,wikidataStatus,role
medicine,Q89550774,Rachelle Whitney Johnson,Rachelle Whitney Johnson,[],medical researcher,8AA5AD91-5FEA-4625-AD57-64989A3C2375,0000-0003-2755-9851,7f81f24a4148728c2eb8e030140bb2808f105296,e05068de-a989-4efb-8e7d-d276e31a4919,2020-04-20T00:00:00Z,11,591AA09C-9A7E-4121-9EF5-CB798209B244,Q29052,b58d55b1a3fa4d7754246442d2f597ce9b45c135,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,e05068de-a989-4efb-8e7d-d276e31a4919,2020-04-20T00:00:00Z,11,33D573DB-2FDB-4F79-BFC2-D32377070966,Q89953931,b58d55b1a3fa4d7754246442d2f597ce9b45c135,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=J,e05068de-a989-4efb-8e7d-d276e31a4919,2020-04-20T00:00:00Z,11,4F442F2E-AC27-4D39-87BB-6E1184EA341E,Q5,C303B07A-2E71-4BC1-859D-0BD73135BD3F,Q6581072,f,Ph.D.,J,11,"[{""title"": ""Assistant Professor"", ""department"": ""Medicine""}]"
surgery,Q91548222,Raeanna Clair Adams,Raeanna Clair Adams,[],surgeon,,,,,,,98CE9746-3DDC-4D0C-AD6E-BE6CB958A942,Q29052,1675d4de3f021105a20cc6c0c49e4ab3af61fda5,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=A,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,9F996327-A8AA-4C06-925C-1A5C8523FA1C,Q89954010,1675d4de3f021105a20cc6c0c49e4ab3af61fda5,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=A,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,E4D53157-599B-40E6-A011-E05C872714F5,Q5,4FBD94FC-969A-4E19-ADCB-6A8FB7A28421,Q6581072,f,"M.D., M.B.A.",A,12,"[{""title"": ""Associate Professor"", ""department"": ""Surgery""}]"
surgery,Q91547880,Raeshell S. Sweeting,Raeshell S. Sweeting,[],surgeon,,,,,,,51A543C6-FD75-4544-838A-3F2384498017,Q29052,a48434aa65aa2543622bc27ef8354fc3b98ac990,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,AE66DB8E-0B93-40EA-9C4A-47F013965D48,Q89954010,a48434aa65aa2543622bc27ef8354fc3b98ac990,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,34b2f82b-b581-4458-bd6e-c49d25c20b2e,2020-04-23T00:00:00Z,11,8A9C77D9-F9DF-44F2-9049-73EC0E129900,Q5,FD70546C-6BE3-40A3-AC35-AC9DFAC6650B,Q6581072,f,M.D.,S,7,"[{""title"": ""Assistant Professor"", ""department"": ""Surgery""}]"
neurology,Q91317217,Raghu P. Upender,Raghu P. Upender,[],neurologist,,,,,,,6997C428-76C0-4BE4-8B58-02EE6195CDCF,Q29052,6fc968b370e38edfccd5a65eb6a4e11669b92bc6,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=U,f12d0c00-2758-4f80-beda-d269c0ad705c,2020-04-21T00:00:00Z,11,5E1A79AD-0805-4ACE-A7DB-8DABFBA27D80,Q89953944,6fc968b370e38edfccd5a65eb6a4e11669b92bc6,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=U,f12d0c00-2758-4f80-beda-d269c0ad705c,2020-04-21T00:00:00Z,11,888CE053-B226-4714-8CA7-63240DFAD26C,Q5,EFB8309F-3D02-425A-BD87-089829930F1E,Q6581097,m,M.D.,U,7,"[{""title"": ""Associate Professor of Clinical"", ""department"": ""Neurology""}]"
owen,Q86916027,Rahn Huber,Rahn Huber,[],librarian,,,,,,,3113DA85-3103-4B0F-BE52-05DF747FFF04,Q29052,883c542b65d6a4f4d9de1e385418c97bc11615d4,https://business.vanderbilt.edu/our-school/faculty/faculty-directory/,7fd48b50-3705-4dba-aace-5154fb9914fc,2020-03-02T00:00:00Z,11,3C8D801B-A716-4DF6-A357-276411C12F93,Q14710143,883c542b65d6a4f4d9de1e385418c97bc11615d4,https://business.vanderbilt.edu/our-school/faculty/faculty-directory/,7fd48b50-3705-4dba-aace-5154fb9914fc,2020-03-02T00:00:00Z,11,6ADB15C6-579B-4318-86E5-EDB069C0C19B,Q5,9F39C1C6-39E9-48E0-A515-1B8E0CD3D088,Q6581072,f,,,7,"[{""title"": ""scholar"", ""department"": ""Owen Graduate School of Management""}]"
libraries,Q86916027,Rahn Huber,Rahn Huber,[],librarian,,,,,,,3113DA85-3103-4B0F-BE52-05DF747FFF04,Q29052,883c542b65d6a4f4d9de1e385418c97bc11615d4,https://business.vanderbilt.edu/our-school/faculty/faculty-directory/,75a4f44e-963b-4551-a4d7-0e424a8e84e5,2020-03-02T00:00:00Z,11,1624F0DC-2C23-4D7E-BDAB-1587D3B95422,Q16849893,aaeb484164f83b47aeeff11ecc9880fefa52704a,https://www.library.vanderbilt.edu/staff/,8084b1cf-df8c-493f-9c5d-89c6e81adb59,2020-11-13T00:00:00Z,11,6ADB15C6-579B-4318-86E5-EDB069C0C19B,Q5,9F39C1C6-39E9-48E0-A515-1B8E0CD3D088,Q6581072,f,,,13,[]
pediatrics,Q91486661,Rahul Prakash Shah,Rahul Prakash Shah,[],pediatrician,,,,,,,812EA369-DB5E-44DE-9785-8A491BCD56DF,Q29052,122ab140267f6df49e6a0a8173cea55eca59a129,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,39B07AB2-DAAF-4EEE-BB99-66CECB007488,Q89953976,122ab140267f6df49e6a0a8173cea55eca59a129,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=S,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,F43B7522-D6D3-4B38-AC41-5B4431264EB4,Q5,0B8B6FB6-0B95-4D6F-AF46-6A48D43B0E76,Q6581097,m,M.D.,S,12,"[{""title"": ""Assistant Professor of Clinical"", ""department"": ""Pediatrics""}]"
anesthesiology,Q90142993,Rainelli B. Koumangoye,Rainelli B. Koumangoye,[],anesthesiologist,A111B38F-6287-4302-9063-3D4489447888,0000-0002-5963-8987,a228a6e7f4c77addc703485fd137afe852dc9df7,4427f2f9-aae9-4bdd-ad54-debd0d0111d9,2020-04-11T00:00:00Z,11,CC28536A-C9E2-4957-B016-97D2691FA7EC,Q29052,83164c85910c94d6825ef229b34bbfd8f986df78,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=K,4427f2f9-aae9-4bdd-ad54-debd0d0111d9,2020-04-11T00:00:00Z,11,C3DF5D91-4CF5-4A2F-BC7A-B4BE95D4ACD8,Q89951871,83164c85910c94d6825ef229b34bbfd8f986df78,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=K,4427f2f9-aae9-4bdd-ad54-debd0d0111d9,2020-04-11T00:00:00Z,11,3A52D20D-C28B-4B1B-AD9C-7C41935CE428,Q5,50A25EA2-0807-4237-85A0-49BB8030500D,Q6581097,m,Ph.D.,K,7,"[{""title"": ""Research Instructor"", ""department"": ""Anesthesiology""}]"
frit,Q86595907,Raisa Rexer,Raisa Rexer,[],scholar of French,,,,,,,03C7D174-3304-4D30-B218-BBB02B08E683,Q29052,27723e6cc2a5caf406b8c386192478f0e496d488,https://as.vanderbilt.edu/french-italian/graduate-faculty/,295970e9-c22b-4709-84e5-4f3b5e9725dd,2020-02-28T00:00:00Z,11,EE0AFB50-5123-46B9-A94E-6CCD0E447D22,Q79117832,27723e6cc2a5caf406b8c386192478f0e496d488,https://as.vanderbilt.edu/french-italian/graduate-faculty/,295970e9-c22b-4709-84e5-4f3b5e9725dd,2020-02-28T00:00:00Z,11,95D8ECC6-27B2-442A-8883-F5EB8A90D49C,Q5,3F20A945-5303-410A-BEAF-FA504EDE7309,Q6581072,f,,graduate-faculty/,7,[]
otolaryn,Q86072547,Raj Dilip Dedhia,Raj Dilip Dedhia,[],otolaryngologist,CBBFF1FF-F7E0-4435-B77E-48808F559369,0000-0002-9218-1480,6555de6f74327dc60ef29dc8e176711883bbbde0,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,C16A3008-DE50-4C18-8EC1-A830BAAE91A8,Q29052,9880da0d99b5807d36e7b7c62b5bbb463f49a85e,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=D,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,E973F3B4-342C-406C-ABFE-8C96919625EA,Q89953958,9880da0d99b5807d36e7b7c62b5bbb463f49a85e,https://wag.app.vanderbilt.edu//PublicPage/Faculty/PickLetter?letter=D,a35a396a-5c95-4d36-aebb-0e9eaac67b06,2020-04-22T00:00:00Z,11,A7E170A1-AD29-4844-A781-2EA8A6D44E18,Q5,A142BEB9-D131-4196-9BCC-99EBBDF1E543,Q6581097,m,M.D.,D,5,"[{""title"": ""Instructor"", ""department"": ""Otolaryngology - Head and Neck Surgery""}]"
