RecordNumber,CopyrightStatement,filename,iri
55420,"http://commons.wikimedia.org/wiki/File:%27Hands_Across_the_Divide%27_sculpture,_Derry.jpg","%27Hands_Across_the_Divide%27_sculpture,_Derry.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/%27Hands_Across_the_Divide%27_sculpture,_Derry.jpg"
55542,http://commons.wikimedia.org/wiki/File:%27Looking_Up%27_at_Withybush_Hospital_-_geograph.org.uk_-_925250.jpg,%27Looking_Up%27_at_Withybush_Hospital_-_geograph.org.uk_-_925250.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/%27Looking_Up%27_at_Withybush_Hospital_-_geograph.org.uk_-_925250.jpg
55616,"http://commons.wikimedia.org/wiki/File:%27Silence,_Waterfall_and_Forest%27_by_Arthur_Bowen_Davies,_Dayton_Art_Institute.JPG","%27Silence,_Waterfall_and_Forest%27_by_Arthur_Bowen_Davies,_Dayton_Art_Institute.JPG","http://commons.wikimedia.org/wiki/Special:FilePath/%27Silence,_Waterfall_and_Forest%27_by_Arthur_Bowen_Davies,_Dayton_Art_Institute.JPG"
55127,http://commons.wikimedia.org/wiki/File:10_Gebote_(Lucas_Cranach_d_A).jpg,10_Gebote_(Lucas_Cranach_d_A).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/10_Gebote_(Lucas_Cranach_d_A).jpg
55186,http://commons.wikimedia.org/wiki/File:12th-century_painters_-_Pentecost_-_WGA15840.jpg,12th-century_painters_-_Pentecost_-_WGA15840.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/12th-century_painters_-_Pentecost_-_WGA15840.jpg
54916,http://commons.wikimedia.org/wiki/File:13th-century_painters_-_English_Apocalypse_-_WGA15756.jpg,13th-century_painters_-_English_Apocalypse_-_WGA15756.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/13th-century_painters_-_English_Apocalypse_-_WGA15756.jpg
55836,http://commons.wikimedia.org/wiki/File:1529_Cranach_Allegorie_auf_Gesetz_und_Gnade_anagoria.JPG,1529_Cranach_Allegorie_auf_Gesetz_und_Gnade_anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1529_Cranach_Allegorie_auf_Gesetz_und_Gnade_anagoria.JPG
55002,http://commons.wikimedia.org/wiki/File:184_W%C3%BCrttemberg_und_M%C3%B6mpelgard_M%C3%B6mpelgarder_Altar_You_know_who.jpg,184_W%C3%BCrttemberg_und_M%C3%B6mpelgard_M%C3%B6mpelgarder_Altar_You_know_who.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/184_W%C3%BCrttemberg_und_M%C3%B6mpelgard_M%C3%B6mpelgarder_Altar_You_know_who.jpg
55627,http://commons.wikimedia.org/wiki/File:1883_Ivanov_Blinde_anagoria.JPG,1883_Ivanov_Blinde_anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1883_Ivanov_Blinde_anagoria.JPG
55507,http://commons.wikimedia.org/wiki/File:1890_van_Gogh_First_Steps_-_after_Millet_anagoria.JPG,1890_van_Gogh_First_Steps_-_after_Millet_anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1890_van_Gogh_First_Steps_-_after_Millet_anagoria.JPG
