RecordNumber,CopyrightStatement
46134,https://commons.wikimedia.org/wiki/File:Anthony_van_Dyck_-_Crowning_with_Thorns_-_WGA07433.jpg
58836,https://commons.wikimedia.org/wiki/File:Christ_and_SocratesSAAM_1974.28.341A_B_1.jpg
46136,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_108.jpg
46137,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_105.jpg
46138,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_061.jpg
46139,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_009.jpg
46140,https://commons.wikimedia.org/wiki/File:Andr%C3%A9_Beauneveu_001.jpg
46141,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_037.jpg
58441,https://commons.wikimedia.org/wiki/File:The_separation_of_Light_from_Darkness._Wellcome_M0005781.jpg
58758,https://commons.wikimedia.org/wiki/File:Dou_Old_Woman_Cutting_Bread.png
46151,https://commons.wikimedia.org/wiki/File:Jacopo_del_Conte_001.jpg
46152,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_103.jpg
46153,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_099.jpg
46154,https://commons.wikimedia.org/wiki/File:Giovanni_Bellini_-_Presentation_at_the_Temple_-_WGA01642.jpg
46155,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_087.jpg
46156,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_042.jpg
46158,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_037.jpg
46159,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_038.jpg
46160,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_025.jpg
46161,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_030.jpg
46162,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_023.jpg
46163,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_017.jpg
46164,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_015.jpg
46165,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_013.jpg
46166,https://commons.wikimedia.org/wiki/File:Alexander_Andrejewitsch_Iwanow_003.jpg
58437,"https://commons.wikimedia.org/wiki/File:Domine,_quo_vadis.jpg"
58438,https://commons.wikimedia.org/wiki/File:Stefan_Lochner_-_Last_Judgement_-_circa_1435.jpg
58439,https://commons.wikimedia.org/wiki/File:John_Martin_-_Sodom_and_Gomorrah.jpg
58440,https://commons.wikimedia.org/wiki/File:Clevelandart_1930.331.jpg
46203,https://commons.wikimedia.org/wiki/File:Filippino_Lippi_003.jpg
46206,"https://commons.wikimedia.org/wiki/File:Workshop_of_Andrea_del_Verrocchio,_1470s_Metropolitan_Museum_N-Y.jpg"
46207,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_012.jpg
46208,https://commons.wikimedia.org/wiki/File:Andrea_del_Castagno_002.jpg
46209,https://commons.wikimedia.org/wiki/File:Dieric_Bouts_009.jpg
46210,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_034.jpg
46211,https://commons.wikimedia.org/wiki/File:Florentinischer_Meister_des_14._Jahrhunderts_001.jpg
46212,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_005.jpg
46213,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_004.jpg
46214,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_003.jpg
46215,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_-_St_Jerome_in_his_study_-_National_Gallery_London_-_detail.jpg
46216,https://commons.wikimedia.org/wiki/File:Antonello_da_Messina_-_St_Jerome_in_his_study_-_National_Gallery_London.jpg
46217,https://commons.wikimedia.org/wiki/File:Anton_Faistauer_003.jpg
46218,https://commons.wikimedia.org/wiki/File:Adalpertus_001.jpg
46220,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_001.jpg
46221,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_002.jpg
46222,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_005.jpg
46223,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_004.jpg
46224,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_003.jpg
46225,https://commons.wikimedia.org/wiki/File:Ambrogio_Lorenzetti_006.jpg
46227,https://commons.wikimedia.org/wiki/File:Alfred_Sisley_057.jpg
46228,https://commons.wikimedia.org/wiki/File:Alfred_Sisley_045.jpg
58752,"https://commons.wikimedia.org/wiki/File:Ouwater,_Aelbert_van_-_The_Raising_of_Lazarus_-_c._1445.jpg"
46230,https://commons.wikimedia.org/wiki/File:Alexander_Andrejewitsch_Iwanow_002.jpg
46231,https://commons.wikimedia.org/wiki/File:Albert_von_Keller_-_Die_T%C3%A4nzerin_Madeleine_(Magdeleine_Guipet).jpg
46232,https://commons.wikimedia.org/wiki/File:Aertgen_van_Leyden_001.jpg
46233,https://commons.wikimedia.org/wiki/File:Aert_de_Gelder_003.jpg
46234,https://commons.wikimedia.org/wiki/File:Aert_de_Gelder_002.jpg
58753,"https://commons.wikimedia.org/wiki/File:Salvator_Mundi,_by_Albrecht_D%C3%BCrer,_MET.jpg"
46236,https://commons.wikimedia.org/wiki/File:Adrian_Ludwig_Richter_022.jpg
46237,https://commons.wikimedia.org/wiki/File:Fra_Angelico_014.jpg
46238,https://commons.wikimedia.org/wiki/File:Adam_Elsheimer_-_Die_Flucht_nach_%C3%84gypten_(Alte_Pinakothek)_2.jpg
46239,https://commons.wikimedia.org/wiki/File:Abram_Jefimowitsch_Archipow_002.jpg
46240,https://commons.wikimedia.org/wiki/File:Abel_Grimmer_002.jpg
46241,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_038.jpg
46245,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_027.png
46246,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_037.jpg
46248,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_035.jpg
46249,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_034.jpg
46250,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_038.jpg
46260,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_-_Pilate_washing_his_hands_-_St._Florian_Monastery.jpg
46261,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_024.jpg
46262,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_-_Christus_am_Kreuz_mit_Maria_und_Johannes_(Gem%C3%A4ldegalerie_Alte_Meister_Kassel).jpg
46263,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_-_Kreuzigung_Detail_(Gem%C3%A4ldegalerie_Alte_Meister_Kassel).jpg
46264,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer.jpg
46265,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_-_Nativity.jpg
46266,https://commons.wikimedia.org/wiki/File:Albrecht_Kauw_001.jpg
46267,https://commons.wikimedia.org/wiki/File:Albrecht_Altdorfer_-_The_Adoration_of_the_Magi_-_St%C3%A4del.jpg
46269,https://commons.wikimedia.org/wiki/File:Alesso_Baldovinetti_003.jpg
58754,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_020.jpg
46271,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_068.jpg
46272,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_-_Marter_der_zehntausend_Christen_(Yorck_Project).jpg
46275,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_055.jpg
46276,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_045.jpg
46291,https://commons.wikimedia.org/wiki/File:Bernaerd_van_Orley_005.jpg
46303,https://commons.wikimedia.org/wiki/File:Albrecht-D%C3%BCrer-005.jpg
46304,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_006.jpg
46305,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_011.jpg
46306,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_017.jpg
46307,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_024.jpg
46308,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_029.jpg
46309,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_008.jpg
46310,https://commons.wikimedia.org/wiki/File:Albrecht_D%C3%BCrer_009.jpg
